nb_ref,nb_sim,tree,scenario
150,150,S1_1,1
167,167,S1_2,1
63,63,S1_4,1
314,315,S1_6,1
209,228,S1_7,1
84,84,S1_8,1
47,47,S1_9,1
59,95,S1_10,1
64,69,S1_11,1
93,127,S1_12,1
224,234,S1_13,1
235,243,S1_14,1
129,135,S1_15,1
108,110,S1_17,1
54,54,S1_18,1
194,195,S1_19,1
67,69,S1_20,1
140,140,S1_21,1
95,101,S1_22,1
85,103,S1_23,1
80,80,S1_24,1
70,70,S1_25,1
52,83,S1_26,1
205,205,S1_28,1
318,319,S1_29,1
495,747,S1_30,1
