45_d500_124_7_badger_2015-09-01,45_d500_124_8_badger_2015-06-01,45_d500_124_9_badger_2018-07-01,45_d500_147_0_badger_2020-02-01,45_d500_152_0_badger_2020-02-01,45_d500_157_858_0_badger_2016-05-01,45_d500_160_0_badger_2007-10-01,45_d500_160_1_badger_2012-05-01,45_d500_163_0_badger_2020-02-01,45_d500_99_766_0_badger_2019-07-01,45_d500_99_766_1_badger_2015-01-01,45_d500_99_766_2_badger_2014-08-01,45_d500_99_766_3_badger_2014-04-01,45_d500_99_866_0_badger_2015-06-01,45_d500_99_866_1_badger_2015-12-01,45_d500_99_866_2_badger_2016-06-01,45_d500_99_866_3_badger_2014-09-01,45_d500_99_866_4_badger_2014-05-01,64310006_0_cattle_2020-02-01,64310006_1_cattle_2020-02-01,64310006_2_cattle_2020-02-01,64349048_0_cattle_2020-02-01,64349048_1_cattle_2020-02-01,64349053_0_cattle_2019-12-01,64349068_0_cattle_2017-10-01,64349068_1_cattle_2019-01-01,64349068_2_cattle_2019-01-01,64349068_3_cattle_2019-01-01,64349068_4_cattle_2018-12-01,64349_0_boar_2018-09-01,64349_10_boar_2019-03-01,64349_11_boar_2019-01-01,64349_12_boar_2020-02-01,64349_13_boar_2020-02-01,64349_14_boar_2020-02-01,64349_15_boar_2020-02-01,64349_16_boar_2019-10-01,64349_17_boar_2020-02-01,64349_18_boar_2020-02-01,64349_19_boar_2019-09-01,64349_1_boar_2018-06-01,64349_20_boar_2020-02-01,64349_21_boar_2020-02-01,64349_2_boar_2017-09-01,64349_3_boar_2020-02-01,64349_4_boar_2018-12-01,64349_5_boar_2018-05-01,64349_6_boar_2018-06-01,64349_7_boar_2020-02-01,64349_8_boar_2018-09-01,64349_9_boar_2019-06-01,64420009_0_cattle_2017-05-01,64420009_10_cattle_2017-03-01,64420009_11_cattle_2017-03-01,64420009_12_cattle_2017-05-01,64420009_13_cattle_2017-03-01,64420009_14_cattle_2017-05-01,64420009_15_cattle_2017-03-01,64420009_16_cattle_2017-03-01,64420009_17_cattle_2017-03-01,64420009_1_cattle_2017-03-01,64420009_2_cattle_2017-03-01,64420009_3_cattle_2017-03-01,64420009_4_cattle_2017-03-01,64420009_5_cattle_2017-03-01,64420009_6_cattle_2017-03-01,64420009_7_cattle_2017-03-01,64420009_8_cattle_2017-03-01,64420009_9_cattle_2017-05-01,64420015_0_cattle_2007-12-01,64420015_1_cattle_2008-01-01,64420015_2_cattle_2011-03-01,64420015_3_cattle_2011-05-01,64420035_0_cattle_2008-02-01,64420035_10_cattle_2014-05-01,64420035_11_cattle_2014-05-01,64420035_12_cattle_2014-05-01,64420035_13_cattle_2014-05-01,64420035_14_cattle_2014-05-01,64420035_15_cattle_2014-05-01,64420035_16_cattle_2014-05-01,64420035_17_cattle_2014-05-01,64420035_18_cattle_2014-05-01,64420035_19_cattle_2014-05-01,64420035_1_cattle_2008-03-01,64420035_20_cattle_2014-05-01,64420035_21_cattle_2014-05-01,64420035_22_cattle_2014-05-01,64420035_23_cattle_2014-04-01,64420035_24_cattle_2014-05-01,64420035_25_cattle_2015-12-01,64420035_2_cattle_2008-03-01,64420035_3_cattle_2008-03-01,64420035_5_cattle_2014-05-01,64420035_6_cattle_2014-05-01,64420035_7_cattle_2014-04-01,64420035_8_cattle_2014-05-01,64420035_9_cattle_2014-05-01,64420038_0_cattle_2018-12-01,64420039_0_cattle_2014-12-01,64420039_1_cattle_2014-12-01,64420039_2_cattle_2014-12-01,64420039_3_cattle_2015-02-01,64420039_4_cattle_2014-12-01,64420039_5_cattle_2015-02-01,64420039_6_cattle_2015-02-01,64420047_0_cattle_2014-01-01,64420047_1_cattle_2014-01-01,64420047_2_cattle_2014-01-01,64420047_3_cattle_2013-11-01,64420047_4_cattle_2014-01-01,64420047_5_cattle_2014-01-01,64512027_0_cattle_2019-11-01,64512027_1_cattle_2019-12-01
0,0.06618676264747042,0.4651069786042616,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0.07038592281543696,0.41751649670064744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0.00539892021595681,0.011397720455908809,0.02639472105578878,0.009798040391921612,0.029194161167766373,0.25354929014197686,0.033393321335732765,0.04359128174365114,0.006998600279944014,0.03899220155968795,0.08818236352729514,0.0167966406718656,0.0015996800639872023,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0.0011997600479904018,0,5.998800239952009e-4,0,0,0,0,0,0,0,0.0023995200959808036,0,0.051589682063587126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16836632673465615,0,0.011597680463907209,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0.4301139772045453,0.1265746850629892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008598280343931215,0,1.999600079984003e-4,0,0.002199560087982403,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.001399720055988802,0,0,0.0019996000799840027,0,0,0,0,0,0.001399720055988802,1.999600079984003e-4,0,0,0,0,0,0,0,0,0.015196960607878401,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,7.998400319936012e-4,0,0,0
0.014797040591881602,0,0,0,0.01079784043191361,0,0,0,0,0,0,0,0,0.0015996800639872023,0.011597680463907209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0.0015996800639872023,3.999200159968006e-4,0.002199560087982403,0.003399320135972806,0.013197360527894405,5.998800239952009e-4,0.002199560087982403,0.047590481903619135,0.012197560487902407,0.018996200759847995,0,0.0017996400719856025,0.02599480103979198,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6906618676264329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008998200359928014,0.0161967606478704,0,5.998800239952009e-4,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04199160167966395,0.029194161167766373
0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012397520495900807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5620875824834753,0.037392521495700756,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153969206158768,0.001399720055988802,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3415316936612635,0.3669266146770576,7.998400319936012e-4,0.0023995200959808036,0.32533493301339483,0,0,0,0,0,0,0,0,0,0,0.10657868426314854,0,0,0,0,0,0,0.09738052389522184,0.06938612277544493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.004199160167966408,0,0,0,0,0,0,0,0,0.0027994401119776045,0.10637872425515013,0.07078584283143377,0.004399120175964808,0.0023995200959808036,0,0.0067986402719456135,0.012797440511897606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04019196160767835,0.018196360727854397,0,0.005798840231953611,0.0015996800639872023,0.004399120175964808,0.002199560087982403,0.006198760247950412,0.004399120175964808,0.00539892021595681,0.0037992401519696068,0.004399120175964808,0.0017996400719856025,0,5.998800239952009e-4,0.004399120175964808,0.008598280343931215,0.002199560087982403,0,0.01119776044791041,0,0,0.0031993601279744054,7.998400319936012e-4,0.0163967206558688,0.24195160967806975,0.001399720055988802,0,0,0,0,0,0,0,0,0.07738452309538119,0.06278744251149751,0.24235152969406656,0.3023395320935813,0.1113777244551103,0.0809838032393525,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0.005598880223955211,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997600479904008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06458708258348317,0,0,0.009998000399920012,0,0.19956008798240757,0,0.043391321735652744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
