tinfection,tremoved,infector_id,infected_id
2016.2644424822445,2017.7479452054977,24,20_d500_71_0_badger_2017-10-01
2013.0116351190097,2013.8328767123996,126,20_d500_71_1_badger_2013-11-01
2017.5050813587325,2018.6657534247147,1,20_d500_71_2_badger_2018-09-01
2019.4007957455785,2020.0846994535686,227,20_d500_71_3_badger_2020-02-01
2019.727059795646,2020.0846994536462,217,20_d500_71_4_badger_2020-02-01
2019.7210162485264,2020.0846994536462,209,20_d500_92_1460_0_badger_2020-02-01
2016.2514004307154,2018.3287671233004,9,20_d500_92_1460_1_badger_2018-05-01
2017.3194021829233,2018.4958904110424,7,20_d500_92_1460_2_badger_2018-07-01
2014.7198627012306,2016.0846994535987,2,40119050_0_cattle_2016-02-01
2014.047135959263,2014.3287671233434,2,40119_0_boar_2014-05-01
2019.912965991675,2020.084699453607,209,40119_1_boar_2020-02-01
2019.1708560402776,2019.4136986301608,228,40252035_0_cattle_2019-06-01
2019.9199231677437,2020.0846994536278,208,40252035_10_cattle_2020-02-01
2019.5975675937098,2019.6657534246758,221,40252035_11_cattle_2019-09-01
2017.9642055015277,2019.4136986301774,8,40252035_1_cattle_2019-06-01
2019.0280310200778,2020.084699453637,22,40252035_2_cattle_2020-02-01
2019.2134412708706,2019.4136986302344,19,40252035_3_cattle_2019-06-01
2018.6179819874963,2019.4136986301594,227,40252035_4_cattle_2019-06-01
2018.6761479181841,2019.161643835661,22,40252035_5_cattle_2019-03-01
2018.8015559469104,2019.4136986301444,22,40252035_6_cattle_2019-06-01
2019.1372044395523,2019.413698630203,22,40252035_7_cattle_2019-06-01
2017.9749225784694,2019.4136986301755,8,40252035_8_cattle_2019-06-01
2018.7871785596612,2019.4136986302206,8,40252035_9_cattle_2019-06-01
2014.3658669686743,2015.4136986301519,2,40252_0_boar_2015-06-01
2019.7416944198924,2020.0846994535866,216,40252_1_boar_2020-02-01
2012.4537779556158,2013.4136986301858,140,45_d500_123_762_0_badger_2013-06-01
2013.3527408869347,2013.665753424674,26,45_d500_123_762_1_badger_2013-09-01
2013.7588162035795,2015.0849315068845,127,45_d500_155_880_0_badger_2015-02-01
2009.9543806776774,2012.6666666667645,237,45_d500_157_852_0_badger_2012-09-01
2012.1967108933625,2013.6657534246722,29,45_d500_157_858_0_badger_2013-09-01
2006.8509891325555,2008,129,45_d500_160_0_badger_2008-01-01
2019.6027229563797,2020.0846994535682,220,45_d500_237_0_badger_2020-02-01
2019.236465264002,2020.0846994536328,220,45_d500_237_1_badger_2020-02-01
2019.288820135797,2020.0846994536387,196,45_d500_65_0_badger_2020-02-01
2012.948065229877,2013.3287671233397,126,45_d500_99_839_0_badger_2013-05-01
2014.7028767879196,2016.000000000062,236,56_d500_24_0_badger_2016-01-01
2013.479974753513,2014.1616438356994,111,56_d500_24_1_badger_2014-03-01
2019.765803827515,2020.0846994535802,214,56_d500_24_2_badger_2020-02-01
2015.4300539246008,2017.4958904110254,95,56_d500_42_1988_0_badger_2017-07-01
2016.4265498854998,2017.1616438356314,102,56_d500_42_1988_2_badger_2017-03-01
2017.7684651648765,2019.328767123386,232,56_d500_42_1988_4_badger_2019-05-01
2016.8165023600893,2018.5808219178377,50,56_d500_59_0_badger_2018-08-01
2018.3416768596069,2018.5808219178195,121,56_d500_59_1_badger_2018-08-01
2019.6322803895966,2020.0846994535682,219,64217022_0_cattle_2020-02-01
2015.1788339541,2016.1639344263233,84,64217090_0_cattle_2016-03-01
2016.649746028885,2017.4958904110383,65,64217090_10_cattle_2017-07-01
2016.6080788698366,2017.246575342563,64,64217090_11_cattle_2017-04-01
2016.6204674702888,2017.4958904109938,65,64217090_12_cattle_2017-07-01
2016.5613730835585,2017.2465753425156,65,64217090_13_cattle_2017-04-01
2016.363017214827,2017.2465753425463,65,64217090_14_cattle_2017-04-01
2017.7057496645134,2018.7479452054802,50,64217090_15_cattle_2018-10-01
2014.8846465466715,2016.1639344262303,236,64217090_1_cattle_2016-03-01
2015.836009548137,2016.3306010929646,81,64217090_2_cattle_2016-05-01
2015.316348760422,2016.7486338798742,84,64217090_3_cattle_2016-10-01
2015.3907048135677,2016.1639344262564,52,64217090_4_cattle_2016-03-01
2015.7478056335062,2016.4972677596443,82,64217090_5_cattle_2016-07-01
2015.6695705321908,2016.4972677596418,52,64217090_6_cattle_2016-07-01
2015.5852479354555,2016.497267759662,45,64217090_7_cattle_2016-07-01
2015.448441498161,2016.4972677596245,52,64217090_8_cattle_2016-07-01
2015.5803119369457,2016.497267759634,55,64217090_9_cattle_2016-07-01
2015.0489216197834,2015.580821917885,84,64217101_0_cattle_2015-08-01
2019.8182413990587,2020.0846994536405,66,64217101_1_cattle_2020-02-01
2015.9492897092753,2017.4958904110213,36,64217_0_boar_2017-07-01
2016.378588934536,2018.9150684931765,65,64217_10_boar_2018-12-01
2015.5378140215382,2017.0849315069354,52,64217_11_boar_2017-02-01
2019.5724590664877,2020.0846994535955,222,64217_13_boar_2020-02-01
2018.59863651039,2019.7479452055184,51,64217_15_boar_2019-10-01
2017.4726718075913,2019.0000000000462,64,64217_16_boar_2019-01-01
2016.5947736793426,2019.3287671233095,64,64217_17_boar_2019-05-01
2016.490382179942,2018.2465753424726,65,64217_18_boar_2018-04-01
2019.9613637469504,2020.0846994535793,206,64217_19_boar_2020-02-01
2015.0822341257285,2015.8328767123603,84,64217_1_boar_2015-11-01
2019.2327062890363,2020.0846994535561,224,64217_20_boar_2020-02-01
2019.4322617050832,2020.0846994535702,224,64217_21_boar_2020-02-01
2019.2210925737163,2020.0846994535702,226,64217_22_boar_2020-02-01
2019.124688346557,2020.0846994536273,226,64217_23_boar_2020-02-01
2019.4087160626498,2020.0846994535807,226,64217_24_boar_2020-02-01
2019.8803857188561,2020.0846994536387,210,64217_25_boar_2020-02-01
2015.367317288261,2016.0000000000396,84,64217_2_boar_2016-01-01
2015.4005686411194,2017.9150684932079,36,64217_3_boar_2017-12-01
2015.2780576457994,2016.4972677595981,84,64217_4_boar_2016-07-01
2015.5361164107735,2017.0849315069167,52,64217_5_boar_2017-02-01
2016.4548148273734,2016.915300546451,60,64217_6_boar_2016-12-01
2014.5002331914307,2017.0849315068895,236,64217_7_boar_2017-02-01
2017.8841577621445,2019.2465753424856,61,64217_8_boar_2019-04-01
2016.2601089806794,2017.8328767124144,59,64217_9_boar_2017-11-01
2014.6892479546,2015.3287671233854,95,64241029_0_cattle_2015-05-01
2014.9127988562575,2015.4958904109906,95,64241029_1_cattle_2015-07-01
2014.8332894910309,2015.4958904110315,95,64241029_2_cattle_2015-07-01
2015.41710333932,2017.0000000000337,95,64241029_3_cattle_2017-01-01
2018.7467714632191,2019.9150684932486,99,64241043_0_cattle_2019-12-01
2018.0087831269393,2019.9150684931906,232,64241043_1_cattle_2019-12-01
2019.8469987195824,2020.0846994535898,212,64241043_2_cattle_2020-02-01
2019.352887382528,2020.0846994536078,91,64241043_3_cattle_2020-02-01
2014.3843969095283,2015.3287671233347,114,64241_0_boar_2015-05-01
2016.7837259450114,2018.3287671233072,39,64241_1_boar_2018-05-01
2015.0647840301924,2015.832876712372,95,64241_2_boar_2015-11-01
2016.6581819992862,2018.1616438356257,90,64241_3_boar_2018-03-01
2018.4905834218853,2020.0846994535634,223,64241_4_boar_2020-02-01
2012.9195277849415,2013.4958904110022,157,64244012_0_cattle_2013-07-01
2016.0188201793114,2016.6666666666865,103,64244012_10_cattle_2016-09-01
2015.8612259791637,2016.5819672131568,103,64244012_11_cattle_2016-08-01
2015.0317016911422,2016.6666666667645,236,64244012_12_cattle_2016-09-01
2016.0084000209745,2018.084931506932,61,64244012_13_cattle_2018-02-01
2017.2796739967912,2017.9150684931792,104,64244012_14_cattle_2017-12-01
2017.2650665061112,2017.9150684932101,104,64244012_16_cattle_2017-12-01
2019.9423516211245,2020.0846994536416,207,64244012_17_cattle_2020-02-01
2013.7659695193624,2013.9150684931958,114,64244012_1_cattle_2013-12-01
2013.241565823584,2013.9150684931653,100,64244012_2_cattle_2013-12-01
2013.6360857823774,2013.9150684931635,113,64244012_3_cattle_2013-12-01
2013.0366791638373,2013.915068493153,100,64244012_4_cattle_2013-12-01
2013.3355208047674,2013.832876712403,109,64244012_5_cattle_2013-11-01
2013.0709179456944,2013.9150684931878,157,64244012_6_cattle_2013-12-01
2013.225145795542,2013.915068493208,157,64244012_7_cattle_2013-12-01
2013.8419147708569,2013.915068493233,113,64244012_8_cattle_2013-12-01
2016.0797901343456,2016.666666666748,103,64244012_9_cattle_2016-09-01
2018.5888815481853,2019.0000000000873,232,64301015_0_cattle_2019-01-01
2008.4163357994953,2009.4958904109712,239,64326020_2_cattle_2009-07-01
2009.2278031072553,2009.4958904110554,118,64326020_7_cattle_2009-07-01
2009.055500130069,2009.3287671233431,118,64326020_9_cattle_2009-05-01
2017.7056099580311,2018.9150684931542,42,64328057_6_cattle_2018-12-01
2017.788473562121,2019.2465753424901,121,64409009_0_cattle_2019-04-01
2018.3850829817147,2019.0849315069472,121,64409018_0_cattle_2019-02-01
