64072_2_boar_2020-02-01,64149026_0_cattle_2019-12-01,64149026_1_cattle_2019-12-01,64149026_2_cattle_2020-02-01,64165002_0_cattle_2019-03-01,64197008_0_cattle_2020-02-01,64359008_10_cattle_2018-05-01,64359008_13_cattle_2018-05-01,64359008_14_cattle_2019-12-01,64359008_1_cattle_2018-03-01,64359008_2_cattle_2018-05-01,64359008_3_cattle_2018-05-01,64359008_4_cattle_2018-05-01,64359008_7_cattle_2018-03-01,64359008_9_cattle_2018-05-01,64359009_0_cattle_2017-02-01,64359009_1_cattle_2017-02-01,64359009_2_cattle_2017-02-01,64359009_3_cattle_2017-02-01,64359024_0_cattle_2015-02-01,64359024_2_cattle_2015-02-01,64359042_0_cattle_2019-06-01,64359042_1_cattle_2019-02-01,64359042_2_cattle_2019-02-01,64359042_3_cattle_2019-02-01,64359045_11_cattle_2017-12-01,64359045_13_cattle_2018-12-01,64359045_4_cattle_2016-02-01,64359050_18_cattle_2020-02-01,64359050_19_cattle_2020-02-01,64359050_20_cattle_2019-11-01,64359050_21_cattle_2020-02-01,64359050_22_cattle_2020-02-01,64359050_23_cattle_2020-02-01,64359050_24_cattle_2020-02-01,64359056_13_cattle_2017-04-01,64359056_14_cattle_2018-12-01,64359056_15_cattle_2019-02-01,64359056_16_cattle_2018-12-01,64359056_17_cattle_2018-11-01,64359056_22_cattle_2018-12-01,64359056_23_cattle_2019-02-01,64359056_25_cattle_2019-02-01,64359056_27_cattle_2019-02-01,64359061_21_cattle_2020-02-01,64359061_3_cattle_2016-01-01,64359061_4_cattle_2016-01-01,64359061_8_cattle_2016-08-01,64359108_4_cattle_2017-03-01,64359108_5_cattle_2017-03-01,64359108_6_cattle_2017-03-01,64359108_7_cattle_2017-03-01,64359108_9_cattle_2019-12-01,64359110_15_cattle_2018-04-01,64359110_24_cattle_2018-04-01,64359110_25_cattle_2019-01-01,64359110_26_cattle_2019-10-01,64359110_30_cattle_2020-02-01,64359110_31_cattle_2020-02-01,64359110_3_cattle_2015-03-01,64359119_0_cattle_2015-03-01,64359119_1_cattle_2015-03-01,64359119_2_cattle_2015-03-01,64359119_3_cattle_2015-03-01,64359119_4_cattle_2019-01-01,64359119_5_cattle_2019-05-01,64359119_6_cattle_2019-01-01,64359119_7_cattle_2019-05-01,64359131_0_cattle_2015-12-01,64359138_0_cattle_2017-03-01,64359138_1_cattle_2017-03-01,64359138_4_cattle_2017-10-01,64359138_6_cattle_2017-03-01,64359138_7_cattle_2017-10-01,64359142_11_cattle_2017-03-01,64359142_14_cattle_2017-03-01,64359142_16_cattle_2017-03-01,64359142_32_cattle_2019-09-01,64359142_7_cattle_2016-01-01,64359148_14_cattle_2018-09-01,64359149_17_cattle_2020-02-01,64359149_18_cattle_2019-12-01,64359149_21_cattle_2020-02-01,64359158_7_cattle_2018-06-01,64359163_10_cattle_2018-12-01,64359163_9_cattle_2017-09-01,64359173_7_cattle_2017-11-01,64359174_2_cattle_2020-02-01,64359174_3_cattle_2020-02-01,64359174_4_cattle_2020-02-01,64359174_5_cattle_2020-02-01,64359174_6_cattle_2020-02-01,64359174_7_cattle_2020-02-01,64359187_5_cattle_2016-01-01,64359187_6_cattle_2016-01-01,64359187_7_cattle_2016-01-01,64359189_0_cattle_2014-03-01,64359189_10_cattle_2016-01-01,64359189_11_cattle_2016-01-01,64359189_12_cattle_2016-01-01,64359189_13_cattle_2016-01-01,64359189_14_cattle_2016-05-01,64359189_17_cattle_2018-11-01,64359189_3_cattle_2014-03-01,64359189_5_cattle_2016-05-01,64359189_6_cattle_2016-05-01,64359189_7_cattle_2016-01-01,64359189_8_cattle_2016-01-01,64359189_9_cattle_2016-01-01,64359196_11_cattle_2018-07-01,64359196_7_cattle_2017-02-01,64359200_11_cattle_2020-02-01,64359200_13_cattle_2020-02-01,64359200_14_cattle_2020-02-01,64359200_15_cattle_2020-02-01,64359204_10_cattle_2017-04-01,64359204_12_cattle_2017-07-01,64359204_13_cattle_2017-04-01,64359204_15_cattle_2017-10-01,64359204_16_cattle_2019-04-01,64359204_17_cattle_2019-04-01,64359204_18_cattle_2019-07-01,64359211_11_cattle_2018-04-01,64359211_12_cattle_2018-07-01,64359211_13_cattle_2018-04-01,64359211_3_cattle_2015-03-01,64359211_6_cattle_2015-03-01,64359211_8_cattle_2018-04-01,64359211_9_cattle_2018-02-01,64359225_8_cattle_2018-01-01,64359225_9_cattle_2020-02-01,64359_16_boar_2014-07-01,64359_18_boar_2017-02-01,64359_22_boar_2015-06-01,64359_34_boar_2017-08-01,64359_38_boar_2016-05-01,64359_42_boar_2019-10-01,64359_52_boar_2017-02-01,64359_53_boar_2020-02-01,64359_56_boar_2020-02-01,64359_58_boar_2018-09-01,64359_62_boar_2020-02-01,64359_65_boar_2020-02-01,64359_69_boar_2019-11-01,64393007_1_cattle_2020-02-01,64393038_0_cattle_2019-07-01,64393038_1_cattle_2018-05-01,64393038_2_cattle_2019-08-01,64393038_3_cattle_2019-08-01,64393038_4_cattle_2019-08-01,64393038_5_cattle_2019-08-01,64393038_6_cattle_2019-08-01,64393038_7_cattle_2019-08-01,64393135_0_cattle_2020-02-01,64393154_0_cattle_2020-02-01,64393228_0_cattle_2019-02-01,64393228_1_cattle_2019-04-01,64393228_2_cattle_2019-02-01,64393228_3_cattle_2019-04-01,64393228_4_cattle_2019-04-01,64393402_0_cattle_2019-12-01,64393402_1_cattle_2020-02-01,64393402_2_cattle_2020-02-01,64393402_3_cattle_2020-02-01,64393_10_boar_2017-12-01,64393_16_boar_2019-10-01,64393_17_boar_2020-02-01,64393_19_boar_2020-02-01,64393_23_boar_2019-06-01,64393_27_boar_2019-01-01,64393_30_boar_2020-02-01,64393_37_boar_2020-02-01,64393_40_boar_2020-02-01,64393_41_boar_2020-02-01,64393_5_boar_2016-11-01,64393_8_boar_2020-02-01,64420007_0_cattle_2015-01-01,64420007_1_cattle_2015-01-01,64420009_42_cattle_2016-01-01,64420009_43_cattle_2016-01-01,64420009_44_cattle_2016-05-01,64420009_45_cattle_2016-01-01,64420015_0_cattle_2007-04-01,64420015_1_cattle_2014-01-01,64420015_2_cattle_2014-01-01,64420044_0_cattle_2014-01-01,64420044_10_cattle_2014-03-01,64420044_1_cattle_2014-03-01,64420044_2_cattle_2014-03-01,64420044_3_cattle_2014-01-01,64420044_4_cattle_2014-01-01,64420044_5_cattle_2014-01-01,64420044_6_cattle_2014-01-01,64420044_7_cattle_2014-01-01,64420044_8_cattle_2014-03-01,64420044_9_cattle_2014-03-01,64551007_0_cattle_2019-02-01,64551007_1_cattle_2020-02-01,64551007_5_cattle_2020-02-01,64551007_6_cattle_2020-02-01,64556039_4_cattle_2018-03-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0.019196160767846394,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.3207358528294321,0.08218356328734294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2375524895021048,0,0.11877624475105134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.009598080383923213,0.05538892221555672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.018396320735852796,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0.009198160367926414,5.998800239952009e-4,0.20435912817436933,0,0.004399120175964808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0.0027994401119776045,0.013797240551889604,0,0,0,0,0,0,0,0,0.008398320335932815,3.999200159968006e-4,5.998800239952009e-4,0.005598880223955211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.006398720255948813,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,5.998800239952009e-4,3.999200159968006e-4,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0.002199560087982403,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0.10057988402319634,0,0.2513497300539947,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0.07078584283143377,0,0,0.0037992401519696068,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609
0,1.999600079984003e-4,0,0,0.08038392321535728,0,0,0,0,0,0.019996000799839993,0,0,0,0,0,0,0,0,0,0,0.028194361127774376,0.08898220355928876,0.056388722255548716,0.07078584283143377,0,0.042591481703659145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07378524295140987,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.029194161167766373,0.06278744251149751,0.11057788442311667,0,0,0,0,0,0,0,0,0.06698660267946405,0.01099780043991201,0.033393321335732765,0.04059188162367515,0,0,0,0,0,0,0,0,0,0,0,0.012597480503899207,0,0,0,0.02079584083183359,0.04519096180763834,0.04639072185562874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03979204159168155,0,0,0,0,0,0,0,0,0,0,0,0,0.03099380123975197,0.04639072185562874,0.03699260147970396,0.002999400119976005,0,0.03239352129574077,0,0,0,0,0,0,0,0.027794441111777576,0.028594281143771175,0,0,0,0,0,0,0,0,0,0,0.03139372125574877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005998800239952012,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539892021595681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.00539892021595681,0,0,0,0,0.018596280743851196,0.019796040791841593,0.002199560087982403,0.027394521095780777,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0.0153969206158768,0.004399120175964808,5.998800239952009e-4,0,0,0,0.008198360327934416,0.001399720055988802,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,9.998000399920016e-4,0,0,0,0,0,0,0,0,0.011597680463907209,0,0.0031993601279744054,0.024195160967806384,0.02559488102379518,0.012597480503899207,0,0,0.3295340931813608,0,0,0,0,0,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006598680263947213
