19_d500_10_0_badger_2017-05-01,2_d500_28_0_badger_2017-08-01,2_d500_41_0_badger_2019-07-01,2_d500_42_0_badger_2019-09-01,2_d500_43_0_badger_2014-07-01,2_d500_6_0_badger_2018-06-01,2_d500_9_0_badger_2015-05-01,40089001_0_cattle_2014-04-01,40089001_1_cattle_2014-05-01,40089001_2_cattle_2014-05-01,40089001_3_cattle_2014-05-01,40089001_4_cattle_2014-05-01,40089001_5_cattle_2014-05-01,40089001_6_cattle_2014-05-01,40089001_7_cattle_2014-05-01,40089001_8_cattle_2014-05-01,40089001_9_cattle_2014-05-01,40203001_0_cattle_2016-12-01,40203001_1_cattle_2016-12-01,40203015_0_cattle_2016-02-01,40203015_1_cattle_2016-02-01,40203015_2_cattle_2016-01-01,40203015_3_cattle_2016-02-01,40203015_4_cattle_2016-02-01,40203015_5_cattle_2016-02-01,40203015_6_cattle_2016-02-01,40203015_7_cattle_2016-02-01,40203015_8_cattle_2016-02-01,45_d500_155_880_0_badger_2020-02-01,45_d500_156_0_badger_2015-02-01,45_d500_156_1_badger_2011-04-01,45_d500_157_858_0_badger_2013-05-01,45_d500_157_858_1_badger_2013-08-01,45_d500_159_855_0_badger_2012-03-01,45_d500_160_0_badger_2018-06-01,45_d500_163_0_badger_2013-06-01,45_d500_163_1_badger_2020-02-01,45_d500_57_715_0_badger_2013-07-01,45_d500_61_0_badger_2017-08-01,45_d500_61_1_badger_2020-02-01,45_d500_78_668_0_badger_2014-02-01,45_d500_78_668_1_badger_2017-05-01,45_d500_99_866_0_badger_2011-09-01,45_d500_99_866_1_badger_2013-04-01,45_d500_99_866_2_badger_2013-09-01,45_d500_99_866_3_badger_2014-03-01,45_d500_99_866_4_badger_2019-06-01,45_d500_99_866_5_badger_2014-08-01,45_d500_99_869_0_badger_2020-02-01,45_d500_99_869_1_badger_2014-08-01,64359108_0_cattle_2020-02-01,64359108_1_cattle_2020-02-01,64359187_0_cattle_2014-01-01,64359187_1_cattle_2014-01-01,64359187_2_cattle_2014-01-01,64359189_0_cattle_2018-03-01,64420009_0_cattle_2014-03-01,64420009_10_cattle_2017-04-01,64420009_11_cattle_2017-02-01,64420009_12_cattle_2017-02-01,64420009_13_cattle_2017-04-01,64420009_14_cattle_2017-02-01,64420009_15_cattle_2017-04-01,64420009_16_cattle_2017-04-01,64420009_17_cattle_2017-04-01,64420009_1_cattle_2014-01-01,64420009_2_cattle_2014-01-01,64420009_3_cattle_2014-01-01,64420009_4_cattle_2014-01-01,64420009_5_cattle_2014-01-01,64420009_6_cattle_2014-03-01,64420009_7_cattle_2014-01-01,64420009_8_cattle_2014-03-01,64420009_9_cattle_2017-04-01,64420015_0_cattle_2007-04-01,64420015_1_cattle_2007-06-01,64420015_2_cattle_2007-04-01,64420035_0_cattle_2012-05-01,64420035_10_cattle_2012-07-01,64420035_11_cattle_2012-05-01,64420035_12_cattle_2012-07-01,64420035_13_cattle_2012-07-01,64420035_14_cattle_2012-07-01,64420035_15_cattle_2012-05-01,64420035_16_cattle_2012-05-01,64420035_17_cattle_2012-07-01,64420035_18_cattle_2012-07-01,64420035_19_cattle_2012-05-01,64420035_1_cattle_2012-07-01,64420035_20_cattle_2012-05-01,64420035_21_cattle_2012-07-01,64420035_22_cattle_2016-03-01,64420035_2_cattle_2012-05-01,64420035_3_cattle_2012-05-01,64420035_4_cattle_2012-05-01,64420035_5_cattle_2012-05-01,64420035_6_cattle_2012-05-01,64420035_7_cattle_2012-05-01,64420035_8_cattle_2012-05-01,64420035_9_cattle_2012-05-01
0,0.2693461307738488,0.027794441111777576,0.019796040791841593,0,0.03179364127174557,0,0,0,0,0,0,0,0,0,0,0,0.018196360727854397,0.019396120775844794,0,0.00539892021595681,0.002599480103979204,1.999600079984003e-4,9.998000399920016e-4,0,0,0.0011997600479904018,0,1.999600079984003e-4,0,0,0,0,0,0.027794441111777576,0,0,0,5.998800239952009e-4,0,0,0.44571085782841885,0,0,0,0,0.00539892021595681,0,0,0,0,0,0,0,0,0.033793241351729564,0,0.0067986402719456135,0.019596080783843194,0.002199560087982403,0.0017996400719856025,0.007798440311937616,0.008998200359928014,5.998800239952009e-4,0.009398120375924813,0,0,0,0,0,0,0,0,0.00539892021595681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0
0.04179164167166555,0,0.21755648870226416,0.08838232353529354,0,0.14457108578284578,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10457908418316447,0,0,0,3.999200159968006e-4,0,0,0.02619476104779038,0,0,0,0,0.10297940411917722,0,0.010197960407918412,0,0,0,0,0,0,1.999600079984003e-4,0,1.999600079984003e-4,0.001399720055988802,3.999200159968006e-4,0.0017996400719856025,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0023995200959808036,0.05598880223955192,0,0.00519896020795841,0,0.013397320535892805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013397320535892805,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0.11957608478304496,0,0.013997200559888004,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0017996400719856025,0.017996400719855997,9.998000399920016e-4,0,0,0.05098980203959193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046790641871625537,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0.014597080583883202,0.002999400119976005,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0015996800639872023,0.002199560087982403,0,0.22375524895021476,0,0,0.006998600279944014,0,0,0,0.0031993601279744054,0,0,0,9.998000399920016e-4,0.001399720055988802,3.999200159968006e-4,0,1.999600079984003e-4,1.999600079984003e-4,0.001399720055988802,0,0,0.01119776044791041,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0.015196960607878401,0,0.0019996000799840027,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,1.999600079984003e-4,0,0.0015996800639872023,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0
9.998000399920016e-4,0.03499300139971996,0.003999200159968007,0.08478304339132223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3557288542291484,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0.0019996000799840027,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010197960407918412,0.001399720055988802,3.999200159968006e-4,0,5.998800239952009e-4,0,0,7.998400319936012e-4,0,0.009398120375924813,0,0,0.0017996400719856025,0,0,0,0.001399720055988802,0.007598480303939215,0.006998600279944014,0.01079784043191361,0.013797240551889604,0.08758248350329992,0.3023395320935813,0.033593281343731164,0.27334533093381636,0.029594081183763173,0.04039192161567675,0.013597280543891204,0,0.07498500299940031,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0.03699260147970396,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,3.999200159968006e-4,7.998400319936012e-4,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06638672265546883,0,0,0,0,0,0,0,0
0,0,0,0,0.007198560287942414,0,0.0023995200959808036,0,3.999200159968006e-4,0.023195360927814386,0,0,0.03719256148770236,5.998800239952009e-4,0,0,0.011397720455908809,0,0,0,3.999200159968006e-4,0.0011997600479904018,0,0.0017996400719856025,0,0,1.999600079984003e-4,0,0,0.02539492101579678,0,1.999600079984003e-4,0,0,0,1.999600079984003e-4,0,3.999200159968006e-4,0,0,0.020195960807838392,0,0,1.999600079984003e-4,0,0,0,0.03219356128774237,0,0.014997000599880001,0,0,7.998400319936012e-4,0.014597080583883202,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0.0011997600479904018,0.009798040391921612,0.0171965606878624,0.022995400919815986,0.03479304139172156,0.40791841631672526,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,1.999600079984003e-4,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0015996800639872023,0,1.999600079984003e-4,0.012597480503899207,0.42011597680462637,5.998800239952009e-4,0.020395920815836792,0.011597680463907209,0.013397320535892805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0.0049990001999600095,0,0.005798840231953611,0,0,0.004399120175964808,0,0,0.0019996000799840027,0,0.03919216156768635,0,3.999200159968006e-4,0,0,0,0,0.009998000399920012,0.001399720055988802,0.004199160167966408,0,0.0037992401519696068,0,0,0,0,0,0,0,0,0.01059788042391521,0.038192361527694355,0.043391321735652744,0.007798440311937616,9.998000399920016e-4,0.0015996800639872023,1.999600079984003e-4,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.999600079984003e-4,0,0,0,0.7724455108977698,0,0.014397120575884803,0.006598680263947213,0,0,0,0,0.0163967206558688,0,0,0,0.007798440311937616,5.998800239952009e-4,0,0,3.999200159968006e-4,0.008198360327934416,0.0031993601279744054,0.0011997600479904018,0,0.0017996400719856025,0.004399120175964808,7.998400319936012e-4,0,0.03419316136772636,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0.0035992801439712063,0,0,0,0,7.998400319936012e-4,0,0.06378724255148954,0,0.009998000399920012,0,0,0,0.004799040191961609,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.003399320135972806,0.002599480103979204,0.005598880223955211,0.01099780043991201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0
