45_d500_105_726_0_badger_2015-07-01,45_d500_105_726_1_badger_2014-12-01,45_d500_105_726_2_badger_2020-02-01,45_d500_108_0_badger_2018-07-01,45_d500_109_734_0_badger_2019-05-01,45_d500_109_734_1_badger_2016-04-01,45_d500_109_734_2_badger_2018-09-01,45_d500_109_734_3_badger_2016-09-01,45_d500_109_844_0_badger_2017-08-01,45_d500_109_844_1_badger_2017-07-01,45_d500_109_844_2_badger_2020-02-01,45_d500_109_844_3_badger_2018-05-01,45_d500_109_849_0_badger_2020-02-01,45_d500_119_798_0_badger_2019-12-01,45_d500_119_826_0_badger_2019-05-01,45_d500_120_0_badger_2020-02-01,45_d500_123_762_0_badger_2014-05-01,45_d500_123_762_1_badger_2018-05-01,45_d500_124_0_badger_2014-05-01,45_d500_126_1578_0_badger_2020-02-01,45_d500_132_808_0_badger_2020-02-01,45_d500_132_811_0_badger_2016-06-01,45_d500_139_0_badger_2019-07-01,45_d500_140_0_badger_2019-05-01,45_d500_151_0_badger_2018-04-01,45_d500_151_1_badger_2015-07-01,45_d500_151_2_badger_2015-02-01,45_d500_151_3_badger_2014-10-01,45_d500_151_4_badger_2020-02-01,45_d500_152_1_badger_2020-02-01,45_d500_157_858_0_badger_2019-08-01,45_d500_157_858_4_badger_2017-03-01,45_d500_159_855_0_badger_2016-08-01,45_d500_160_1_badger_2015-11-01,45_d500_194_1553_0_badger_2020-02-01,45_d500_194_1553_1_badger_2020-02-01,45_d500_195_0_badger_2019-09-01,45_d500_195_1_badger_2020-02-01,45_d500_37_600_0_badger_2020-02-01,45_d500_84_0_badger_2020-02-01,45_d500_84_1_badger_2020-02-01,45_d500_87_0_badger_2020-02-01,45_d500_89_0_badger_2020-02-01,45_d500_90_0_badger_2018-07-01,45_d500_99_720_0_badger_2013-11-01,45_d500_99_839_1_badger_2013-11-01,64301080_0_cattle_2020-02-01,64301080_1_cattle_2020-02-01,64301080_2_cattle_2020-02-01,64359005_0_cattle_2019-01-01,64359005_1_cattle_2019-01-01,64359005_2_cattle_2019-08-01,64359108_0_cattle_2018-02-01,64359108_1_cattle_2018-02-01,64359108_2_cattle_2018-06-01,64359108_3_cattle_2018-02-01,64359108_4_cattle_2018-06-01,64359110_0_cattle_2018-12-01,64359110_1_cattle_2018-12-01,64359110_2_cattle_2019-02-01,64359110_3_cattle_2019-02-01,64359153_0_cattle_2019-09-01,64359173_0_cattle_2020-02-01,64359200_1_cattle_2020-02-01,64359209_0_cattle_2019-12-01,64359209_1_cattle_2019-12-01,64359211_0_cattle_2020-02-01,64420002_0_cattle_2014-04-01,64420002_1_cattle_2014-02-01,64420002_2_cattle_2014-02-01,64420002_3_cattle_2014-02-01,64420015_0_cattle_2008-04-01,64420015_1_cattle_2008-04-01,64420038_0_cattle_2013-02-01,64420038_1_cattle_2013-04-01,64420038_2_cattle_2013-04-01,64420038_3_cattle_2013-04-01,64556005_0_cattle_2018-03-01,64556005_1_cattle_2020-02-01,64556023_0_cattle_2020-02-01,64556034_0_cattle_2016-02-01,64556034_1_cattle_2016-04-01,64556034_2_cattle_2016-04-01,64556034_3_cattle_2016-04-01,64556034_4_cattle_2016-04-01,64556034_5_cattle_2016-02-01,64556034_6_cattle_2016-04-01,64556034_7_cattle_2016-04-01,64556034_8_cattle_2017-02-01,64556034_9_cattle_2017-02-01,64556051_0_cattle_2017-12-01,64556051_10_cattle_2020-02-01,64556051_1_cattle_2017-12-01,64556051_2_cattle_2017-12-01,64556051_3_cattle_2018-02-01,64556051_4_cattle_2017-12-01,64556051_5_cattle_2017-12-01,64556051_6_cattle_2017-12-01,64556051_7_cattle_2017-12-01,64556051_8_cattle_2018-02-01,64556051_9_cattle_2018-02-01,64556058_0_cattle_2016-12-01,64556500_0_cattle_2016-04-01,64556500_1_cattle_2016-06-01,64556500_2_cattle_2016-05-01,6_d500_21_0_badger_2020-02-01
0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0,0,0,0,0.0037992401519696068,0,0,0,0.028194361127774376,0.3199360127974386,0.017796440711857597,0,0,0,3.999200159968006e-4,0.010397920415916811,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0.011397720455908809,0.0011997600479904018,0.00519896020795841,0.004399120175964808,0.002199560087982403,0.0019996000799840027,0.012997400519896006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,3.999200159968006e-4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07078584283143377,5.998800239952009e-4,0.047990401919615934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163967206558688,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0.024595080983803183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0.009998000399920012,1.999600079984003e-4,0,0,0,0,0,0,0.027394521095780777,0.028394321135772775,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.002199560087982403,0.012197560487902407,0.004199160167966408,7.998400319936012e-4,0.006398720255948813,0.0027994401119776045,0,0,0.061187762447510306,0,0,9.998000399920016e-4,0,0,0.033593281343731164,0.062387522495500704,0,0.04359128174365114,0.05358928214357112,0.08898220355928876,0.03219356128774237,0.05958808238352311,0.07018596280743855,0.02059588082383519,0.051789642071585526,0.028394321135772775,0.0171965606878624,0,0,0.0045990801839632086,0.011397720455908809,0,0,0,0,0,0,0,0,0,0,0,0.06398720255948795,3.999200159968006e-4,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0.04159168166366715,0,0.11717656468706408,0.03479304139172156,0.03919216156768635,0.03679264147170556,0.03979204159168155,0.024595080983803183,0.047990401919615934,0.03539292141571676,0.042591481703659145,0,0,0,0,0
0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01099780043991201,0.0031993601279744054,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10257948410318041,0.002599480103979204,0.006998600279944014,0,0.006398720255948813,0.005998800239952012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3171365726854613,0,0.005798840231953611,0
0,0,0,0,0.019596080783843194,0,0,0,0,0,0,0,0,0,0,0,0,0.04859028194361113,0,0,0,0,0,0,0.08858228354329195,0,0,0,0,0.0049990001999600095,0.026994601079783978,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.056388722255548716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07538492301539712,0,0,0,0,0,0.22095580883823707,0.1973605278944251,0,0,0,0,0,0,0,0,0,0,0,0.22855428914217651,0,0,0,1.999600079984003e-4
0,0,0,0.043391321735652744,0,0,0.023795240951809585,0,0,0.04879024195160953,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0.0023995200959808036,0.0011997600479904018,0.03559288142371516,0,0,0,0,0,0,0.011797640471905608,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0,0,0,0,0.0017996400719856025,0.0023995200959808036,0,3.999200159968006e-4,0.009598080383923213,0.03479304139172156,1.999600079984003e-4,0.0153969206158768,0.0171965606878624,0,0.019996000799839993,0.0027994401119776045,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007398520295940815,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0.07978404319136206,0,0.004399120175964808,7.998400319936012e-4,0.014597080583883202,3.999200159968006e-4,7.998400319936012e-4,0.0031993601279744054,5.998800239952009e-4,0,0,0,0,0
0,0,0,3.999200159968006e-4,0,0,0.06298740251949592,0,0.27054589082183905,0,0,0,0,9.998000399920016e-4,0,0,0,0.009798040391921612,0,0,0,0.0037992401519696068,0,0,0.14917016596680913,0,0,0,0,0,0,0.13697260547890633,0.008198360327934416,0.002599480103979204,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0,0,3.999200159968006e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0.012997400519896006,0,0,0.037392521495700756,0,0,0,0,0.004399120175964808,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0.002599480103979204,0,0
