45_d500_100_0_badger_2017-05-01,45_d500_104_0_badger_2020-02-01,45_d500_124_0_badger_2020-02-01,45_d500_124_1_badger_2014-02-01,45_d500_124_2_badger_2012-08-01,45_d500_124_3_badger_2014-09-01,45_d500_152_0_badger_2013-07-01,45_d500_156_1_badger_2013-02-01,45_d500_156_2_badger_2014-09-01,45_d500_156_3_badger_2015-04-01,45_d500_156_4_badger_2016-03-01,45_d500_159_855_0_badger_2019-07-01,45_d500_160_2_badger_2014-01-01,45_d500_162_0_badger_2017-12-01,45_d500_162_1_badger_2018-07-01,45_d500_170_0_badger_2012-09-01,45_d500_170_1_badger_2013-09-01,45_d500_170_2_badger_2015-04-01,45_d500_171_0_badger_2020-02-01,45_d500_171_1_badger_2020-02-01,45_d500_171_2_badger_2020-02-01,45_d500_179_0_badger_2015-11-01,45_d500_179_1_badger_2018-07-01,45_d500_180_0_badger_2017-05-01,45_d500_180_1_badger_2018-03-01,45_d500_180_2_badger_2020-02-01,45_d500_181_0_badger_2013-12-01,45_d500_181_1_badger_2018-05-01,45_d500_181_2_badger_2016-06-01,45_d500_181_3_badger_2016-05-01,45_d500_37_586_0_badger_2020-02-01,45_d500_37_586_1_badger_2019-03-01,45_d500_37_586_2_badger_2019-06-01,45_d500_37_586_3_badger_2020-02-01,45_d500_37_600_0_badger_2019-08-01,45_d500_38_557_0_badger_2020-02-01,45_d500_40_0_badger_2020-02-01,45_d500_57_605_0_badger_2017-07-01,45_d500_57_715_0_badger_2020-02-01,45_d500_63_0_badger_2020-02-01,45_d500_75_665_0_badger_2020-02-01,45_d500_86_0_badger_2020-02-01,45_d500_86_1_badger_2020-02-01,45_d500_86_2_badger_2020-02-01,45_d500_90_0_badger_2019-09-01,45_d500_90_1_badger_2020-02-01,45_d500_95_695_0_badger_2020-02-01,45_d500_99_716_0_badger_2020-02-01,45_d500_99_716_1_badger_2019-08-01,45_d500_99_766_0_badger_2013-04-01,45_d500_99_766_1_badger_2019-07-01,45_d500_99_766_2_badger_2013-07-01,45_d500_99_766_3_badger_2020-02-01,45_d500_99_839_0_badger_2014-06-01,45_d500_99_839_1_badger_2016-05-01,45_d500_99_866_0_badger_2018-07-01,64281003_0_cattle_2014-03-01,64281003_10_cattle_2016-02-01,64281003_11_cattle_2016-02-01,64281003_12_cattle_2016-04-01,64281003_13_cattle_2016-04-01,64281003_1_cattle_2014-01-01,64281003_2_cattle_2016-02-01,64281003_3_cattle_2016-02-01,64281003_4_cattle_2016-02-01,64281003_5_cattle_2016-02-01,64281003_6_cattle_2016-02-01,64281003_7_cattle_2016-04-01,64281003_8_cattle_2016-02-01,64281003_9_cattle_2016-04-01,64281008_0_cattle_2016-03-01,64281008_1_cattle_2016-03-01,64281008_2_cattle_2017-07-01,64359005_1_cattle_2018-05-01,64359005_2_cattle_2018-05-01,64359005_3_cattle_2020-02-01,64359005_4_cattle_2020-02-01,64359005_5_cattle_2020-02-01,64359008_0_cattle_2020-02-01,64359008_1_cattle_2020-02-01,64359045_0_cattle_2018-06-01,64359045_1_cattle_2018-06-01,64359045_2_cattle_2018-05-01,64359045_3_cattle_2018-06-01,64359045_4_cattle_2020-02-01,64359045_5_cattle_2020-02-01,64359050_0_cattle_2019-12-01,64359050_1_cattle_2020-02-01,64359056_0_cattle_2019-02-01,64359056_1_cattle_2019-02-01,64359061_0_cattle_2019-02-01,64359061_10_cattle_2020-02-01,64359061_11_cattle_2019-12-01,64359061_12_cattle_2020-02-01,64359061_13_cattle_2020-02-01,64359061_1_cattle_2019-06-01,64359061_2_cattle_2019-09-01,64359061_3_cattle_2019-02-01,64359061_4_cattle_2019-02-01,64359061_5_cattle_2019-06-01,64359061_6_cattle_2019-04-01,64359061_7_cattle_2020-02-01,64359061_8_cattle_2019-06-01,64359061_9_cattle_2019-12-01,64359103_0_cattle_2020-02-01,64359103_1_cattle_2020-02-01,64359103_2_cattle_2020-02-01,64359103_3_cattle_2020-02-01,64359103_4_cattle_2020-02-01,64359108_0_cattle_2019-03-01,64359108_1_cattle_2019-04-01,64359108_2_cattle_2019-04-01,64359142_0_cattle_2020-02-01,64359142_1_cattle_2020-02-01,64359142_2_cattle_2020-02-01,64359142_3_cattle_2020-02-01,64359144_0_cattle_2020-02-01,64359148_0_cattle_2020-02-01,64359148_1_cattle_2020-02-01,64359149_0_cattle_2019-09-01,64359149_1_cattle_2019-05-01,64359149_2_cattle_2019-03-01,64359149_3_cattle_2019-05-01,64359149_4_cattle_2019-12-01,64359173_0_cattle_2020-02-01,64359187_0_cattle_2020-02-01,64359189_0_cattle_2020-02-01,64359196_0_cattle_2020-02-01,64359200_0_cattle_2020-02-01,64359211_0_cattle_2019-03-01,64359211_10_cattle_2020-02-01,64359211_11_cattle_2019-07-01,64359211_12_cattle_2019-07-01,64359211_13_cattle_2019-07-01,64359211_14_cattle_2019-07-01,64359211_15_cattle_2019-07-01,64359211_16_cattle_2019-07-01,64359211_17_cattle_2020-02-01,64359211_18_cattle_2020-02-01,64359211_19_cattle_2019-07-01,64359211_1_cattle_2019-07-01,64359211_20_cattle_2020-02-01,64359211_21_cattle_2019-10-01,64359211_22_cattle_2019-10-01,64359211_23_cattle_2020-02-01,64359211_24_cattle_2020-02-01,64359211_2_cattle_2019-03-01,64359211_3_cattle_2019-07-01,64359211_4_cattle_2019-07-01,64359211_5_cattle_2019-07-01,64359211_6_cattle_2019-03-01,64359211_7_cattle_2019-03-01,64359211_8_cattle_2019-07-01,64359211_9_cattle_2019-10-01,64420009_0_cattle_2017-02-01,64420009_1_cattle_2017-02-01,64420009_2_cattle_2017-02-01,64420009_3_cattle_2017-02-01,64420012_0_cattle_2011-11-01,64420012_1_cattle_2011-05-01,64420012_2_cattle_2011-12-01,64420012_3_cattle_2011-12-01,64420015_0_cattle_2007-11-01,64420015_1_cattle_2007-11-01,64420015_2_cattle_2007-11-01,64420015_3_cattle_2007-10-01,64420015_4_cattle_2007-11-01,64420015_5_cattle_2007-11-01,64420015_6_cattle_2007-11-01,64420015_7_cattle_2007-11-01,64420039_0_cattle_2013-02-01,64420039_1_cattle_2012-12-01,64420039_2_cattle_2013-02-01,64420039_3_cattle_2012-12-01,64420039_4_cattle_2012-12-01,64420039_5_cattle_2012-12-01,64420039_6_cattle_2012-12-01,64420039_7_cattle_2012-12-01,64420039_8_cattle_2012-12-01,64420042_1_cattle_2014-12-01,64556051_0_cattle_2020-02-01,64556051_1_cattle_2020-02-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653869226154768,0.011797640471905608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0,0.002199560087982403,0,0,0.09518096380723937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02139572085582879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024595080983803183,0.03919216156768635,0,0.002999400119976005,0,0,0,0.05058988202359513,0.032593481303739166,0.0167966406718656,0.022395520895820788,0,0,5.998800239952009e-4,0,0.0049990001999600095,0,0.009598080383923213,0,0,0,0,9.998000399920016e-4,0,0.00539892021595681,0,0.003399320135972806,0,0,0,0,0,0,0,0,0,0.007398520295940815,0,1.999600079984003e-4,0,0,0,0,0,5.998800239952009e-4,0,0.007398520295940815,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0.002999400119976005,0.010397920415916811,0,0.002199560087982403,0,0.0027994401119776045,0,0,0.11897620475904974,0.03399320135972796,0.04539092181563674,0.03899220155968795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.019596080783843194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.008798240351929614,0,0,0,0,0,0,0,0.4019196160767739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.11317736452709595,0,0,0,0,0,0,0,0,0.16216756648670555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06098780243951191,0.07498500299940031,0.05338932213557272,0.05998800239951991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.02159568086382719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261547690461912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0.02179564087182559,0.019396120775844794,0,0,0,0,0,0,0,0,0,0.05558888222355512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006198760247950412,0,0,0,0,0.043191361727654344,0,0,0,0,0.03999200159967995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0.002199560087982403,0.0015996800639872023,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.052589482103579124,0.028794241151769574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0.4883023395320735,0,0
0,0,0,0,0,0.16236752649470396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09038192361527761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.4737052589481919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09438112377524574,0,0
