tinfection,tremoved,infector_id,infected_id
2019.4784769081157,2020.0846994535702,438,40174011_0_cattle_2020-02-01
2016.7374327498153,2017.4958904110285,4,64281001_0_cattle_2017-07-01
2017.0798131664144,2017.161643835673,7,64281003_0_cattle_2017-03-01
2016.3628224337908,2017.1616438356325,110,64281003_1_cattle_2017-03-01
2016.7406789350828,2017.3287671233825,4,64281003_2_cattle_2017-05-01
2016.4224320168842,2017.16164383571,110,64281003_3_cattle_2017-03-01
2016.496308390919,2017.1616438356286,110,64281003_4_cattle_2017-03-01
2016.9824296442825,2017.1616438356991,2,64281003_5_cattle_2017-03-01
2017.2209833748625,2018.0849315068963,6,64281008_0_cattle_2018-02-01
2017.31301610118,2017.9150684932056,11,64281008_1_cattle_2017-12-01
2016.9167803064006,2017.9150684932058,6,64281008_2_cattle_2017-12-01
2017.7031022142912,2018.0849315068733,9,64281008_3_cattle_2018-02-01
2017.5673004557962,2017.9150684932265,11,64281008_4_cattle_2017-12-01
2019.6280907942162,2020.08469945357,439,64281_0_boar_2020-02-01
2017.714344808105,2018.5808219178487,6,64281_1_boar_2018-08-01
2018.5477700464994,2020.084699453637,15,64281_2_boar_2020-02-01
2016.6612923469283,2019.5808219179057,288,64281_3_boar_2019-08-01
2017.186785038272,2018.3287671233104,22,64301067_14_cattle_2018-05-01
2016.2819237905974,2018.3287671233325,371,64301067_15_cattle_2018-05-01
2016.8463228019816,2018.3287671232954,19,64301067_16_cattle_2018-05-01
2016.2225413264332,2018.1616438356825,371,64301067_17_cattle_2018-03-01
2016.5228653380586,2018.161643835655,324,64301067_18_cattle_2018-03-01
2017.069638999717,2018.1616438357,264,64301067_19_cattle_2018-03-01
2017.1232988579632,2018.9150684931656,27,64301072_18_cattle_2018-12-01
2017.780483978925,2019.000000000035,27,64301080_5_cattle_2019-01-01
2017.544356766097,2019.000000000049,400,64301080_6_cattle_2019-01-01
2016.1795022368412,2019.0000000000152,371,64301080_7_cattle_2019-01-01
2014.5738416794543,2016.0000000000348,342,64301094_0_cattle_2016-01-01
2015.0143671766066,2016.0000000000953,338,64301094_1_cattle_2016-01-01
2018.106495274681,2018.1616438356295,445,64310006_0_cattle_2018-03-01
2019.2326711271453,2020.084699453553,445,64310006_10_cattle_2020-02-01
2018.8137421363647,2020.0846994535682,73,64310006_11_cattle_2020-02-01
2019.5606788077748,2020.0846994536328,43,64310006_12_cattle_2020-02-01
2019.4246125873904,2020.0846994536387,75,64310006_13_cattle_2020-02-01
2019.8677314467798,2020.0846994536032,34,64310006_14_cattle_2020-02-01
2019.801981130177,2020.0846994536146,33,64310006_15_cattle_2020-02-01
2018.3693690650368,2019.6657534247418,445,64310006_16_cattle_2019-09-01
