40002_1_boar_2014-10-01,40002_2_boar_2018-10-01,40017_2_boar_2019-04-01,40089001_0_cattle_2014-04-01,40089001_1_cattle_2014-05-01,40089001_2_cattle_2014-05-01,40089001_3_cattle_2014-05-01,40089001_4_cattle_2014-05-01,40089001_5_cattle_2014-05-01,40089001_6_cattle_2014-05-01,40089001_7_cattle_2014-05-01,40089001_8_cattle_2014-05-01,40089001_9_cattle_2014-05-01,40089_0_boar_2017-01-01,40089_1_boar_2013-04-01,40089_2_boar_2015-03-01,40089_3_boar_2020-02-01,40203001_0_cattle_2016-12-01,40203001_1_cattle_2016-12-01,40203015_0_cattle_2016-02-01,40203015_1_cattle_2016-02-01,40203015_2_cattle_2016-01-01,40203015_3_cattle_2016-02-01,40203015_4_cattle_2016-02-01,40203015_5_cattle_2016-02-01,40203015_6_cattle_2016-02-01,40203015_7_cattle_2016-02-01,40203015_8_cattle_2016-02-01,40203_10_boar_2020-02-01,40203_11_boar_2019-09-01,40203_1_boar_2015-07-01,40203_2_boar_2014-12-01,40203_3_boar_2015-11-01,40203_4_boar_2015-06-01,40203_5_boar_2017-01-01,40203_6_boar_2017-03-01,40203_7_boar_2017-10-01,40203_8_boar_2017-05-01,40203_9_boar_2019-05-01,64359108_0_cattle_2020-02-01,64359108_1_cattle_2020-02-01,64359187_0_cattle_2014-01-01,64359187_1_cattle_2014-01-01,64359187_2_cattle_2014-01-01,64359189_0_cattle_2018-03-01,64420009_0_cattle_2014-03-01,64420009_10_cattle_2017-04-01,64420009_11_cattle_2017-02-01,64420009_12_cattle_2017-02-01,64420009_13_cattle_2017-04-01,64420009_14_cattle_2017-02-01,64420009_15_cattle_2017-04-01,64420009_16_cattle_2017-04-01,64420009_17_cattle_2017-04-01,64420009_1_cattle_2014-01-01,64420009_2_cattle_2014-01-01,64420009_3_cattle_2014-01-01,64420009_4_cattle_2014-01-01,64420009_5_cattle_2014-01-01,64420009_6_cattle_2014-03-01,64420009_7_cattle_2014-01-01,64420009_8_cattle_2014-03-01,64420009_9_cattle_2017-04-01,64420015_0_cattle_2007-04-01,64420015_1_cattle_2007-06-01,64420015_2_cattle_2007-04-01,64420035_0_cattle_2012-05-01,64420035_10_cattle_2012-07-01,64420035_11_cattle_2012-05-01,64420035_12_cattle_2012-07-01,64420035_13_cattle_2012-07-01,64420035_14_cattle_2012-07-01,64420035_15_cattle_2012-05-01,64420035_16_cattle_2012-05-01,64420035_17_cattle_2012-07-01,64420035_18_cattle_2012-07-01,64420035_19_cattle_2012-05-01,64420035_1_cattle_2012-07-01,64420035_20_cattle_2012-05-01,64420035_21_cattle_2012-07-01,64420035_22_cattle_2016-03-01,64420035_2_cattle_2012-05-01,64420035_3_cattle_2012-05-01,64420035_4_cattle_2012-05-01,64420035_5_cattle_2012-05-01,64420035_6_cattle_2012-05-01,64420035_7_cattle_2012-05-01,64420035_8_cattle_2012-05-01,64420035_9_cattle_2012-05-01
0,0,0,0.012797440511897606,0.009798040391921612,0.007998400319936016,0.14597080583883462,0.0017996400719856025,0.0163967206558688,0.024195160967806384,0.004399120175964808,0.00519896020795841,0.009398120375924813,0,0.002199560087982403,0.20795840831834064,0,0,0,0.001399720055988802,0.0035992801439712063,0.017796440711857597,0.017596480703859198,0.0031993601279744054,0.017596480703859198,0.005798840231953611,0.007198560287942414,9.998000399920016e-4,0,0,0.06518696260747839,0.126974605078986,0.004199160167966408,0.07938412317536525,0,0,0,0,0,0,0,0.00539892021595681,9.998000399920016e-4,1.999600079984003e-4,1.999600079984003e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.001399720055988802,0.007398520295940815,0.0031993601279744054,0.0031993601279744054,5.998800239952009e-4,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0.001399720055988802,0.0155968806238752,0,0,0,0,9.998000399920016e-4,0.0011997600479904018,0,0,0,0.002199560087982403,0.0011997600479904018,0,0,0,0.10757848430314057,0,9.998000399920016e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0.09158168366326805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04859028194361113,0,0,0,0.057188562287542315,0.13137372525495095,0.06678664267146564,0.018996200759847995,0.052589482103579124,0.052989402119575923,0.07518496300739871,0.0685862827434513,0.04399120175964794,0,0.08958208358328398,0.038392321535692754,0,0,0,0,0,0.0019996000799840027,0.0017996400719856025,0,3.999200159968006e-4,1.999600079984003e-4,0,0,0,0,0.0049990001999600095,0.024195160967806384,5.998800239952009e-4,0.008998200359928014,0,0,0,0,0,0,0,0.0901819636072792,0.03999200159967995,0.017796440711857597,0,0.010197960407918412,0,0,0,0,0,0,0,0,0.017996400719855997,0.04159168166366715,0.09658068386322821,0.09838032393521387,0.04839032193561273,0.014597080583883202,0.08578284343131426,0.019996000799839993,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0.017996400719855997,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0
0.016996600679864,0,0,0.03679264147170556,0,0.013197360527894405,0.03099380123975197,0.0019996000799840027,0.09398120375924893,0.41091781643670094,0.018196360727854397,0.011397720455908809,0.09098180363927283,0,0.0035992801439712063,0.017596480703859198,0,0,0,0,0,5.998800239952009e-4,0.0011997600479904018,0.0011997600479904018,7.998400319936012e-4,0,0,0,0,0,0.006598680263947213,0.011597680463907209,1.999600079984003e-4,0.010397920415916811,0,0,0,0,0,0,0,0.008198360327934416,9.998000399920016e-4,7.998400319936012e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.0045990801839632086,0.014197160567886403,0.007998400319936016,0.002999400119976005,3.999200159968006e-4,0.01079784043191361,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0
0.0161967606478704,0,0,0.08438312337532541,0.022995400919815986,0,0.03439312137572476,0.010397920415916811,0.019996000799839993,0.018796240751849595,0.20615876824635498,0.23575284943011915,0.019596080783843194,0,0.017596480703859198,0.017996400719855997,0,0,0,0,0,0,1.999600079984003e-4,0,1.999600079984003e-4,0,0,0,0,0,0.0011997600479904018,0.01079784043191361,0,0.004199160167966408,0,0,0,0,0,0,0,0.023795240951809585,0.013197360527894405,0.0011997600479904018,0,0.0035992801439712063,0,0,0,0,0,0,0,0,0.002999400119976005,0.005798840231953611,0.027994401119775976,0.019596080783843194,0.009598080383923213,0.0011997600479904018,0.0167966406718656,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17076584683063703,0,0,0.048190361927614334,0.04039192161567675,0.03019396120775837,0,5.998800239952009e-4,0.04379124175164954,0.04579084183163354,0.019196160767846394,0.019396120775844794,0.043191361727654344,0,0.006598680263947213,0.17536492701460038,0,0,0,5.998800239952009e-4,0.0015996800639872023,0.014397120575884803,0.00539892021595681,7.998400319936012e-4,0.005598880223955211,0.006598680263947213,0.009398120375924813,0.0011997600479904018,0,0,0.03659268146370716,0.08738252349530151,0.005798840231953611,0.04959008198360313,0,0,0,0,0,0,0,0.020195960807838392,0.007398520295940815,7.998400319936012e-4,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0.002999400119976005,0.008398320335932815,0.017396520695860798,0.009798040391921612,0.0049990001999600095,0.0045990801839632086,0.012797440511897606,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0
0.0011997600479904018,0,0,0.01079784043191361,0.002999400119976005,0.0045990801839632086,0.0019996000799840027,0,0.0035992801439712063,0.0015996800639872023,0.0015996800639872023,0.003399320135972806,0,0,0.01119776044791041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0.005598880223955211,0.0035992801439712063,0.04159168166366715,0,0.20235952809438526,0,0,0,0,0,0,0,0,0.04559088182363514,0.1973605278944251,0.00539892021595681,0.02099580083983199,0.003399320135972806,0.1883623275344968,0.005998800239952012,0.05558888222355512,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016996600679864,0,0,0.03219356128774237,0.09898020395920909,0.027994401119775976,0.033793241351729564,0.001399720055988802,0,0.10417916416716766,0.012997400519896006,0.007198560287942414,0.44671065786841074,0,0.001399720055988802,0.009398120375924813,0,0,0,0,0,1.999600079984003e-4,0,0,5.998800239952009e-4,0,0.001399720055988802,0,0,0,7.998400319936012e-4,0.011997600479904008,7.998400319936012e-4,0.0019996000799840027,0,0,0,0,0,0,0,0.0161967606478704,0.004799040191961609,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.003399320135972806,0.011397720455908809,0.005998800239952012,0.0031993601279744054,0.001399720055988802,0.011997600479904008,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010397920415916811,0,0,0.02139572085582879,0.4131173765246831,0.012397520495900807,0.02059588082383519,0.001399720055988802,0.08738252349530151,0,0.009398120375924813,0.005798840231953611,0.12277544491101947,0,7.998400319936012e-4,0.011797640471905608,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.001399720055988802,1.999600079984003e-4,0,0,0,9.998000399920016e-4,0.007798440311937616,0,0.0027994401119776045,0,0,0,0,0,0,0,0.008798240351929614,5.998800239952009e-4,5.998800239952009e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,3.999200159968006e-4,3.999200159968006e-4,0.0045990801839632086,0.0027994401119776045,0.0027994401119776045,5.998800239952009e-4,0.005998800239952012,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0
