45_d500_102_0_badger_2019-09-01,45_d500_106_752_0_badger_2020-02-01,45_d500_110_0_badger_2020-02-01,45_d500_110_1_badger_2020-02-01,45_d500_123_762_0_badger_2013-12-01,45_d500_123_762_1_badger_2014-07-01,45_d500_123_762_2_badger_2014-08-01,45_d500_123_762_3_badger_2014-09-01,45_d500_124_0_badger_2020-02-01,45_d500_127_0_badger_2020-02-01,45_d500_129_807_0_badger_2015-02-01,45_d500_132_814_0_badger_2016-01-01,45_d500_132_814_1_badger_2017-08-01,45_d500_132_814_2_badger_2016-09-01,45_d500_132_814_3_badger_2017-08-01,45_d500_132_814_4_badger_2018-01-01,45_d500_132_814_5_badger_2018-09-01,45_d500_132_814_6_badger_2020-02-01,45_d500_132_814_7_badger_2020-02-01,45_d500_140_0_badger_2016-10-01,45_d500_140_1_badger_2015-08-01,45_d500_140_2_badger_2015-08-01,45_d500_140_3_badger_2019-07-01,45_d500_140_4_badger_2017-08-01,45_d500_151_0_badger_2014-06-01,45_d500_154_0_badger_2015-08-01,45_d500_156_0_badger_2014-11-01,45_d500_157_858_1_badger_2020-02-01,45_d500_160_1_badger_2019-07-01,45_d500_191_0_badger_2016-08-01,45_d500_196_0_badger_2020-02-01,45_d500_99_839_2_badger_2016-04-01,45_d500_99_839_4_badger_2017-07-01,45_d500_99_866_0_badger_2015-08-01,64301067_0_cattle_2018-01-01,64301067_1_cattle_2018-01-01,64301067_2_cattle_2019-03-01,64301083_0_cattle_2020-02-01,64301083_1_cattle_2020-02-01,64367042_0_cattle_2019-04-01,64367042_1_cattle_2018-12-01,64367042_2_cattle_2018-12-01,64367042_3_cattle_2019-04-01,64367_12_boar_2018-04-01,64367_13_boar_2018-06-01,64367_14_boar_2019-01-01,64367_17_boar_2020-02-01,64420012_0_cattle_2015-06-01,64420015_0_cattle_2009-10-01,64420015_10_cattle_2009-10-01,64420015_11_cattle_2009-09-01,64420015_12_cattle_2009-10-01,64420015_13_cattle_2009-10-01,64420015_14_cattle_2009-10-01,64420015_15_cattle_2009-10-01,64420015_16_cattle_2009-10-01,64420015_17_cattle_2009-10-01,64420015_1_cattle_2009-10-01,64420015_2_cattle_2009-10-01,64420015_3_cattle_2009-10-01,64420015_4_cattle_2009-10-01,64420015_5_cattle_2009-10-01,64420015_6_cattle_2009-10-01,64420015_7_cattle_2009-10-01,64420015_8_cattle_2009-10-01,64420015_9_cattle_2009-09-01,64420038_3_cattle_2013-12-01,64420038_4_cattle_2014-02-01,64420039_0_cattle_2013-10-01,64420039_1_cattle_2013-09-01,64420039_2_cattle_2013-10-01,64420039_3_cattle_2014-12-01,64420047_0_cattle_2014-05-01,64420047_1_cattle_2014-03-01,64420047_2_cattle_2014-05-01,64420047_3_cattle_2014-05-01,64497054_0_cattle_2015-10-01,64497054_1_cattle_2015-11-01,64497054_2_cattle_2015-12-01,64497054_3_cattle_2015-12-01,64497054_4_cattle_2015-12-01,64497054_5_cattle_2015-12-01,64512024_0_cattle_2014-02-01,64512024_1_cattle_2014-04-01,64512024_2_cattle_2014-04-01,64512024_3_cattle_2015-07-01,64512053_0_cattle_2016-02-01,64512053_1_cattle_2016-06-01,64556001_0_cattle_2018-02-01,64556001_10_cattle_2018-06-01,64556001_11_cattle_2018-06-01,64556001_12_cattle_2018-02-01,64556001_13_cattle_2018-09-01,64556001_14_cattle_2018-06-01,64556001_15_cattle_2018-02-01,64556001_16_cattle_2018-06-01,64556001_17_cattle_2018-02-01,64556001_18_cattle_2018-02-01,64556001_19_cattle_2018-06-01,64556001_1_cattle_2018-02-01,64556001_20_cattle_2018-06-01,64556001_21_cattle_2018-02-01,64556001_22_cattle_2018-06-01,64556001_23_cattle_2018-02-01,64556001_24_cattle_2018-06-01,64556001_25_cattle_2018-06-01,64556001_26_cattle_2019-03-01,64556001_27_cattle_2019-06-01,64556001_28_cattle_2019-09-01,64556001_29_cattle_2020-02-01,64556001_2_cattle_2018-02-01,64556001_3_cattle_2018-02-01,64556001_4_cattle_2018-02-01,64556001_5_cattle_2018-06-01,64556001_6_cattle_2018-02-01,64556001_7_cattle_2018-06-01,64556001_8_cattle_2018-02-01,64556001_9_cattle_2018-06-01,64556002_0_cattle_2018-03-01,64556002_10_cattle_2020-02-01,64556002_11_cattle_2020-02-01,64556002_12_cattle_2020-02-01,64556002_1_cattle_2018-01-01,64556002_2_cattle_2018-01-01,64556002_3_cattle_2018-03-01,64556002_4_cattle_2018-03-01,64556002_5_cattle_2018-01-01,64556002_6_cattle_2018-01-01,64556002_7_cattle_2018-03-01,64556002_8_cattle_2018-03-01,64556002_9_cattle_2018-03-01,64556005_0_cattle_2016-12-01,64556005_10_cattle_2020-02-01,64556005_1_cattle_2018-02-01,64556005_2_cattle_2018-02-01,64556005_3_cattle_2019-12-01,64556005_4_cattle_2020-02-01,64556005_5_cattle_2020-02-01,64556005_6_cattle_2019-12-01,64556005_7_cattle_2019-12-01,64556005_8_cattle_2019-12-01,64556005_9_cattle_2019-12-01,64556019_0_cattle_2016-02-01,64556019_1_cattle_2016-02-01,64556019_2_cattle_2016-04-01,64556019_3_cattle_2016-02-01,64556019_4_cattle_2016-02-01,64556023_0_cattle_2014-04-01,64556029_0_cattle_2016-12-01,64556032_0_cattle_2019-12-01,64556033_0_cattle_2016-03-01,64556033_1_cattle_2016-03-01,64556033_2_cattle_2016-03-01,64556033_3_cattle_2020-02-01,64556033_4_cattle_2020-02-01,64556034_0_cattle_2015-03-01,64556039_0_cattle_2019-04-01,64556039_1_cattle_2019-06-01,64556039_2_cattle_2019-02-01,64556044_0_cattle_2016-05-01,64556044_1_cattle_2016-03-01,64556044_2_cattle_2016-03-01,64556044_3_cattle_2016-03-01,64556048_0_cattle_2017-01-01,64556048_1_cattle_2017-01-01,64556048_2_cattle_2017-03-01,64556048_3_cattle_2017-03-01,64556048_4_cattle_2017-03-01,64556051_0_cattle_2015-04-01,64556051_1_cattle_2015-04-01,64556051_2_cattle_2015-04-01,64556051_3_cattle_2015-02-01,64556051_4_cattle_2015-04-01,64556051_5_cattle_2015-04-01,64556051_6_cattle_2015-06-01,64556051_7_cattle_2020-02-01,64556058_0_cattle_2018-02-01,64556058_1_cattle_2018-02-01,64556500_0_cattle_2018-06-01,64556_0_boar_2014-06-01,64556_10_boar_2017-04-01,64556_11_boar_2017-11-01,64556_12_boar_2020-02-01,64556_13_boar_2019-12-01,64556_14_boar_2020-02-01,64556_15_boar_2020-02-01,64556_16_boar_2020-02-01,64556_1_boar_2019-05-01,64556_2_boar_2015-07-01,64556_3_boar_2020-02-01,64556_4_boar_2015-10-01,64556_5_boar_2016-12-01,64556_6_boar_2016-07-01,64556_7_boar_2016-03-01,64556_8_boar_2017-11-01,64556_9_boar_2017-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.02579484103179358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.013997200559888004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.008198360327934416,0,0.006398720255948813,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005798840231953611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42131573685261664,0.012197560487902407,0.009998000399920012,5.998800239952009e-4,0.0067986402719456135,0,0.007198560287942414,0.018796240751849595,0,0,0,0,0,0,0,0,0.004799040191961609,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0
0,0,0,0,0.025194961007798382,0,0.0015996800639872023,0.07058588282343536,0,0,0.061587682463507105,0,0,0,0,0,0,0,0,0,0.007398520295940815,0,0,0,0.005998800239952012,0.0015996800639872023,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01099780043991201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008398320335932815,0.08658268346330789,0.004799040191961609,0.0027994401119776045,0.008398320335932815,0,0.001399720055988802,0.04439112177564474,7.998400319936012e-4,9.998000399920016e-4,0,0,0,0,0,0,0,0,0.005598880223955211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,9.998000399920016e-4,0,0,0,0,0,0,0,0.03599280143971196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009398120375924813,0.029194161167766373,0.0045990801839632086,0,0.022595480903819187,0.0015996800639872023,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013597280543891204,0.06778644271145767,0.006398720255948813,0,0.005598880223955211,0,0.009798040391921612,0.09698060387922502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10977804439112304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.018196360727854397,0.06678664267146564,0,0,0,0,0.0653869226154768,0,0,0,0,0,0,0,0,0,0.0165966806638672,0,0,0,0.011997600479904008,0.002199560087982403,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022395520895820788,0.05118976204759033,0.0015996800639872023,0.001399720055988802,0.012997400519896006,0,0.00539892021595681,0.038392321535692754,0,0,0,0,0,0,0,0,0,0,0.006598680263947213,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006598680263947213,0,5.998800239952009e-4,5.998800239952009e-4,0,0,0,0,0,0,0,0,0.02559488102379518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012197560487902407,0.032593481303739166,0.008198360327934416,0,0.03399320135972796,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161967606478704,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0
