64152_0_boar_2020-02-01,64301080_0_cattle_2020-02-01,64301080_1_cattle_2020-02-01,64301080_2_cattle_2020-02-01,64349_0_boar_2020-02-01,64359005_0_cattle_2019-01-01,64359005_1_cattle_2019-01-01,64359005_2_cattle_2019-08-01,64359108_0_cattle_2018-02-01,64359108_1_cattle_2018-02-01,64359108_2_cattle_2018-06-01,64359108_3_cattle_2018-02-01,64359108_4_cattle_2018-06-01,64359110_0_cattle_2018-12-01,64359110_1_cattle_2018-12-01,64359110_2_cattle_2019-02-01,64359110_3_cattle_2019-02-01,64359153_0_cattle_2019-09-01,64359173_0_cattle_2020-02-01,64359200_1_cattle_2020-02-01,64359209_0_cattle_2019-12-01,64359209_1_cattle_2019-12-01,64359211_0_cattle_2020-02-01,64359_0_boar_2018-02-01,64359_2_boar_2019-04-01,64359_3_boar_2020-02-01,64359_4_boar_2019-04-01,64393_0_boar_2020-02-01,64420002_0_cattle_2014-04-01,64420002_1_cattle_2014-02-01,64420002_2_cattle_2014-02-01,64420002_3_cattle_2014-02-01,64420015_0_cattle_2008-04-01,64420015_1_cattle_2008-04-01,64420038_0_cattle_2013-02-01,64420038_1_cattle_2013-04-01,64420038_2_cattle_2013-04-01,64420038_3_cattle_2013-04-01,64556005_0_cattle_2018-03-01,64556005_1_cattle_2020-02-01,64556023_0_cattle_2020-02-01,64556034_0_cattle_2016-02-01,64556034_1_cattle_2016-04-01,64556034_2_cattle_2016-04-01,64556034_3_cattle_2016-04-01,64556034_4_cattle_2016-04-01,64556034_5_cattle_2016-02-01,64556034_6_cattle_2016-04-01,64556034_7_cattle_2016-04-01,64556034_8_cattle_2017-02-01,64556034_9_cattle_2017-02-01,64556051_0_cattle_2017-12-01,64556051_10_cattle_2020-02-01,64556051_1_cattle_2017-12-01,64556051_2_cattle_2017-12-01,64556051_3_cattle_2018-02-01,64556051_4_cattle_2017-12-01,64556051_5_cattle_2017-12-01,64556051_6_cattle_2017-12-01,64556051_7_cattle_2017-12-01,64556051_8_cattle_2018-02-01,64556051_9_cattle_2018-02-01,64556058_0_cattle_2016-12-01,64556500_0_cattle_2016-04-01,64556500_1_cattle_2016-06-01,64556500_2_cattle_2016-05-01,64556_0_boar_2017-02-01,64556_10_boar_2019-08-01,64556_1_boar_2017-02-01,64556_2_boar_2016-12-01,64556_3_boar_2018-02-01,64556_4_boar_2017-09-01,64556_5_boar_2018-08-01,64556_6_boar_2019-07-01,64556_7_boar_2017-11-01,64556_8_boar_2020-02-01,64556_9_boar_2020-02-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0
0,0,0.10277944411117881,0.042591481703659145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.07618476304739075,0,0.03439312137572476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03699260147970396,0.03639272145570876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0.007598480303939215,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0
0,0,0,0,0,0,1.999600079984003e-4,0,0,7.998400319936012e-4,5.998800239952009e-4,5.998800239952009e-4,7.998400319936012e-4,0,9.998000399920016e-4,0,0.06618676264747042,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04519096180763834,1.999600079984003e-4,3.999200159968006e-4,0,0.08478304339132223,5.998800239952009e-4,3.999200159968006e-4,9.998000399920016e-4,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,5.998800239952009e-4,0,0.04119176164767035,0,0,0
0,0,0,0,0,0,0,0,9.998000399920016e-4,1.999600079984003e-4,0.001399720055988802,9.998000399920016e-4,5.998800239952009e-4,0.17116576684663384,0,1.999600079984003e-4,0,3.999200159968006e-4,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0.001399720055988802,3.999200159968006e-4,0.0023995200959808036,0.001399720055988802,7.998400319936012e-4,7.998400319936012e-4,0.0023995200959808036,0.002199560087982403,0,0,0,0,0,0,0,0.0017996400719856025,0,5.998800239952009e-4,9.998000399920016e-4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08958208358328398,0,0,0.06438712257548476,0,0,0.06278744251149751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.999600079984003e-4,5.998800239952009e-4,0.002199560087982403,0,0,0.28834233153369476,0.005998800239952012,0.0017996400719856025,0.0019996000799840027,0.0049990001999600095,1.999600079984003e-4,0.0017996400719856025,1.999600079984003e-4,0.0035992801439712063,0,0,1.999600079984003e-4,9.998000399920016e-4,0,0.0031993601279744054,5.998800239952009e-4,0,5.998800239952009e-4,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0.17716456708658604,0,0.004799040191961609,0.004399120175964808,0.007798440311937616,0.003399320135972806,0.005598880223955211,0.004399120175964808,0.0027994401119776045,0.00539892021595681,0.0049990001999600095,0,0,0,0,0,0,0,0.01099780043991201,0,0.007998400319936016,7.998400319936012e-4,0,0,0.0015996800639872023,0
0,0,0,0,0,0.0017996400719856025,5.998800239952009e-4,0,0.29974005198960235,0,0.00519896020795841,0.0023995200959808036,0.002999400119976005,0.00539892021595681,0.002199560087982403,5.998800239952009e-4,0,0.0037992401519696068,1.999600079984003e-4,0,0,5.998800239952009e-4,0,0.0045990801839632086,3.999200159968006e-4,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0.20715856828634702,0,0.006198760247950412,0.0037992401519696068,0.005998800239952012,0.002599480103979204,0.0045990801839632086,0.006198760247950412,0.0035992801439712063,0.003999200159968007,0.0035992801439712063,0,0,0,0,0,0,0,0.009798040391921612,0,0.009198160367926414,3.999200159968006e-4,0,0,7.998400319936012e-4,0
