infector_id,infected_id,prob
64391068_0_cattle_2016-07-01,40316002_0_cattle_2016-09-01,0.2891421715656883
40316002_11_cattle_2016-09-01,40316002_10_cattle_2016-09-01,0.33453309338132026
40316002_10_cattle_2016-09-01,40316002_11_cattle_2016-09-01,0.45030993801238156
64391068_37_cattle_2016-10-01,40316002_12_cattle_2016-09-01,0.44931013797238967
40316002_6_cattle_2016-09-01,40316002_13_cattle_2016-09-01,0.12777444511097963
64551007_10_cattle_2017-01-01,40316002_14_cattle_2016-09-01,0.1755648870225988
40316002_4_cattle_2016-09-01,40316002_1_cattle_2016-09-01,0.419916016796628
64149026_5_cattle_2016-10-01,40316002_2_cattle_2016-09-01,0.3653269346130706
64149026_10_cattle_2016-07-01,40316002_3_cattle_2016-09-01,0.4491101779643913
40316002_1_cattle_2016-09-01,40316002_4_cattle_2016-09-01,0.425714857028581
64551017_4_cattle_2016-06-01,40316002_5_cattle_2016-08-01,0.42891421715655503
40316002_13_cattle_2016-09-01,40316002_6_cattle_2016-09-01,0.15496900619876292
64391068_36_cattle_2016-07-01,40316002_7_cattle_2016-09-01,0.22315536892621954
64391_4_boar_2016-10-01,40316002_8_cattle_2016-09-01,0.2787442511497726
40316002_10_cattle_2016-09-01,40316002_9_cattle_2016-09-01,0.20555888822235976
64391_8_boar_2018-10-01,40316010_0_cattle_2019-01-01,0.39092181563686307
64391063_0_cattle_2019-01-01,40316010_1_cattle_2019-01-01,0.38732253549289225
64149026_20_cattle_2018-04-01,40316038_0_cattle_2018-03-01,0.28294341131773854
64391058_1_cattle_2018-03-01,40316038_1_cattle_2018-03-01,0.3199360127974386
64551002_13_cattle_2018-02-01,40316038_2_cattle_2018-03-01,0.34393121375724406
64391068_47_cattle_2018-04-01,40316038_3_cattle_2018-03-01,0.39772045590880795
64551007_17_cattle_2017-05-01,40316_4_boar_2017-09-01,0.461107778444294
40316038_2_cattle_2018-03-01,40316_5_boar_2018-05-01,0.43611277744449667
64391068_35_cattle_2017-10-01,40316_6_boar_2017-06-01,0.16816636672665775
64551007_31_cattle_2018-08-01,40316_7_boar_2018-07-01,0.43251349730052585
64551027_3_cattle_2014-03-01,64149026_0_cattle_2014-03-01,0.393521295740842
40316002_3_cattle_2016-09-01,64149026_10_cattle_2016-07-01,0.40051989602078525
64391068_24_cattle_2016-03-01,64149026_11_cattle_2016-03-01,0.26034793041392174
64391068_25_cattle_2016-03-01,64149026_12_cattle_2016-07-01,0.26494701059788445
64551017_2_cattle_2016-02-01,64149026_13_cattle_2016-03-01,0.5368926214756796
64551007_14_cattle_2017-05-01,64149026_14_cattle_2017-04-01,0.40351929614076093
64551007_6_cattle_2017-01-01,64149026_15_cattle_2016-07-01,0.2719456108778277
64391068_4_cattle_2016-07-01,64149026_16_cattle_2016-07-01,0.20775844831034224
64391068_6_cattle_2016-07-01,64149026_17_cattle_2016-07-01,0.5466906618676002
64391068_10_cattle_2017-04-01,64149026_18_cattle_2017-07-01,0.2093581283743295
64391068_39_cattle_2017-04-01,64149026_19_cattle_2017-04-01,0.4027194561087674
64551027_0_cattle_2014-05-01,64149026_1_cattle_2014-05-01,0.46930613877222754
40316038_0_cattle_2018-03-01,64149026_20_cattle_2018-04-01,0.3191361727654451
64551007_27_cattle_2018-08-01,64149026_21_cattle_2018-07-01,0.40711857628473175
64149026_23_cattle_2018-04-01,64149026_22_cattle_2018-04-01,0.40891821635671716
64149026_22_cattle_2018-04-01,64149026_23_cattle_2018-04-01,0.4059188162367415
64551007_18_cattle_2018-05-01,64149026_24_cattle_2018-07-01,0.5078984203159147
64551016_3_cattle_2016-02-01,64149026_2_cattle_2016-03-01,0.13497300539892226
64551016_2_cattle_2016-02-01,64149026_3_cattle_2016-03-01,0.2947410517896429
64551027_10_cattle_2016-04-01,64149026_4_cattle_2016-07-01,0.5348930213956958
40316002_2_cattle_2016-09-01,64149026_5_cattle_2016-10-01,0.43151369726053396
64391042_2_cattle_2016-03-01,64149026_6_cattle_2016-03-01,0.3635272945410852
40316002_2_cattle_2016-09-01,64149026_7_cattle_2016-07-01,0.2727454509098212
64391068_13_cattle_2016-07-01,64149026_8_cattle_2016-07-01,0.4809038192361335
64391068_4_cattle_2016-07-01,64149026_9_cattle_2016-07-01,0.4171165766846507
64391068_40_cattle_2017-07-01,64179004_0_cattle_2017-03-01,0.14997000599880275
64551007_16_cattle_2017-05-01,64179004_1_cattle_2017-05-01,0.22735452909418608
64359042_6_cattle_2017-07-01,64245012_0_cattle_2017-07-01,0.19936012797440916
64391_6_boar_2017-08-01,64245012_1_cattle_2017-08-01,0.23535292941412234
64551007_32_cattle_2019-08-01,64245012_2_cattle_2020-02-01,0.07058588282343536
64391068_35_cattle_2017-10-01,64245019_0_cattle_2018-01-01,0.3219356128774224
64391068_49_cattle_2018-10-01,64245_1_boar_2019-12-01,0.22415516896621157
64301081_1_cattle_2018-01-01,64301081_0_cattle_2018-01-01,0.3277344531093754
64301081_0_cattle_2018-01-01,64301081_1_cattle_2018-01-01,0.4171165766846507
64359142_55_cattle_2013-05-01,64328057_0_cattle_2014-02-01,0.23975204959008728
64551017_0_cattle_2014-04-01,64328057_1_cattle_2014-04-01,0.43051389722054206
64391068_3_cattle_2016-03-01,64349013_0_cattle_2016-03-01,0.43611277744449667
64149026_6_cattle_2016-03-01,64349013_1_cattle_2016-03-01,0.2531493701259801
64391068_31_cattle_2016-07-01,64349014_3_cattle_2016-07-01,0.44571085782841885
64349053_1_cattle_2017-02-01,64349038_9_cattle_2017-06-01,0.19936012797440916
64349038_9_cattle_2017-06-01,64349053_1_cattle_2017-02-01,0.49010197960405893
64359142_55_cattle_2013-05-01,64349_11_boar_2014-03-01,0.19236152769446493
64349053_1_cattle_2017-02-01,64349_13_boar_2018-07-01,0.4753049390121789
64551027_4_cattle_2014-03-01,64349_15_boar_2014-03-01,0.47690461907616594
64551002_11_cattle_2017-07-01,64349_38_boar_2017-09-01,0.4029194161167658
64440_9_boar_2020-02-01,64349_42_boar_2020-02-01,0.12477504499100353
64349_13_boar_2018-07-01,64349_63_boar_2018-09-01,0.6544691061787263
64420009_3_cattle_2013-02-01,64359029_2_cattle_2013-02-01,0.393521295740842
64420009_9_cattle_2013-02-01,64359042_0_cattle_2013-02-01,0.5206958608278109
64391042_5_cattle_2017-07-01,64359042_6_cattle_2017-07-01,0.23355328934213668
64359045_9_cattle_2013-01-01,64359045_11_cattle_2013-01-01,0.46630673865225186
64359045_9_cattle_2013-01-01,64359045_13_cattle_2013-01-01,0.33373325334932674
64359142_60_cattle_2013-03-01,64359045_16_cattle_2013-03-01,0.37972405518895386
64359142_68_cattle_2013-03-01,64359045_18_cattle_2013-03-01,0.13557288542291748
64359045_16_cattle_2013-03-01,64359045_19_cattle_2013-03-01,0.31473705258948076
64359169_0_cattle_2013-03-01,64359045_4_cattle_2013-03-01,0.47790441911615783
64359045_11_cattle_2013-01-01,64359045_9_cattle_2013-01-01,0.381923615276936
64420009_18_cattle_2013-04-01,64359046_3_cattle_2012-12-01,0.12617476504699238
64359_64_boar_2017-08-01,64359075_17_cattle_2017-09-01,0.42951409718055017
64359119_6_cattle_2018-04-01,64359119_3_cattle_2018-04-01,0.41571685662866203
64359_64_boar_2017-08-01,64359119_4_cattle_2018-02-01,0.4149170165966685
64359_64_boar_2017-08-01,64359119_5_cattle_2017-12-01,0.5978804239151851
64359119_3_cattle_2018-04-01,64359119_6_cattle_2018-04-01,0.45890821835631185
64359142_80_cattle_2013-05-01,64359142_51_cattle_2013-05-01,0.43811237752448046
64359142_51_cattle_2013-05-01,64359142_55_cattle_2013-05-01,0.26394721055789255
64359045_16_cattle_2013-03-01,64359142_60_cattle_2013-03-01,0.40991801639670905
64420009_18_cattle_2013-04-01,64359142_68_cattle_2013-03-01,0.12937412517496688
