45_d500_105_726_0_badger_2015-07-01,45_d500_105_726_1_badger_2014-12-01,45_d500_105_726_2_badger_2020-02-01,45_d500_108_0_badger_2018-07-01,45_d500_109_734_0_badger_2019-05-01,45_d500_109_734_1_badger_2016-04-01,45_d500_109_734_2_badger_2018-09-01,45_d500_109_734_3_badger_2016-09-01,45_d500_109_844_0_badger_2017-08-01,45_d500_109_844_1_badger_2017-07-01,45_d500_109_844_2_badger_2020-02-01,45_d500_109_844_3_badger_2018-05-01,45_d500_109_849_0_badger_2020-02-01,45_d500_119_798_0_badger_2019-12-01,45_d500_119_826_0_badger_2019-05-01,45_d500_120_0_badger_2020-02-01,45_d500_123_762_0_badger_2014-05-01,45_d500_123_762_1_badger_2018-05-01,45_d500_124_0_badger_2014-05-01,45_d500_126_1578_0_badger_2020-02-01,45_d500_132_808_0_badger_2020-02-01,45_d500_132_811_0_badger_2016-06-01,45_d500_139_0_badger_2019-07-01,45_d500_140_0_badger_2019-05-01,45_d500_151_0_badger_2018-04-01,45_d500_151_1_badger_2015-07-01,45_d500_151_2_badger_2015-02-01,45_d500_151_3_badger_2014-10-01,45_d500_151_4_badger_2020-02-01,45_d500_152_1_badger_2020-02-01,45_d500_157_858_0_badger_2019-08-01,45_d500_157_858_4_badger_2017-03-01,45_d500_159_855_0_badger_2016-08-01,45_d500_160_1_badger_2015-11-01,45_d500_194_1553_0_badger_2020-02-01,45_d500_194_1553_1_badger_2020-02-01,45_d500_195_0_badger_2019-09-01,45_d500_195_1_badger_2020-02-01,45_d500_37_600_0_badger_2020-02-01,45_d500_84_0_badger_2020-02-01,45_d500_84_1_badger_2020-02-01,45_d500_87_0_badger_2020-02-01,45_d500_89_0_badger_2020-02-01,45_d500_90_0_badger_2018-07-01,45_d500_99_720_0_badger_2013-11-01,45_d500_99_839_1_badger_2013-11-01,64152_0_boar_2020-02-01,64301080_0_cattle_2020-02-01,64301080_1_cattle_2020-02-01,64301080_2_cattle_2020-02-01,64349_0_boar_2020-02-01,64359005_0_cattle_2019-01-01,64359005_1_cattle_2019-01-01,64359005_2_cattle_2019-08-01,64359108_0_cattle_2018-02-01,64359108_1_cattle_2018-02-01,64359108_2_cattle_2018-06-01,64359108_3_cattle_2018-02-01,64359108_4_cattle_2018-06-01,64359110_0_cattle_2018-12-01,64359110_1_cattle_2018-12-01,64359110_2_cattle_2019-02-01,64359110_3_cattle_2019-02-01,64359153_0_cattle_2019-09-01,64359173_0_cattle_2020-02-01,64359200_1_cattle_2020-02-01,64359209_0_cattle_2019-12-01,64359209_1_cattle_2019-12-01,64359211_0_cattle_2020-02-01,64359_0_boar_2018-02-01,64359_2_boar_2019-04-01,64359_3_boar_2020-02-01,64359_4_boar_2019-04-01,64393_0_boar_2020-02-01,64420002_0_cattle_2014-04-01,64420002_1_cattle_2014-02-01,64420002_2_cattle_2014-02-01,64420002_3_cattle_2014-02-01,64420015_0_cattle_2008-04-01,64420015_1_cattle_2008-04-01,64420038_0_cattle_2013-02-01,64420038_1_cattle_2013-04-01,64420038_2_cattle_2013-04-01,64420038_3_cattle_2013-04-01,64556005_0_cattle_2018-03-01,64556005_1_cattle_2020-02-01,64556023_0_cattle_2020-02-01,64556034_0_cattle_2016-02-01,64556034_1_cattle_2016-04-01,64556034_2_cattle_2016-04-01,64556034_3_cattle_2016-04-01,64556034_4_cattle_2016-04-01,64556034_5_cattle_2016-02-01,64556034_6_cattle_2016-04-01,64556034_7_cattle_2016-04-01,64556034_8_cattle_2017-02-01,64556034_9_cattle_2017-02-01,64556051_0_cattle_2017-12-01,64556051_10_cattle_2020-02-01,64556051_1_cattle_2017-12-01,64556051_2_cattle_2017-12-01,64556051_3_cattle_2018-02-01,64556051_4_cattle_2017-12-01,64556051_5_cattle_2017-12-01,64556051_6_cattle_2017-12-01,64556051_7_cattle_2017-12-01,64556051_8_cattle_2018-02-01,64556051_9_cattle_2018-02-01,64556058_0_cattle_2016-12-01,64556500_0_cattle_2016-04-01,64556500_1_cattle_2016-06-01,64556500_2_cattle_2016-05-01,64556_0_boar_2017-02-01,64556_10_boar_2019-08-01,64556_1_boar_2017-02-01,64556_2_boar_2016-12-01,64556_3_boar_2018-02-01,64556_4_boar_2017-09-01,64556_5_boar_2018-08-01,64556_6_boar_2019-07-01,64556_7_boar_2017-11-01,64556_8_boar_2020-02-01,64556_9_boar_2020-02-01,6_d500_21_0_badger_2020-02-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0.37712457508497493,0.0015996800639872023,0.04119176164767035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052989402119575923,0,0.062187562487502304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017796440711857597,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0.013597280543891204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05898820235952791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11437712457508639,0,0,0,0,0,0.10197960407918519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09958008398320431,0,0.01099780043991201,0.004799040191961609,0.3425314937012554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.003999200159968007,0.003999200159968007,0,0,0,0,0,0,0,0.0747850429914019,0,0,0,0,0,0,0.11597680463907364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.05958808238352311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14017196560688083,0,0,0,0,0,0.08258348330333976,0.09818036392721546,0,0,0,0,0,0,0,0,0,0,0,0.15256948610278204,0,0,0,0,0,0.408318336332722,0,0.12317536492701628,0,0,0,0,0,0,0
0,0,0,0,0.004399120175964808,0,0.012997400519896006,0,0,0.35512897420515327,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0.01119776044791041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0.017996400719855997,0,0,0
0,0,0,0,0.0017996400719856025,0,0.0023995200959808036,0,0.32313537292541267,0,0,0,0,0,0,0,0,0.002999400119976005,0,0,0,0,0,0,0.00539892021595681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0.02079584083183359,0,0,0
