40002127_11_cattle_2013-12-01,40002127_12_cattle_2013-12-01,40002127_13_cattle_2013-12-01,40002127_16_cattle_2015-12-01,40002127_18_cattle_2015-12-01,40002127_19_cattle_2020-02-01,40002127_20_cattle_2020-02-01,40002_12_boar_2013-04-01,40002_13_boar_2014-11-01,40002_15_boar_2015-04-01,40002_18_boar_2016-02-01,40002_24_boar_2020-02-01,40089001_0_cattle_2011-07-01,40089001_10_cattle_2011-07-01,40089001_11_cattle_2011-04-01,40089001_12_cattle_2011-07-01,40089001_13_cattle_2011-07-01,40089001_14_cattle_2011-07-01,40089001_15_cattle_2011-07-01,40089001_16_cattle_2011-07-01,40089001_17_cattle_2011-07-01,40089001_18_cattle_2011-06-01,40089001_19_cattle_2011-07-01,40089001_1_cattle_2011-07-01,40089001_20_cattle_2011-07-01,40089001_21_cattle_2011-01-01,40089001_22_cattle_2011-07-01,40089001_23_cattle_2011-07-01,40089001_24_cattle_2011-07-01,40089001_25_cattle_2011-07-01,40089001_26_cattle_2011-07-01,40089001_27_cattle_2011-07-01,40089001_28_cattle_2011-04-01,40089001_29_cattle_2011-07-01,40089001_2_cattle_2011-07-01,40089001_30_cattle_2011-07-01,40089001_31_cattle_2011-07-01,40089001_32_cattle_2011-07-01,40089001_33_cattle_2011-07-01,40089001_34_cattle_2011-07-01,40089001_35_cattle_2011-07-01,40089001_36_cattle_2011-07-01,40089001_37_cattle_2011-07-01,40089001_38_cattle_2011-07-01,40089001_39_cattle_2011-07-01,40089001_3_cattle_2011-07-01,40089001_40_cattle_2011-07-01,40089001_41_cattle_2011-07-01,40089001_42_cattle_2011-07-01,40089001_4_cattle_2011-07-01,40089001_5_cattle_2011-07-01,40089001_6_cattle_2011-07-01,40089001_7_cattle_2011-07-01,40089001_8_cattle_2011-07-01,40089001_9_cattle_2011-07-01,40089077_0_cattle_2012-11-01,40089077_1_cattle_2012-12-01,40089077_2_cattle_2012-12-01,40089077_3_cattle_2012-12-01,40089_0_boar_2011-06-01,40089_1_boar_2016-09-01,40089_2_boar_2013-09-01,40089_3_boar_2014-07-01,40091_1_boar_2016-08-01,40091_2_boar_2016-12-01,40270033_0_cattle_2013-12-01,40270058_0_cattle_2013-02-01,40270058_10_cattle_2013-02-01,40270058_11_cattle_2013-02-01,40270058_12_cattle_2013-02-01,40270058_13_cattle_2013-02-01,40270058_14_cattle_2013-02-01,40270058_15_cattle_2013-02-01,40270058_16_cattle_2013-02-01,40270058_17_cattle_2013-02-01,40270058_18_cattle_2013-02-01,40270058_19_cattle_2013-02-01,40270058_1_cattle_2013-02-01,40270058_20_cattle_2013-02-01,40270058_21_cattle_2013-02-01,40270058_22_cattle_2013-02-01,40270058_23_cattle_2013-02-01,40270058_24_cattle_2013-02-01,40270058_2_cattle_2013-02-01,40270058_3_cattle_2013-01-01,40270058_4_cattle_2013-02-01,40270058_5_cattle_2013-01-01,40270058_6_cattle_2013-02-01,40270058_7_cattle_2013-02-01,40270058_8_cattle_2013-02-01,40270058_9_cattle_2013-02-01,40270_0_boar_2010-02-01,40270_10_boar_2012-06-01,40270_11_boar_2012-09-01,40270_12_boar_2012-10-01,40270_1_boar_2010-12-01,40270_2_boar_2014-08-01,40270_3_boar_2012-05-01,40270_4_boar_2013-02-01,40270_5_boar_2013-03-01,40270_6_boar_2011-01-01,40270_7_boar_2011-09-01,40270_8_boar_2016-04-01,40270_9_boar_2013-03-01,64135060_1_cattle_2018-02-01,64135060_2_cattle_2018-04-01,64135060_4_cattle_2019-07-01,64135093_6_cattle_2020-02-01,64135109_0_cattle_2016-12-01,64135109_1_cattle_2016-12-01,64135_27_boar_2016-11-01,64135_28_boar_2018-11-01,64135_30_boar_2018-02-01,64135_31_boar_2018-05-01,64135_37_boar_2020-02-01,64420015_0_cattle_2009-12-01,64420015_10_cattle_2009-12-01,64420015_11_cattle_2009-12-01,64420015_12_cattle_2009-12-01,64420015_13_cattle_2009-04-01,64420015_14_cattle_2009-12-01,64420015_15_cattle_2009-12-01,64420015_16_cattle_2009-12-01,64420015_17_cattle_2009-11-01,64420015_18_cattle_2009-12-01,64420015_19_cattle_2009-12-01,64420015_1_cattle_2009-12-01,64420015_20_cattle_2009-12-01,64420015_21_cattle_2009-12-01,64420015_22_cattle_2009-12-01,64420015_23_cattle_2009-12-01,64420015_24_cattle_2009-12-01,64420015_2_cattle_2009-06-01,64420015_3_cattle_2009-12-01,64420015_4_cattle_2009-12-01,64420015_5_cattle_2008-06-01,64420015_6_cattle_2009-11-01,64420015_7_cattle_2009-12-01,64420015_8_cattle_2009-12-01,64420015_9_cattle_2009-12-01
0,0.032593481303739166,0.32613477304538835,1.999600079984003e-4,0.0027994401119776045,0,0,0.04199160167966395,0.007798440311937616,0.009798040391921612,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006598680263947213,0,0.006598680263947213,0.25734853029394605,0.3087382523495294,5.998800239952009e-4,0,0.012197560487902407,0.49570085982801354,0.5334933013397072,0.27794441111777907,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155968806238752,0.028394321135772775,0.038392321535692754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32233553289341915,0.022795440911817587,0,0.0017996400719856025,9.998000399920016e-4,0,0,0.026994601079783978,0.004399120175964808,0.0045990801839632086,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.00539892021595681,0,0,0.07438512297540509,0.005798840231953611,0.0155968806238752,0,0.028594281143771175,0.00539892021595681,0.09138172365526964,0.008198360327934416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0.006198760247950412,0.012597480503899207,0.009798040391921612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.012197560487902407,0,0.13557288542291748,0,0,0,0,0.07518496300739871,0.009998000399920012,0.1359728054389143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0.012597480503899207,0.028794241151769574,0.03079384123175357,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.04179164167166555,0,0,0,0,0.062187562487502304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.02659468106378718,0,0,0,0,0,0.05498900219955992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6100779844030862,0.7642471505698363,0.6196760647870084,0.03559288142371516,0.06598680263947201,0,0,0,0.20515896820636295,0.25814837032593957,0.04539092181563674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0045990801839632086,0.07558488302339553,0.002599480103979204,0.1725654869026227,0.20615876824635498,7.998400319936012e-4,5.998800239952009e-4,0.0045990801839632086,0,0.05538892221555672,0.17036592681464022,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0,0,0.019196160767846394,0.01119776044791041,0.01119776044791041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0015996800639872023,0.03439312137572476,0.0035992801439712063,0.00519896020795841,0.007398520295940815,0,0,0.0049990001999600095,0.02579484103179358,0,0.011597680463907209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0011997600479904018,0,0.14057188562287765,0.13097380523895413,0,3.999200159968006e-4,0,0.05498900219955992,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009998000399920012,0.005598880223955211,0,0,0.10597880423915332,0.16256748650270236,0.16456708658268643,9.998000399920016e-4,0.00519896020795841,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.10777844431113898,0.04839032193561273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0.0019996000799840027,0.001399720055988802,0,0,0,0,3.999200159968006e-4,0.04659068186362714,0.0031993601279744054,0.005598880223955211,0,0.006998600279944014,0,0,0.006398720255948813,0.002199560087982403,0,0.0035992801439712063,7.998400319936012e-4,7.998400319936012e-4,0.001399720055988802,0,0.013397320535892805,0.001399720055988802,0.3153369326134759,1.999600079984003e-4,0.001399720055988802,0.008398320335932815,7.998400319936012e-4,0,5.998800239952009e-4,3.999200159968006e-4,0,0,0.001399720055988802,0,0.016996600679864,0.0011997600479904018,0,0,0,0,0.05498900219955992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,1.999600079984003e-4,0,0.011997600479904008,0,0.007798440311937616,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,9.998000399920016e-4,3.999200159968006e-4,0,1.999600079984003e-4,7.998400319936012e-4,0,1.999600079984003e-4,9.998000399920016e-4,1.999600079984003e-4,0,0,0.001399720055988802,0,0.001399720055988802,0.0011997600479904018,0,7.998400319936012e-4,0.001399720055988802,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165966806638672,0,0.009398120375924813,0.009998000399920012,0.019196160767846394,7.998400319936012e-4,0.3173365326934597,0.019996000799839993,0.0011997600479904018,0.0017996400719856025,1.999600079984003e-4,0.0017996400719856025,0,0,0.0011997600479904018,0.013797240551889604,9.998000399920016e-4,0,9.998000399920016e-4,0.009598080383923213,0,7.998400319936012e-4,0,9.998000399920016e-4,7.998400319936012e-4,0,0.01059788042391521,7.998400319936012e-4,7.998400319936012e-4,1.999600079984003e-4,0,0,0,0.0017996400719856025,0.012197560487902407,0.007798440311937616,0,0,0,0,5.998800239952009e-4,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,1.999600079984003e-4,0,0,0.0015996800639872023,0,0,0,7.998400319936012e-4,0.0011997600479904018,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0.04099180163967195,0,0.002199560087982403,0.028594281143771175,0.029194161167766373,0.05018996200759833,0.018396320735852796,0.04079184163167355,0.037392521495700756,0.0035992801439712063,0.0161967606478704,0.009198160367926414,0.024995000999799982,0.0011997600479904018,0.0023995200959808036,0.0017996400719856025,0.03079384123175357,0.005998800239952012,0.01099780043991201,0.02179564087182559,0.04019196160767835,3.999200159968006e-4,0.006198760247950412,0.006998600279944014,0.007198560287942414,0.00519896020795841,0.00539892021595681,0.05138972205558873,0.0023995200959808036,0.011597680463907209,0.01059788042391521,0.0031993601279744054,0.002199560087982403,0.011997600479904008,0.008798240351929614,0.04379124175164954,0.020195960807838392,0.005598880223955211,3.999200159968006e-4,0.002199560087982403,0.007598480303939215,0.010197960407918412,7.998400319936012e-4,0.0023995200959808036,3.999200159968006e-4,0,0.007798440311937616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04839032193561273,0,0,0,0.027994401119775976,0,0.0011997600479904018,0,0.005598880223955211,0.027394521095780777,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0.0049990001999600095,0.001399720055988802,0.002199560087982403,0.0167966406718656,0.0049990001999600095,0.005798840231953611,0.0157968406318736,0.009998000399920012,0.004199160167966408,0.0037992401519696068,0.0015996800639872023,0.0045990801839632086,0.0045990801839632086,0.0015996800639872023,0.0163967206558688,0.002999400119976005,0.016996600679864,0.00519896020795841,0.009398120375924813,0.013997200559888004,0.017396520695860798,0.0049990001999600095,0.005998800239952012,0.0037992401519696068
0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0.0011997600479904018,0,3.999200159968006e-4,0,1.999600079984003e-4,0.003999200159968007,5.998800239952009e-4,0,0.005598880223955211,0.0019996000799840027,1.999600079984003e-4,0.0017996400719856025,0,0.0045990801839632086,0.0011997600479904018,0,0.014597080583883202,0,0.0023995200959808036,0,0.0019996000799840027,0,5.998800239952009e-4,0.024995000999799982,0.005598880223955211,0,5.998800239952009e-4,3.999200159968006e-4,0.11077784443111507,0.0011997600479904018,0,0.29774045190961856,0.00539892021595681,0.019996000799839993,0,0,0.014197160567886403,3.999200159968006e-4,0.013197360527894405,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035992801439712063,0,0,0,0.002999400119976005,0,0,0,3.999200159968006e-4,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.01079784043191361,0.012397520495900807,0,0,0.022595480903819187,0.008198360327934416,1.999600079984003e-4,0.005998800239952012,0.007198560287942414,0,3.999200159968006e-4,5.998800239952009e-4,1.999600079984003e-4,1.999600079984003e-4,0,0,0.002599480103979204,0,0,0.001399720055988802,0.2785442911417742,1.999600079984003e-4,0,0,0,0,0,0.03019396120775837,0,0,0,0,0,9.998000399920016e-4,0,0.020395920815836792,0.004199160167966408,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,7.998400319936012e-4,0.0011997600479904018,0,0,7.998400319936012e-4,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.007398520295940815,0.003999200159968007,0,0.029394121175764773,0,0.0019996000799840027,0,0.002999400119976005,0.004799040191961609,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0.024595080983803183,0,0,0,0,0,0,0.06778644271145767,0,0,0,0,0,0,0,0.11517696460708002,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0.007798440311937616,0,0,0,0,0,0,0,0.20455908818236773,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.056388722255548716,0.04019196160767835,0,0.018996200759847995,0.01099780043991201,0,5.998800239952009e-4,0.032793441311737566,0.1115776844631087,0,7.998400319936012e-4,0,0.002999400119976005,0,0,0,0.09178164367126646,0,9.998000399920016e-4,7.998400319936012e-4,0.01099780043991201,0,7.998400319936012e-4,0,0,0.0015996800639872023,0,0.023795240951809585,0,0.002599480103979204,7.998400319936012e-4,0,0,3.999200159968006e-4,9.998000399920016e-4,0.019796040791841593,0.08018396320735888,0,5.998800239952009e-4,0,5.998800239952009e-4,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0,0,0,5.998800239952009e-4,0,0,0,0.001399720055988802,0.004799040191961609,0.0171965606878624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0.0017996400719856025,0.011797640471905608,0.007398520295940815,0.001399720055988802,0.0035992801439712063,0.002199560087982403,0,0.0023995200959808036,0.0027994401119776045,0.12897420515897007,0.006398720255948813,0.002599480103979204,0.014797040591881602,0.0019996000799840027,0.0685862827434513,0.0015996800639872023,1.999600079984003e-4,0.0035992801439712063,0.004199160167966408,0.006398720255948813,3.999200159968006e-4,0.0035992801439712063,0.005998800239952012,0.0023995200959808036,0.013197360527894405,0.10737852429514216,0.006998600279944014,0.007598480303939215,0.0049990001999600095,0.0161967606478704,0.006398720255948813,0.009398120375924813,0.00519896020795841,0.08518296340731904,0.009998000399920012,0.0031993601279744054,0.0023995200959808036,0.007998400319936016,3.999200159968006e-4,0.007998400319936016,0.0045990801839632086,0.005598880223955211,0,0.0027994401119776045,9.998000399920016e-4,1.999600079984003e-4,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02119576084783039,0,0,0,0.009198160367926414,0,0.0027994401119776045,0,0.0015996800639872023,0.014597080583883202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,9.998000399920016e-4,0.001399720055988802,0,0.003399320135972806,5.998800239952009e-4,1.999600079984003e-4,0.0015996800639872023,0.002599480103979204,0,3.999200159968006e-4,9.998000399920016e-4,0,9.998000399920016e-4,1.999600079984003e-4,0.0027994401119776045,0.0011997600479904018,0.0031993601279744054,9.998000399920016e-4,3.999200159968006e-4,0.0037992401519696068,0.0011997600479904018,3.999200159968006e-4,1.999600079984003e-4,0.0019996000799840027
0,0,0,0,0,0,0,0,0,0,0,0,0,0.26314737052589904,0.018596280743851196,1.999600079984003e-4,0.009598080383923213,0.007598480303939215,0.024595080983803183,1.999600079984003e-4,0,0.028194361127774376,0,5.998800239952009e-4,0,0,0,0,0,0.018196360727854397,0,0,0,0.008398320335932815,0,0,0,0,0,0,0.011997600479904008,0,0,0,0,0,0,1.999600079984003e-4,0.009798040391921612,0.01079784043191361,0,0,1.999600079984003e-4,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,1.999600079984003e-4,0,0,5.998800239952009e-4,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
