45_d500_123_762_0_badger_2020-02-01,45_d500_123_762_1_badger_2011-05-01,45_d500_123_762_3_badger_2019-02-01,45_d500_124_0_badger_2015-03-01,45_d500_124_1_badger_2012-05-01,45_d500_124_2_badger_2013-07-01,45_d500_152_0_badger_2010-05-01,45_d500_157_858_0_badger_2012-08-01,45_d500_159_855_0_badger_2012-02-01,45_d500_160_0_badger_2014-05-01,45_d500_160_1_badger_2014-07-01,45_d500_160_2_badger_2015-08-01,45_d500_160_3_badger_2011-08-01,45_d500_182_0_badger_2013-05-01,45_d500_218_0_badger_2020-02-01,45_d500_218_1_badger_2016-06-01,45_d500_221_0_badger_2016-04-01,45_d500_98_0_badger_2013-08-01,45_d500_98_1_badger_2014-11-01,45_d500_99_699_0_badger_2014-05-01,45_d500_99_699_1_badger_2017-09-01,45_d500_99_716_2_badger_2014-09-01,45_d500_99_716_3_badger_2015-08-01,45_d500_99_720_0_badger_2020-02-01,45_d500_99_720_1_badger_2014-08-01,45_d500_99_766_0_badger_2016-08-01,45_d500_99_766_1_badger_2010-10-01,45_d500_99_839_0_badger_2007-05-01,45_d500_99_839_1_badger_2020-02-01,56_d500_42_1975_0_badger_2020-02-01,64244024_0_cattle_2020-02-01,64244024_10_cattle_2020-02-01,64244024_1_cattle_2019-09-01,64244024_2_cattle_2019-12-01,64244024_3_cattle_2019-12-01,64244024_4_cattle_2019-12-01,64244024_5_cattle_2020-02-01,64244024_6_cattle_2019-12-01,64244024_7_cattle_2020-02-01,64244024_8_cattle_2019-12-01,64244024_9_cattle_2019-12-01,64253027_0_cattle_2015-03-01,64253027_1_cattle_2015-03-01,64253027_2_cattle_2015-05-01,64253027_3_cattle_2015-05-01,64253027_4_cattle_2015-05-01,64253027_5_cattle_2015-05-01,64253027_6_cattle_2015-05-01,64253027_7_cattle_2015-05-01,64253027_8_cattle_2015-05-01,64253028_0_cattle_2014-02-01,64253028_10_cattle_2014-02-01,64253028_11_cattle_2014-02-01,64253028_12_cattle_2014-02-01,64253028_13_cattle_2014-02-01,64253028_14_cattle_2014-01-01,64253028_15_cattle_2014-02-01,64253028_16_cattle_2014-02-01,64253028_17_cattle_2014-02-01,64253028_18_cattle_2014-02-01,64253028_19_cattle_2014-02-01,64253028_1_cattle_2014-02-01,64253028_20_cattle_2014-02-01,64253028_21_cattle_2014-02-01,64253028_22_cattle_2014-02-01,64253028_23_cattle_2014-02-01,64253028_24_cattle_2014-02-01,64253028_25_cattle_2016-03-01,64253028_26_cattle_2016-03-01,64253028_27_cattle_2016-03-01,64253028_2_cattle_2013-10-01,64253028_3_cattle_2014-02-01,64253028_4_cattle_2014-02-01,64253028_5_cattle_2014-02-01,64253028_6_cattle_2014-02-01,64253028_7_cattle_2014-02-01,64253028_8_cattle_2014-02-01,64253028_9_cattle_2014-02-01,64253056_0_cattle_2019-02-01,64253056_1_cattle_2019-02-01,64253056_2_cattle_2019-02-01,64264001_0_cattle_2017-07-01,64264001_1_cattle_2017-05-01,64264001_2_cattle_2017-07-01,64264001_3_cattle_2017-07-01,64264001_4_cattle_2017-07-01,64281008_0_cattle_2020-02-01,64301015_0_cattle_2020-02-01,64359108_0_cattle_2014-01-01,64359187_7_cattle_2016-12-01,64359189_7_cattle_2015-02-01,64359200_1_cattle_2014-03-01,64359200_3_cattle_2014-01-01,64359200_4_cattle_2014-03-01,64359200_5_cattle_2014-12-01,64420012_0_cattle_2010-05-01,64420012_10_cattle_2010-05-01,64420012_1_cattle_2010-04-01,64420012_2_cattle_2010-05-01,64420012_3_cattle_2010-03-01,64420012_4_cattle_2010-05-01,64420012_5_cattle_2010-05-01,64420012_6_cattle_2010-05-01,64420012_7_cattle_2010-05-01,64420012_8_cattle_2010-05-01,64420012_9_cattle_2010-05-01,64420015_0_cattle_2007-05-01,64420015_1_cattle_2012-12-01,64420035_0_cattle_2012-07-01,64420035_10_cattle_2012-07-01,64420035_12_cattle_2012-07-01,64420035_14_cattle_2012-07-01,64420035_15_cattle_2012-07-01,64420035_17_cattle_2012-07-01,64420035_18_cattle_2012-07-01,64420035_19_cattle_2012-07-01,64420035_23_cattle_2012-07-01,64420035_29_cattle_2012-07-01,64420035_2_cattle_2012-06-01,64420035_30_cattle_2012-04-01,64420035_31_cattle_2012-07-01,64420035_32_cattle_2012-07-01,64420035_36_cattle_2014-01-01,64420035_37_cattle_2014-01-01,64420035_38_cattle_2014-01-01,64420035_39_cattle_2015-12-01,64420035_3_cattle_2012-07-01,64420035_40_cattle_2015-12-01,64420035_4_cattle_2012-07-01,64420035_5_cattle_2012-07-01,64420035_7_cattle_2012-02-01,64420035_9_cattle_2012-07-01,64420039_0_cattle_2014-01-01,64420039_1_cattle_2017-04-01,64420039_2_cattle_2017-02-01,64420039_3_cattle_2017-02-01,64420039_4_cattle_2017-02-01,64420039_5_cattle_2017-02-01,64422009_0_cattle_2020-02-01,64422009_1_cattle_2020-02-01,64422009_2_cattle_2020-02-01,64422009_3_cattle_2020-02-01,64422009_4_cattle_2020-02-01,64449001_0_cattle_2017-01-01,64449007_0_cattle_2015-05-01,64449007_1_cattle_2015-07-01,64449007_2_cattle_2015-03-01,64449007_3_cattle_2015-07-01
0,0,0.05878824235152951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.002199560087982403,0,0,0.0019996000799840027,0.009798040391921612,0,0,0,0.5360927814436861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027394521095780777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,3.999200159968006e-4,0,0.009998000399920012,5.998800239952009e-4,0.0015996800639872023,5.998800239952009e-4,0,5.998800239952009e-4,0,0.022595480903819187,0,0,0.001399720055988802,0,1.999600079984003e-4,0.0015996800639872023,7.998400319936012e-4,0.001399720055988802,0,0,7.998400319936012e-4,0.0035992801439712063,0,0.0023995200959808036,0,0,0,0,0.003399320135972806,0,5.998800239952009e-4,5.998800239952009e-4,0.007598480303939215,0.007998400319936016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10357928414317244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0.001399720055988802,9.998000399920016e-4,3.999200159968006e-4,0.001399720055988802,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.999600079984003e-4,0,0,0,0.12137572485503062,0.11237752449510233,0.126974605078986,0,0,0,0.0015996800639872023,0.012597480503899207,0,0,0,0,0,0,0,0.1455708858228378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0.0017996400719856025,0.017996400719855997,0.042991401719655944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0.3097380523895213,0.12177564487102743,0.09138172365526964,0.06898620275944811
0,0,0,0,0,0.16556688662267846,0,0,0.0015996800639872023,9.998000399920016e-4,0,0,0,0,0,0,0,0.02139572085582879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.0027994401119776045,0,0.001399720055988802,0.007398520295940815,0.002999400119976005,0,0.0031993601279744054,0,0.0031993601279744054,0.0027994401119776045,0,0.001399720055988802,7.998400319936012e-4,7.998400319936012e-4,0.002599480103979204,0.0037992401519696068,0,0,0,0.023395320935812786,5.998800239952009e-4,0.0031993601279744054,0.0017996400719856025,0.0011997600479904018,0.002199560087982403,0.013797240551889604,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0.008398320335932815,0,0,3.999200159968006e-4,0.001399720055988802,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0.17376524695061313,0,0,0,0,3.999200159968006e-4,0,0.2343531293741303,0.44471105778842696,0,0,0,0.0023995200959808036,5.998800239952009e-4,0.0031993601279744054,0,7.998400319936012e-4,0,0,0,0,0,0.02539492101579678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0049990001999600095,0.01119776044791041,0,0,0,0,0.12537492501499875,0.011597680463907209,0,0,0,0,0,0,0.028594281143771175,0,0.0019996000799840027,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0.001399720055988802,0.002199560087982403,0.0035992801439712063,7.998400319936012e-4,0,0.0019996000799840027,0.008198360327934416,3.999200159968006e-4,1.999600079984003e-4,0,0.0023995200959808036,5.998800239952009e-4,0.0011997600479904018,0.006998600279944014,0.0023995200959808036,0,0,0,0.025194961007798382,0,0,0.001399720055988802,1.999600079984003e-4,5.998800239952009e-4,0.008998200359928014,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0.005798840231953611,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005798840231953611,0,0,0,0,0,0,0.003999200159968007,0.028794241151769574,0,0,0,0.14357128574285374,0.15656868626275017,0.37412517496499925,0,0,0.0031993601279744054,0,0,0,0,0.5800839832033294,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0
0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023195360927814386,0.11497700459908161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0.0045990801839632086,0.009198160367926414,0.010197960407918412,0.012597480503899207,0.08038392321535728,0.023395320935812786,0.16436712657468802,0.19336132773445697,0,0.1851629674065223,0.04359128174365114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01119776044791041,0.04839032193561273,0.033393321335732765,0.4953009398120168,0,0,0,0,0.009598080383923213,0,0,0,0,0,0.03099380123975197,0,0.010197960407918412,0.01059788042391521,0,0.06058788242351511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.006398720255948813,0,0,0.01059788042391521,0,0,0.00539892021595681,0,0,0,0,0.004199160167966408,0.010397920415916811,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0.05418916216756632,0.24775044991002354,0.2823435312937434,0.008998200359928014,0.21195760847830877,0,0.0035992801439712063,0.0015996800639872023,0.008398320335932815,0.10437912417516607,0.0031993601279744054,0.008598280343931215,0.005598880223955211,0,0.005998800239952012,0,0,0,0,0.004399120175964808,0,0.0011997600479904018,0.0011997600479904018,0.03679264147170556,0.007398520295940815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.2945410917816445,0,0.010197960407918412,0,0,0,0,0.23915216956609206,0.027994401119775976,0,0,0,0,0,0,0,0,0,0,0,0,0.22895420915817333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07518496300739871,0.04039192161567675,0.19596080783843625,0.0035992801439712063,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0.17056588682263862,0.023795240951809585,0.03139372125574877,0.018196360727854397
