tinfection,tremoved,infector_id,infected_id
2015.6524268974936,2016.666666666686,275,40316002_0_cattle_2016-09-01
2015.1881288466436,2016.666666666738,165,40316002_10_cattle_2016-09-01
2016.0694707653506,2016.666666666725,2,40316002_11_cattle_2016-09-01
2015.4401947921517,2016.6666666666845,160,40316002_12_cattle_2016-09-01
2015.324491765623,2016.666666666762,251,40316002_13_cattle_2016-09-01
2015.9348234985855,2016.666666666762,165,40316002_14_cattle_2016-09-01
2015.5730418909857,2016.6666666666806,10,40316002_1_cattle_2016-09-01
2015.7425726778638,2016.666666666751,46,40316002_2_cattle_2016-09-01
2015.973587156428,2016.6666666667145,158,40316002_3_cattle_2016-09-01
2015.1022561837374,2016.6666666667227,146,40316002_4_cattle_2016-09-01
2016.2011044575215,2016.5819672131704,285,40316002_5_cattle_2016-08-01
2015.1214125760603,2016.6666666666915,251,40316002_6_cattle_2016-09-01
2015.7139564316587,2016.6666666667436,163,40316002_7_cattle_2016-09-01
2015.9417869143945,2016.6666666666858,159,40316002_8_cattle_2016-09-01
2015.4759574491507,2016.6666666667081,2,40316002_9_cattle_2016-09-01
2017.2825990086178,2019.0000000000855,191,40316010_0_cattle_2019-01-01
2017.9606453834997,2019.0000000000978,132,40316010_1_cattle_2019-01-01
2015.7889131974418,2018.1616438356389,174,40316038_0_cattle_2018-03-01
2015.2620944304854,2018.161643835661,251,40316038_1_cattle_2018-03-01
2016.1041023310786,2018.1616438356239,239,40316038_2_cattle_2018-03-01
2015.2146078455426,2018.1616438356825,135,40316038_3_cattle_2018-03-01
2015.6159232309788,2017.6657534246963,275,40316_4_boar_2017-09-01
2017.3544413654079,2018.3287671233716,20,40316_5_boar_2018-05-01
2016.6253087523692,2017.4136986301519,135,40316_6_boar_2017-06-01
2016.4491163552434,2018.4958904109935,174,40316_7_boar_2018-07-01
2013.7518876009694,2014.1616438356632,298,64149026_0_cattle_2014-03-01
2016.015700220422,2016.4972677595783,158,64149026_10_cattle_2016-07-01
2014.9559725429197,2016.1639344262642,29,64149026_11_cattle_2016-03-01
2014.7414868337135,2016.4972677596595,272,64149026_12_cattle_2016-07-01
2015.7683758838234,2016.1639344262417,283,64149026_13_cattle_2016-03-01
2015.6049350899145,2017.246575342467,165,64149026_14_cattle_2017-04-01
2015.876413404375,2016.4972677595797,274,64149026_15_cattle_2016-07-01
2014.994326419123,2016.4972677596443,28,64149026_16_cattle_2016-07-01
2015.7259488610464,2016.4972677596502,153,64149026_17_cattle_2016-07-01
2015.4196778666856,2017.4958904110097,251,64149026_18_cattle_2017-07-01
2015.9712073962035,2017.2465753425286,172,64149026_19_cattle_2017-04-01
2013.881112586548,2014.3287671233713,290,64149026_1_cattle_2014-05-01
2016.0355291278602,2018.2465753424938,174,64149026_20_cattle_2018-04-01
2016.1209796061546,2018.4958904110254,162,64149026_21_cattle_2018-07-01
2017.2096257802439,2018.2465753424804,41,64149026_22_cattle_2018-04-01
2016.1083789818263,2018.2465753425636,256,64149026_23_cattle_2018-04-01
2017.2756255733175,2018.4958904109885,253,64149026_24_cattle_2018-07-01
2015.5929436372953,2016.16393442624,29,64149026_2_cattle_2016-03-01
2015.5741120655734,2016.1639344262449,146,64149026_3_cattle_2016-03-01
2015.7586654427741,2016.4972677596577,291,64149026_4_cattle_2016-07-01
2015.2795116926172,2016.7486338798608,160,64149026_5_cattle_2016-10-01
2015.2770234154962,2016.163934426326,149,64149026_6_cattle_2016-03-01
2016.0709395674203,2016.4972677595983,46,64149026_7_cattle_2016-07-01
2015.226286147688,2016.4972677596136,251,64149026_8_cattle_2016-07-01
2015.3993597553504,2016.4972677596443,33,64149026_9_cattle_2016-07-01
2016.1904583426654,2017.1616438356164,251,64179004_0_cattle_2017-03-01
2016.6525970212622,2017.3287671232895,251,64179004_1_cattle_2017-05-01
2015.832477147057,2017.4958904110267,126,64245012_0_cattle_2017-07-01
2016.0602158292654,2017.5808219179014,185,64245012_1_cattle_2017-08-01
2019.110091334057,2020.0846994535793,335,64245012_2_cattle_2020-02-01
2015.691328013219,2018.0000000000807,243,64245019_0_cattle_2018-01-01
2018.2749485688657,2019.9150684932295,337,64245_1_boar_2019-12-01
2017.0681286893685,2018.0000000000985,35,64301081_0_cattle_2018-01-01
2017.9280194150563,2018.000000000061,58,64301081_1_cattle_2018-01-01
2013.2815786237452,2014.0849315069188,297,64328057_0_cattle_2014-02-01
2014.0600813676856,2014.2465753425424,281,64328057_1_cattle_2014-04-01
2014.9688628674548,2016.1639344263172,29,64349013_0_cattle_2016-03-01
2015.2619466558153,2016.163934426291,149,64349013_1_cattle_2016-03-01
2016.0118164443284,2016.4972677595892,158,64349014_3_cattle_2016-07-01
2015.7345159379856,2017.4136986302228,160,64349038_9_cattle_2017-06-01
2015.6410135801007,2017.0849315068926,160,64349053_1_cattle_2017-02-01
2013.5438333627922,2014.1616438356532,281,64349_11_boar_2014-03-01
2018.4200042566592,2018.495890411005,72,64349_13_boar_2018-07-01
2013.7859741113014,2014.1616438356361,299,64349_15_boar_2014-03-01
2016.0060566693521,2017.6657534246642,237,64349_38_boar_2017-09-01
2020.0408688322382,2020.0846994535793,314,64349_42_boar_2020-02-01
2017.8212158404533,2018.6657534246885,66,64349_63_boar_2018-09-01
2012.4882763408832,2013.084931506852,195,64359029_2_cattle_2013-02-01
2012.3684872184774,2013.084931506866,195,64359042_0_cattle_2013-02-01
2015.9938638450442,2017.4958904109767,126,64359042_6_cattle_2017-07-01
2012.5611701159507,2013.0000000000744,77,64359045_11_cattle_2013-01-01
2012.388452586715,2013.0000000000277,195,64359045_13_cattle_2013-01-01
2012.9143594414563,2013.161643835701,91,64359045_16_cattle_2013-03-01
2012.7467925238966,2013.1616438356543,195,64359045_18_cattle_2013-03-01
2012.8474951049602,2013.1616438356714,91,64359045_19_cattle_2013-03-01
2013.103076374457,2013.161643835649,96,64359045_4_cattle_2013-03-01
2012.7566975611335,2013.0000000000662,76,64359045_9_cattle_2013-01-01
2012.6186706031365,2012.9153005464489,195,64359046_3_cattle_2012-12-01
2017.0587887722947,2017.6657534246976,173,64359075_17_cattle_2017-09-01
2018.1477667405707,2018.2465753424854,86,64359119_3_cattle_2018-04-01
2017.6121850388238,2018.0849315069352,84,64359119_4_cattle_2018-02-01
2017.605421573132,2017.9150684932476,84,64359119_5_cattle_2017-12-01
2018.1997848319968,2018.2465753424976,86,64359119_6_cattle_2018-04-01
