infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
45_d500_99_766_0,1,NA,NA,2008-12-31T23:00:00Z,NA,badger,NA,NA
64349068_0,2,1,0,2009-04-30T22:00:00Z,2008-12-31T23:00:00Z,cattle,badger,45_d500_99_766_0
45_d500_192_0,3,1,0,2017-04-30T22:00:00Z,2008-12-31T23:00:00Z,badger,badger,45_d500_99_766_0
64349_0,4,1,0.005882685357382267,2013-04-30T22:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
45_d500_190_1526_0,5,1,0,2010-09-30T22:00:00Z,2008-12-31T23:00:00Z,badger,badger,45_d500_99_766_0
45_d500_190_1526_1,6,1,0,2016-07-31T22:00:00Z,2008-12-31T23:00:00Z,badger,badger,45_d500_99_766_0
45_d500_192_1,7,1,0,2013-11-30T23:00:00Z,2008-12-31T23:00:00Z,badger,badger,45_d500_99_766_0
64349013_0,8,1,0,2010-01-31T23:00:00Z,2008-12-31T23:00:00Z,cattle,badger,45_d500_99_766_0
64349_1,9,1,0,2009-12-31T23:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
64349_2,10,1,0,2009-07-31T22:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
64349070_0,11,1,0,2011-05-31T22:00:00Z,2008-12-31T23:00:00Z,cattle,badger,45_d500_99_766_0
45_d500_159_855_0,12,1,0.005882685357382267,2015-10-31T23:00:00Z,2008-12-31T23:00:00Z,badger,badger,45_d500_99_766_0
64349_3,13,1,0,2010-11-30T23:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
64349_4,14,1,0,2010-09-30T22:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
45_d500_318_0,15,230,0,2020-01-31T23:00:00Z,2016-02-29T23:00:00Z,badger,badger,45_d500_102_0
64349_5,16,1,0,2010-03-31T22:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
64349070_1,17,1,0,2011-05-31T22:00:00Z,2008-12-31T23:00:00Z,cattle,badger,45_d500_99_766_0
64349_6,18,1,0,2014-01-31T23:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
64349_7,19,1,0.005882685357382267,2012-06-30T22:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
64349_8,20,1,0,2015-09-30T22:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
45_d500_318_1,21,1,0,2014-05-31T22:00:00Z,2008-12-31T23:00:00Z,badger,badger,45_d500_99_766_0
64403021_0,22,1,0.005873841018342561,2014-12-31T23:00:00Z,2008-12-31T23:00:00Z,cattle,badger,45_d500_99_766_0
64349070_2,23,1,0,2011-05-31T22:00:00Z,2008-12-31T23:00:00Z,cattle,badger,45_d500_99_766_0
64349_11,24,1,0,2013-05-31T22:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
64349_9,25,1,0,2011-06-30T22:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
64349_10,26,1,0,2010-09-30T22:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
64349_12,27,1,0,2011-12-31T23:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
64349_13,28,1,0,2012-12-31T23:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
64349_14,29,1,0,2014-11-30T23:00:00Z,2008-12-31T23:00:00Z,boar,badger,45_d500_99_766_0
45_d500_318_2,30,1,0.005882685357382267,2013-04-30T22:00:00Z,2008-12-31T23:00:00Z,badger,badger,45_d500_99_766_0
