infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
45_d500_99_839_0,1,4,0,2013-07-31T22:00:00Z,2009-05-31T22:00:00Z,badger,cattle,64420035_0
45_d500_123_762_0,2,4,0.005882735357468088,2014-08-31T22:00:00Z,2009-05-31T22:00:00Z,badger,cattle,64420035_0
45_d500_99_839_1,3,4,0.005873854298408447,2014-04-30T22:00:00Z,2009-05-31T22:00:00Z,badger,cattle,64420035_0
64420035_0,4,NA,NA,2009-05-31T22:00:00Z,NA,cattle,NA,NA
45_d500_123_762_1,5,4,0,2012-07-31T22:00:00Z,2009-05-31T22:00:00Z,badger,cattle,64420035_0
64420035_1,6,4,0,2012-05-31T22:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
45_d500_99_869_0,7,4,0.005873854298408447,2010-01-31T23:00:00Z,2009-05-31T22:00:00Z,badger,cattle,64420035_0
45_d500_99_869_1,8,4,0,2010-05-31T22:00:00Z,2009-05-31T22:00:00Z,badger,cattle,64420035_0
45_d500_99_869_2,9,7,0,2010-11-30T23:00:00Z,2010-01-31T23:00:00Z,badger,badger,45_d500_99_869_0
64420035_2,10,4,0,2012-05-31T22:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
45_d500_99_869_3,11,4,0,2014-09-30T22:00:00Z,2009-05-31T22:00:00Z,badger,cattle,64420035_0
45_d500_99_869_4,12,4,0,2010-04-30T22:00:00Z,2009-05-31T22:00:00Z,badger,cattle,64420035_0
45_d500_99_869_5,13,4,0.005873854298408447,2012-08-31T22:00:00Z,2009-05-31T22:00:00Z,badger,cattle,64420035_0
64420035_3,14,4,0,2012-03-31T22:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420035_4,15,4,0.005882735357468088,2012-03-31T22:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420035_5,16,4,0,2012-03-31T22:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420035_6,17,4,0,2012-03-31T22:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420035_7,18,4,0,2012-03-31T22:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420035_8,19,4,0,2012-04-30T22:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
45_d500_99_839_2,20,4,0,2013-08-31T22:00:00Z,2009-05-31T22:00:00Z,badger,cattle,64420035_0
64420042_0,21,4,0,2012-10-31T23:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420035_9,22,4,0,2012-03-31T22:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420047_0,23,4,0,2013-01-31T23:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420042_1,24,4,0,2012-10-31T23:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420042_2,25,4,0.005882735357468088,2012-10-31T23:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420009_0,26,4,0,2013-01-31T23:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
45_d500_57_715_0,27,4,0,2012-05-31T22:00:00Z,2009-05-31T22:00:00Z,badger,cattle,64420035_0
64420035_10,28,4,0,2012-03-31T22:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420035_11,29,4,0,2012-03-31T22:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420035_12,30,4,0,2012-05-31T22:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
64420042_3,31,4,0,2012-10-31T23:00:00Z,2009-05-31T22:00:00Z,cattle,cattle,64420035_0
