infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
64420015_0,1,8,0,2008-08-31T22:00:00Z,2008-02-29T23:00:00Z,cattle,cattle,64420015_3
45_d500_157_858_0,2,8,0,2012-03-31T22:00:00Z,2008-02-29T23:00:00Z,badger,cattle,64420015_3
45_d500_160_0,3,8,0.005882703856588542,2010-10-31T23:00:00Z,2008-02-29T23:00:00Z,badger,cattle,64420015_3
64420015_1,4,8,0,2008-07-31T22:00:00Z,2008-02-29T23:00:00Z,cattle,cattle,64420015_3
64420015_2,5,8,0,2008-08-31T22:00:00Z,2008-02-29T23:00:00Z,cattle,cattle,64420015_3
64420044_0,6,8,0,2008-10-31T23:00:00Z,2008-02-29T23:00:00Z,cattle,cattle,64420015_3
45_d500_156_0,7,8,0.005882703856588542,2012-08-31T22:00:00Z,2008-02-29T23:00:00Z,badger,cattle,64420015_3
64420015_3,8,NA,NA,2008-02-29T23:00:00Z,NA,cattle,NA,NA
64420015_4,9,8,0,2008-08-31T22:00:00Z,2008-02-29T23:00:00Z,cattle,cattle,64420015_3
64420015_5,10,8,0,2008-08-31T22:00:00Z,2008-02-29T23:00:00Z,cattle,cattle,64420015_3
64420015_6,11,8,0,2008-08-31T22:00:00Z,2008-02-29T23:00:00Z,cattle,cattle,64420015_3
64420015_7,12,8,0,2008-08-31T22:00:00Z,2008-02-29T23:00:00Z,cattle,cattle,64420015_3
64420015_8,13,8,0,2008-08-31T22:00:00Z,2008-02-29T23:00:00Z,cattle,cattle,64420015_3
45_d500_160_1,14,8,0,2015-07-31T22:00:00Z,2008-02-29T23:00:00Z,badger,cattle,64420015_3
64420015_9,15,8,0,2008-08-31T22:00:00Z,2008-02-29T23:00:00Z,cattle,cattle,64420015_3
45_d500_152_0,16,8,0.005873845693297629,2010-07-31T22:00:00Z,2008-02-29T23:00:00Z,badger,cattle,64420015_3
64420047_0,17,8,0,2010-06-30T22:00:00Z,2008-02-29T23:00:00Z,cattle,cattle,64420015_3
45_d500_156_1,18,8,0,2014-10-31T23:00:00Z,2008-02-29T23:00:00Z,badger,cattle,64420015_3
