infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
64420015_0,1,9,0,2010-03-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_3
45_d500_160_0,2,75,0,2013-07-31T22:00:00Z,2012-09-30T22:00:00Z,badger,badger,45_d500_99_866_5
45_d500_157_858_0,3,42,0,2013-07-31T22:00:00Z,2012-03-31T22:00:00Z,badger,badger,45_d500_157_858_2
64420015_1,4,NA,NA,2010-01-31T23:00:00Z,NA,cattle,NA,NA
45_d500_156_0,5,239,0,2020-01-31T23:00:00Z,2019-10-31T23:00:00Z,badger,cattle,64201014_0
45_d500_160_1,6,4,0.0058827165933215885,2015-04-30T22:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_1
64420044_0,7,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420015_2,8,NA,NA,2010-01-31T23:00:00Z,NA,cattle,NA,NA
64420015_3,9,NA,NA,2010-01-31T23:00:00Z,NA,cattle,NA,NA
64420015_4,10,NA,NA,2010-01-31T23:00:00Z,NA,cattle,NA,NA
64420015_5,11,4,0,2010-03-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420015_6,12,4,0,2010-03-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
45_d500_157_858_1,13,4,0,2014-04-30T22:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_1
64420044_1,14,4,0.005873845482240413,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420015_8,15,NA,NA,2010-01-31T23:00:00Z,NA,cattle,NA,NA
64420015_7,16,4,0,2010-03-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
45_d500_160_2,17,4,0,2010-06-30T22:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_1
45_d500_160_3,18,244,0,2020-01-31T23:00:00Z,2019-01-31T23:00:00Z,badger,cattle,64420035_6
45_d500_152_0,19,4,0,2014-05-31T22:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_1
64420044_2,20,10,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_4
64420015_10,21,NA,NA,2010-01-31T23:00:00Z,NA,cattle,NA,NA
64420015_12,22,4,0,2010-03-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420015_9,23,4,0,2010-03-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420015_11,24,NA,NA,2010-01-31T23:00:00Z,NA,cattle,NA,NA
64420015_15,25,NA,NA,2010-01-31T23:00:00Z,NA,cattle,NA,NA
64420015_14,26,10,0,2010-03-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_4
64420015_13,27,4,0,2010-03-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420015_16,28,NA,NA,2010-01-31T23:00:00Z,NA,cattle,NA,NA
64420015_18,29,4,0,2010-03-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420015_19,30,NA,NA,2010-01-31T23:00:00Z,NA,cattle,NA,NA
64420015_17,31,NA,NA,2010-01-31T23:00:00Z,NA,cattle,NA,NA
64420044_3,32,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420015_20,33,4,0,2010-03-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420015_21,34,4,0,2010-03-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_4,35,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
45_d500_163_0,36,4,0.005873845482240413,2014-08-31T22:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_1
64420007_0,37,4,0,2012-06-30T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_5,38,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_6,39,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64359189_0,40,4,0,2013-02-28T23:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420007_1,41,70,0,2012-06-30T22:00:00Z,2012-02-29T23:00:00Z,cattle,cattle,64420007_4
45_d500_157_858_2,42,9,0.005873845482240413,2012-03-31T22:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_3
64420044_7,43,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_8,44,10,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_4
45_d500_152_1,45,4,0,2013-07-31T22:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_1
64420044_9,46,4,0,2011-07-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_10,47,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_11,48,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_16,49,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_14,50,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_13,51,10,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_4
64420044_15,52,10,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_4
64420044_12,53,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420007_2,54,4,0,2012-05-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_18,55,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_19,56,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_17,57,10,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_4
45_d500_152_2,58,4,0,2011-11-30T23:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_1
64420044_20,59,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_21,60,10,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_4
64420007_3,61,4,0,2012-06-30T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420044_22,62,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
45_d500_160_4,63,4,0,2012-06-30T22:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_1
64420044_23,64,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
45_d500_160_5,65,4,0,2013-02-28T23:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_1
64420044_24,66,4,0,2011-08-31T22:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420015_22,67,4,0,2013-01-31T23:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
45_d500_99_866_4,68,4,0,2013-03-31T22:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_1
64310006_0,69,75,0,2014-11-30T23:00:00Z,2012-09-30T22:00:00Z,cattle,badger,45_d500_99_866_5
64420007_4,70,4,0.005873845482240413,2012-02-29T23:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64310006_1,71,75,0,2014-11-30T23:00:00Z,2012-09-30T22:00:00Z,cattle,badger,45_d500_99_866_5
64310_0,72,75,0,2012-10-31T23:00:00Z,2012-09-30T22:00:00Z,boar,badger,45_d500_99_866_5
64310_1,73,75,0.0058827165933215885,2013-09-30T22:00:00Z,2012-09-30T22:00:00Z,boar,badger,45_d500_99_866_5
64359189_1,74,4,0,2013-02-28T23:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
45_d500_99_866_5,75,9,0.0058827165933215885,2012-09-30T22:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_3
45_d500_155_880_0,76,4,0,2017-04-30T22:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_1
64420008_0,77,4,0,2013-02-28T23:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420007_5,78,70,0,2012-06-30T22:00:00Z,2012-02-29T23:00:00Z,cattle,cattle,64420007_4
64310006_2,79,75,0,2014-11-30T23:00:00Z,2012-09-30T22:00:00Z,cattle,badger,45_d500_99_866_5
45_d500_37_600_0,80,101,0,2014-06-30T22:00:00Z,2014-01-31T23:00:00Z,badger,cattle,64359110_0
45_d500_163_2,81,75,0.0058827165933215885,2014-03-31T22:00:00Z,2012-09-30T22:00:00Z,badger,badger,45_d500_99_866_5
64420047_0,82,4,0,2012-11-30T23:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
45_d500_157_858_3,83,4,0,2012-10-31T23:00:00Z,2010-01-31T23:00:00Z,badger,cattle,64420015_1
45_d500_160_7,84,75,0,2014-07-31T22:00:00Z,2012-09-30T22:00:00Z,badger,badger,45_d500_99_866_5
64310_2,85,75,0,2013-03-31T22:00:00Z,2012-09-30T22:00:00Z,boar,badger,45_d500_99_866_5
64420042_0,86,9,0,2013-11-30T23:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_3
64310_3,87,75,0,2014-04-30T22:00:00Z,2012-09-30T22:00:00Z,boar,badger,45_d500_99_866_5
64359_0,88,4,0,2013-12-31T23:00:00Z,2010-01-31T23:00:00Z,boar,cattle,64420015_1
64310006_3,89,75,0,2014-10-31T23:00:00Z,2012-09-30T22:00:00Z,cattle,badger,45_d500_99_866_5
64359189_2,90,4,0,2013-02-28T23:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420015_23,91,4,0,2013-01-31T23:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
64420015_24,92,4,0,2013-01-31T23:00:00Z,2010-01-31T23:00:00Z,cattle,cattle,64420015_1
45_d500_99_866_6,93,133,0,2015-05-31T22:00:00Z,2015-02-28T23:00:00Z,badger,cattle,64420035_1
64310006_4,94,75,0,2014-06-30T22:00:00Z,2012-09-30T22:00:00Z,cattle,badger,45_d500_99_866_5
64310006_5,95,75,0.0058827165933215885,2014-11-30T23:00:00Z,2012-09-30T22:00:00Z,cattle,badger,45_d500_99_866_5
64310006_6,96,75,0,2014-11-30T23:00:00Z,2012-09-30T22:00:00Z,cattle,badger,45_d500_99_866_5
64310006_7,97,75,0,2014-11-30T23:00:00Z,2012-09-30T22:00:00Z,cattle,badger,45_d500_99_866_5
64310006_8,98,75,0,2014-11-30T23:00:00Z,2012-09-30T22:00:00Z,cattle,badger,45_d500_99_866_5
