infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
64326020_36,300,262,0,2018-02-28T23:00:00Z,2017-09-30T22:00:00Z,cattle,cattle,64393387_4
64326020_34,301,2,0,2018-05-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64326020_35,302,262,0,2018-04-30T22:00:00Z,2017-09-30T22:00:00Z,cattle,cattle,64393387_4
3_d500_285_4,303,43,0,2019-06-30T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
64521001_3,304,43,0,2018-03-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64521001_4,305,43,0,2018-03-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
45_d500_61_2,306,262,0,2018-06-30T22:00:00Z,2017-09-30T22:00:00Z,badger,cattle,64393387_4
64359005_0,307,2,0.0058827303298724,2018-11-30T23:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64244012_2,308,297,0,2018-08-31T22:00:00Z,2018-03-31T22:00:00Z,cattle,cattle,64244012_1
64359_11,309,103,0.0058827303298724,2019-01-31T23:00:00Z,2013-06-30T22:00:00Z,boar,badger,45_d500_42_560_0
64393_13,310,248,0,2020-01-31T23:00:00Z,2017-08-31T22:00:00Z,boar,cattle,64393387_3
64556034_0,311,2,0.0058827303298724,2020-01-31T23:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64359158_0,312,2,0.011836130074481406,2020-01-31T23:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64359200_0,313,43,0,2020-01-31T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64359158_1,314,2,0.011836130074481406,2020-01-31T23:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64359_12,315,2,0.011836130074481406,2020-01-31T23:00:00Z,2007-06-30T22:00:00Z,boar,badger,45_d500_99_839_0
