from,to,time,support,generations
5,1,9,0.6133333333333333,1
11,2,77,0.8116666666666666,1
7,3,59,0.5116666666666667,1
1,4,22,0.5361111111111111,1
NA,5,7,0.38666666666666666,NA
7,6,76,0.8477777777777777,1
4,7,43,0.9877777777777778,1
3,8,89,0.9688888888888889,1
6,9,80,0.8622222222222222,1
30,10,125,0.5461111111111111,1
3,11,67,0.5183333333333333,1
9,12,90,0.9955555555555555,1
34,13,106,0.5027777777777778,1
39,14,114,0.16111111111111112,1
12,15,121,0.9116666666666666,1
30,16,130,0.35555555555555557,1
42,17,104,0.475,1
20,18,107,0.33,1
32,19,105,0.21222222222222223,1
6,20,96,0.555,1
20,21,97,0.4683333333333333,1
20,22,102,0.435,1
64,23,111,0.1938888888888889,1
17,24,107,0.525,1
17,25,110,0.23277777777777778,1
302,26,151,0.14555555555555555,1
22,27,108,0.9883333333333333,1
32,28,106,0.20166666666666666,1
19,29,109,0.2,1
21,30,104,0.3861111111111111,1
21,31,106,0.36277777777777775,1
19,32,105,0.2111111111111111,1
198,33,151,0.1411111111111111,1
13,34,105,0.4905555555555556,1
22,35,108,0.9911111111111112,1
22,36,108,0.9911111111111112,1
22,37,108,0.9905555555555555,1
19,38,105,0.21722222222222223,1
38,39,108,0.19944444444444445,1
19,40,108,0.21055555555555555,1
13,41,110,0.5027777777777778,1
17,42,104,0.5205555555555555,1
95,43,116,0.2111111111111111,1
67,44,120,0.1388888888888889,1
64,45,116,0.34944444444444445,1
180,46,141,0.36722222222222223,1
50,47,120,0.14166666666666666,1
86,48,117,0.33611111111111114,1
102,49,122,0.13333333333333333,1
39,50,118,0.17666666666666667,1
262,51,140,0.13666666666666666,1
71,52,121,0.31166666666666665,1
82,53,124,0.15944444444444444,1
101,54,116,0.15055555555555555,1
138,55,126,0.20722222222222222,1
29,56,120,0.7111111111111111,1
94,57,117,0.2127777777777778,1
150,58,125,0.16555555555555557,1
67,59,120,0.13333333333333333,1
158,60,142,0.21166666666666667,1
80,61,116,0.22055555555555556,1
107,62,120,0.35444444444444445,1
71,63,121,0.3088888888888889,1
23,64,108,0.20222222222222222,1
96,65,118,0.26666666666666666,1
90,66,128,0.45444444444444443,1
54,67,115.5,0.14444444444444443,1
97,68,117,0.18722222222222223,1
89,69,118,0.135,1
71,70,121,0.31222222222222223,1
64,71,115,0.15777777777777777,1
71,72,122,0.28055555555555556,1
116,73,125,0.7905555555555556,1
59,74,126,0.115,1
110,75,126,0.12277777777777778,1
91,76,117,0.18888888888888888,1
91,77,119,0.18388888888888888,1
80,78,118,0.21833333333333332,1
95,79,121,0.20555555555555555,1
43,80,116,0.20777777777777778,1
71,81,120,0.3622222222222222,1
97,82,116,0.18722222222222223,1
120,83,121,0.49277777777777776,1
101,84,124,0.12222222222222222,1
86,85,117,0.3422222222222222,1
29,86,116,0.34833333333333333,1
96,87,117,0.245,1
96,88,118,0.2677777777777778,1
101,89,116,0.15333333333333332,1
14,90,121,0.7211111111111111,1
76,91,117,0.19277777777777777,1
57,92,117,0.18666666666666668,1
80,93,119,0.2038888888888889,1
76,94,116,0.19611111111111112,1
80,95,116,0.2127777777777778,1
87,96,117,0.25833333333333336,1
82,97,117,0.18333333333333332,1
82,98,116,0.1811111111111111,1
98,99,121,0.17777777777777778,1
98,100,117,0.1827777777777778,1
67,101,115,0.14222222222222222,1
101,102,116,0.14888888888888888,1
174,103,148,0.35833333333333334,1
50,104,125,0.19111111111111112,1
71,105,121,0.30944444444444447,1
62,106,121,0.3411111111111111,1
62,107,120,0.32666666666666666,1
152,108,131,0.17722222222222223,1
44,109,125,0.11722222222222223,1
102,110,118,0.135,1
148,111,135,0.165,1
62,112,127,0.285,1
142,113,130,0.5061111111111111,1
119,114,128,0.14055555555555554,1
106,115,128,0.3416666666666667,1
50,116,122,0.14555555555555555,1
47,117,130,0.6811111111111111,1
50,118,129,0.1738888888888889,1
71,119,121,0.31555555555555553,1
83,120,121,0.48777777777777775,1
107,121,123,0.3288888888888889,1
90,122,127,0.3888888888888889,1
192,123,136,0.24833333333333332,1
139,124,133,0.18666666666666668,1
75,125,134,0.9927777777777778,1
97,126,124,0.1622222222222222,1
98,127,127,0.13055555555555556,1
62,128,129,0.2288888888888889,1
208,129,148,0.2772222222222222,1
106,130,129,0.9905555555555555,1
132,131,132,0.3022222222222222,1
90,132,125,0.6955555555555556,1
