X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
23578,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,3,15,demographie,13,396,NA->cattle,2007,15,b2012,495,495,NA,NA,NA,NA,NA,NA
23579,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,5,7,37,abattage,23,396,cattle->cattle,2007,32,b2012,495,495,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1
23580,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,10,11,37,abattage,33,396,cattle->cattle,2007,27,b2012,495,495,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2
23581,13,SB0832,cattle,cattle,64420015_3,64420015_2,64420015,64420015,within,14,19,37,abattage,64,396,cattle->cattle,2008,23,b2012,495,495,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3
23582,13,SB0832,cattle,cattle,64420015_4,64420015_2,64420015,64420015,within,14,18,37,abattage,65,396,cattle->cattle,2008,23,b2012,495,495,64420015_2->64420015_4,64420015_2->64420015_4,64420015_2->64420015_4,64420015_2->64420015_4,64420015_2->64420015_4,64420015_2->64420015_4
23583,13,SB0832,cattle,cattle,64420015_5,64420015_2,64420015,64420015,within,17,29,37,abattage,78,396,cattle->cattle,2008,20,b2012,495,495,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5
23584,13,SB0832,cattle,cattle,64420015_6,64420015_2,64420015,64420015,within,17,-1,18,demographie,79,396,cattle->cattle,2008,1,b2012,495,495,64420015_2->64420015_6,64420015_2->64420015_6,64420015_2->64420015_6,64420015_2->64420015_6,64420015_2->64420015_6,64420015_2->64420015_6
23585,13,SB0832,cattle,cattle,64420015_7,64420015_4,64420015,64420015,within,18,19,37,abattage,83,396,cattle->cattle,2008,19,b2012,495,495,64420015_4->64420015_7,64420015_4->64420015_7,64420015_4->64420015_7,64420015_4->64420015_7,64420015_4->64420015_7,64420015_4->64420015_7
23586,13,SB0832,cattle,cattle,64420044_0,64420015_2,64420044,64420015,pasture,22,25,31,demographie,107,396,cattle->cattle,2008,9,b2012,495,495,64420015_2->64420044_0,64420015_2->64420044_0,64420015_2->64420044_0,64420015_2->64420044_0,64420015_2->64420044_0,64420015_2->64420044_0
23587,13,SB0832,cattle,cattle,64420015_8,64420015_7,64420015,64420015,within,22,22,37,abattage,108,396,cattle->cattle,2008,15,b2012,495,495,64420015_7->64420015_8,64420015_7->64420015_8,64420015_7->64420015_8,64420015_7->64420015_8,64420015_7->64420015_8,64420015_7->64420015_8
23588,13,SB0832,cattle,cattle,64420015_9,64420015_1,64420015,64420015,within,23,24,37,abattage,118,396,cattle->cattle,2008,14,b2012,495,495,64420015_1->64420015_9,64420015_1->64420015_9,64420015_1->64420015_9,64420015_1->64420015_9,64420015_1->64420015_9,64420015_1->64420015_9
