X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle
2706,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,0,30,abattage,13,304,NA->cattle,2007,30,b2012,52,52
2707,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,12,15,28,abattage,56,304,cattle->cattle,2008,16,b2012,52,52
2708,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,13,15,26,demographie,71,304,cattle->cattle,2008,13,b2012,52,52
2709,13,SB0832,cattle,cattle,64420015_3,64420015_0,64420015,64420015,within,13,15,28,abattage,72,304,cattle->cattle,2008,15,b2012,52,52
2710,13,SB0832,cattle,cattle,64420015_4,64420015_0,64420015,64420015,within,14,21,28,abattage,80,304,cattle->cattle,2008,14,b2012,52,52
2711,13,SB0832,cattle,cattle,64420015_5,64420015_0,64420015,64420015,within,14,15,28,abattage,81,304,cattle->cattle,2008,14,b2012,52,52
2712,13,SB0832,cattle,cattle,64420015_7,64420015_0,64420015,64420015,within,16,22,28,abattage,87,304,cattle->cattle,2008,12,b2012,52,52
2713,13,SB0832,cattle,cattle,64420015_6,64420015_2,64420015,64420015,within,16,17,28,abattage,88,304,cattle->cattle,2008,12,b2012,52,52
2714,13,SB0832,cattle,cattle,40270058_0,64420015_5,64420015,64420015,within,20,20,31,demographie,94,304,cattle->cattle,2008,11,b2012,52,52
2715,13,SB0832,cattle,cattle,64420015_8,64420015_6,64420015,64420015,within,22,24,28,abattage,97,304,cattle->cattle,2008,6,b2012,52,52
2716,13,SB0832,cattle,cattle,40270058_1,40270058_0,40270058,40270058,within,23,24,32,abattage,99,304,cattle->cattle,2008,9,b2012,52,52
2717,13,SB0832,cattle,cattle,64420015_9,64420015_4,64420015,64420015,within,23,24,30,abattage,105,304,cattle->cattle,2008,7,b2012,52,52
2718,13,SB0832,cattle,cattle,64420015_10,64420015_7,64420015,64420015,within,23,24,28,abattage,106,304,cattle->cattle,2008,5,b2012,52,52
2719,13,SB0832,cattle,cattle,64420015_12,64420015_1,64420015,64420015,within,24,27,28,abattage,121,304,cattle->cattle,2009,4,b2012,52,52
2720,13,SB0832,cattle,cattle,64420015_13,64420015_3,64420015,64420015,within,24,26,28,abattage,122,304,cattle->cattle,2009,4,b2012,52,52
2721,13,SB0832,cattle,cattle,64420015_11,64420015_5,64420015,64420015,within,24,-1,25,demographie,123,304,cattle->cattle,2009,1,b2012,52,52
