X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
26527,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,10,15,demographie,13,137,NA->cattle,2007,15,b2012,129,129,NA,NA,NA,NA,NA,NA
26528,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,13,-1,15,abattage,54,137,cattle->cattle,2008,2,b2012,129,129,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1
26529,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,14,15,49,abattage,63,137,cattle->cattle,2008,35,b2012,129,129,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2
26530,13,SB0832,cattle,cattle,64420015_3,64420015_2,64420015,64420015,within,17,22,49,abattage,64,137,cattle->cattle,2008,32,b2012,129,129,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3
26531,13,SB0832,cattle,cattle,64420015_4,64420015_2,64420015,64420015,within,18,-1,49,abattage,66,137,cattle->cattle,2008,31,b2012,129,129,64420015_2->64420015_4,64420015_2->64420015_4,64420015_2->64420015_4,64420015_2->64420015_4,64420015_2->64420015_4,64420015_2->64420015_4
26532,13,SB0832,cattle,cattle,64420015_5,64420015_2,64420015,64420015,within,21,22,49,abattage,73,137,cattle->cattle,2008,28,b2012,129,129,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5
26533,13,SB0832,cattle,cattle,64420015_6,64420015_3,64420015,64420015,within,23,27,48,demographie,78,137,cattle->cattle,2008,25,b2012,129,129,64420015_3->64420015_6,64420015_3->64420015_6,64420015_3->64420015_6,64420015_3->64420015_6,64420015_3->64420015_6,64420015_3->64420015_6
26534,13,SB0832,cattle,cattle,64420015_7,64420015_3,64420015,64420015,within,23,31,49,abattage,79,137,cattle->cattle,2008,26,b2012,129,129,64420015_3->64420015_7,64420015_3->64420015_7,64420015_3->64420015_7,64420015_3->64420015_7,64420015_3->64420015_7,64420015_3->64420015_7
26535,13,SB0832,cattle,cattle,64420015_8,64420015_5,64420015,64420015,within,24,44,49,abattage,84,137,cattle->cattle,2009,25,b2012,129,129,64420015_5->64420015_8,64420015_5->64420015_8,64420015_5->64420015_8,64420015_5->64420015_8,64420015_5->64420015_8,64420015_5->64420015_8
26536,13,SB0832,cattle,cattle,64420015_9,64420015_5,64420015,64420015,within,24,26,49,abattage,85,137,cattle->cattle,2009,25,b2012,129,129,64420015_5->64420015_9,64420015_5->64420015_9,64420015_5->64420015_9,64420015_5->64420015_9,64420015_5->64420015_9,64420015_5->64420015_9
26537,13,SB0832,cattle,cattle,64420015_11,64420015_3,64420015,64420015,within,25,31,49,abattage,91,137,cattle->cattle,2009,24,b2012,129,129,64420015_3->64420015_11,64420015_3->64420015_11,64420015_3->64420015_11,64420015_3->64420015_11,64420015_3->64420015_11,64420015_3->64420015_11
