X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
9459,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,0,20,abattage,13,268,NA->cattle,2007,20,b2012,95,95,NA,NA,NA,NA,NA,NA
9460,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,2,4,20,abattage,19,268,cattle->cattle,2007,18,b2012,95,95,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1
9461,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,8,13,20,abattage,20,268,cattle->cattle,2007,12,b2012,95,95,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2
9462,13,SB0832,cattle,cattle,64420044_0,64420015_1,64420044,64420015,pasture,8,20,49,abattage,21,268,cattle->cattle,2007,41,b2012,95,95,64420015_1->64420044_0,64420015_1->64420044_0,64420015_1->64420044_0,64420015_1->64420044_0,64420015_1->64420044_0,64420015_1->64420044_0
9463,13,SB0832,cattle,cattle,64420015_3,64420015_0,64420015,64420015,within,10,13,20,abattage,22,268,cattle->cattle,2007,10,b2012,95,95,64420015_0->64420015_3,64420015_0->64420015_3,64420015_0->64420015_3,64420015_0->64420015_3,64420015_0->64420015_3,64420015_0->64420015_3
9464,13,SB0832,cattle,cattle,64420015_4,64420015_0,64420015,64420015,within,11,16,20,abattage,23,268,cattle->cattle,2007,9,b2012,95,95,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4
9465,13,SB0832,cattle,cattle,64420015_5,64420015_1,64420015,64420015,within,11,12,19,demographie,24,268,cattle->cattle,2007,8,b2012,95,95,64420015_1->64420015_5,64420015_1->64420015_5,64420015_1->64420015_5,64420015_1->64420015_5,64420015_1->64420015_5,64420015_1->64420015_5
9466,13,SB0832,cattle,cattle,64420015_6,64420015_5,64420015,64420015,within,12,18,20,abattage,26,268,cattle->cattle,2008,8,b2012,95,95,64420015_5->64420015_6,64420015_5->64420015_6,64420015_5->64420015_6,64420015_5->64420015_6,64420015_5->64420015_6,64420015_5->64420015_6
9467,13,SB0832,cattle,cattle,64420015_7,64420015_1,64420015,64420015,within,14,14,20,abattage,30,268,cattle->cattle,2008,6,b2012,95,95,64420015_1->64420015_7,64420015_1->64420015_7,64420015_1->64420015_7,64420015_1->64420015_7,64420015_1->64420015_7,64420015_1->64420015_7
9468,13,SB0832,cattle,cattle,64420015_8,64420015_0,64420015,64420015,within,15,-1,20,abattage,31,268,cattle->cattle,2008,5,b2012,95,95,64420015_0->64420015_8,64420015_0->64420015_8,64420015_0->64420015_8,64420015_0->64420015_8,64420015_0->64420015_8,64420015_0->64420015_8
