X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
28529,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,0,22,abattage,13,299,NA->cattle,2007,22,b2012,80,80,NA,NA,NA,NA,NA,NA
28530,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,9,11,21,demographie,44,299,cattle->cattle,2007,12,b2012,80,80,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1
28531,13,SB0832,cattle,cattle,64420015_2,64420015_1,64420015,64420015,within,18,20,22,abattage,91,299,cattle->cattle,2008,4,b2012,80,80,64420015_1->64420015_2,64420015_1->64420015_2,64420015_1->64420015_2,64420015_1->64420015_2,64420015_1->64420015_2,64420015_1->64420015_2
28532,13,SB0832,cattle,cattle,64420044_0,64420015_2,64420044,64420015,pasture,21,23,52,abattage,115,299,cattle->cattle,2008,31,b2012,80,80,64420015_2->64420044_0,64420015_2->64420044_0,64420015_2->64420044_0,64420015_2->64420044_0,64420015_2->64420044_0,64420015_2->64420044_0
28533,13,SB0832,cattle,cattle,64420044_1,64420044_0,64420044,64420044,within,26,29,52,abattage,203,299,cattle->cattle,2009,26,b2012,80,80,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1
28534,13,SB0832,cattle,cattle,64420044_2,64420044_0,64420044,64420044,within,27,30,54,abattage,210,299,cattle->cattle,2009,27,b2012,80,80,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2
28535,13,SB0832,cattle,cattle,64420047_0,64420044_0,64420047,64420044,pasture,34,35,49,demographie,292,299,cattle->cattle,2009,15,b2012,80,80,64420044_0->64420047_0,64420044_0->64420047_0,64420044_0->64420047_0,64420044_0->64420047_0,64420044_0->64420047_0,64420044_0->64420047_0
28536,13,SB0832,cattle,cattle,64420044_4,64420044_0,64420044,64420044,within,35,36,52,abattage,305,299,cattle->cattle,2009,17,b2012,80,80,64420044_0->64420044_4,64420044_0->64420044_4,64420044_0->64420044_4,64420044_0->64420044_4,64420044_0->64420044_4,64420044_0->64420044_4
28537,13,SB0832,cattle,cattle,64420044_3,64420044_1,64420044,64420044,within,35,39,46,demographie,306,299,cattle->cattle,2009,11,b2012,80,80,64420044_1->64420044_3,64420044_1->64420044_3,64420044_1->64420044_3,64420044_1->64420044_3,64420044_1->64420044_3,64420044_1->64420044_3
28538,13,SB0832,cattle,cattle,64420044_6,64420044_0,64420044,64420044,within,36,37,52,abattage,323,299,cattle->cattle,2010,16,b2012,80,80,64420044_0->64420044_6,64420044_0->64420044_6,64420044_0->64420044_6,64420044_0->64420044_6,64420044_0->64420044_6,64420044_0->64420044_6
28539,13,SB0832,cattle,cattle,64420044_5,64420044_1,64420044,64420044,within,36,37,52,abattage,324,299,cattle->cattle,2010,16,b2012,80,80,64420044_1->64420044_5,64420044_1->64420044_5,64420044_1->64420044_5,64420044_1->64420044_5,64420044_1->64420044_5,64420044_1->64420044_5
28540,13,SB0832,cattle,cattle,64420044_7,64420044_4,64420044,64420044,within,37,39,54,abattage,336,299,cattle->cattle,2010,17,b2012,80,80,64420044_4->64420044_7,64420044_4->64420044_7,64420044_4->64420044_7,64420044_4->64420044_7,64420044_4->64420044_7,64420044_4->64420044_7
28541,13,SB0832,cattle,cattle,64420047_1,64420047_0,64420047,64420047,within,37,44,50,abattage,337,299,cattle->cattle,2010,13,b2012,80,80,64420047_0->64420047_1,64420047_0->64420047_1,64420047_0->64420047_1,64420047_0->64420047_1,64420047_0->64420047_1,64420047_0->64420047_1
28542,13,SB0832,cattle,cattle,64420044_8,64420044_0,64420044,64420044,within,38,46,52,abattage,361,299,cattle->cattle,2010,14,b2012,80,80,64420044_0->64420044_8,64420044_0->64420044_8,64420044_0->64420044_8,64420044_0->64420044_8,64420044_0->64420044_8,64420044_0->64420044_8
28543,13,SB0832,cattle,cattle,64420044_9,64420044_1,64420044,64420044,within,38,39,52,abattage,362,299,cattle->cattle,2010,14,b2012,80,80,64420044_1->64420044_9,64420044_1->64420044_9,64420044_1->64420044_9,64420044_1->64420044_9,64420044_1->64420044_9,64420044_1->64420044_9
28544,13,SB0832,cattle,cattle,64420047_2,64420047_0,64420047,64420047,within,38,-1,50,abattage,363,299,cattle->cattle,2010,12,b2012,80,80,64420047_0->64420047_2,64420047_0->64420047_2,64420047_0->64420047_2,64420047_0->64420047_2,64420047_0->64420047_2,64420047_0->64420047_2
28545,13,SB0832,cattle,cattle,64420044_10,64420044_0,64420044,64420044,within,40,49,54,abattage,389,299,cattle->cattle,2010,14,b2012,80,80,64420044_0->64420044_10,64420044_0->64420044_10,64420044_0->64420044_10,64420044_0->64420044_10,64420044_0->64420044_10,64420044_0->64420044_10
28546,13,SB0832,cattle,cattle,64420015_3,64420044_2,64420015,64420044,pasture,40,41,47,abattage,390,299,cattle->cattle,2010,7,b2012,80,80,64420044_2->64420015_3,64420044_2->64420015_3,64420044_2->64420015_3,64420044_2->64420015_3,64420044_2->64420015_3,64420044_2->64420015_3
28547,13,SB0832,cattle,cattle,64420044_11,64420044_9,64420044,64420044,within,40,42,53,demographie,391,299,cattle->cattle,2010,13,b2012,80,80,64420044_9->64420044_11,64420044_9->64420044_11,64420044_9->64420044_11,64420044_9->64420044_11,64420044_9->64420044_11,64420044_9->64420044_11
28548,13,SB0832,cattle,cattle,64420047_3,64420047_0,64420047,64420047,within,40,-1,50,abattage,392,299,cattle->cattle,2010,10,b2012,80,80,64420047_0->64420047_3,64420047_0->64420047_3,64420047_0->64420047_3,64420047_0->64420047_3,64420047_0->64420047_3,64420047_0->64420047_3
28549,13,SB0832,cattle,cattle,64420015_4,64420044_3,64420015,64420044,pasture,41,43,47,abattage,403,299,cattle->cattle,2010,6,b2012,80,80,64420044_3->64420015_4,64420044_3->64420015_4,64420044_3->64420015_4,64420044_3->64420015_4,64420044_3->64420015_4,64420044_3->64420015_4
28550,13,SB0832,cattle,cattle,64420047_4,64420044_6,64420047,64420044,pasture,41,48,50,abattage,404,299,cattle->cattle,2010,9,b2012,80,80,64420044_6->64420047_4,64420044_6->64420047_4,64420044_6->64420047_4,64420044_6->64420047_4,64420044_6->64420047_4,64420044_6->64420047_4
28551,13,SB0832,cattle,cattle,64420047_5,64420047_0,64420047,64420047,within,42,46,50,abattage,418,299,cattle->cattle,2010,8,b2012,80,80,64420047_0->64420047_5,64420047_0->64420047_5,64420047_0->64420047_5,64420047_0->64420047_5,64420047_0->64420047_5,64420047_0->64420047_5
28552,13,SB0832,cattle,cattle,64420047_6,64420047_0,64420047,64420047,within,42,44,49,demographie,419,299,cattle->cattle,2010,7,b2012,80,80,64420047_0->64420047_6,64420047_0->64420047_6,64420047_0->64420047_6,64420047_0->64420047_6,64420047_0->64420047_6,64420047_0->64420047_6
28553,13,SB0832,cattle,cattle,64420047_7,64420044_1,64420047,64420044,pasture,43,-1,50,abattage,439,299,cattle->cattle,2010,7,b2012,80,80,64420044_1->64420047_7,64420044_1->64420047_7,64420044_1->64420047_7,64420044_1->64420047_7,64420044_1->64420047_7,64420044_1->64420047_7
28554,13,SB0832,cattle,cattle,64420015_5,64420044_4,64420015,64420044,pasture,43,45,46,demographie,440,299,cattle->cattle,2010,3,b2012,80,80,64420044_4->64420015_5,64420044_4->64420015_5,64420044_4->64420015_5,64420044_4->64420015_5,64420044_4->64420015_5,64420044_4->64420015_5
28555,13,SB0832,cattle,cattle,64420047_8,64420047_0,64420047,64420047,within,43,44,49,demographie,441,299,cattle->cattle,2010,6,b2012,80,80,64420047_0->64420047_8,64420047_0->64420047_8,64420047_0->64420047_8,64420047_0->64420047_8,64420047_0->64420047_8,64420047_0->64420047_8
28556,13,SB0832,cattle,cattle,64420044_13,64420015_3,64420044,64420015,pasture,44,-1,45,demographie,456,299,cattle->cattle,2010,1,b2012,80,80,64420015_3->64420044_13,64420015_3->64420044_13,64420015_3->64420044_13,64420015_3->64420044_13,64420015_3->64420044_13,64420015_3->64420044_13
28557,13,SB0832,cattle,cattle,64420047_9,64420044_12,64420047,64420044,pasture,44,-1,46,demographie,457,299,cattle->cattle,2010,2,b2012,80,80,64420044_12->64420047_9,64420044_12->64420047_9,64420044_12->64420047_9,64420044_12->64420047_9,64420044_12->64420047_9,64420044_12->64420047_9
28558,13,SB0832,cattle,cattle,64420044_12,64420044_3,64420044,64420044,within,44,44,54,abattage,458,299,cattle->cattle,2010,10,b2012,80,80,64420044_3->64420044_12,64420044_3->64420044_12,64420044_3->64420044_12,64420044_3->64420044_12,64420044_3->64420044_12,64420044_3->64420044_12
28559,13,SB0832,cattle,cattle,64420047_10,64420047_0,64420047,64420047,within,44,44,50,abattage,459,299,cattle->cattle,2010,6,b2012,80,80,64420047_0->64420047_10,64420047_0->64420047_10,64420047_0->64420047_10,64420047_0->64420047_10,64420047_0->64420047_10,64420047_0->64420047_10
28560,13,SB0832,cattle,cattle,64420015_6,64420044_0,64420015,64420044,pasture,45,47,47,abattage,481,299,cattle->cattle,2010,2,b2012,80,80,64420044_0->64420015_6,64420044_0->64420015_6,64420044_0->64420015_6,64420044_0->64420015_6,64420044_0->64420015_6,64420044_0->64420015_6
28561,13,SB0832,cattle,cattle,64420047_12,64420044_1,64420047,64420044,pasture,45,48,50,abattage,482,299,cattle->cattle,2010,5,b2012,80,80,64420044_1->64420047_12,64420044_1->64420047_12,64420044_1->64420047_12,64420044_1->64420047_12,64420044_1->64420047_12,64420044_1->64420047_12
28562,13,SB0832,cattle,cattle,64420047_11,64420047_6,64420047,64420047,within,45,48,50,abattage,483,299,cattle->cattle,2010,5,b2012,80,80,64420047_6->64420047_11,64420047_6->64420047_11,64420047_6->64420047_11,64420047_6->64420047_11,64420047_6->64420047_11,64420047_6->64420047_11
28563,13,SB0832,cattle,cattle,64420047_13,64420047_6,64420047,64420047,within,45,47,50,abattage,484,299,cattle->cattle,2010,5,b2012,80,80,64420047_6->64420047_13,64420047_6->64420047_13,64420047_6->64420047_13,64420047_6->64420047_13,64420047_6->64420047_13,64420047_6->64420047_13
28564,13,SB0832,cattle,cattle,64420047_14,64420047_8,64420047,64420047,within,45,-1,50,abattage,485,299,cattle->cattle,2010,5,b2012,80,80,64420047_8->64420047_14,64420047_8->64420047_14,64420047_8->64420047_14,64420047_8->64420047_14,64420047_8->64420047_14,64420047_8->64420047_14
28565,13,SB0832,cattle,cattle,64420035_0,64420047_8,64420035,64420047,pasture,46,50,62,demographie,503,299,cattle->cattle,2010,16,b2012,80,80,64420047_8->64420035_0,64420047_8->64420035_0,64420047_8->64420035_0,64420047_8->64420035_0,64420047_8->64420035_0,64420047_8->64420035_0
28566,13,SB0832,cattle,cattle,64420047_15,64420047_8,64420047,64420047,within,46,-1,50,abattage,504,299,cattle->cattle,2010,4,b2012,80,80,64420047_8->64420047_15,64420047_8->64420047_15,64420047_8->64420047_15,64420047_8->64420047_15,64420047_8->64420047_15,64420047_8->64420047_15
28567,13,SB0832,cattle,cattle,64420044_14,64420044_1,64420044,64420044,within,47,48,52,abattage,542,299,cattle->cattle,2010,5,b2012,80,80,64420044_1->64420044_14,64420044_1->64420044_14,64420044_1->64420044_14,64420044_1->64420044_14,64420044_1->64420044_14,64420044_1->64420044_14
28568,13,SB0832,cattle,cattle,64420044_16,64420044_1,64420044,64420044,within,47,50,54,abattage,543,299,cattle->cattle,2010,7,b2012,80,80,64420044_1->64420044_16,64420044_1->64420044_16,64420044_1->64420044_16,64420044_1->64420044_16,64420044_1->64420044_16,64420044_1->64420044_16
28569,13,SB0832,cattle,cattle,64420044_15,64420044_7,64420044,64420044,within,47,49,54,abattage,544,299,cattle->cattle,2010,7,b2012,80,80,64420044_7->64420044_15,64420044_7->64420044_15,64420044_7->64420044_15,64420044_7->64420044_15,64420044_7->64420044_15,64420044_7->64420044_15
28570,13,SB0832,cattle,cattle,64420047_16,64420047_1,64420047,64420047,within,47,-1,50,abattage,545,299,cattle->cattle,2010,3,b2012,80,80,64420047_1->64420047_16,64420047_1->64420047_16,64420047_1->64420047_16,64420047_1->64420047_16,64420047_1->64420047_16,64420047_1->64420047_16
28571,13,SB0832,cattle,cattle,64420047_17,64420047_1,64420047,64420047,within,47,48,50,abattage,546,299,cattle->cattle,2010,3,b2012,80,80,64420047_1->64420047_17,64420047_1->64420047_17,64420047_1->64420047_17,64420047_1->64420047_17,64420047_1->64420047_17,64420047_1->64420047_17
28572,13,SB0832,cattle,cattle,64420047_18,64420047_10,64420047,64420047,within,47,-1,50,abattage,547,299,cattle->cattle,2010,3,b2012,80,80,64420047_10->64420047_18,64420047_10->64420047_18,64420047_10->64420047_18,64420047_10->64420047_18,64420047_10->64420047_18,64420047_10->64420047_18
28573,13,SB0832,cattle,cattle,64420047_19,64420047_10,64420047,64420047,within,47,-1,50,abattage,548,299,cattle->cattle,2010,3,b2012,80,80,64420047_10->64420047_19,64420047_10->64420047_19,64420047_10->64420047_19,64420047_10->64420047_19,64420047_10->64420047_19,64420047_10->64420047_19
28574,13,SB0832,cattle,cattle,64420047_20,64420047_8,64420047,64420047,within,47,-1,50,abattage,549,299,cattle->cattle,2010,3,b2012,80,80,64420047_8->64420047_20,64420047_8->64420047_20,64420047_8->64420047_20,64420047_8->64420047_20,64420047_8->64420047_20,64420047_8->64420047_20
28575,13,SB0832,cattle,cattle,64420044_19,64420044_1,64420044,64420044,within,48,-1,52,abattage,578,299,cattle->cattle,2011,4,b2012,80,80,64420044_1->64420044_19,64420044_1->64420044_19,64420044_1->64420044_19,64420044_1->64420044_19,64420044_1->64420044_19,64420044_1->64420044_19
28576,13,SB0832,cattle,cattle,64420044_18,64420044_12,64420044,64420044,within,48,-1,52,abattage,579,299,cattle->cattle,2011,4,b2012,80,80,64420044_12->64420044_18,64420044_12->64420044_18,64420044_12->64420044_18,64420044_12->64420044_18,64420044_12->64420044_18,64420044_12->64420044_18
28577,13,SB0832,cattle,cattle,64420044_17,64420044_2,64420044,64420044,within,48,-1,49,demographie,580,299,cattle->cattle,2011,1,b2012,80,80,64420044_2->64420044_17,64420044_2->64420044_17,64420044_2->64420044_17,64420044_2->64420044_17,64420044_2->64420044_17,64420044_2->64420044_17
28578,13,SB0832,cattle,cattle,64420047_21,64420047_1,64420047,64420047,within,48,-1,50,abattage,581,299,cattle->cattle,2011,2,b2012,80,80,64420047_1->64420047_21,64420047_1->64420047_21,64420047_1->64420047_21,64420047_1->64420047_21,64420047_1->64420047_21,64420047_1->64420047_21
28579,13,SB0832,cattle,cattle,64420047_22,64420047_17,64420047,64420047,within,48,49,50,abattage,582,299,cattle->cattle,2011,2,b2012,80,80,64420047_17->64420047_22,64420047_17->64420047_22,64420047_17->64420047_22,64420047_17->64420047_22,64420047_17->64420047_22,64420047_17->64420047_22
28580,13,SB0832,cattle,cattle,64420047_23,64420047_17,64420047,64420047,within,48,-1,50,abattage,583,299,cattle->cattle,2011,2,b2012,80,80,64420047_17->64420047_23,64420047_17->64420047_23,64420047_17->64420047_23,64420047_17->64420047_23,64420047_17->64420047_23,64420047_17->64420047_23
28581,13,SB0832,cattle,cattle,64420044_21,64420044_14,64420044,64420044,within,49,51,52,abattage,628,299,cattle->cattle,2011,3,b2012,80,80,64420044_14->64420044_21,64420044_14->64420044_21,64420044_14->64420044_21,64420044_14->64420044_21,64420044_14->64420044_21,64420044_14->64420044_21
28582,13,SB0832,cattle,cattle,64420044_22,64420044_14,64420044,64420044,within,49,52,52,abattage,629,299,cattle->cattle,2011,3,b2012,80,80,64420044_14->64420044_22,64420044_14->64420044_22,64420044_14->64420044_22,64420044_14->64420044_22,64420044_14->64420044_22,64420044_14->64420044_22
28583,13,SB0832,cattle,cattle,64420044_23,64420044_4,64420044,64420044,within,49,51,52,abattage,630,299,cattle->cattle,2011,3,b2012,80,80,64420044_4->64420044_23,64420044_4->64420044_23,64420044_4->64420044_23,64420044_4->64420044_23,64420044_4->64420044_23,64420044_4->64420044_23
28584,13,SB0832,cattle,cattle,64420044_20,64420044_9,64420044,64420044,within,49,50,52,abattage,631,299,cattle->cattle,2011,3,b2012,80,80,64420044_9->64420044_20,64420044_9->64420044_20,64420044_9->64420044_20,64420044_9->64420044_20,64420044_9->64420044_20,64420044_9->64420044_20
28585,13,SB0832,cattle,cattle,64420047_25,64420047_12,64420047,64420047,within,49,50,50,abattage,632,299,cattle->cattle,2011,1,b2012,80,80,64420047_12->64420047_25,64420047_12->64420047_25,64420047_12->64420047_25,64420047_12->64420047_25,64420047_12->64420047_25,64420047_12->64420047_25
28586,13,SB0832,cattle,cattle,64420047_26,64420047_13,64420047,64420047,within,49,-1,50,abattage,633,299,cattle->cattle,2011,1,b2012,80,80,64420047_13->64420047_26,64420047_13->64420047_26,64420047_13->64420047_26,64420047_13->64420047_26,64420047_13->64420047_26,64420047_13->64420047_26
28587,13,SB0832,cattle,cattle,64420047_24,64420047_4,64420047,64420047,within,49,-1,50,demographie,634,299,cattle->cattle,2011,1,b2012,80,80,64420047_4->64420047_24,64420047_4->64420047_24,64420047_4->64420047_24,64420047_4->64420047_24,64420047_4->64420047_24,64420047_4->64420047_24
28588,13,SB0832,cattle,cattle,64420044_25,64420044_10,64420044,64420044,within,50,52,52,abattage,670,299,cattle->cattle,2011,2,b2012,80,80,64420044_10->64420044_25,64420044_10->64420044_25,64420044_10->64420044_25,64420044_10->64420044_25,64420044_10->64420044_25,64420044_10->64420044_25
28589,13,SB0832,cattle,cattle,64420044_24,64420044_8,64420044,64420044,within,50,50,52,abattage,671,299,cattle->cattle,2011,2,b2012,80,80,64420044_8->64420044_24,64420044_8->64420044_24,64420044_8->64420044_24,64420044_8->64420044_24,64420044_8->64420044_24,64420044_8->64420044_24
28590,13,SB0832,cattle,cattle,64420047_29,64420047_12,64420047,64420047,within,50,-1,50,abattage,672,299,cattle->cattle,2011,0,b2012,80,80,64420047_12->64420047_29,64420047_12->64420047_29,64420047_12->64420047_29,64420047_12->64420047_29,64420047_12->64420047_29,64420047_12->64420047_29
28591,13,SB0832,cattle,cattle,64420047_27,64420047_17,64420047,64420047,within,50,-1,50,abattage,673,299,cattle->cattle,2011,0,b2012,80,80,64420047_17->64420047_27,64420047_17->64420047_27,64420047_17->64420047_27,64420047_17->64420047_27,64420047_17->64420047_27,64420047_17->64420047_27
28592,13,SB0832,cattle,cattle,64420047_28,64420047_22,64420047,64420047,within,50,-1,50,abattage,674,299,cattle->cattle,2011,0,b2012,80,80,64420047_22->64420047_28,64420047_22->64420047_28,64420047_22->64420047_28,64420047_22->64420047_28,64420047_22->64420047_28,64420047_22->64420047_28
28593,13,SB0832,cattle,cattle,64420044_26,64420044_21,64420044,64420044,within,51,-1,54,abattage,683,299,cattle->cattle,2011,3,b2012,80,80,64420044_21->64420044_26,64420044_21->64420044_26,64420044_21->64420044_26,64420044_21->64420044_26,64420044_21->64420044_26,64420044_21->64420044_26
28594,13,SB0832,cattle,cattle,64420044_27,64420044_4,64420044,64420044,within,51,52,52,abattage,684,299,cattle->cattle,2011,1,b2012,80,80,64420044_4->64420044_27,64420044_4->64420044_27,64420044_4->64420044_27,64420044_4->64420044_27,64420044_4->64420044_27,64420044_4->64420044_27
28595,13,SB0832,cattle,cattle,64420035_1,64420035_0,64420035,64420035,within,53,57,63,abattage,719,299,cattle->cattle,2011,10,b2012,80,80,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1
28596,13,SB0832,cattle,cattle,64420015_7,64420044_11,64420015,64420044,pasture,54,58,71,abattage,731,299,cattle->cattle,2011,17,b2012,80,80,64420044_11->64420015_7,64420044_11->64420015_7,64420044_11->64420015_7,64420044_11->64420015_7,64420044_11->64420015_7,64420044_11->64420015_7
28597,13,SB0832,cattle,cattle,64420044_28,64420044_2,64420044,64420044,within,54,-1,54,abattage,732,299,cattle->cattle,2011,0,b2012,80,80,64420044_2->64420044_28,64420044_2->64420044_28,64420044_2->64420044_28,64420044_2->64420044_28,64420044_2->64420044_28,64420044_2->64420044_28
28598,13,SB0832,cattle,cattle,64420035_2,64420035_1,64420035,64420035,within,57,59,63,abattage,792,299,cattle->cattle,2011,6,b2012,80,80,64420035_1->64420035_2,64420035_1->64420035_2,64420035_1->64420035_2,64420035_1->64420035_2,64420035_1->64420035_2,64420035_1->64420035_2
28599,13,SB0832,cattle,cattle,64420035_3,64420035_0,64420035,64420035,within,58,-1,63,abattage,817,299,cattle->cattle,2011,5,b2012,80,80,64420035_0->64420035_3,64420035_0->64420035_3,64420035_0->64420035_3,64420035_0->64420035_3,64420035_0->64420035_3,64420035_0->64420035_3
28600,13,SB0832,cattle,cattle,64420035_4,64420035_0,64420035,64420035,within,58,59,63,abattage,818,299,cattle->cattle,2011,5,b2012,80,80,64420035_0->64420035_4,64420035_0->64420035_4,64420035_0->64420035_4,64420035_0->64420035_4,64420035_0->64420035_4,64420035_0->64420035_4
