X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
9915,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,4,25,abattage,13,269,NA->cattle,2007,25,b2012,85,85,NA,NA,NA,NA,NA,NA
9916,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,7,-1,8,demographie,21,269,cattle->cattle,2007,1,b2012,85,85,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1
9917,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,12,14,27,abattage,33,269,cattle->cattle,2008,15,b2012,85,85,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2
9918,13,SB0832,cattle,cattle,64420044_0,64420015_0,64420044,64420015,pasture,17,18,28,abattage,44,269,cattle->cattle,2008,11,b2012,85,85,64420015_0->64420044_0,64420015_0->64420044_0,64420015_0->64420044_0,64420015_0->64420044_0,64420015_0->64420044_0,64420015_0->64420044_0
9919,13,SB0832,cattle,cattle,64420047_0,64420044_0,64420047,64420044,pasture,20,21,25,abattage,51,269,cattle->cattle,2008,5,b2012,85,85,64420044_0->64420047_0,64420044_0->64420047_0,64420044_0->64420047_0,64420044_0->64420047_0,64420044_0->64420047_0,64420044_0->64420047_0
9920,13,SB0832,cattle,cattle,64420007_0,64420044_0,64420007,64420044,pasture,21,26,62,abattage,54,269,cattle->cattle,2008,41,b2012,85,85,64420044_0->64420007_0,64420044_0->64420007_0,64420044_0->64420007_0,64420044_0->64420007_0,64420044_0->64420007_0,64420044_0->64420007_0
9921,13,SB0832,cattle,cattle,64420044_1,64420044_0,64420044,64420044,within,21,22,28,abattage,55,269,cattle->cattle,2008,7,b2012,85,85,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1
9922,13,SB0832,cattle,cattle,64420044_2,64420044_1,64420044,64420044,within,23,25,30,abattage,60,269,cattle->cattle,2008,7,b2012,85,85,64420044_1->64420044_2,64420044_1->64420044_2,64420044_1->64420044_2,64420044_1->64420044_2,64420044_1->64420044_2,64420044_1->64420044_2
9923,13,SB0832,cattle,cattle,64420015_3,64420015_2,64420015,64420015,within,24,-1,27,abattage,62,269,cattle->cattle,2009,3,b2012,85,85,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3
9924,13,SB0832,cattle,cattle,64420044_3,64420044_0,64420044,64420044,within,24,-1,30,abattage,63,269,cattle->cattle,2009,6,b2012,85,85,64420044_0->64420044_3,64420044_0->64420044_3,64420044_0->64420044_3,64420044_0->64420044_3,64420044_0->64420044_3,64420044_0->64420044_3
