X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
10480,13,SB0832,cattle,cattle,64420044_5,64420044_3,64420044,64420044,within,39,41,51,abattage,386,120,cattle->cattle,2010,12,b2012,224,224,64420044_3->64420044_5,64420044_3->64420044_5,64420044_3->64420044_5,64420044_3->64420044_5,64420044_3->64420044_5,64420044_3->64420044_5
10481,13,SB0832,cattle,cattle,64420044_6,64420044_0,64420044,64420044,within,40,-1,51,abattage,403,120,cattle->cattle,2010,11,b2012,224,224,64420044_0->64420044_6,64420044_0->64420044_6,64420044_0->64420044_6,64420044_0->64420044_6,64420044_0->64420044_6,64420044_0->64420044_6
10482,13,SB0832,cattle,cattle,64420015_11,64420044_1,64420015,64420044,pasture,41,45,49,demographie,411,120,cattle->cattle,2010,8,b2012,224,224,64420044_1->64420015_11,64420044_1->64420015_11,64420044_1->64420015_11,64420044_1->64420015_11,64420044_1->64420015_11,64420044_1->64420015_11
10483,13,SB0832,cattle,cattle,64420047_2,64420044_4,64420047,64420044,pasture,41,43,47,abattage,412,120,cattle->cattle,2010,6,b2012,224,224,64420044_4->64420047_2,64420044_4->64420047_2,64420044_4->64420047_2,64420044_4->64420047_2,64420044_4->64420047_2,64420044_4->64420047_2
10484,13,SB0832,cattle,cattle,64420047_3,64420047_1,64420047,64420047,within,41,42,47,abattage,413,120,cattle->cattle,2010,6,b2012,224,224,64420047_1->64420047_3,64420047_1->64420047_3,64420047_1->64420047_3,64420047_1->64420047_3,64420047_1->64420047_3,64420047_1->64420047_3
10485,13,SB0832,cattle,cattle,64420007_0,64420044_4,64420007,64420044,pasture,42,43,71,abattage,434,120,cattle->cattle,2010,29,b2012,224,224,64420044_4->64420007_0,64420044_4->64420007_0,64420044_4->64420007_0,64420044_4->64420007_0,64420044_4->64420007_0,64420044_4->64420007_0
10486,13,SB0832,cattle,cattle,64420047_4,64420047_3,64420047,64420047,within,42,43,46,demographie,435,120,cattle->cattle,2010,4,b2012,224,224,64420047_3->64420047_4,64420047_3->64420047_4,64420047_3->64420047_4,64420047_3->64420047_4,64420047_3->64420047_4,64420047_3->64420047_4
10487,13,SB0832,cattle,cattle,64420015_13,64420044_3,64420015,64420044,pasture,43,45,50,abattage,454,120,cattle->cattle,2010,7,b2012,224,224,64420044_3->64420015_13,64420044_3->64420015_13,64420044_3->64420015_13,64420044_3->64420015_13,64420044_3->64420015_13,64420044_3->64420015_13
10488,13,SB0832,cattle,cattle,64420015_12,64420044_5,64420015,64420044,pasture,43,-1,50,abattage,455,120,cattle->cattle,2010,7,b2012,224,224,64420044_5->64420015_12,64420044_5->64420015_12,64420044_5->64420015_12,64420044_5->64420015_12,64420044_5->64420015_12,64420044_5->64420015_12
10489,13,SB0832,cattle,cattle,64420047_6,64420047_2,64420047,64420047,within,43,46,47,abattage,456,120,cattle->cattle,2010,4,b2012,224,224,64420047_2->64420047_6,64420047_2->64420047_6,64420047_2->64420047_6,64420047_2->64420047_6,64420047_2->64420047_6,64420047_2->64420047_6
