X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
2021,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,1,42,abattage,13,55,NA->cattle,2007,42,b2012,209,209,NA,NA,NA,NA,NA,NA
2022,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,11,12,42,abattage,48,55,cattle->cattle,2007,31,b2012,209,209,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1
2023,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,12,14,42,abattage,56,55,cattle->cattle,2008,30,b2012,209,209,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2
2024,13,SB0832,cattle,cattle,64420044_0,64420015_1,64420044,64420015,pasture,19,23,55,demographie,99,55,cattle->cattle,2008,36,b2012,209,209,64420015_1->64420044_0,64420015_1->64420044_0,64420015_1->64420044_0,64420015_1->64420044_0,64420015_1->64420044_0,64420015_1->64420044_0
2025,13,SB0832,cattle,cattle,64420044_1,64420015_2,64420044,64420015,pasture,22,35,56,abattage,115,55,cattle->cattle,2008,34,b2012,209,209,64420015_2->64420044_1,64420015_2->64420044_1,64420015_2->64420044_1,64420015_2->64420044_1,64420015_2->64420044_1,64420015_2->64420044_1
2026,13,SB0832,cattle,cattle,40089001_0,64420015_0,64420015,64420015,within,24,30,52,abattage,124,55,cattle->cattle,2009,28,b2012,209,209,64420015_0->40089001_0,64420015_0->40089001_0,64420015_0->40089001_0,64420015_0->40089001_0,64420015_0->40089001_0,64420015_0->40089001_0
2027,13,SB0832,cattle,cattle,64420015_3,64420015_2,64420015,64420015,within,24,-1,27,demographie,125,55,cattle->cattle,2009,3,b2012,209,209,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3
2028,13,SB0832,cattle,cattle,64420044_2,64420044_0,64420044,64420044,within,24,31,56,abattage,126,55,cattle->cattle,2009,32,b2012,209,209,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2
2029,13,SB0832,cattle,cattle,64420044_3,64420044_0,64420044,64420044,within,24,26,56,abattage,127,55,cattle->cattle,2009,32,b2012,209,209,64420044_0->64420044_3,64420044_0->64420044_3,64420044_0->64420044_3,64420044_0->64420044_3,64420044_0->64420044_3,64420044_0->64420044_3
2030,13,SB0832,cattle,cattle,64420015_4,64420015_1,64420015,64420015,within,25,26,42,abattage,130,55,cattle->cattle,2009,17,b2012,209,209,64420015_1->64420015_4,64420015_1->64420015_4,64420015_1->64420015_4,64420015_1->64420015_4,64420015_1->64420015_4,64420015_1->64420015_4
