X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle
26160,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,6,31,abattage,13,441,NA->cattle,2007,31,b2012,318,318
26161,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,11,-1,13,abattage,63,441,cattle->cattle,2007,2,b2012,318,318
26162,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,13,18,31,abattage,84,441,cattle->cattle,2008,18,b2012,318,318
26163,13,SB0832,cattle,cattle,64420015_3,64420015_0,64420015,64420015,within,13,14,31,abattage,85,441,cattle->cattle,2008,18,b2012,318,318
26164,13,SB0832,cattle,cattle,64420015_4,64420015_0,64420015,64420015,within,13,18,31,abattage,86,441,cattle->cattle,2008,18,b2012,318,318
26165,13,SB0832,cattle,cattle,64420015_5,64420015_0,64420015,64420015,within,14,29,31,abattage,96,441,cattle->cattle,2008,17,b2012,318,318
26166,13,SB0832,cattle,cattle,64420015_6,64420015_0,64420015,64420015,within,14,18,28,demographie,97,441,cattle->cattle,2008,14,b2012,318,318
26167,13,SB0832,cattle,cattle,64420015_7,64420015_0,64420015,64420015,within,14,18,31,abattage,98,441,cattle->cattle,2008,17,b2012,318,318
26168,13,SB0832,cattle,cattle,64420015_8,64420015_0,64420015,64420015,within,16,-1,21,demographie,107,441,cattle->cattle,2008,5,b2012,318,318
26169,13,SB0832,cattle,cattle,64420015_10,64420015_0,64420015,64420015,within,19,28,31,abattage,131,441,cattle->cattle,2008,12,b2012,318,318
26170,13,SB0832,cattle,cattle,64420015_9,64420015_6,64420015,64420015,within,19,30,31,demographie,132,441,cattle->cattle,2008,12,b2012,318,318
26171,13,SB0832,cattle,cattle,64420015_11,64420015_2,64420015,64420015,within,20,22,31,abattage,142,441,cattle->cattle,2008,11,b2012,318,318
26172,13,SB0832,cattle,cattle,64420015_12,64420015_7,64420015,64420015,within,21,29,31,abattage,153,441,cattle->cattle,2008,10,b2012,318,318
26173,13,SB0832,cattle,cattle,64420015_13,64420015_2,64420015,64420015,within,22,23,31,abattage,170,441,cattle->cattle,2008,9,b2012,318,318
26174,13,SB0832,cattle,cattle,64420015_14,64420015_2,64420015,64420015,within,22,-1,31,abattage,171,441,cattle->cattle,2008,9,b2012,318,318
26175,13,SB0832,cattle,cattle,64420044_0,64420015_6,64420044,64420015,pasture,22,25,43,abattage,172,441,cattle->cattle,2008,21,b2012,318,318
26176,13,SB0832,cattle,cattle,64420015_15,64420015_2,64420015,64420015,within,23,27,31,abattage,192,441,cattle->cattle,2008,8,b2012,318,318
26177,13,SB0832,cattle,cattle,64420015_18,64420015_13,64420015,64420015,within,24,27,31,demographie,211,441,cattle->cattle,2009,7,b2012,318,318
26178,13,SB0832,cattle,cattle,64420015_16,64420015_2,64420015,64420015,within,24,25,31,demographie,212,441,cattle->cattle,2009,7,b2012,318,318
26179,13,SB0832,cattle,cattle,64420015_17,64420015_6,64420015,64420015,within,24,30,31,abattage,213,441,cattle->cattle,2009,7,b2012,318,318
26180,13,SB0832,cattle,cattle,64420015_19,64420015_7,64420015,64420015,within,25,28,31,abattage,220,441,cattle->cattle,2009,6,b2012,318,318
26181,13,SB0832,cattle,cattle,64420015_20,64420015_11,64420015,64420015,within,26,-1,31,abattage,240,441,cattle->cattle,2009,5,b2012,318,318
26182,13,SB0832,cattle,cattle,64420015_21,64420015_2,64420015,64420015,within,26,28,31,abattage,241,441,cattle->cattle,2009,5,b2012,318,318
26183,13,SB0832,cattle,cattle,64420015_22,64420015_2,64420015,64420015,within,26,28,31,abattage,242,441,cattle->cattle,2009,5,b2012,318,318
26184,13,SB0832,cattle,cattle,64420044_1,64420044_0,64420044,64420044,within,26,-1,43,abattage,243,441,cattle->cattle,2009,17,b2012,318,318
26185,13,SB0832,cattle,cattle,64420015_23,64420015_0,64420015,64420015,within,27,28,31,abattage,245,441,cattle->cattle,2009,4,b2012,318,318
26186,13,SB0832,cattle,cattle,64420015_24,64420015_11,64420015,64420015,within,27,-1,31,abattage,246,441,cattle->cattle,2009,4,b2012,318,318
26187,13,SB0832,cattle,cattle,64420015_25,64420015_6,64420015,64420015,within,27,-1,31,abattage,247,441,cattle->cattle,2009,4,b2012,318,318
26188,13,SB0832,cattle,cattle,64420015_28,64420015_16,64420015,64420015,within,28,29,31,abattage,254,441,cattle->cattle,2009,3,b2012,318,318
26189,13,SB0832,cattle,cattle,64420015_26,64420015_19,64420015,64420015,within,28,-1,31,demographie,255,441,cattle->cattle,2009,3,b2012,318,318
26190,13,SB0832,cattle,cattle,64420015_27,64420015_19,64420015,64420015,within,28,29,31,abattage,256,441,cattle->cattle,2009,3,b2012,318,318
26191,13,SB0832,cattle,cattle,64420015_29,64420015_2,64420015,64420015,within,29,30,31,abattage,264,441,cattle->cattle,2009,2,b2012,318,318
26192,13,SB0832,cattle,cattle,64420015_30,64420015_2,64420015,64420015,within,29,-1,31,abattage,265,441,cattle->cattle,2009,2,b2012,318,318
26193,13,SB0832,cattle,cattle,64420044_2,64420044_0,64420044,64420044,within,29,30,43,abattage,266,441,cattle->cattle,2009,14,b2012,318,318
26194,13,SB0832,cattle,cattle,64420015_33,64420015_10,64420015,64420015,within,30,-1,31,abattage,276,441,cattle->cattle,2009,1,b2012,318,318
26195,13,SB0832,cattle,cattle,64420015_34,64420015_18,64420015,64420015,within,30,-1,31,abattage,277,441,cattle->cattle,2009,1,b2012,318,318
26196,13,SB0832,cattle,cattle,64420015_31,64420015_21,64420015,64420015,within,30,-1,31,abattage,278,441,cattle->cattle,2009,1,b2012,318,318
26197,13,SB0832,cattle,cattle,64420015_32,64420015_21,64420015,64420015,within,30,-1,31,abattage,279,441,cattle->cattle,2009,1,b2012,318,318
26198,13,SB0832,cattle,cattle,64420044_3,64420015_27,64420044,64420015,pasture,30,35,43,abattage,280,441,cattle->cattle,2009,13,b2012,318,318
26199,13,SB0832,cattle,cattle,64420015_35,64420015_10,64420015,64420015,within,31,-1,31,abattage,289,441,cattle->cattle,2009,0,b2012,318,318
26200,13,SB0832,cattle,cattle,64420015_36,64420015_29,64420015,64420015,within,31,-1,31,abattage,290,441,cattle->cattle,2009,0,b2012,318,318
26201,13,SB0832,cattle,cattle,64420015_37,64420015_7,64420015,64420015,within,31,-1,31,abattage,291,441,cattle->cattle,2009,0,b2012,318,318
26202,13,SB0832,cattle,cattle,64420044_4,64420015_16,64420044,64420015,pasture,32,38,43,abattage,302,441,cattle->cattle,2009,11,b2012,318,318
26203,13,SB0832,cattle,cattle,64420047_0,64420044_0,64420047,64420044,pasture,33,36,47,abattage,310,441,cattle->cattle,2009,14,b2012,318,318
26204,13,SB0832,cattle,cattle,64420044_5,64420044_3,64420044,64420044,within,36,-1,43,abattage,368,441,cattle->cattle,2010,7,b2012,318,318
