X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle
14282,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,1,27,abattage,13,87,NA->cattle,2007,27,b2012,59,59
14283,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,11,13,24,demographie,41,87,cattle->cattle,2007,13,b2012,59,59
14284,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,11,16,21,demographie,42,87,cattle->cattle,2007,10,b2012,59,59
14285,13,SB0832,cattle,cattle,64420015_3,64420015_0,64420015,64420015,within,12,14,16,demographie,48,87,cattle->cattle,2008,4,b2012,59,59
14286,13,SB0832,cattle,cattle,64420015_4,64420015_0,64420015,64420015,within,13,22,27,demographie,53,87,cattle->cattle,2008,14,b2012,59,59
14287,13,SB0832,cattle,cattle,64420015_5,64420015_0,64420015,64420015,within,14,-1,16,demographie,55,87,cattle->cattle,2008,2,b2012,59,59
14288,13,SB0832,cattle,cattle,64420015_7,64420015_0,64420015,64420015,within,19,-1,27,abattage,61,87,cattle->cattle,2008,8,b2012,59,59
14289,13,SB0832,cattle,cattle,64420015_6,64420015_1,64420015,64420015,within,19,23,27,abattage,62,87,cattle->cattle,2008,8,b2012,59,59
14290,13,SB0832,cattle,cattle,64420015_9,64420015_0,64420015,64420015,within,23,24,27,abattage,82,87,cattle->cattle,2008,4,b2012,59,59
14291,13,SB0832,cattle,cattle,64420015_10,64420015_1,64420015,64420015,within,23,-1,27,abattage,83,87,cattle->cattle,2008,4,b2012,59,59
14292,13,SB0832,cattle,cattle,64420015_8,64420015_6,64420015,64420015,within,23,-1,27,abattage,84,87,cattle->cattle,2008,4,b2012,59,59
14293,13,SB0832,cattle,cattle,64420015_11,64420015_6,64420015,64420015,within,23,-1,27,abattage,85,87,cattle->cattle,2008,4,b2012,59,59
14294,13,SB0832,cattle,cattle,64420015_15,64420015_0,64420015,64420015,within,24,-1,27,abattage,92,87,cattle->cattle,2009,3,b2012,59,59
14295,13,SB0832,cattle,cattle,64420015_13,64420015_4,64420015,64420015,within,24,27,27,abattage,93,87,cattle->cattle,2009,3,b2012,59,59
14296,13,SB0832,cattle,cattle,64420015_12,64420015_6,64420015,64420015,within,24,26,27,abattage,94,87,cattle->cattle,2009,3,b2012,59,59
