X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle
29899,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,1,26,abattage,13,145,NA->cattle,2007,26,b2012,238,238
29900,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,2,-1,7,demographie,22,145,cattle->cattle,2007,5,b2012,238,238
29901,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,4,6,19,demographie,23,145,cattle->cattle,2007,15,b2012,238,238
29902,13,SB0832,cattle,cattle,64420015_3,64420015_0,64420015,64420015,within,6,7,26,abattage,26,145,cattle->cattle,2007,20,b2012,238,238
29903,13,SB0832,cattle,cattle,64420015_4,64420015_2,64420015,64420015,within,10,11,26,abattage,30,145,cattle->cattle,2007,16,b2012,238,238
29904,13,SB0832,cattle,cattle,64420015_6,64420015_2,64420015,64420015,within,11,14,26,abattage,33,145,cattle->cattle,2007,15,b2012,238,238
29905,13,SB0832,cattle,cattle,64420015_5,64420015_4,64420015,64420015,within,11,14,26,abattage,34,145,cattle->cattle,2007,15,b2012,238,238
29906,13,SB0832,cattle,cattle,64420015_8,64420015_0,64420015,64420015,within,13,21,26,abattage,41,145,cattle->cattle,2008,13,b2012,238,238
29907,13,SB0832,cattle,cattle,64420015_10,64420015_2,64420015,64420015,within,13,19,26,abattage,42,145,cattle->cattle,2008,13,b2012,238,238
29908,13,SB0832,cattle,cattle,64420015_7,64420015_3,64420015,64420015,within,13,13,25,demographie,43,145,cattle->cattle,2008,12,b2012,238,238
29909,13,SB0832,cattle,cattle,64420015_9,64420015_4,64420015,64420015,within,13,20,26,abattage,44,145,cattle->cattle,2008,13,b2012,238,238
29910,13,SB0832,cattle,cattle,64420015_11,64420015_3,64420015,64420015,within,14,-1,15,demographie,47,145,cattle->cattle,2008,1,b2012,238,238
29911,13,SB0832,cattle,cattle,64420015_12,64420015_6,64420015,64420015,within,14,-1,26,abattage,48,145,cattle->cattle,2008,12,b2012,238,238
29912,13,SB0832,cattle,cattle,64420015_13,64420015_7,64420015,64420015,within,14,16,26,abattage,49,145,cattle->cattle,2008,12,b2012,238,238
29913,13,SB0832,cattle,cattle,64420015_14,64420015_4,64420015,64420015,within,15,21,26,abattage,51,145,cattle->cattle,2008,11,b2012,238,238
29914,13,SB0832,cattle,cattle,64420015_15,64420015_6,64420015,64420015,within,15,-1,26,abattage,52,145,cattle->cattle,2008,11,b2012,238,238
29915,13,SB0832,cattle,cattle,64420015_16,64420015_13,64420015,64420015,within,17,26,26,abattage,57,145,cattle->cattle,2008,9,b2012,238,238
29916,13,SB0832,cattle,cattle,64420015_17,64420015_3,64420015,64420015,within,18,24,26,abattage,60,145,cattle->cattle,2008,8,b2012,238,238
29917,13,SB0832,cattle,cattle,64420015_18,64420015_10,64420015,64420015,within,20,21,26,abattage,65,145,cattle->cattle,2008,6,b2012,238,238
29918,13,SB0832,cattle,cattle,64420044_0,64420015_6,64420044,64420015,pasture,20,21,41,demographie,66,145,cattle->cattle,2008,21,b2012,238,238
29919,13,SB0832,cattle,cattle,64420015_19,64420015_9,64420015,64420015,within,21,-1,25,demographie,72,145,cattle->cattle,2008,4,b2012,238,238
29920,13,SB0832,cattle,cattle,64420015_20,64420015_6,64420015,64420015,within,22,-1,26,abattage,76,145,cattle->cattle,2008,4,b2012,238,238
29921,13,SB0832,cattle,cattle,64420015_21,64420015_6,64420015,64420015,within,22,-1,26,abattage,77,145,cattle->cattle,2008,4,b2012,238,238
29922,13,SB0832,cattle,cattle,64420015_25,64420015_22,64420015,64420015,within,23,-1,26,abattage,82,145,cattle->cattle,2008,3,b2012,238,238
29923,13,SB0832,cattle,cattle,64420015_26,64420015_3,64420015,64420015,within,23,-1,26,abattage,83,145,cattle->cattle,2008,3,b2012,238,238
29924,13,SB0832,cattle,cattle,64420015_22,64420015_7,64420015,64420015,within,23,23,26,abattage,84,145,cattle->cattle,2008,3,b2012,238,238
29925,13,SB0832,cattle,cattle,64420015_24,64420015_7,64420015,64420015,within,23,24,26,abattage,85,145,cattle->cattle,2008,3,b2012,238,238
29926,13,SB0832,cattle,cattle,64420015_23,64420015_9,64420015,64420015,within,23,-1,26,abattage,86,145,cattle->cattle,2008,3,b2012,238,238
29927,13,SB0832,cattle,cattle,64420015_33,64420015_14,64420015,64420015,within,24,-1,26,abattage,91,145,cattle->cattle,2009,2,b2012,238,238
29928,13,SB0832,cattle,cattle,40089001_0,64420015_3,64420015,64420015,within,24,24,40,demographie,92,145,cattle->cattle,2009,16,b2012,238,238
29929,13,SB0832,cattle,cattle,64420015_28,64420015_3,64420015,64420015,within,24,-1,26,abattage,93,145,cattle->cattle,2009,2,b2012,238,238
29930,13,SB0832,cattle,cattle,64420015_30,64420015_3,64420015,64420015,within,24,-1,26,abattage,94,145,cattle->cattle,2009,2,b2012,238,238
29931,13,SB0832,cattle,cattle,64420015_31,64420015_4,64420015,64420015,within,24,25,26,abattage,95,145,cattle->cattle,2009,2,b2012,238,238
29932,13,SB0832,cattle,cattle,64420015_35,64420015_4,64420015,64420015,within,24,26,26,abattage,96,145,cattle->cattle,2009,2,b2012,238,238
29933,13,SB0832,cattle,cattle,64420015_29,64420015_7,64420015,64420015,within,24,-1,26,abattage,97,145,cattle->cattle,2009,2,b2012,238,238
29934,13,SB0832,cattle,cattle,64420015_34,64420015_7,64420015,64420015,within,24,25,26,abattage,98,145,cattle->cattle,2009,2,b2012,238,238
29935,13,SB0832,cattle,cattle,64420015_27,64420015_9,64420015,64420015,within,24,-1,26,abattage,99,145,cattle->cattle,2009,2,b2012,238,238
