X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle
13930,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,2,39,abattage,13,224,NA->cattle,2007,39,b2012,67,67
13931,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,10,-1,13,demographie,31,224,cattle->cattle,2007,3,b2012,67,67
13932,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,12,-1,14,abattage,41,224,cattle->cattle,2008,2,b2012,67,67
13933,13,SB0832,cattle,cattle,64420015_3,64420015_0,64420015,64420015,within,13,17,39,abattage,45,224,cattle->cattle,2008,26,b2012,67,67
13934,13,SB0832,cattle,cattle,64420015_4,64420015_0,64420015,64420015,within,16,-1,20,demographie,54,224,cattle->cattle,2008,4,b2012,67,67
13935,13,SB0832,cattle,cattle,64420015_5,64420015_0,64420015,64420015,within,23,24,39,abattage,66,224,cattle->cattle,2008,16,b2012,67,67
13936,13,SB0832,cattle,cattle,64420015_7,64420015_3,64420015,64420015,within,25,34,39,abattage,75,224,cattle->cattle,2009,14,b2012,67,67
13937,13,SB0832,cattle,cattle,64420015_6,64420015_5,64420015,64420015,within,25,26,39,abattage,76,224,cattle->cattle,2009,14,b2012,67,67
13938,13,SB0832,cattle,cattle,64420015_10,64420015_3,64420015,64420015,within,26,31,39,abattage,81,224,cattle->cattle,2009,13,b2012,67,67
13939,13,SB0832,cattle,cattle,64420015_8,64420015_6,64420015,64420015,within,26,38,39,abattage,82,224,cattle->cattle,2009,13,b2012,67,67
13940,13,SB0832,cattle,cattle,64420015_9,64420015_6,64420015,64420015,within,26,28,39,abattage,83,224,cattle->cattle,2009,13,b2012,67,67
13941,13,SB0832,cattle,cattle,64420015_11,64420015_3,64420015,64420015,within,28,-1,39,abattage,84,224,cattle->cattle,2009,11,b2012,67,67
13942,13,SB0832,cattle,cattle,64420015_12,64420015_9,64420015,64420015,within,30,37,39,abattage,85,224,cattle->cattle,2009,9,b2012,67,67
