X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle
25770,13,SB0832,cattle,cattle,64420012_5,64420012_1,64420012,64420012,within,49,51,64,abattage,287,135,cattle->cattle,2011,15,b2012,235,235
25771,13,SB0832,cattle,cattle,64420012_6,64420012_2,64420012,64420012,within,49,50,64,abattage,288,135,cattle->cattle,2011,15,b2012,235,235
25772,13,SB0832,cattle,cattle,64420038_3,64420038_0,64420038,64420038,within,49,52,65,abattage,289,135,cattle->cattle,2011,16,b2012,235,235
25773,13,SB0832,cattle,cattle,64420047_7,64420047_4,64420047,64420047,within,49,49,56,abattage,290,135,cattle->cattle,2011,7,b2012,235,235
25774,13,SB0832,cattle,cattle,64420047_8,64420047_4,64420047,64420047,within,49,55,56,abattage,291,135,cattle->cattle,2011,7,b2012,235,235
25775,13,SB0832,cattle,cattle,64420012_7,64420012_1,64420012,64420012,within,50,54,64,abattage,304,135,cattle->cattle,2011,14,b2012,235,235
25776,13,SB0832,cattle,cattle,64420012_8,64420012_2,64420012,64420012,within,51,53,64,abattage,310,135,cattle->cattle,2011,13,b2012,235,235
25777,13,SB0832,cattle,cattle,64420047_9,64420047_0,64420047,64420047,within,51,53,56,abattage,311,135,cattle->cattle,2011,5,b2012,235,235
25778,13,SB0832,cattle,cattle,64420047_13,64420047_1,64420047,64420047,within,51,52,56,abattage,312,135,cattle->cattle,2011,5,b2012,235,235
25779,13,SB0832,cattle,cattle,64420047_10,64420047_2,64420047,64420047,within,51,54,56,abattage,313,135,cattle->cattle,2011,5,b2012,235,235
25780,13,SB0832,cattle,cattle,64420047_11,64420047_2,64420047,64420047,within,51,52,56,abattage,314,135,cattle->cattle,2011,5,b2012,235,235
25781,13,SB0832,cattle,cattle,64420047_12,64420047_7,64420047,64420047,within,51,53,56,abattage,315,135,cattle->cattle,2011,5,b2012,235,235
25782,13,SB0832,cattle,cattle,64420012_9,64420012_2,64420012,64420012,within,52,52,64,abattage,324,135,cattle->cattle,2011,12,b2012,235,235
