X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
8490,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,2,27,abattage,13,119,NA->cattle,2007,27,b2012,93,93,NA,NA,NA,NA,NA,NA
8491,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,11,20,27,abattage,47,119,cattle->cattle,2007,16,b2012,93,93,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1
8492,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,11,12,27,abattage,48,119,cattle->cattle,2007,16,b2012,93,93,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2
8493,13,SB0832,cattle,cattle,64420015_3,64420015_2,64420015,64420015,within,12,15,27,abattage,57,119,cattle->cattle,2008,15,b2012,93,93,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3
8494,13,SB0832,cattle,cattle,64420015_4,64420015_0,64420015,64420015,within,13,17,27,abattage,69,119,cattle->cattle,2008,14,b2012,93,93,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4
8495,13,SB0832,cattle,cattle,64420015_6,64420015_0,64420015,64420015,within,14,-1,20,demographie,74,119,cattle->cattle,2008,6,b2012,93,93,64420015_0->64420015_6,64420015_0->64420015_6,64420015_0->64420015_6,64420015_0->64420015_6,64420015_0->64420015_6,64420015_0->64420015_6
8496,13,SB0832,cattle,cattle,64420015_5,64420015_2,64420015,64420015,within,14,18,27,abattage,75,119,cattle->cattle,2008,13,b2012,93,93,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5
8497,13,SB0832,cattle,cattle,64420044_0,64420015_3,64420044,64420015,pasture,16,22,38,abattage,95,119,cattle->cattle,2008,22,b2012,93,93,64420015_3->64420044_0,64420015_3->64420044_0,64420015_3->64420044_0,64420015_3->64420044_0,64420015_3->64420044_0,64420015_3->64420044_0
8498,13,SB0832,cattle,cattle,64420015_8,64420015_0,64420015,64420015,within,18,21,27,abattage,102,119,cattle->cattle,2008,9,b2012,93,93,64420015_0->64420015_8,64420015_0->64420015_8,64420015_0->64420015_8,64420015_0->64420015_8,64420015_0->64420015_8,64420015_0->64420015_8
8499,13,SB0832,cattle,cattle,64420015_7,64420015_3,64420015,64420015,within,18,22,27,demographie,103,119,cattle->cattle,2008,9,b2012,93,93,64420015_3->64420015_7,64420015_3->64420015_7,64420015_3->64420015_7,64420015_3->64420015_7,64420015_3->64420015_7,64420015_3->64420015_7
