X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
1127,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,0,16,demographie,13,402,NA->cattle,2007,16,b2012,483,483,NA,NA,NA,NA,NA,NA
1128,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,2,5,17,abattage,21,402,cattle->cattle,2007,15,b2012,483,483,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1
1129,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,4,5,17,abattage,26,402,cattle->cattle,2007,13,b2012,483,483,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2
1130,13,SB0832,cattle,cattle,64420044_0,64420015_1,64420044,64420015,pasture,8,11,20,abattage,32,402,cattle->cattle,2007,12,b2012,483,483,64420015_1->64420044_0,64420015_1->64420044_0,64420015_1->64420044_0,64420015_1->64420044_0,64420015_1->64420044_0,64420015_1->64420044_0
1131,13,SB0832,cattle,cattle,64420044_1,64420044_0,64420044,64420044,within,12,14,19,demographie,48,402,cattle->cattle,2008,7,b2012,483,483,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1
1132,13,SB0832,cattle,cattle,64420015_3,64420044_0,64420015,64420044,pasture,16,17,17,abattage,65,402,cattle->cattle,2008,1,b2012,483,483,64420044_0->64420015_3,64420044_0->64420015_3,64420044_0->64420015_3,64420044_0->64420015_3,64420044_0->64420015_3,64420044_0->64420015_3
1133,13,SB0832,cattle,cattle,64420047_0,64420044_1,64420047,64420044,pasture,16,18,36,abattage,66,402,cattle->cattle,2008,20,b2012,483,483,64420044_1->64420047_0,64420044_1->64420047_0,64420044_1->64420047_0,64420044_1->64420047_0,64420044_1->64420047_0,64420044_1->64420047_0
1134,13,SB0832,cattle,cattle,64420044_2,64420044_0,64420044,64420044,within,17,18,20,abattage,68,402,cattle->cattle,2008,3,b2012,483,483,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2
1135,13,SB0832,cattle,cattle,64420047_1,64420044_0,64420047,64420044,pasture,17,26,36,abattage,69,402,cattle->cattle,2008,19,b2012,483,483,64420044_0->64420047_1,64420044_0->64420047_1,64420044_0->64420047_1,64420044_0->64420047_1,64420044_0->64420047_1,64420044_0->64420047_1
1136,13,SB0832,cattle,cattle,64420012_0,64420047_0,64420012,64420047,pasture,20,25,42,abattage,80,402,cattle->cattle,2008,22,b2012,483,483,64420047_0->64420012_0,64420047_0->64420012_0,64420047_0->64420012_0,64420047_0->64420012_0,64420047_0->64420012_0,64420047_0->64420012_0
