sp_infector,R,nb,R_sim,nb_sim,tree,scenario
boar,0.18181818181818182,22,1.2727272727272727,22,B1_6,6
cattle,1.1486486486486487,74,0.9054054054054054,74,B1_6,6
badger,0.7204301075268817,93,0.6881720430107527,93,B1_7,1
boar,2,24,3.6666666666666665,24,B1_7,1
cattle,1.0057142857142858,175,0.7942857142857143,175,B1_7,1
badger,0.7078651685393258,89,0.7159090909090909,88,B1_7,2
boar,2,24,4.166666666666667,24,B1_7,2
cattle,1.0057142857142858,175,0.7028571428571428,175,B1_7,2
badger,0.6989247311827957,93,0.8709677419354839,93,B1_7,3
boar,4.2727272727272725,11,NA,0,B1_7,3
cattle,0.9485714285714286,175,1.062857142857143,175,B1_7,3
badger,1.1,10,NA,0,B1_7,4
boar,1.75,24,3.9166666666666665,24,B1_7,4
cattle,0.8857142857142857,175,0.5942857142857143,175,B1_7,4
badger,0.6853932584269663,89,0.7954545454545454,88,B1_7,5
boar,4.2727272727272725,11,NA,0,B1_7,5
cattle,0.9485714285714286,175,1.0971428571428572,175,B1_7,5
badger,1.1,10,NA,0,B1_7,6
boar,1.75,24,3.9166666666666665,24,B1_7,6
cattle,0.8857142857142857,175,0.5942857142857143,175,B1_7,6
badger,0.5714285714285714,42,1.0714285714285714,42,B1_8,1
boar,2.3461538461538463,26,1.3076923076923077,26,B1_8,1
cattle,0.8971428571428571,175,0.9314285714285714,175,B1_8,1
badger,0.5609756097560976,41,1.125,40,B1_8,2
boar,2.3461538461538463,26,1.4615384615384615,26,B1_8,2
cattle,0.8971428571428571,175,0.8971428571428571,175,B1_8,2
badger,0.47619047619047616,42,1.0238095238095237,42,B1_8,3
boar,3.6875,16,NA,0,B1_8,3
cattle,0.8742857142857143,175,0.9885714285714285,175,B1_8,3
badger,1.3636363636363635,11,NA,0,B1_8,4
boar,2.3461538461538463,26,1.1923076923076923,26,B1_8,4
cattle,0.7714285714285715,175,0.9657142857142857,175,B1_8,4
badger,0.4634146341463415,41,1.05,40,B1_8,5
boar,3.6875,16,NA,0,B1_8,5
cattle,0.8742857142857143,175,0.9828571428571429,175,B1_8,5
badger,1.3636363636363635,11,NA,0,B1_8,6
boar,2.3461538461538463,26,1.1923076923076923,26,B1_8,6
cattle,0.7714285714285715,175,0.9657142857142857,175,B1_8,6
badger,0.9019607843137255,51,1.6274509803921569,51,B1_9,1
boar,0.647887323943662,71,1.0422535211267605,71,B1_9,1
cattle,1.1576086956521738,184,0.8043478260869565,184,B1_9,1
badger,0.9777777777777777,45,1.0731707317073171,41,B1_9,2
boar,0.6617647058823529,68,0.8382352941176471,68,B1_9,2
cattle,1.125,184,1.0380434782608696,184,B1_9,2
badger,0.8431372549019608,51,1.3725490196078431,51,B1_9,3
boar,1.8571428571428572,21,NA,0,B1_9,3
cattle,0.9402173913043478,184,0.8913043478260869,184,B1_9,3
badger,1.3793103448275863,29,NA,0,B1_9,4
boar,0.647887323943662,71,0.9859154929577465,71,B1_9,4
cattle,1.0706521739130435,184,1,184,B1_9,4
badger,0.9111111111111111,45,1.2439024390243902,41,B1_9,5
boar,1.8571428571428572,21,NA,0,B1_9,5
cattle,0.9184782608695652,184,0.9402173913043478,184,B1_9,5
badger,1.3793103448275863,29,NA,0,B1_9,6
boar,0.6617647058823529,68,0.9411764705882353,68,B1_9,6
cattle,1.059782608695652,184,1.016304347826087,184,B1_9,6
badger,0.6764705882352942,34,1.088235294117647,34,B1_10,1
boar,1.8823529411764706,34,1.2352941176470589,34,B1_10,1
cattle,0.9047619047619048,210,0.8952380952380953,210,B1_10,1
badger,0.6875,32,1.3793103448275863,29,B1_10,2
boar,1.8823529411764706,34,1.2647058823529411,34,B1_10,2
cattle,0.9,210,0.9,210,B1_10,2
badger,0.5588235294117647,34,1.2352941176470589,34,B1_10,3
boar,3.2,20,NA,0,B1_10,3
cattle,0.8571428571428571,210,0.9095238095238095,210,B1_10,3
badger,1.8888888888888888,9,NA,0,B1_10,4
boar,1.8235294117647058,34,1.6176470588235294,34,B1_10,4
cattle,0.8238095238095238,210,0.8952380952380953,210,B1_10,4
badger,0.5625,32,1.1724137931034482,29,B1_10,5
boar,3.2,20,NA,0,B1_10,5
cattle,0.8523809523809524,210,0.9714285714285714,210,B1_10,5
badger,1.8888888888888888,9,NA,0,B1_10,6
boar,1.8235294117647058,34,1.6176470588235294,34,B1_10,6
cattle,0.8238095238095238,210,0.8952380952380953,210,B1_10,6
badger,0.6792452830188679,53,1.169811320754717,53,B1_11,1
boar,2.0357142857142856,28,1.5714285714285714,28,B1_11,1
cattle,0.9539007092198581,282,0.9042553191489362,282,B1_11,1
badger,0.6666666666666666,48,1.0714285714285714,42,B1_11,2
boar,2.0357142857142856,28,0.6666666666666666,27,B1_11,2
cattle,0.950354609929078,282,1.00354609929078,282,B1_11,2
badger,0.6415094339622641,53,1.471698113207547,53,B1_11,3
boar,3.176470588235294,17,NA,0,B1_11,3
cattle,0.9326241134751773,282,0.900709219858156,282,B1_11,3
badger,1.375,8,NA,0,B1_11,4
boar,2,28,1.5,28,B1_11,4
cattle,0.8865248226950354,282,0.9397163120567376,282,B1_11,4
badger,0.625,48,1.1904761904761905,42,B1_11,5
boar,3.176470588235294,17,NA,0,B1_11,5
cattle,0.9290780141843972,282,0.9539007092198581,282,B1_11,5
badger,1.375,8,NA,0,B1_11,6
boar,2,28,0.6296296296296297,27,B1_11,6
cattle,0.8865248226950354,282,1.024822695035461,282,B1_11,6
badger,0.975609756097561,41,0.8536585365853658,41,B1_12,1
boar,2.566666666666667,30,0.7,30,B1_12,1
cattle,0.7638190954773869,199,1.0452261306532664,199,B1_12,1
badger,1.0256410256410255,39,0.7435897435897436,39,B1_12,2
boar,2.566666666666667,30,0.5333333333333333,30,B1_12,2
cattle,0.7537688442211056,199,1.0954773869346734,199,B1_12,2
badger,0.9512195121951219,41,0.8536585365853658,41,B1_12,3
boar,3.3043478260869565,23,NA,0,B1_12,3
cattle,0.7386934673366834,199,1,199,B1_12,3
badger,1.8823529411764706,17,NA,0,B1_12,4
boar,2.466666666666667,30,0.7,30,B1_12,4
cattle,0.6984924623115578,199,1.020100502512563,199,B1_12,4
badger,1,39,1.0512820512820513,39,B1_12,5
boar,3.3043478260869565,23,NA,0,B1_12,5
cattle,0.7286432160804021,199,0.964824120603015,199,B1_12,5
badger,1.8823529411764706,17,NA,0,B1_12,6
boar,2.466666666666667,30,0.7,30,B1_12,6
cattle,0.6984924623115578,199,1.020100502512563,199,B1_12,6
badger,0.7272727272727273,33,1,33,B1_13,1
boar,1.962962962962963,27,1.4814814814814814,27,B1_13,1
cattle,0.9081632653061225,196,0.9183673469387755,196,B1_13,1
badger,0.75,32,0.71875,32,B1_13,2
boar,1.962962962962963,27,1.5555555555555556,27,B1_13,2
cattle,0.9030612244897959,196,0.9591836734693877,196,B1_13,2
badger,0.7272727272727273,33,1.121212121212121,33,B1_13,3
boar,2.272727272727273,22,NA,0,B1_13,3
cattle,0.8979591836734694,196,0.9693877551020408,196,B1_13,3
badger,1.2941176470588236,17,NA,0,B1_13,4
boar,1.962962962962963,27,1.4074074074074074,27,B1_13,4
cattle,0.8367346938775511,196,0.9285714285714286,196,B1_13,4
badger,0.75,32,1,32,B1_13,5
