sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,1.8888888888888888,9,NA,0,B1_10,6
boar,1.8235294117647058,34,0.9117647058823529,34,B1_10,6
cattle,0.8238095238095238,210,0.7047619047619048,210,B1_10,6
badger,0.6792452830188679,53,0.05660377358490566,53,B1_11,1
boar,2.0357142857142856,28,0.03571428571428571,28,B1_11,1
cattle,0.9539007092198581,282,0.22340425531914893,282,B1_11,1
badger,0.6666666666666666,48,0.21428571428571427,42,B1_11,2
boar,2.0357142857142856,28,0.18518518518518517,27,B1_11,2
cattle,0.950354609929078,282,0.2375886524822695,282,B1_11,2
badger,0.6415094339622641,53,0.32075471698113206,53,B1_11,3
boar,3.176470588235294,17,NA,0,B1_11,3
cattle,0.9326241134751773,282,0.1702127659574468,282,B1_11,3
badger,1.375,8,NA,0,B1_11,4
boar,2,28,1.5,28,B1_11,4
cattle,0.8865248226950354,282,0.900709219858156,282,B1_11,4
badger,0.625,48,0.2619047619047619,42,B1_11,5
boar,3.176470588235294,17,NA,0,B1_11,5
cattle,0.9290780141843972,282,0.24113475177304963,282,B1_11,5
badger,1.375,8,NA,0,B1_11,6
boar,2,28,1.0740740740740742,27,B1_11,6
cattle,0.8865248226950354,282,0.9326241134751773,282,B1_11,6
badger,0.975609756097561,41,0.21951219512195122,41,B1_12,1
boar,2.566666666666667,30,0.43333333333333335,30,B1_12,1
cattle,0.7638190954773869,199,0.1457286432160804,199,B1_12,1
badger,1.0256410256410255,39,0.07692307692307693,39,B1_12,2
boar,2.566666666666667,30,0.5333333333333333,30,B1_12,2
cattle,0.7537688442211056,199,0.1407035175879397,199,B1_12,2
badger,0.9512195121951219,41,0.21951219512195122,41,B1_12,3
boar,3.3043478260869565,23,NA,0,B1_12,3
cattle,0.7386934673366834,199,0.27638190954773867,199,B1_12,3
badger,1.8823529411764706,17,NA,0,B1_12,4
boar,2.466666666666667,30,0.23333333333333334,30,B1_12,4
cattle,0.6984924623115578,199,0.15577889447236182,199,B1_12,4
badger,1,39,0.1794871794871795,39,B1_12,5
boar,3.3043478260869565,23,NA,0,B1_12,5
cattle,0.7286432160804021,199,0.2964824120603015,199,B1_12,5
badger,1.8823529411764706,17,NA,0,B1_12,6
boar,2.466666666666667,30,0.13333333333333333,30,B1_12,6
cattle,0.6984924623115578,199,0.17587939698492464,199,B1_12,6
badger,0.7272727272727273,33,0.9090909090909091,33,B1_13,1
boar,1.962962962962963,27,1.037037037037037,27,B1_13,1
cattle,0.9081632653061225,196,0.44387755102040816,196,B1_13,1
badger,0.75,32,0.65625,32,B1_13,2
boar,1.962962962962963,27,0.9629629629629629,27,B1_13,2
cattle,0.9030612244897959,196,0.5969387755102041,196,B1_13,2
badger,0.7272727272727273,33,0.36363636363636365,33,B1_13,3
boar,2.272727272727273,22,NA,0,B1_13,3
cattle,0.8979591836734694,196,0.7295918367346939,196,B1_13,3
