dist_gen,nb,prop_unique,tree,scenario,mean_div
0,81.11111111111111,8.88888888888889,A1_1,1,0.1925925925925926
1,18.51851851851852,8.88888888888889,A1_1,1,0.1925925925925926
2,0.3703703703703704,8.88888888888889,A1_1,1,0.1925925925925926
0,80.76923076923077,8.846153846153847,A1_1,2,0.19615384615384615
1,18.846153846153847,8.846153846153847,A1_1,2,0.19615384615384615
2,0.38461538461538464,8.846153846153847,A1_1,2,0.19615384615384615
0,82.0754716981132,7.0754716981132075,A1_1,3,0.18396226415094338
1,17.452830188679243,7.0754716981132075,A1_1,3,0.18396226415094338
2,0.4716981132075472,7.0754716981132075,A1_1,3,0.18396226415094338
0,80.18018018018019,8.558558558558559,A1_1,4,0.20270270270270271
1,19.36936936936937,8.558558558558559,A1_1,4,0.20270270270270271
2,0.45045045045045046,8.558558558558559,A1_1,4,0.20270270270270271
0,81.9047619047619,7.142857142857142,A1_1,5,0.18571428571428572
1,17.61904761904762,7.142857142857142,A1_1,5,0.18571428571428572
2,0.4761904761904762,7.142857142857142,A1_1,5,0.18571428571428572
0,79.90654205607477,8.411214953271028,A1_1,6,0.205607476635514
1,19.626168224299064,8.411214953271028,A1_1,6,0.205607476635514
2,0.46728971962616817,8.411214953271028,A1_1,6,0.205607476635514
0,84.49612403100775,6.2015503875969,A1_2,1,0.15503875968992248
1,15.503875968992247,6.2015503875969,A1_2,1,0.15503875968992248
0,84.12698412698413,6.349206349206349,A1_2,2,0.15873015873015872
1,15.873015873015872,6.349206349206349,A1_2,2,0.15873015873015872
0,84.070796460177,7.964601769911504,A1_2,3,0.1592920353982301
1,15.929203539823009,7.964601769911504,A1_2,3,0.1592920353982301
0,83.49514563106796,5.825242718446602,A1_2,4,0.17475728155339806
1,15.53398058252427,5.825242718446602,A1_2,4,0.17475728155339806
2,0.9708737864077669,5.825242718446602,A1_2,4,0.17475728155339806
0,83.63636363636363,8.181818181818182,A1_2,5,0.16363636363636364
1,16.363636363636363,8.181818181818182,A1_2,5,0.16363636363636364
0,83.49514563106796,5.825242718446602,A1_2,6,0.17475728155339806
1,15.53398058252427,5.825242718446602,A1_2,6,0.17475728155339806
2,0.9708737864077669,5.825242718446602,A1_2,6,0.17475728155339806
