3_d500_24_0_badger_2018-06-01,3_d500_24_1_badger_2018-08-01,3_d500_280_0_badger_2020-02-01,3_d500_280_1_badger_2020-02-01,3_d500_281_0_badger_2020-02-01,3_d500_281_1_badger_2020-02-01,3_d500_281_2_badger_2019-06-01,3_d500_281_3_badger_2020-02-01,3_d500_283_0_badger_2018-08-01,3_d500_284_0_badger_2016-07-01,3_d500_285_0_badger_2013-06-01,3_d500_285_1_badger_2018-01-01,3_d500_285_2_badger_2013-02-01,3_d500_285_3_badger_2020-02-01,3_d500_285_4_badger_2020-02-01,3_d500_285_5_badger_2019-07-01,3_d500_285_6_badger_2018-06-01,3_d500_89_2_badger_2019-07-01,45_d500_124_0_badger_2013-09-01,45_d500_152_0_badger_2013-05-01,5_d500_4_0_badger_2020-02-01,64146020_0_cattle_2020-02-01,64146027_0_cattle_2018-02-01,64146027_10_cattle_2018-04-01,64146027_11_cattle_2018-04-01,64146027_12_cattle_2018-04-01,64146027_13_cattle_2018-04-01,64146027_14_cattle_2018-02-01,64146027_15_cattle_2018-02-01,64146027_16_cattle_2018-02-01,64146027_17_cattle_2018-04-01,64146027_18_cattle_2018-04-01,64146027_19_cattle_2018-02-01,64146027_1_cattle_2018-04-01,64146027_20_cattle_2018-02-01,64146027_21_cattle_2018-02-01,64146027_22_cattle_2018-04-01,64146027_23_cattle_2018-04-01,64146027_24_cattle_2018-02-01,64146027_25_cattle_2018-04-01,64146027_26_cattle_2018-04-01,64146027_27_cattle_2018-04-01,64146027_28_cattle_2018-04-01,64146027_29_cattle_2018-04-01,64146027_2_cattle_2018-02-01,64146027_30_cattle_2018-04-01,64146027_3_cattle_2018-04-01,64146027_4_cattle_2018-04-01,64146027_5_cattle_2018-04-01,64146027_6_cattle_2018-02-01,64146027_7_cattle_2018-02-01,64146027_8_cattle_2018-02-01,64146027_9_cattle_2018-02-01,64146_0_boar_2020-02-01,64146_1_boar_2019-07-01,64146_2_boar_2020-02-01,64146_3_boar_2020-02-01,64171011_0_cattle_2019-04-01,64194036_0_cattle_2020-02-01,64194036_1_cattle_2018-03-01,64194036_2_cattle_2020-02-01,64194036_3_cattle_2020-02-01,64194036_4_cattle_2020-02-01,64194036_5_cattle_2020-02-01,64194_0_boar_2020-02-01,64194_1_boar_2020-02-01,64194_2_boar_2019-04-01,64194_3_boar_2019-04-01,64194_4_boar_2020-02-01,64194_5_boar_2019-12-01,64194_6_boar_2020-02-01,64194_7_boar_2020-02-01,64301063_0_cattle_2016-01-01,64301063_1_cattle_2016-01-01,64332009_0_cattle_2018-12-01,64332009_1_cattle_2018-12-01,64361002_0_cattle_2020-02-01,64361002_1_cattle_2020-02-01,64420038_0_cattle_2011-08-01,64420038_1_cattle_2011-09-01,64420038_2_cattle_2011-09-01,64420038_3_cattle_2011-09-01,64420038_4_cattle_2011-09-01,64420038_5_cattle_2011-09-01,64420038_6_cattle_2011-09-01,64470005_0_cattle_2019-10-01,64470005_1_cattle_2020-02-01,64470_0_boar_2020-02-01,64470_1_boar_2020-02-01,64470_2_boar_2020-02-01,64470_3_boar_2020-02-01,64521001_0_cattle_2011-08-01,64521001_10_cattle_2014-03-01,64521001_11_cattle_2014-03-01,64521001_12_cattle_2014-03-01,64521001_13_cattle_2014-03-01,64521001_14_cattle_2014-03-01,64521001_15_cattle_2014-03-01,64521001_16_cattle_2014-03-01,64521001_1_cattle_2014-03-01,64521001_2_cattle_2014-03-01,64521001_3_cattle_2014-03-01,64521001_4_cattle_2014-03-01,64521001_5_cattle_2014-03-01,64521001_6_cattle_2014-03-01,64521001_7_cattle_2014-02-01,64521001_8_cattle_2014-03-01,64521001_9_cattle_2014-03-01,64521010_0_cattle_2015-03-01,64521010_10_cattle_2019-03-01,64521010_11_cattle_2019-03-01,64521010_12_cattle_2019-07-01,64521010_13_cattle_2019-03-01,64521010_1_cattle_2015-03-01,64521010_2_cattle_2015-03-01,64521010_3_cattle_2015-03-01,64521010_4_cattle_2015-05-01,64521010_5_cattle_2015-03-01,64521010_6_cattle_2015-03-01,64521010_7_cattle_2015-03-01,64521010_8_cattle_2019-03-01,64521010_9_cattle_2019-03-01,64521015_0_cattle_2010-11-01,64521015_10_cattle_2010-11-01,64521015_1_cattle_2010-11-01,64521015_2_cattle_2010-11-01,64521015_3_cattle_2010-04-01,64521015_4_cattle_2010-11-01,64521015_5_cattle_2010-11-01,64521015_6_cattle_2010-11-01,64521015_7_cattle_2010-11-01,64521015_8_cattle_2010-10-01,64521015_9_cattle_2010-11-01,64521018_0_cattle_2017-12-01,64521018_1_cattle_2017-11-01,64521018_2_cattle_2017-12-01,64521018_3_cattle_2017-12-01,64521018_4_cattle_2017-12-01,64521018_5_cattle_2017-12-01,64521018_6_cattle_2017-12-01,64521018_7_cattle_2017-12-01,64521018_8_cattle_2017-12-01,64521_0_boar_2010-07-01,64521_10_boar_2020-02-01,64521_1_boar_2011-02-01,64521_2_boar_2010-07-01,64521_3_boar_2020-02-01,64521_4_boar_2014-03-01,64521_5_boar_2015-11-01,64521_6_boar_2014-12-01,64521_9_boar_2018-01-01,64554022_11_cattle_2017-09-01,64554022_12_cattle_2019-03-01,64554022_13_cattle_2018-12-01,64554022_1_cattle_2017-02-01
0,0.6892621475704442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.2785442911417742,0,0
0.194361127774449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5376924615076731,0,0
0,0,0,0,0,7.998400319936012e-4,0.0031993601279744054,0,0,0,0,0,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0.006198760247950412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9.998000399920016e-4,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0037992401519696068,0,0,0.006398720255948813,0,0.016996600679864,0,0,0,0,0,0,0.005998800239952012,0.061787642471505505,0,0.01099780043991201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05518896220755832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.006198760247950412,0,0,0,0,0,0,0,0.0015996800639872023,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6940611877624053,0
0,0,0,0,0,0,0,0,0,0,0,0.017396520695860798,0,0,0,0,0,0,0,0,0,0,0.14317136572685693,0.10337932413517403,0.008398320335932815,0.02579484103179358,0.0171965606878624,0.13797240551889836,0.14597080583883462,0.03439312137572476,0.029594081183763173,0.033393321335732765,0.06838632273545289,0.027394521095780777,0.061387722455508706,0.0625874825034991,0.009398120375924813,0.08258348330333976,0.09478104379124255,0.007798440311937616,0.0717856428714258,0.037592481503699156,0.022395520895820788,0.03719256148770236,0.01119776044791041,0.0037992401519696068,0.019396120775844794,0.019796040791841593,0.02679464107178558,0.052589482103579124,0.02639472105578878,0.22435512897420998,0.04479104179164154,0,0,0,0,0,0,0.016996600679864,0,0,0,0,0,0,0.004399120175964808,9.998000399920016e-4,0.001399720055988802,0,0,0,0,0,0.00519896020795841,0.0017996400719856025,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0,0,0,0,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0.012197560487902407,0.02059588082383519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991801639672075,0,0,0,0
