30_d500_65_0_badger_2020-02-01,45_d500_100_0_badger_2013-05-01,45_d500_100_2_badger_2014-11-01,45_d500_100_3_badger_2015-05-01,45_d500_151_0_badger_2019-06-01,45_d500_159_855_0_badger_2013-08-01,45_d500_159_855_1_badger_2015-07-01,45_d500_162_0_badger_2016-09-01,45_d500_263_0_badger_2015-08-01,45_d500_268_0_badger_2018-06-01,45_d500_278_0_badger_2016-09-01,45_d500_283_0_badger_2020-02-01,45_d500_285_0_badger_2016-07-01,45_d500_285_1_badger_2020-02-01,45_d500_288_0_badger_2019-05-01,45_d500_288_1_badger_2015-06-01,45_d500_288_2_badger_2020-02-01,45_d500_290_0_badger_2020-02-01,45_d500_296_0_badger_2017-06-01,45_d500_297_0_badger_2020-02-01,45_d500_48_0_badger_2014-04-01,45_d500_48_1_badger_2013-08-01,45_d500_57_715_0_badger_2015-01-01,45_d500_99_766_0_badger_2010-08-01,45_d500_99_839_0_badger_2008-10-01,45_d500_99_839_1_badger_2009-08-01,45_d500_99_839_2_badger_2010-02-01,45_d500_99_839_3_badger_2009-09-01,45_d500_99_839_4_badger_2017-08-01,45_d500_99_866_0_badger_2013-06-01,45_d500_99_869_0_badger_2012-02-01,45_d500_99_869_1_badger_2014-09-01,45_d500_99_869_2_badger_2015-10-01,56_d500_16_0_badger_2020-02-01,56_d500_3_0_badger_2020-02-01,56_d500_3_1_badger_2016-09-01,64197023_1_cattle_2013-04-01,64230037_0_cattle_2020-02-01,64230037_1_cattle_2020-02-01,64230037_2_cattle_2020-02-01,64230037_3_cattle_2020-02-01,64230037_4_cattle_2020-02-01,64230155_0_cattle_2018-02-01,64230155_1_cattle_2018-04-01,64230155_2_cattle_2018-04-01,64230155_3_cattle_2020-02-01,64230207_0_cattle_2020-02-01,64230207_10_cattle_2020-02-01,64230207_11_cattle_2020-02-01,64230207_12_cattle_2020-02-01,64230207_13_cattle_2020-02-01,64230207_14_cattle_2020-02-01,64230207_15_cattle_2020-02-01,64230207_16_cattle_2020-02-01,64230207_17_cattle_2020-02-01,64230207_18_cattle_2020-02-01,64230207_19_cattle_2020-02-01,64230207_1_cattle_2020-02-01,64230207_20_cattle_2020-02-01,64230207_21_cattle_2020-02-01,64230207_22_cattle_2020-02-01,64230207_23_cattle_2020-02-01,64230207_2_cattle_2020-02-01,64230207_3_cattle_2020-02-01,64230207_4_cattle_2020-02-01,64230207_5_cattle_2020-02-01,64230207_6_cattle_2020-02-01,64230207_7_cattle_2020-02-01,64230207_8_cattle_2020-02-01,64230207_9_cattle_2020-02-01,64230209_0_cattle_2019-01-01,64230209_1_cattle_2019-01-01,64230_10_boar_2019-10-01,64230_11_boar_2020-02-01,64230_12_boar_2018-11-01,64230_13_boar_2020-02-01,64230_14_boar_2020-02-01,64230_15_boar_2020-02-01,64230_16_boar_2020-02-01,64230_17_boar_2019-12-01,64230_18_boar_2019-08-01,64230_19_boar_2019-12-01,64230_20_boar_2019-07-01,64230_22_boar_2020-02-01,64230_23_boar_2020-02-01,64230_24_boar_2020-02-01,64230_25_boar_2020-02-01,64230_5_boar_2019-03-01,64230_6_boar_2018-11-01,64230_7_boar_2019-05-01,64230_8_boar_2019-02-01,64230_9_boar_2018-12-01,64253028_0_cattle_2018-03-01,64253028_2_cattle_2018-07-01,64253028_3_cattle_2018-03-01,64253_0_boar_2015-08-01,64253_1_boar_2017-05-01,64253_2_boar_2019-02-01,64253_3_boar_2019-02-01,64253_4_boar_2020-02-01,64253_5_boar_2020-02-01,64253_6_boar_2019-09-01,64253_7_boar_2019-07-01,64324009_0_cattle_2017-02-01,64324009_1_cattle_2017-02-01,64324009_2_cattle_2019-03-01,64324009_3_cattle_2019-06-01,64324009_4_cattle_2019-09-01,64324009_5_cattle_2020-02-01,64324009_6_cattle_2020-02-01,64324009_7_cattle_2020-02-01,64324016_0_cattle_2018-04-01,64324016_1_cattle_2017-10-01,64324016_2_cattle_2017-12-01,64324016_3_cattle_2017-12-01,64324016_4_cattle_2018-04-01,64324016_5_cattle_2018-07-01,64324016_6_cattle_2019-01-01,64324018_0_cattle_2019-03-01,64324018_1_cattle_2019-01-01,64324029_0_cattle_2016-11-01,64324034_0_cattle_2017-01-01,64324034_1_cattle_2019-08-01,64324046_4_cattle_2020-02-01,64324046_5_cattle_2020-02-01,64324046_6_cattle_2020-02-01,64324046_7_cattle_2019-12-01,64324046_8_cattle_2020-02-01,64324046_9_cattle_2020-02-01,64324050_0_cattle_2016-02-01,64324050_1_cattle_2016-02-01,64324050_2_cattle_2016-02-01,64324050_3_cattle_2016-02-01,64324050_4_cattle_2016-02-01,64324050_6_cattle_2018-03-01,64324050_7_cattle_2018-06-01,64324050_8_cattle_2020-02-01,64324050_9_cattle_2020-02-01,64324054_14_cattle_2018-12-01,64324054_15_cattle_2018-12-01,64324054_16_cattle_2018-12-01,64324054_17_cattle_2020-02-01,64324054_18_cattle_2020-02-01,64324054_19_cattle_2020-02-01,64324054_1_cattle_2015-01-01,64324054_20_cattle_2020-02-01,64324054_4_cattle_2015-01-01,64324054_5_cattle_2015-12-01,64324054_7_cattle_2015-12-01,64324054_8_cattle_2015-12-01,64324057_0_cattle_2018-03-01,64324057_1_cattle_2018-07-01,64324057_2_cattle_2018-03-01,64324057_3_cattle_2018-03-01,64324057_4_cattle_2020-02-01,64324057_5_cattle_2020-02-01,64324057_6_cattle_2019-07-01,64324090_0_cattle_2016-02-01,64324090_1_cattle_2020-02-01,64324090_2_cattle_2019-12-01,64324120_0_cattle_2015-12-01,64324120_3_cattle_2019-03-01,64324120_4_cattle_2019-03-01,64324129_3_cattle_2018-10-01,64324129_4_cattle_2018-12-01,64324152_0_cattle_2017-03-01,64324152_1_cattle_2017-03-01,64324152_2_cattle_2018-12-01,64324160_0_cattle_2016-02-01,64324160_1_cattle_2017-12-01,64324160_2_cattle_2019-02-01,64324160_3_cattle_2019-09-01,64324171_0_cattle_2016-03-01,64324171_1_cattle_2016-03-01,64324171_2_cattle_2017-04-01,64324171_3_cattle_2017-04-01,64324171_4_cattle_2017-04-01,64324171_5_cattle_2017-04-01,64324171_6_cattle_2017-04-01,64324171_7_cattle_2017-04-01,64324171_8_cattle_2019-04-01,64324177_0_cattle_2017-02-01,64324195_0_cattle_2015-03-01,64324195_1_cattle_2015-01-01,64324195_2_cattle_2015-03-01,64324195_4_cattle_2018-12-01,64324205_0_cattle_2015-12-01,64324205_10_cattle_2019-02-01,64324205_11_cattle_2018-12-01,64324205_12_cattle_2018-12-01,64324205_13_cattle_2020-02-01,64324205_14_cattle_2020-02-01,64324205_1_cattle_2015-12-01,64324205_2_cattle_2017-04-01,64324205_3_cattle_2017-02-01,64324205_4_cattle_2017-02-01,64324205_5_cattle_2017-02-01,64324205_6_cattle_2017-04-01,64324205_7_cattle_2017-04-01,64324205_8_cattle_2017-04-01,64324205_9_cattle_2018-12-01,64324216_0_cattle_2015-04-01,64324216_1_cattle_2015-02-01,64324216_2_cattle_2015-02-01,64324242_0_cattle_2013-06-01,64324242_1_cattle_2013-07-01,64324242_2_cattle_2018-02-01,64324242_3_cattle_2018-02-01,64324_0_boar_2012-07-01,64324_100_boar_2020-02-01,64324_101_boar_2020-02-01,64324_102_boar_2020-02-01,64324_103_boar_2020-02-01,64324_104_boar_2020-02-01,64324_105_boar_2020-02-01,64324_10_boar_2015-07-01,64324_11_boar_2017-09-01,64324_12_boar_2016-01-01,64324_13_boar_2017-12-01,64324_14_boar_2014-08-01,64324_15_boar_2018-10-01,64324_16_boar_2016-06-01,64324_17_boar_2017-04-01,64324_18_boar_2016-02-01,64324_1_boar_2013-12-01,64324_20_boar_2016-02-01,64324_21_boar_2016-06-01,64324_22_boar_2015-07-01,64324_23_boar_2015-08-01,64324_26_boar_2019-02-01,64324_27_boar_2015-03-01,64324_29_boar_2020-02-01,64324_2_boar_2014-04-01,64324_31_boar_2018-08-01,64324_32_boar_2015-11-01,64324_34_boar_2016-02-01,64324_35_boar_2015-10-01,64324_37_boar_2016-06-01,64324_38_boar_2016-02-01,64324_39_boar_2018-03-01,64324_44_boar_2017-04-01,64324_45_boar_2016-11-01,64324_47_boar_2016-11-01,64324_49_boar_2018-03-01,64324_4_boar_2014-01-01,64324_50_boar_2020-02-01,64324_51_boar_2018-02-01,64324_52_boar_2017-04-01,64324_54_boar_2017-07-01,64324_55_boar_2018-09-01,64324_56_boar_2020-02-01,64324_57_boar_2017-08-01,64324_58_boar_2018-11-01,64324_5_boar_2013-03-01,64324_63_boar_2019-11-01,64324_64_boar_2019-02-01,64324_65_boar_2017-07-01,64324_66_boar_2018-03-01,64324_68_boar_2019-08-01,64324_69_boar_2020-02-01,64324_6_boar_2015-02-01,64324_70_boar_2018-01-01,64324_72_boar_2019-11-01,64324_73_boar_2019-09-01,64324_74_boar_2019-12-01,64324_75_boar_2019-09-01,64324_76_boar_2020-02-01,64324_77_boar_2019-03-01,64324_78_boar_2020-02-01,64324_79_boar_2020-02-01,64324_7_boar_2013-12-01,64324_80_boar_2018-11-01,64324_81_boar_2020-02-01,64324_82_boar_2018-11-01,64324_83_boar_2019-01-01,64324_84_boar_2020-02-01,64324_85_boar_2020-02-01,64324_86_boar_2020-02-01,64324_87_boar_2020-02-01,64324_88_boar_2020-02-01,64324_89_boar_2020-02-01,64324_8_boar_2013-12-01,64324_90_boar_2020-02-01,64324_91_boar_2020-02-01,64324_92_boar_2020-02-01,64324_93_boar_2020-02-01,64324_94_boar_2019-06-01,64324_95_boar_2019-08-01,64324_96_boar_2019-08-01,64324_97_boar_2020-02-01,64324_98_boar_2020-02-01,64324_99_boar_2020-02-01,64324_9_boar_2015-02-01,64359045_21_cattle_2019-04-01,64359056_0_cattle_2013-12-01,64359056_11_cattle_2013-12-01,64359056_7_cattle_2013-12-01,64359061_7_cattle_2013-05-01,64359108_0_cattle_2015-02-01,64359173_9_cattle_2019-12-01,64393072_0_cattle_2016-02-01,64393347_0_cattle_2016-12-01,64393_11_boar_2015-10-01,64393_12_boar_2017-05-01,64393_13_boar_2017-11-01,64393_22_boar_2017-09-01,64393_23_boar_2019-02-01,64393_30_boar_2019-02-01,64393_33_boar_2020-02-01,64393_8_boar_2020-02-01,64420002_0_cattle_2013-04-01,64420002_1_cattle_2013-04-01,64420002_2_cattle_2013-04-01,64420002_3_cattle_2015-01-01,64420002_4_cattle_2016-06-01,64420002_5_cattle_2015-01-01,64420002_6_cattle_2016-02-01,64420002_7_cattle_2016-06-01,64420009_0_cattle_2013-04-01,64420009_10_cattle_2013-04-01,64420009_11_cattle_2013-04-01,64420009_12_cattle_2013-04-01,64420009_13_cattle_2013-04-01,64420009_14_cattle_2013-04-01,64420009_15_cattle_2013-04-01,64420009_16_cattle_2013-04-01,64420009_17_cattle_2013-04-01,64420009_18_cattle_2013-04-01,64420009_19_cattle_2013-02-01,64420009_1_cattle_2013-02-01,64420009_20_cattle_2013-04-01,64420009_21_cattle_2013-04-01,64420009_22_cattle_2013-04-01,64420009_23_cattle_2013-04-01,64420009_24_cattle_2013-04-01,64420009_2_cattle_2013-04-01,64420009_3_cattle_2013-04-01,64420009_4_cattle_2013-03-01,64420009_5_cattle_2013-04-01,64420009_6_cattle_2013-04-01,64420009_7_cattle_2013-04-01,64420009_8_cattle_2013-04-01,64420015_1_cattle_2014-02-01,64420015_2_cattle_2016-01-01,64420028_0_cattle_2013-03-01,64420028_1_cattle_2013-05-01,64420035_0_cattle_2010-09-01,64420035_1_cattle_2010-09-01,64420042_0_cattle_2013-03-01,64420042_1_cattle_2013-03-01,64420042_2_cattle_2013-05-01,64420042_3_cattle_2013-03-01,64420042_4_cattle_2013-03-01,64420042_5_cattle_2013-03-01,64420044_0_cattle_2016-03-01,64420044_1_cattle_2016-01-01,64420044_2_cattle_2016-03-01,64420044_3_cattle_2016-01-01,64420044_4_cattle_2016-01-01,64420044_5_cattle_2016-01-01,64420044_6_cattle_2016-03-01,64420044_7_cattle_2016-01-01,64420047_0_cattle_2014-12-01,64421033_0_cattle_2020-02-01,64523017_0_cattle_2020-02-01,64523017_1_cattle_2020-02-01,64523_13_boar_2020-02-01,64523_14_boar_2020-02-01,64523_15_boar_2019-10-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3979204159168063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019196160767846394,0,0,0.0011997600479904018,0,0.005598880223955211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10677864427114694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08158368326334772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0.002199560087982403,0,0,0,0.007398520295940815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0.00539892021595681,1.999600079984003e-4,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0,0,0,5.998800239952009e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0.02599480103979198,0,1.999600079984003e-4,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009798040391921612,0,0,0,0,0,0,0,0,0,0.007998400319936016,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03419316136772636,0,0,0,0,0,0,0,0,0,0,0,0.032793441311737566,0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15876824635073264,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16176764647070874,0,0,0.08858228354329195,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04839032193561273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.0019996000799840027,0.002199560087982403,0,0,0,0,0,0,0,0.013197360527894405,0,0,0,0,0,0,0,0,0,0,0.007798440311937616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008598280343931215,0,0,0,5.998800239952009e-4,0,0,0,0,0,0.00519896020795841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0,0,0,0.007798440311937616,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0.0023995200959808036,0,0.006198760247950412,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01119776044791041,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03619276144771036,0,0,0,0,0,0,0.07618476304739075,0.05938812237552471,0.14697060587882665,0,0,0,0,0,0,0,0,0,0.028194361127774376,0.07538492301539712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165966806638672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009998000399920012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
