45_d500_124_0_badger_2013-08-01,45_d500_124_1_badger_2010-11-01,45_d500_124_2_badger_2012-04-01,45_d500_151_0_badger_2014-07-01,45_d500_151_1_badger_2020-02-01,45_d500_151_2_badger_2013-06-01,45_d500_157_858_0_badger_2015-08-01,45_d500_159_855_0_badger_2020-02-01,45_d500_159_855_1_badger_2013-05-01,45_d500_159_855_2_badger_2012-08-01,45_d500_160_0_badger_2012-05-01,45_d500_160_2_badger_2015-02-01,45_d500_160_3_badger_2019-08-01,45_d500_179_0_badger_2018-05-01,45_d500_182_0_badger_2013-05-01,45_d500_182_1_badger_2013-09-01,45_d500_182_2_badger_2019-11-01,45_d500_182_3_badger_2015-11-01,45_d500_190_1526_0_badger_2016-06-01,45_d500_192_0_badger_2014-07-01,45_d500_192_1_badger_2015-09-01,45_d500_99_766_0_badger_2014-08-01,45_d500_99_766_1_badger_2013-04-01,45_d500_99_766_2_badger_2015-06-01,45_d500_99_866_0_badger_2013-06-01,45_d500_99_866_1_badger_2015-08-01,45_d500_99_866_2_badger_2020-02-01,64075_1_boar_2018-08-01,64349001_0_cattle_2014-05-01,64349001_1_cattle_2014-05-01,64349001_2_cattle_2014-07-01,64349001_3_cattle_2019-01-01,64349013_0_cattle_2016-03-01,64349013_1_cattle_2016-05-01,64349014_0_cattle_2018-02-01,64349014_1_cattle_2018-02-01,64349021_0_cattle_2015-02-01,64349021_1_cattle_2014-12-01,64349021_2_cattle_2016-12-01,64349021_3_cattle_2016-12-01,64349021_4_cattle_2018-02-01,64349021_5_cattle_2019-12-01,64349028_0_cattle_2020-02-01,64349038_0_cattle_2020-02-01,64349048_0_cattle_2018-03-01,64349048_1_cattle_2018-05-01,64349048_2_cattle_2018-03-01,64349048_3_cattle_2018-03-01,64349053_0_cattle_2020-02-01,64349053_1_cattle_2020-02-01,64349068_0_cattle_2014-04-01,64349068_10_cattle_2014-06-01,64349068_11_cattle_2014-04-01,64349068_12_cattle_2014-06-01,64349068_13_cattle_2014-04-01,64349068_14_cattle_2014-06-01,64349068_15_cattle_2014-04-01,64349068_16_cattle_2014-06-01,64349068_17_cattle_2014-06-01,64349068_18_cattle_2014-04-01,64349068_19_cattle_2014-04-01,64349068_1_cattle_2014-04-01,64349068_20_cattle_2014-04-01,64349068_21_cattle_2014-04-01,64349068_22_cattle_2014-06-01,64349068_23_cattle_2014-04-01,64349068_24_cattle_2019-03-01,64349068_25_cattle_2019-05-01,64349068_26_cattle_2019-03-01,64349068_2_cattle_2014-04-01,64349068_3_cattle_2014-04-01,64349068_4_cattle_2014-06-01,64349068_5_cattle_2014-06-01,64349068_6_cattle_2014-04-01,64349068_7_cattle_2014-06-01,64349068_8_cattle_2014-06-01,64349068_9_cattle_2014-04-01,64349070_0_cattle_2016-12-01,64349070_1_cattle_2017-02-01,64349086_0_cattle_2018-03-01,64349086_1_cattle_2018-03-01,64349086_2_cattle_2019-12-01,64349_0_boar_2014-04-01,64349_10_boar_2014-07-01,64349_11_boar_2015-05-01,64349_12_boar_2020-02-01,64349_13_boar_2014-02-01,64349_14_boar_2014-03-01,64349_16_boar_2014-03-01,64349_17_boar_2015-02-01,64349_18_boar_2014-04-01,64349_19_boar_2014-11-01,64349_1_boar_2012-08-01,64349_20_boar_2015-07-01,64349_21_boar_2014-07-01,64349_22_boar_2015-06-01,64349_23_boar_2016-11-01,64349_25_boar_2016-01-01,64349_26_boar_2017-02-01,64349_27_boar_2017-08-01,64349_28_boar_2018-02-01,64349_29_boar_2016-04-01,64349_2_boar_2014-03-01,64349_32_boar_2016-07-01,64349_33_boar_2019-09-01,64349_34_boar_2016-11-01,64349_36_boar_2017-04-01,64349_37_boar_2017-11-01,64349_38_boar_2018-06-01,64349_3_boar_2013-05-01,64349_40_boar_2017-01-01,64349_41_boar_2017-02-01,64349_42_boar_2018-01-01,64349_43_boar_2017-10-01,64349_44_boar_2018-12-01,64349_46_boar_2018-02-01,64349_47_boar_2017-10-01,64349_48_boar_2019-02-01,64349_49_boar_2020-02-01,64349_4_boar_2014-04-01,64349_50_boar_2018-12-01,64349_51_boar_2020-02-01,64349_52_boar_2018-04-01,64349_53_boar_2019-02-01,64349_54_boar_2018-05-01,64349_55_boar_2020-02-01,64349_56_boar_2018-10-01,64349_57_boar_2019-06-01,64349_58_boar_2019-01-01,64349_59_boar_2019-02-01,64349_5_boar_2020-02-01,64349_60_boar_2020-02-01,64349_61_boar_2019-07-01,64349_62_boar_2019-10-01,64349_63_boar_2020-02-01,64349_64_boar_2019-02-01,64349_65_boar_2020-02-01,64349_68_boar_2020-02-01,64349_69_boar_2019-10-01,64349_6_boar_2018-11-01,64349_70_boar_2020-02-01,64349_71_boar_2020-02-01,64349_72_boar_2020-02-01,64349_73_boar_2020-02-01,64349_74_boar_2020-02-01,64349_7_boar_2013-06-01,64349_8_boar_2014-04-01,64416031_10_cattle_2020-02-01,64416_0_boar_2020-02-01,64416_9_boar_2020-02-01,64420035_0_cattle_2011-04-01,64420035_1_cattle_2011-04-01,64420035_2_cattle_2015-04-01,64420035_3_cattle_2015-02-01,64420035_4_cattle_2014-12-01,64420035_5_cattle_2015-02-01,64420035_6_cattle_2015-02-01,64420035_7_cattle_2015-04-01,64420035_8_cattle_2015-02-01,64420039_0_cattle_2015-02-01,64420039_1_cattle_2015-04-01,64420042_0_cattle_2011-10-01,64420042_1_cattle_2011-09-01,64420042_2_cattle_2011-10-01,64420042_3_cattle_2011-10-01,64420047_0_cattle_2012-08-01,64420047_2_cattle_2020-02-01,64420047_3_cattle_2020-02-01,64434004_0_cattle_2020-02-01,64434004_1_cattle_2020-02-01,64556019_0_cattle_2018-02-01,64556023_4_cattle_2018-02-01,64556034_14_cattle_2018-05-01,64556039_8_cattle_2018-03-01,64556_14_boar_2018-05-01
0,0,0,0.0015996800639872023,0,0.007598480303939215,0.0045990801839632086,0,0.15276944611078044,0.002599480103979204,0,1.999600079984003e-4,0,0,0.02159568086382719,0.21395720855829284,0,1.999600079984003e-4,0,0.017396520695860798,0,0.007198560287942414,0.061987602479503905,0,0.0155968806238752,0,0,0,0.022795440911817587,0.0037992401519696068,0.0019996000799840027,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.009598080383923213,0,0.009798040391921612,0.00539892021595681,0.0023995200959808036,0.0011997600479904018,0.03619276144771036,0,0.03159368126374717,0.022795440911817587,0.011597680463907209,0.01099780043991201,0.007598480303939215,0.015996800639872,0.007398520295940815,0.0067986402719456135,0,0,0,0.023195360927814386,0.009998000399920012,0.018996200759847995,5.998800239952009e-4,0.0011997600479904018,0,0.012197560487902407,0.00519896020795841,0,0,0,0,0,0.006198760247950412,0.0037992401519696068,1.999600079984003e-4,0,0.042591481703659145,0.022595480903819187,0.013997200559888004,0,0.008598280343931215,0.00539892021595681,9.998000399920016e-4,0.004799040191961609,0.0155968806238752,0,0,0,0,0,0,0,0.023795240951809585,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0.014797040591881602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023595280943811185,0.03939212157568475,0,0,0,0,0,0,0,0,0.0015996800639872023,1.999600079984003e-4,0,0.006198760247950412,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0
0,0,0.020195960807838392,0,0,0,0,0,0,0,0.009398120375924813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006598680263947213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26094781043791687,0.26394721055789255,0,0,0,0,0,0,0,0,0,0.0687862427514497,0.1301739652069605,0.1453709258148394,0.07838432313537322,0,0,0,0,0,0,0,0,0,0
0.0019996000799840027,0,0,0,0,0.006398720255948813,0,0,0.03079384123175357,0.07658468306338756,0.25354929014197686,0,0,0,0.0067986402719456135,0.014997000599880001,0,0,0,0,0,0,0.05878824235152951,0,0.009798040391921612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0.15836832633473583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008198360327934416,0.001399720055988802,0,0,0,5.998800239952009e-4,0.008998200359928014,0,0,0,0,0,0,0,0,0,0.008198360327934416,0.03939212157568475,0.0839832033593286,0.020395920815836792,0.077784443111378,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4433113377324383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07418516296740668,0,0,0,0,0,0.009598080383923213,0,0,0,0,0.11657668466306886,0,7.998400319936012e-4,0,0,0,0,3.999200159968006e-4,0,0.0011997600479904018,0,0,0.008798240351929614,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0.009798040391921612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0.0031993601279744054,0.003399320135972806,0,0.019796040791841593
5.998800239952009e-4,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0.03539292141571676,0.0049990001999600095,0,0,0,0,0,0,0.007798440311937616,0,0.19076184763047768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07118576284743058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353929214157163,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0.01059788042391521,0.005598880223955211,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0.002199560087982403,0,0,0,1.999600079984003e-4,0,0,0,0.056388722255548716,0,0,0,0,0.04039192161567675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007398520295940815,3.999200159968006e-4,0,0,0,0,0.17196560687862747,0,0,0,0.4321135772845291,0,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0.003399320135972806,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16876624675065297,0,0,0.0015996800639872023,0,0.05038992201559673,0,0,0,0.02079584083183359,0.00519896020795841,0,0,0,0.047590481903619135,0.15056988602279797,0,0,0,0.0023995200959808036,0,0.0017996400719856025,0.1573685262947438,0,0.03199360127974397,0,0,0,0.009998000399920012,1.999600079984003e-4,0,0,0,0,0,0,0,0.002999400119976005,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,1.999600079984003e-4,0.002999400119976005,0.0019996000799840027,0.006398720255948813,7.998400319936012e-4,0.0049990001999600095,0,0.007398520295940815,0.007398520295940815,0.009998000399920012,0.006198760247950412,0.0045990801839632086,0.0011997600479904018,0.002599480103979204,0.008598280343931215,0,0,0,0.011597680463907209,0.013397320535892805,0.011597680463907209,0,0.0015996800639872023,0,0.006398720255948813,0.0019996000799840027,0,0,0,0,0,0.004799040191961609,0.0035992801439712063,0,0,0.019796040791841593,0.02079584083183359,0.002599480103979204,0,0.0011997600479904018,0,0.042391521695660746,0,0.013797240551889604,0,0,0,0,0,0,0,0.005598880223955211,0,0,0,0,0,0,0.05538892221555672,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026994601079783978,0.029394121175764773,0,0,0,0,0,0,0.0011997600479904018,5.998800239952009e-4,0.0011997600479904018,1.999600079984003e-4,0,0,5.998800239952009e-4,0,0,0,0,0,0.03959208158368315,0,0,0,0,0,0,0,0,0
0.009398120375924813,0,0.03459308138372316,0,0,5.998800239952009e-4,0,0,0.017796440711857597,0,0.04579084183163354,0,0,0,0.005998800239952012,0.013397320535892805,0,0,0,0,0,0,0.04999000199959993,0,0.0157968406318736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.0011997600479904018,0,0,0,0,0.08938212357528558,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0.004799040191961609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539892021595681,0.007198560287942414,0.001399720055988802,0.4377124575084837,0,0,0,0,0,0,0,0,0
