40110022_0_cattle_2018-05-01,40110022_1_cattle_2018-05-01,40110022_2_cattle_2018-07-01,40110022_3_cattle_2018-05-01,40110022_4_cattle_2020-02-01,40110022_5_cattle_2020-02-01,40110022_6_cattle_2020-02-01,40110022_7_cattle_2020-02-01,40110022_8_cattle_2020-02-01,40110022_9_cattle_2020-02-01,40110_3_boar_2019-06-01,40110_4_boar_2019-04-01,40110_5_boar_2020-02-01,40110_6_boar_2020-02-01,40110_7_boar_2020-02-01,40220019_0_cattle_2019-12-01,40220019_1_cattle_2019-12-01,40220019_2_cattle_2019-12-01,40220019_3_cattle_2020-02-01,40286016_0_cattle_2018-10-01,40286016_1_cattle_2018-12-01,40286016_2_cattle_2018-12-01,40286018_1_cattle_2020-02-01,40286018_2_cattle_2020-02-01,40286_5_boar_2019-05-01,40286_6_boar_2020-02-01,40286_7_boar_2020-02-01,40286_8_boar_2020-02-01,40286_9_boar_2020-02-01,45_d500_119_798_0_badger_2020-02-01,45_d500_119_826_0_badger_2020-02-01,45_d500_123_762_0_badger_2017-05-01,45_d500_123_762_1_badger_2019-05-01,45_d500_123_762_2_badger_2020-02-01,45_d500_142_0_badger_2020-02-01,45_d500_144_0_badger_2020-02-01,45_d500_145_0_badger_2020-02-01,45_d500_146_0_badger_2020-02-01,45_d500_151_0_badger_2019-08-01,45_d500_151_1_badger_2017-07-01,45_d500_155_880_0_badger_2019-09-01,45_d500_155_880_1_badger_2020-02-01,45_d500_159_855_0_badger_2016-07-01,45_d500_160_1_badger_2020-02-01,45_d500_163_0_badger_2011-10-01,45_d500_163_1_badger_2012-09-01,45_d500_170_0_badger_2014-10-01,45_d500_170_1_badger_2013-07-01,45_d500_239_0_badger_2020-02-01,45_d500_45_0_badger_2020-02-01,45_d500_63_0_badger_2020-02-01,45_d500_81_659_0_badger_2019-09-01,45_d500_84_0_badger_2020-02-01,45_d500_88_0_badger_2020-02-01,45_d500_93_0_badger_2020-02-01,45_d500_99_720_0_badger_2017-05-01,45_d500_99_720_1_badger_2017-06-01,45_d500_99_839_0_badger_2013-06-01,45_d500_99_866_0_badger_2013-07-01,49_d500_4_0_badger_2020-02-01,56_d500_33_0_badger_2017-06-01,56_d500_33_1_badger_2020-02-01,56_d500_33_2_badger_2020-02-01,56_d500_33_3_badger_2020-02-01,64281003_0_cattle_2013-03-01,64281_0_boar_2014-03-01,64281_1_boar_2014-10-01,64328051_0_cattle_2019-09-01,64349_0_boar_2020-02-01,64359005_0_cattle_2019-04-01,64359005_10_cattle_2019-02-01,64359005_11_cattle_2019-02-01,64359005_12_cattle_2019-04-01,64359005_13_cattle_2019-04-01,64359005_14_cattle_2019-04-01,64359005_15_cattle_2019-02-01,64359005_16_cattle_2019-02-01,64359005_17_cattle_2019-04-01,64359005_18_cattle_2019-04-01,64359005_19_cattle_2019-04-01,64359005_1_cattle_2019-02-01,64359005_20_cattle_2019-04-01,64359005_21_cattle_2019-04-01,64359005_22_cattle_2019-02-01,64359005_23_cattle_2019-04-01,64359005_24_cattle_2019-04-01,64359005_25_cattle_2019-04-01,64359005_26_cattle_2019-04-01,64359005_2_cattle_2019-04-01,64359005_3_cattle_2019-02-01,64359005_4_cattle_2019-04-01,64359005_5_cattle_2019-02-01,64359005_6_cattle_2019-02-01,64359005_7_cattle_2019-04-01,64359005_8_cattle_2019-02-01,64359005_9_cattle_2019-02-01,64359040_0_cattle_2019-04-01,64359040_1_cattle_2019-04-01,64359040_2_cattle_2019-06-01,64359056_0_cattle_2020-02-01,64359056_1_cattle_2020-02-01,64359056_2_cattle_2020-02-01,64359056_3_cattle_2020-02-01,64359056_4_cattle_2020-02-01,64359061_0_cattle_2019-12-01,64359061_1_cattle_2019-12-01,64359061_2_cattle_2019-12-01,64359142_0_cattle_2020-02-01,64359142_1_cattle_2020-02-01,64359169_0_cattle_2020-02-01,64359187_0_cattle_2019-12-01,64359189_0_cattle_2019-02-01,64359_0_boar_2013-12-01,64359_10_boar_2019-12-01,64359_11_boar_2020-02-01,64359_12_boar_2020-02-01,64359_13_boar_2020-02-01,64359_14_boar_2020-02-01,64359_15_boar_2020-02-01,64359_1_boar_2020-02-01,64359_2_boar_2017-11-01,64359_3_boar_2017-09-01,64359_4_boar_2019-01-01,64359_5_boar_2020-02-01,64359_6_boar_2019-01-01,64359_7_boar_2019-08-01,64359_8_boar_2020-02-01,64359_9_boar_2019-09-01,64420002_0_cattle_2013-02-01,64420002_1_cattle_2013-04-01,64420002_2_cattle_2013-02-01,64420002_3_cattle_2013-02-01,64420002_4_cattle_2013-02-01,64420002_5_cattle_2013-02-01,64420002_6_cattle_2013-02-01,64420009_0_cattle_2020-02-01,64420035_0_cattle_2012-05-01,64420035_1_cattle_2012-06-01,64420035_2_cattle_2012-06-01,64420035_3_cattle_2012-06-01,64420035_4_cattle_2012-06-01,64420035_5_cattle_2012-06-01,64420035_6_cattle_2012-06-01,64420035_7_cattle_2012-06-01,64420038_0_cattle_2012-12-01,64420038_1_cattle_2012-11-01,64420038_2_cattle_2012-12-01,64420038_3_cattle_2012-12-01,64420038_4_cattle_2012-12-01,64420039_0_cattle_2011-12-01,64420039_10_cattle_2019-12-01,64420039_11_cattle_2019-12-01,64420039_1_cattle_2012-02-01,64420039_2_cattle_2012-02-01,64420039_3_cattle_2012-02-01,64420039_4_cattle_2012-02-01,64420039_5_cattle_2012-02-01,64420039_6_cattle_2012-02-01,64420039_7_cattle_2012-02-01,64420039_8_cattle_2013-02-01,64420039_9_cattle_2019-12-01,64426004_0_cattle_2020-02-01,64512024_0_cattle_2020-02-01,64512024_10_cattle_2020-02-01,64512024_11_cattle_2020-02-01,64512024_1_cattle_2020-02-01,64512024_2_cattle_2020-02-01,64512024_3_cattle_2020-02-01,64512024_4_cattle_2020-02-01,64512024_5_cattle_2020-02-01,64512024_6_cattle_2020-02-01,64512024_7_cattle_2020-02-01,64512024_8_cattle_2020-02-01,64512024_9_cattle_2020-02-01,64512026_0_cattle_2020-02-01,64512053_0_cattle_2020-02-01,64512053_1_cattle_2020-02-01,64556034_0_cattle_2019-02-01,64556034_1_cattle_2019-02-01,64556039_0_cattle_2020-02-01,64556044_0_cattle_2020-02-01,64556044_1_cattle_2020-02-01,64556044_2_cattle_2020-02-01,64556044_3_cattle_2020-02-01,64556051_0_cattle_2020-02-01,64556051_10_cattle_2020-02-01,64556051_11_cattle_2020-02-01,64556051_12_cattle_2020-02-01,64556051_1_cattle_2019-01-01,64556051_2_cattle_2020-02-01,64556051_3_cattle_2020-02-01,64556051_4_cattle_2020-02-01,64556051_5_cattle_2020-02-01,64556051_6_cattle_2020-02-01,64556051_7_cattle_2020-02-01,64556051_8_cattle_2020-02-01,64556051_9_cattle_2020-02-01,64556_1_boar_2018-02-01,64556_2_boar_2020-02-01,64556_3_boar_2019-12-01
0,0.3179364127174548,0.514897020595858,0.24535092981404266,0,1.999600079984003e-4,0,0,0.0049990001999600095,0,0.0153969206158768,0.0153969206158768,0,3.999200159968006e-4,0,0.009798040391921612,0,7.998400319936012e-4,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25274945010998334,0,0.1763647270545924,0.254149170165972,0,1.999600079984003e-4,0,0,0,0.002199560087982403,0.033193361327734365,0.012597480503899207,3.999200159968006e-4,9.998000399920016e-4,0,0.006198760247950412,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17356528694261472,0.11557688462307683,0,0.08818236352729514,0,0,1.999600079984003e-4,0,9.998000399920016e-4,0,0.00539892021595681,0.004199160167966408,0,0,0,0.005798840231953611,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1763647270545924,0.14937012597480753,0.10677864427114694,0,0.0011997600479904018,0.001399720055988802,0.006398720255948813,0,0.0017996400719856025,0.00539892021595681,0.10157968406318837,0.17996400719856373,0.0023995200959808036,0.010397920415916811,0.0037992401519696068,0.02659468106378718,0.010397920415916811,0.06278744251149751,0.008198360327934416,0,0,0,0.006398720255948813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.010197960407918412,0.0153969206158768,0,0.02599480103979198,0.002999400119976005,0.0019996000799840027,0.0019996000799840027,0.0045990801839632086,0.09238152369526167,0.018596280743851196,0.01119776044791041,0.012797440511897606,0.0045990801839632086,0,0,0,0,0.012797440511897606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.002599480103979204,0,0.0035992801439712063,7.998400319936012e-4,0.0023995200959808036,1.999600079984003e-4,9.998000399920016e-4,3.999200159968006e-4,0,0.007798440311937616,0.06438712257548476,1.999600079984003e-4,0,0,0,0,0,0,0.10077984403119475,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.03019396120775837,0.018996200759847995,0,0,0.13357328534293342,0,0.009998000399920012,0.0019996000799840027,0.0019996000799840027,0.024195160967806384,0.0027994401119776045,0.0067986402719456135,0.002199560087982403,0.006198760247950412,0.004199160167966408,0,0,0,0.002599480103979204,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.022395520895820788,0,0,0.1113777244551103,0,0,0,0,0.03199360127974397,0.025194961007798382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.017996400719855997,0,0.1267746450709876,0,0,0,0.0015996800639872023,0.007798440311937616,0,0.032993401319735965,0.008198360327934416,0,0,0,0,0,0,0,0.013797240551889604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.007198560287942414,0.0017996400719856025,0.0031993601279744054,0.042991401719655944,0.003999200159968007,0,0.008398320335932815,0.009598080383923213,0.061187762447510306,0.002199560087982403,0.006398720255948813,0.003399320135972806,0.016996600679864,0.03459308138372316,0.138772245550892,0,0,0,0.0031993601279744054,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
