20_d500_56_0_badger_2017-08-01,3_d500_152_0_badger_2017-07-01,3_d500_152_1_badger_2013-05-01,3_d500_152_2_badger_2013-05-01,3_d500_153_0_badger_2013-06-01,3_d500_159_0_badger_2014-05-01,40027008_0_cattle_2013-04-01,40027008_10_cattle_2013-04-01,40027008_11_cattle_2013-04-01,40027008_12_cattle_2013-04-01,40027008_13_cattle_2013-04-01,40027008_14_cattle_2013-04-01,40027008_15_cattle_2013-04-01,40027008_16_cattle_2013-04-01,40027008_17_cattle_2013-04-01,40027008_18_cattle_2013-04-01,40027008_19_cattle_2013-04-01,40027008_1_cattle_2013-04-01,40027008_20_cattle_2013-04-01,40027008_21_cattle_2013-04-01,40027008_22_cattle_2013-04-01,40027008_23_cattle_2014-12-01,40027008_24_cattle_2014-12-01,40027008_25_cattle_2017-11-01,40027008_26_cattle_2017-11-01,40027008_27_cattle_2017-10-01,40027008_2_cattle_2013-04-01,40027008_3_cattle_2013-04-01,40027008_4_cattle_2013-04-01,40027008_5_cattle_2013-04-01,40027008_6_cattle_2013-03-01,40027008_7_cattle_2013-04-01,40027008_8_cattle_2013-04-01,40027008_9_cattle_2013-04-01,40027023_0_cattle_2012-07-01,40027023_1_cattle_2012-08-01,40027023_2_cattle_2012-08-01,40027_0_boar_2013-10-01,40027_1_boar_2012-06-01,40027_2_boar_2012-07-01,40027_3_boar_2012-11-01,40027_4_boar_2013-01-01,40027_5_boar_2014-03-01,40027_6_boar_2016-05-01,40027_7_boar_2018-04-01,40041_0_boar_2020-02-01,40041_1_boar_2017-12-01,40041_2_boar_2020-02-01,40172052_1_cattle_2016-02-01,40172052_2_cattle_2016-02-01,40172063_0_cattle_2015-04-01,40172063_1_cattle_2015-04-01,40172_4_boar_2014-07-01,40172_5_boar_2017-08-01,40172_6_boar_2015-05-01,40172_7_boar_2016-09-01,40172_8_boar_2017-08-01,40172_9_boar_2019-01-01,40286038_0_cattle_2017-07-01,45_d500_156_0_badger_2010-12-01,45_d500_157_858_0_badger_2014-05-01,45_d500_157_858_1_badger_2010-06-01,45_d500_163_0_badger_2010-09-01,45_d500_166_0_badger_2016-07-01,45_d500_166_1_badger_2017-05-01,45_d500_178_0_badger_2015-08-01,45_d500_178_1_badger_2015-06-01,45_d500_178_2_badger_2016-09-01,49_d500_29_0_badger_2020-02-01,64022023_0_cattle_2018-04-01,64201002_0_cattle_2016-01-01,64201002_1_cattle_2016-01-01,64201002_2_cattle_2016-01-01,64201002_3_cattle_2016-01-01,64201002_4_cattle_2016-01-01,64201007_0_cattle_2015-01-01,64201007_1_cattle_2015-03-01,64201021_0_cattle_2015-02-01,64201021_1_cattle_2015-04-01,64326020_0_cattle_2011-05-01,64326020_10_cattle_2011-05-01,64326020_11_cattle_2011-05-01,64326020_12_cattle_2011-04-01,64326020_13_cattle_2011-05-01,64326020_14_cattle_2011-05-01,64326020_15_cattle_2011-05-01,64326020_16_cattle_2011-05-01,64326020_17_cattle_2011-05-01,64326020_18_cattle_2011-05-01,64326020_19_cattle_2014-05-01,64326020_1_cattle_2011-05-01,64326020_20_cattle_2014-07-01,64326020_2_cattle_2011-05-01,64326020_3_cattle_2011-05-01,64326020_4_cattle_2011-05-01,64326020_5_cattle_2011-05-01,64326020_6_cattle_2011-05-01,64326020_7_cattle_2011-05-01,64326020_8_cattle_2011-05-01,64326020_9_cattle_2011-05-01,64359189_0_cattle_2015-11-01,64359189_10_cattle_2016-02-01,64359189_11_cattle_2016-03-01,64359189_12_cattle_2016-05-01,64359189_13_cattle_2016-03-01,64359189_14_cattle_2016-03-01,64359189_15_cattle_2016-03-01,64359189_16_cattle_2016-05-01,64359189_17_cattle_2016-05-01,64359189_18_cattle_2016-05-01,64359189_1_cattle_2016-03-01,64359189_2_cattle_2016-05-01,64359189_3_cattle_2016-03-01,64359189_4_cattle_2016-03-01,64359189_5_cattle_2016-05-01,64359189_6_cattle_2016-05-01,64359189_7_cattle_2016-03-01,64359189_8_cattle_2016-03-01,64359189_9_cattle_2016-03-01,64359_0_boar_2018-07-01,64359_1_boar_2017-05-01,64359_2_boar_2018-02-01,64365_1_boar_2017-10-01,64365_2_boar_2016-05-01,64420002_0_cattle_2012-05-01,64420002_1_cattle_2012-05-01,64420002_2_cattle_2012-05-01,64420002_3_cattle_2012-07-01,64420002_4_cattle_2012-05-01,64420002_5_cattle_2012-05-01,64420002_6_cattle_2012-05-01,64420035_0_cattle_2008-01-01,64420035_1_cattle_2009-05-01,64420035_2_cattle_2012-10-01,64420035_3_cattle_2011-12-01,64420035_4_cattle_2012-11-01,64420035_5_cattle_2012-11-01,64420039_0_cattle_2012-02-01,64420039_1_cattle_2012-03-01,64427004_0_cattle_2018-04-01,64428013_0_cattle_2020-02-01,64449006_0_cattle_2015-08-01,64449006_1_cattle_2015-07-01,64449006_2_cattle_2015-08-01,64449006_3_cattle_2015-04-01,64449006_4_cattle_2015-08-01,64449006_5_cattle_2015-08-01,64449006_6_cattle_2015-08-01,64449006_7_cattle_2015-08-01,64459003_0_cattle_2013-12-01,64459003_1_cattle_2013-12-01,64541009_0_cattle_2016-05-01,64541009_1_cattle_2016-05-01,64541009_2_cattle_2016-05-01,64541009_3_cattle_2016-07-01,64541023_0_cattle_2016-08-01,64541023_10_cattle_2016-08-01,64541023_11_cattle_2016-08-01,64541023_12_cattle_2016-08-01,64541023_13_cattle_2016-08-01,64541023_14_cattle_2016-08-01,64541023_15_cattle_2016-08-01,64541023_16_cattle_2016-08-01,64541023_17_cattle_2016-08-01,64541023_18_cattle_2016-08-01,64541023_1_cattle_2016-07-01,64541023_2_cattle_2016-08-01,64541023_3_cattle_2015-08-01,64541023_4_cattle_2016-08-01,64541023_5_cattle_2016-08-01,64541023_6_cattle_2015-06-01,64541023_7_cattle_2016-08-01,64541023_8_cattle_2016-08-01,64541023_9_cattle_2016-08-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406718656268735,0,0.03059388122375517,0.010397920415916811,0.001399720055988802,0.018396320735852796,0,0,0,0,1.999600079984003e-4,0,0,0,0,0.007398520295940815,0.007998400319936016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0.001399720055988802,0,0,0,0,0,1.999600079984003e-4,0,0,1.999600079984003e-4,0.0015996800639872023,0.19876024795041394,0.01099780043991201,0.02079584083183359,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007398520295940815,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007998400319936016,0.007598480303939215,0.009998000399920012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.0067986402719456135,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010197960407918412,0.0015996800639872023,9.998000399920016e-4,0.1939612077584522,0.033193361327734365,7.998400319936012e-4,3.999200159968006e-4,0,7.998400319936012e-4,0,0.0019996000799840027,0,1.999600079984003e-4,7.998400319936012e-4,3.999200159968006e-4,0.04639072185562874,0,0.0011997600479904018,0.0011997600479904018,0,1.999600079984003e-4,0,9.998000399920016e-4
0,0,0,0.30353929214157155,0.002599480103979204,0.0653869226154768,0.0011997600479904018,0,0.0049990001999600095,0,7.998400319936012e-4,0,0.024795040991801583,0,1.999600079984003e-4,0,0.07898420315936844,0,0.042391521695660746,0,0,9.998000399920016e-4,0,0,0,0,0.09518096380723937,0.03479304139172156,5.998800239952009e-4,7.998400319936012e-4,0,0,0.0027994401119776045,0,0,7.998400319936012e-4,0,0.31973605278944023,0,0,0,0,0.09858028394321228,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0.006398720255948813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0.03959208158368315,0,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0.05978804239152151,0.05018996200759833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.2727454509098212,0,0.003399320135972806,0.023995200959807984,0.005798840231953611,0,0.014997000599880001,0,0.0015996800639872023,0,0.052989402119575923,0,0,0.002599480103979204,0.08558288342331585,0,0.0687862427514497,0.0037992401519696068,0,0,3.999200159968006e-4,0,0,0,0.10637872425515013,0.047590481903619135,0,0.001399720055988802,7.998400319936012e-4,0,9.998000399920016e-4,0,0,9.998000399920016e-4,0,0.20815836832633905,0,0,0,0,0.05118976204759033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0.014197160567886403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033593281343731164,0.028594281143771175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.004199160167966408,0.013997200559888004,0,0,0.00519896020795841,0.002999400119976005,0.04439112177564474,0.2643471305738893,7.998400319936012e-4,0.0011997600479904018,0.002599480103979204,0.004199160167966408,0.2569486102779493,0.0067986402719456135,9.998000399920016e-4,3.999200159968006e-4,0.011597680463907209,0.0019996000799840027,0.0017996400719856025,0,0,0,0,0,0.001399720055988802,0.009998000399920012,0.012797440511897606,0.16196760647870714,0.012197560487902407,0.003399320135972806,0.006398720255948813,0.13417316536692864,0.0011997600479904018,0.005598880223955211,0,0.0011997600479904018,0,0.001399720055988802,0.002999400119976005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0.001399720055988802,0,0,0,0,0.03939212157568475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.010397920415916811,0.006998600279944014,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0.03959208158368315,0.046990601879623936,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0.03199360127974397,0,0,0,0,0.29314137172565585,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0.006198760247950412,0,0,0,0,1.999600079984003e-4,0.004399120175964808,0,0,0,0,0,0,0,0,0.038592281543691154,0.03079384123175357,0.03499300139971996,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0.32253549290141753,0,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027994401119775976,0.03559288142371516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0,0,0.006398720255948813,0,0,0
0,0,0,7.998400319936012e-4,0,0,0,0,0.004399120175964808,0,0.1485702859428139,0,0.0015996800639872023,0.09478104379124255,7.998400319936012e-4,0.21715656868626734,0,0,0.0023995200959808036,0.1115776844631087,0.16176764647070874,0,0,0,0,0,1.999600079984003e-4,3.999200159968006e-4,0,0,7.998400319936012e-4,0,0.13237352529494298,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.998800239952009e-4,0,0,0,0.0035992801439712063,9.998000399920016e-4,5.998800239952009e-4,0.08678264347130629,3.999200159968006e-4,0,0,0,0,0.4791041791641481,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0.04399120175964794,7.998400319936012e-4,0.061987602479503905,0.07618476304739075,0,1.999600079984003e-4,7.998400319936012e-4,9.998000399920016e-4,5.998800239952009e-4,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005598880223955211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.04379124175164954,0.04199160167966395,0.11437712457508639,0,0.10157968406318837,0.004199160167966408,0,0.051789642071585526,0.06958608278344333,0.008398320335932815,0.09378124375125052,0.033593281343731164,0.051589682063587126,0.0715856828634274,0.042391521695660746,0.003999200159968007,0.2341531693661319,0.02099580083983199,0.06078784243151351,0,0,0,0,0,0.05358928214357112,0.09078184363127442,0.042391521695660746,0.07518496300739871,0.042391521695660746,0.007598480303939215,0.07358528294341146,0.07278544291141784,0.010397920415916811,0.04459108178364314,0,0.026994601079783978,0,0.006998600279944014,0.0161967606478704,0.0027994401119776045,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006998600279944014,0,0,0,0,0.006598680263947213,0,0,0,0,0.1395720855828856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.999600079984003e-4,0.001399720055988802,0.21335732853429762,0,7.998400319936012e-4,0,0.018996200759847995,0,0.003999200159968007,0,0.0031993601279744054,0,0.46750649870024213,0.002999400119976005,1.999600079984003e-4,0.002199560087982403,0.003399320135972806,0,0,0,0,0,0,0,5.998800239952009e-4,9.998000399920016e-4,0.0017996400719856025,0.052589482103579124,0.0015996800639872023,0,0.0015996800639872023,0.07718456308738278,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007198560287942414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
