45_d500_150_0_badger_2015-09-01,45_d500_168_0_badger_2012-09-01,45_d500_169_0_badger_2012-09-01,45_d500_169_1_badger_2010-11-01,45_d500_169_2_badger_2011-08-01,45_d500_169_3_badger_2015-06-01,45_d500_170_0_badger_2011-04-01,45_d500_170_1_badger_2015-07-01,45_d500_181_0_badger_2014-08-01,45_d500_237_0_badger_2019-12-01,45_d500_237_1_badger_2020-02-01,45_d500_26_0_badger_2019-06-01,45_d500_26_1_badger_2020-02-01,45_d500_26_2_badger_2019-06-01,45_d500_99_766_0_badger_2016-03-01,45_d500_99_766_1_badger_2014-01-01,45_d500_99_766_2_badger_2016-08-01,64149009_0_cattle_2015-01-01,64149009_1_cattle_2015-01-01,64149019_0_cattle_2014-02-01,64149019_1_cattle_2014-02-01,64149019_2_cattle_2014-04-01,64149019_3_cattle_2014-02-01,64149019_4_cattle_2014-04-01,64201021_0_cattle_2013-05-01,64201021_10_cattle_2013-05-01,64201021_1_cattle_2012-10-01,64201021_2_cattle_2013-05-01,64201021_3_cattle_2013-04-01,64201021_4_cattle_2013-02-01,64201021_5_cattle_2013-05-01,64201021_6_cattle_2012-11-01,64201021_7_cattle_2013-04-01,64201021_8_cattle_2013-05-01,64201021_9_cattle_2013-05-01,64219006_0_cattle_2014-06-01,64219006_1_cattle_2017-05-01,64219006_2_cattle_2017-05-01,64219006_3_cattle_2017-05-01,64219006_4_cattle_2017-03-01,64219006_5_cattle_2017-05-01,64219006_6_cattle_2017-05-01,64219006_7_cattle_2017-09-01,64219006_8_cattle_2017-09-01,64219006_9_cattle_2018-06-01,64219_0_boar_2015-04-01,64219_1_boar_2016-06-01,64219_2_boar_2015-08-01,64219_3_boar_2019-04-01,64219_4_boar_2018-07-01,64219_5_boar_2020-02-01,64219_6_boar_2018-09-01,64219_7_boar_2018-09-01,64245_1_boar_2017-09-01,64281001_0_cattle_2011-06-01,64281001_1_cattle_2011-07-01,64281001_2_cattle_2011-07-01,64281001_3_cattle_2011-07-01,64281001_4_cattle_2011-07-01,64281001_5_cattle_2011-07-01,64281001_6_cattle_2011-07-01,64281001_7_cattle_2011-07-01,64281003_0_cattle_2012-05-01,64281003_1_cattle_2012-05-01,64281003_2_cattle_2012-03-01,64281003_3_cattle_2012-05-01,64281003_4_cattle_2012-05-01,64281003_5_cattle_2012-05-01,64281003_6_cattle_2012-05-01,64281_0_boar_2009-07-01,64281_1_boar_2012-06-01,64281_2_boar_2012-05-01,64281_3_boar_2012-02-01,64281_4_boar_2014-05-01,64328043_0_cattle_2019-04-01,64328043_10_cattle_2019-04-01,64328043_11_cattle_2019-04-01,64328043_12_cattle_2019-04-01,64328043_13_cattle_2019-06-01,64328043_14_cattle_2019-06-01,64328043_15_cattle_2019-04-01,64328043_16_cattle_2019-06-01,64328043_17_cattle_2019-04-01,64328043_18_cattle_2019-04-01,64328043_19_cattle_2019-04-01,64328043_1_cattle_2019-04-01,64328043_20_cattle_2019-04-01,64328043_21_cattle_2019-04-01,64328043_22_cattle_2019-06-01,64328043_23_cattle_2019-06-01,64328043_24_cattle_2019-04-01,64328043_25_cattle_2019-06-01,64328043_26_cattle_2019-06-01,64328043_2_cattle_2019-04-01,64328043_3_cattle_2019-04-01,64328043_4_cattle_2019-04-01,64328043_5_cattle_2019-06-01,64328043_6_cattle_2019-04-01,64328043_7_cattle_2019-06-01,64328043_8_cattle_2019-04-01,64328043_9_cattle_2019-06-01,64328_0_boar_2020-02-01,64328_1_boar_2020-02-01,64328_2_boar_2019-10-01,64393241_0_cattle_2020-02-01,64393344_0_cattle_2019-04-01,64393_0_boar_2020-02-01,64393_1_boar_2019-12-01,64393_2_boar_2019-06-01,64393_3_boar_2019-05-01,64393_4_boar_2020-02-01,64393_5_boar_2020-02-01,64393_6_boar_2019-11-01,64416031_0_cattle_2013-08-01,64416031_1_cattle_2013-08-01,64416031_2_cattle_2013-08-01,64416031_3_cattle_2013-08-01,64416031_4_cattle_2012-12-01,64416031_5_cattle_2013-07-01,64416031_6_cattle_2013-08-01,64416031_7_cattle_2013-08-01,64416_0_boar_2012-09-01,64416_1_boar_2012-10-01,64420035_0_cattle_2014-04-01,64420039_0_cattle_2011-06-01,64420039_1_cattle_2011-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042191561687662346,0.038192361527694355,7.998400319936012e-4,3.999200159968006e-4,7.998400319936012e-4,7.998400319936012e-4,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0171965606878624,0,0.05618876224755032,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,1.999600079984003e-4,9.998000399920016e-4,0.0045990801839632086,0.001399720055988802,0.002199560087982403,0.002599480103979204,0.0019996000799840027,0.00519896020795841,0.0023995200959808036,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05518896220755832,0,0.019996000799839993,0.014997000599880001,0.05558888222355512,0.03219356128774237,0.029594081183763173,0.02139572085582879,0.027194561087782378,0,0.12457508498300512,0.06398720255948795,0.04539092181563674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0.004799040191961609,0.006598680263947213,0.0023995200959808036,0.11257748450310073,0.011797640471905608,7.998400319936012e-4,0.004199160167966408,0.08778244351129832,0.06978604279144174,7.998400319936012e-4,0,0
0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05478904219156152,0.08558288342331585,0.013397320535892805,0.03039392121575677,0.024595080983803183,0.157968406318739,0.25254949010198496,0.25374925014997524,0.16016796640672148,0.19376124775045378,0.25374925014997524,0.1855628874225191,0.25374925014997524,0.24555088982204107,0.14577084583083622,0.138772245550892,0.061387722455508706,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.012597480503899207,0,0,0.022995400919815986,0,0.212557488502304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1265746850629892,0.03099380123975197,0.03619276144771036,0.06338732253549273,0.04639072185562874,0.038592281543691154,0.03879224155168955,0.06438712257548476,0.002599480103979204,0.0035992801439712063,0.027994401119775976,3.999200159968006e-4,0.013997200559888004,5.998800239952009e-4,0.0031993601279744054,0.0163967206558688,0.02119576084783039,0.02139572085582879,0.03479304139172156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,5.998800239952009e-4,7.998400319936012e-4,0,0.08458308338332382,0.06918616276744652
0,0.02059588082383519,0,0.006598680263947213,0,0,0.00539892021595681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,7.998400319936012e-4,0,7.998400319936012e-4,0.0031993601279744054,9.998000399920016e-4,0.09798040391921706,0,0.014397120575884803,0.014197160567886403,0.06898620275944811,0.017796440711857597,0.023995200959807984,0.018196360727854397,0.03059388122375517,0,0.03439312137572476,0.07078584283143377,0.0809838032393525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0.0165966806638672,0.002199560087982403,0,0,0.00519896020795841,0.009598080383923213,0,0.003999200159968007,0.0023995200959808036
0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,1.999600079984003e-4,0.013997200559888004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04199160167966395,0.038592281543691154,0.07598480303939234,0.024795040991801583,0.057388522295540714,0.02679464107178558,0.04179164167166555,0.02539492101579678,0.0153969206158768,0.03239352129574077,0.22355528894221635,0.2157568486302785,0.4275144971005664,0,0.014997000599880001,0,0.037592481503699156,0.029794041191761572,0.020395920815836792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0.0027994401119776045,0.005798840231953611,0.0019996000799840027,5.998800239952009e-4,0,0,1.999600079984003e-4,0,0.007398520295940815,7.998400319936012e-4,0.002199560087982403,1.999600079984003e-4,0.0019996000799840027,0,0,0,0,7.998400319936012e-4,0.005598880223955211,0,0,1.999600079984003e-4,9.998000399920016e-4,0.002199560087982403,7.998400319936012e-4,0,0,0,0,0,0,0,3.999200159968006e-4,5.998800239952009e-4,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.018396320735852796,0,0.19696060787842828,0.03119376124775037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11377724455109117,0.038192361527694355,0.04459108178364314,0.047590481903619135,0.057188562287542315,0.04079184163167355,0.03159368126374717,0.05338932213557272,5.998800239952009e-4,0,0.03019396120775837,0.003399320135972806,0.007998400319936016,9.998000399920016e-4,0.003999200159968007,0.0027994401119776045,0.01079784043191361,0.022395520895820788,0.03519296140771836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0,0,0,0,1.999600079984003e-4,0,0.07598480303939234,0.06578684263147361
0,0,0,0,0,0,0,0,0.016996600679864,0,0,0,0,0,0.0011997600479904018,0.028794241151769574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15016996600680116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0.0027994401119776045,1.999600079984003e-4,1.999600079984003e-4,0,0.003399320135972806,0,0.002999400119976005,0,0,0.028594281143771175,0,0
0,0,0,0,0,0,0,0.028594281143771175,0,0,0,0,0,0,0.4763047390521708,0.051989602079583926,0.12497500499900194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07578484303139393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0.001399720055988802,0,0.002199560087982403,0,0,0.16436712657468802,0,0
0,0,0,0,0,0,0,0,0,0,0.010197960407918412,0.0017996400719856025,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0.001399720055988802,0,0.0011997600479904018,0,0,0,0.0011997600479904018,0.010397920415916811,0,0.002999400119976005,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0.012597480503899207,0,0,0.0015996800639872023,0.0023995200959808036,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
