3_d500_113_0_badger_2013-09-01,3_d500_117_0_badger_2015-07-01,3_d500_117_2_badger_2015-06-01,45_d500_108_5_badger_2014-05-01,45_d500_110_0_badger_2020-02-01,45_d500_110_1_badger_2020-02-01,45_d500_110_2_badger_2020-02-01,45_d500_119_826_0_badger_2019-10-01,45_d500_123_762_1_badger_2015-03-01,45_d500_124_0_badger_2018-06-01,45_d500_124_1_badger_2012-12-01,45_d500_124_2_badger_2012-01-01,45_d500_124_3_badger_2010-06-01,45_d500_124_4_badger_2012-06-01,45_d500_124_5_badger_2013-08-01,45_d500_124_6_badger_2018-06-01,45_d500_124_8_badger_2019-07-01,45_d500_135_0_badger_2020-02-01,45_d500_138_0_badger_2019-05-01,45_d500_138_1_badger_2020-02-01,45_d500_139_0_badger_2017-09-01,45_d500_139_1_badger_2014-07-01,45_d500_140_0_badger_2016-09-01,45_d500_148_0_badger_2020-02-01,45_d500_152_0_badger_2016-02-01,45_d500_152_2_badger_2012-08-01,45_d500_154_0_badger_2016-05-01,45_d500_160_0_badger_2012-06-01,45_d500_163_0_badger_2012-08-01,45_d500_184_0_badger_2020-02-01,45_d500_88_0_badger_2016-06-01,45_d500_99_716_0_badger_2012-03-01,45_d500_99_766_0_badger_2010-10-01,45_d500_99_766_1_badger_2012-03-01,45_d500_99_766_2_badger_2017-05-01,45_d500_99_766_3_badger_2018-06-01,45_d500_99_766_4_badger_2020-02-01,45_d500_99_866_0_badger_2014-07-01,45_d500_99_866_1_badger_2013-05-01,64075005_0_cattle_2014-01-01,64349068_0_cattle_2012-02-01,64349068_1_cattle_2012-01-01,64349_0_boar_2012-02-01,64349_10_boar_2012-01-01,64349_11_boar_2012-04-01,64349_12_boar_2013-02-01,64349_13_boar_2012-04-01,64349_14_boar_2012-10-01,64349_1_boar_2012-04-01,64349_2_boar_2011-11-01,64349_3_boar_2012-09-01,64349_4_boar_2013-11-01,64349_5_boar_2012-10-01,64349_6_boar_2016-09-01,64349_7_boar_2012-04-01,64349_8_boar_2015-05-01,64349_9_boar_2012-04-01,64367028_0_cattle_2019-12-01,64367042_0_cattle_2020-02-01,64367042_1_cattle_2020-02-01,64367042_3_cattle_2020-02-01,64367_1_boar_2015-04-01,64367_4_boar_2020-02-01,64391068_0_cattle_2020-02-01,64420009_2_cattle_2012-05-01,64420012_0_cattle_2011-05-01,64420012_1_cattle_2011-06-01,64420012_2_cattle_2011-06-01,64420012_3_cattle_2011-06-01,64420012_4_cattle_2011-06-01,64420012_5_cattle_2011-06-01,64420038_0_cattle_2018-01-01,64420039_0_cattle_2012-07-01,64420039_10_cattle_2012-07-01,64420039_11_cattle_2012-07-01,64420039_12_cattle_2012-07-01,64420039_13_cattle_2012-07-01,64420039_14_cattle_2012-07-01,64420039_15_cattle_2012-07-01,64420039_16_cattle_2012-07-01,64420039_17_cattle_2017-12-01,64420039_1_cattle_2012-07-01,64420039_2_cattle_2012-07-01,64420039_3_cattle_2012-07-01,64420039_4_cattle_2012-07-01,64420039_5_cattle_2012-06-01,64420039_6_cattle_2012-07-01,64420039_7_cattle_2012-07-01,64420039_8_cattle_2012-07-01,64420039_9_cattle_2012-07-01,64420047_0_cattle_2010-01-01,64420047_10_cattle_2013-03-01,64420047_13_cattle_2013-05-01,64420047_15_cattle_2013-05-01,64420047_1_cattle_2010-02-01,64420047_2_cattle_2013-03-01,64420047_5_cattle_2013-05-01,64420047_7_cattle_2013-03-01,64420047_9_cattle_2013-04-01,64491048_0_cattle_2014-01-01,64491048_1_cattle_2013-11-01,64491048_2_cattle_2014-02-01,64491048_3_cattle_2014-02-01,64491048_4_cattle_2014-02-01,64491048_5_cattle_2014-02-01,64491048_6_cattle_2014-02-01,64491_0_boar_2013-10-01,64491_1_boar_2014-11-01,64512019_0_cattle_2020-02-01,64512019_1_cattle_2020-02-01,64512019_2_cattle_2020-02-01,64512019_3_cattle_2020-02-01,64512019_4_cattle_2020-02-01,64512024_0_cattle_2017-03-01,64512024_1_cattle_2016-12-01,64512024_2_cattle_2016-04-01,64512024_3_cattle_2017-06-01,64512024_4_cattle_2017-09-01,64512024_5_cattle_2018-03-01,64512053_0_cattle_2020-02-01,64521015_0_cattle_2018-04-01,64521015_10_cattle_2018-06-01,64521015_1_cattle_2018-06-01,64521015_2_cattle_2018-04-01,64521015_3_cattle_2018-04-01,64521015_4_cattle_2018-04-01,64521015_5_cattle_2018-06-01,64521015_6_cattle_2018-06-01,64521015_7_cattle_2018-04-01,64521015_8_cattle_2018-06-01,64521015_9_cattle_2018-06-01,64521_0_boar_2016-06-01,64521_1_boar_2019-10-01,64551017_0_cattle_2017-02-01,64551017_1_cattle_2017-02-01,64556001_0_cattle_2019-04-01,64556001_1_cattle_2019-04-01,64556001_2_cattle_2018-12-01,64556001_3_cattle_2018-12-01,64556001_4_cattle_2019-04-01,64556001_5_cattle_2019-04-01,64556001_6_cattle_2019-07-01,64556002_0_cattle_2019-01-01,64556002_1_cattle_2019-01-01,64556002_2_cattle_2019-01-01,64556002_3_cattle_2020-02-01,64556005_0_cattle_2016-03-01,64556005_1_cattle_2016-03-01,64556005_2_cattle_2018-07-01,64556005_3_cattle_2018-06-01,64556005_4_cattle_2020-02-01,64556005_5_cattle_2019-12-01,64556005_6_cattle_2020-02-01,64556005_7_cattle_2019-12-01,64556023_0_cattle_2018-01-01,64556023_1_cattle_2018-03-01,64556023_2_cattle_2018-01-01,64556039_10_cattle_2017-04-01,64556039_11_cattle_2017-05-01,64556039_12_cattle_2017-08-01,64556039_14_cattle_2018-08-01,64556039_2_cattle_2016-11-01,64556039_3_cattle_2017-02-01,64556039_4_cattle_2016-06-01,64556039_5_cattle_2017-02-01,64556039_6_cattle_2017-05-01,64556039_7_cattle_2017-02-01,64556039_8_cattle_2017-02-01,64556039_9_cattle_2017-08-01,64556044_0_cattle_2017-12-01,64556051_0_cattle_2011-11-01,64556051_1_cattle_2013-05-01,64556051_2_cattle_2016-02-01,64556051_3_cattle_2016-02-01,64556051_4_cattle_2016-02-01,64556051_5_cattle_2016-02-01,64556051_6_cattle_2016-02-01,64556051_7_cattle_2017-12-01,64556052_0_cattle_2019-01-01,64556052_1_cattle_2019-01-01,64556_0_boar_2017-02-01,64556_10_boar_2020-02-01,64556_11_boar_2019-02-01,64556_1_boar_2018-10-01,64556_2_boar_2020-02-01,64556_3_boar_2017-11-01,64556_4_boar_2017-07-01,64556_5_boar_2019-05-01,64556_6_boar_2018-05-01,64556_7_boar_2018-10-01,64556_8_boar_2018-09-01,64556_9_boar_2020-02-01
0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007598480303939215,0.0027994401119776045,7.998400319936012e-4,1.999600079984003e-4,0,0,0,0,0,9.998000399920016e-4,3.999200159968006e-4,0.002199560087982403,0,0.0035992801439712063,0,0.04619076184763034,0,0,0.05958808238352311,0.06398720255948795,0,0,0,0,0,0,0,0,0,0,0,0,0.3245350929814013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.09758048390322024,0,0,0,0,0,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06898620275944811,0,0,0,0,0,0,0,0,0,0,0,0,0.03919216156768635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007798440311937616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013197360527894405,0,0,0.013397320535892805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007398520295940815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.09338132373525371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1849630073985239,0,0,0,0,0,0,0,0,0,0,0,0,0.006398720255948813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0.27234553089382446,0.03619276144771036,0,0,0,0.06938612277544493,0,0,0,0.01099780043991201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0.001399720055988802,0.1329734053189382,0,7.998400319936012e-4,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027794441111777576,0.007198560287942414,0,0,0,0,0,0,0,0,0,0,0,0.01059788042391521,0.033793241351729564,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.006398720255948813,0.002999400119976005,0,0,0.003399320135972806,0,0.16556688662267846,0.0017996400719856025,0.002599480103979204,0.01079784043191361,0.0027994401119776045,0.008998200359928014,0.004399120175964808,0,0.015196960607878401,0.11317736452709595,0.05858828234353111,0.06498700259947998,0.02199560087982399,0.020195960807838392,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0.012797440511897606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.18916216756649043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.1977604479104219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539892021595681,0,0.0015996800639872023,9.998000399920016e-4,0.05558888222355512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0
0,0.0011997600479904018,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0.020195960807838392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157968406318736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015196960607878401,0,0,0.22995400919816536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30833833233353264,0.5168966206758417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
