45_d500_152_0_badger_2016-06-01,45_d500_152_10_badger_2016-08-01,45_d500_152_1_badger_2011-01-01,45_d500_152_2_badger_2018-01-01,45_d500_152_3_badger_2009-02-01,45_d500_152_4_badger_2008-10-01,45_d500_152_5_badger_2013-12-01,45_d500_152_6_badger_2016-08-01,45_d500_152_7_badger_2010-05-01,45_d500_152_8_badger_2011-03-01,45_d500_152_9_badger_2020-02-01,45_d500_156_0_badger_2018-09-01,45_d500_156_1_badger_2016-09-01,45_d500_159_855_0_badger_2019-11-01,45_d500_159_855_1_badger_2015-06-01,45_d500_159_855_2_badger_2020-02-01,45_d500_170_1_badger_2013-03-01,45_d500_170_2_badger_2015-12-01,45_d500_170_3_badger_2020-02-01,45_d500_170_4_badger_2020-02-01,45_d500_170_5_badger_2020-02-01,64072_1_boar_2020-02-01,64201002_0_cattle_2018-01-01,64201008_0_cattle_2014-07-01,64201008_1_cattle_2014-08-01,64201008_2_cattle_2014-08-01,64201014_0_cattle_2015-01-01,64201014_1_cattle_2015-01-01,64201014_2_cattle_2015-01-01,64201014_3_cattle_2015-01-01,64201014_4_cattle_2015-03-01,64201021_0_cattle_2015-03-01,64201021_10_cattle_2015-03-01,64201021_11_cattle_2015-03-01,64201021_12_cattle_2015-03-01,64201021_13_cattle_2020-02-01,64201021_1_cattle_2015-01-01,64201021_2_cattle_2015-03-01,64201021_3_cattle_2015-03-01,64201021_4_cattle_2015-01-01,64201021_5_cattle_2015-01-01,64201021_6_cattle_2015-01-01,64201021_7_cattle_2015-01-01,64201021_8_cattle_2015-01-01,64201021_9_cattle_2015-01-01,64281001_0_cattle_2015-12-01,64281001_10_cattle_2015-12-01,64281001_11_cattle_2015-12-01,64281001_12_cattle_2015-12-01,64281001_13_cattle_2015-12-01,64281001_14_cattle_2015-12-01,64281001_15_cattle_2015-12-01,64281001_1_cattle_2015-12-01,64281001_2_cattle_2015-11-01,64281001_3_cattle_2015-12-01,64281001_4_cattle_2015-12-01,64281001_5_cattle_2015-12-01,64281001_6_cattle_2015-12-01,64281001_7_cattle_2015-12-01,64281001_8_cattle_2015-12-01,64281001_9_cattle_2015-12-01,64281003_0_cattle_2015-01-01,64281003_1_cattle_2015-03-01,64281003_2_cattle_2015-01-01,64281003_3_cattle_2015-01-01,64281003_4_cattle_2015-03-01,64281003_5_cattle_2015-03-01,64281003_6_cattle_2017-01-01,64281008_0_cattle_2014-08-01,64281008_10_cattle_2014-08-01,64281008_11_cattle_2014-08-01,64281008_12_cattle_2014-08-01,64281008_13_cattle_2014-08-01,64281008_14_cattle_2014-08-01,64281008_15_cattle_2014-08-01,64281008_16_cattle_2014-08-01,64281008_17_cattle_2014-08-01,64281008_18_cattle_2014-08-01,64281008_1_cattle_2014-08-01,64281008_2_cattle_2014-08-01,64281008_3_cattle_2014-08-01,64281008_4_cattle_2014-08-01,64281008_5_cattle_2014-08-01,64281008_6_cattle_2014-05-01,64281008_7_cattle_2014-08-01,64281008_8_cattle_2014-08-01,64281008_9_cattle_2014-08-01,64281_0_boar_2014-05-01,64281_1_boar_2014-12-01,64281_2_boar_2015-03-01,64281_3_boar_2016-08-01,64281_4_boar_2016-07-01,64281_5_boar_2016-09-01,64326020_0_cattle_2018-06-01,64326020_1_cattle_2018-05-01,64349068_0_cattle_2019-11-01,64349068_10_cattle_2019-11-01,64349068_1_cattle_2019-10-01,64349068_2_cattle_2019-11-01,64349068_3_cattle_2019-11-01,64349068_4_cattle_2019-11-01,64349068_5_cattle_2019-11-01,64349068_6_cattle_2019-11-01,64349068_7_cattle_2019-06-01,64349068_8_cattle_2019-11-01,64349068_9_cattle_2019-11-01,64349_0_boar_2019-09-01,64349_10_boar_2020-02-01,64349_1_boar_2019-03-01,64349_2_boar_2020-02-01,64349_3_boar_2020-02-01,64349_4_boar_2020-02-01,64349_5_boar_2020-02-01,64349_6_boar_2020-02-01,64349_7_boar_2020-02-01,64349_8_boar_2020-02-01,64349_9_boar_2020-02-01,64359209_0_cattle_2019-02-01,64359209_10_cattle_2019-06-01,64359209_11_cattle_2019-06-01,64359209_3_cattle_2019-06-01,64359209_4_cattle_2019-06-01,64359209_6_cattle_2019-02-01,64359209_7_cattle_2019-02-01,64359209_8_cattle_2019-06-01,64393387_0_cattle_2018-05-01,64393_2_boar_2020-02-01,64393_3_boar_2020-02-01,64420007_0_cattle_2016-03-01,64420012_0_cattle_2015-03-01,64420015_1_cattle_2017-01-01,64420015_2_cattle_2017-03-01,64420015_3_cattle_2017-01-01,64420015_4_cattle_2017-01-01,64420047_0_cattle_2014-12-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4443111377724302,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022195560887822388,0,0,0,0.046790641871625537,0,0,0.06678664267146564,0,0,0,0.00519896020795841,0,0,0,7.998400319936012e-4,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07818436312737481,0.013397320535892805,0.00519896020795841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.425714857028581,0,0,0,0,0.016996600679864,0,0,0,0,0,0,0,0,0,0.02059588082383519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011597680463907209,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0,0.0015996800639872023,0,0,0.04879024195160953,0,0.03039392121575677,0.09798040391921706,0.03979204159168155,0.0655868826234752,0
0,0,0,0,3.999200159968006e-4,0,0,0,0,0.6820635872825026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3037392521495699,0.13177364527094776,0.09118176364727124,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0.0019996000799840027,0.0011997600479904018,0.0019996000799840027,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028994201159767974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.16116776644671352,0,0,0.2095580883823279,0.001399720055988802,0,0.6052789442111252,0.08178364327134613,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.08038392321535728,0,0.21355728854229603,0,0.37872425514896196,0,0.10677864427114694,0.027594481103779177,0,0,0,0,0,0,0.29894021195760884,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0,0,0,0.006198760247950412,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3.999200159968006e-4,0,9.998000399920016e-4,0.005798840231953611,0,0,0,0,0,0,0,0,0,0,0.419916016796628,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0,9.998000399920016e-4,9.998000399920016e-4,0,0,1.999600079984003e-4,0,0,0,1.999600079984003e-4,0,0.0023995200959808036,0,3.999200159968006e-4,0,0.020395920815836792,0.07438512297540509,0,0.00539892021595681,0,0.020195960807838392,0,0.0019996000799840027,0,0.06098780243951191,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04019196160767835
0,0.5360927814436861,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.014597080583883202,0,0,0,0,0,0,0,0,0,0.014397120575884803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01059788042391521,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0.038392321535692754,0,0.024395120975804784,0.08518296340731904,0.02679464107178558,0.09478104379124255,0
0,0,0.05818836232753431,0,0.30073985202959425,0.08438312337532541,7.998400319936012e-4,0,0,0.03079384123175357,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.31093781243751156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11437712457508639,0.06278744251149751,0.05418916216756632,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0.0027994401119776045,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
