X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
117392,15,SB0832,badger,NA,45_d500_152_0,NA,45_d500_152,NA,initialisation,0,0,115,trapping,15,86,NA->badger,2007,115,b2012,209,18,53,138,NA,NA,NA,NA,NA,NA
117393,15,SB0832,cattle,badger,64420047_0,45_d500_152_0,64420047,45_d500_152,badger,7,-1,11,abattage,54,86,badger->cattle,2007,4,b2012,209,18,53,138,45_d500_152_0->64420047_0,45_d500_152_0->64420047_0,45_d500_152_0->64420047_0,NA,45_d500_152_0->64420047_0,NA
117394,15,SB0832,cattle,badger,64420012_0,45_d500_152_0,64420012,45_d500_152,badger,22,23,28,abattage,197,86,badger->cattle,2008,6,b2012,209,18,53,138,45_d500_152_0->64420012_0,45_d500_152_0->64420012_0,45_d500_152_0->64420012_0,NA,45_d500_152_0->64420012_0,NA
117395,15,SB0832,cattle,cattle,64420012_1,64420012_0,64420012,64420012,within,24,-1,28,abattage,214,86,cattle->cattle,2009,4,b2012,209,18,53,138,64420012_0->64420012_1,64420012_0->64420012_1,64420012_0->64420012_1,64420012_0->64420012_1,64420012_0->64420012_1,64420012_0->64420012_1
117396,15,SB0832,cattle,cattle,64420012_2,64420012_0,64420012,64420012,within,26,28,28,abattage,229,86,cattle->cattle,2009,2,b2012,209,18,53,138,64420012_0->64420012_2,64420012_0->64420012_2,64420012_0->64420012_2,64420012_0->64420012_2,64420012_0->64420012_2,64420012_0->64420012_2
117397,15,SB0832,cattle,badger,64420039_0,45_d500_152_0,64420039,45_d500_152,badger,41,45,59,abattage,388,86,badger->cattle,2010,18,b2012,209,18,53,138,45_d500_152_0->64420039_0,45_d500_152_0->64420039_0,45_d500_152_0->64420039_0,NA,45_d500_152_0->64420039_0,NA
117398,15,SB0832,badger,cattle,45_d500_124_0,64420039_0,45_d500_124,64420039,cattle,46,46,157,NA,468,86,cattle->badger,2010,111,b2012,209,18,53,138,64420039_0->45_d500_124_0,64420039_0->45_d500_124_0,64420039_0->45_d500_124_0,NA,64420039_0->45_d500_124_0,NA
117399,15,SB0832,cattle,cattle,64420039_1,64420039_0,64420039,64420039,within,48,59,61,abattage,500,86,cattle->cattle,2011,13,b2012,209,18,53,138,64420039_0->64420039_1,64420039_0->64420039_1,64420039_0->64420039_1,64420039_0->64420039_1,64420039_0->64420039_1,64420039_0->64420039_1
117400,15,SB0832,badger,badger,45_d500_124_1,45_d500_124_0,45_d500_124,45_d500_124,within,49,49,79,trapping,508,86,badger->badger,2011,30,b2012,209,18,53,138,45_d500_124_0->45_d500_124_1,45_d500_124_0->45_d500_124_1,45_d500_124_0->45_d500_124_1,NA,45_d500_124_0->45_d500_124_1,NA
117401,15,SB0832,cattle,cattle,64420039_2,64420039_0,64420039,64420039,within,49,54,59,abattage,518,86,cattle->cattle,2011,10,b2012,209,18,53,138,64420039_0->64420039_2,64420039_0->64420039_2,64420039_0->64420039_2,64420039_0->64420039_2,64420039_0->64420039_2,64420039_0->64420039_2
