X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
86449,15,SB0832,badger,NA,45_d500_99_766_0,NA,45_d500_99_766,NA,initialisation,0,0,157,NA,15,273,NA->badger,2007,157,b2012,281,58,21,202,NA,NA,NA,NA,NA,NA
86450,15,SB0832,cattle,badger,64420012_0,45_d500_99_766_0,64420012,45_d500_99_766,badger,16,17,32,demographie,93,273,badger->cattle,2008,16,b2012,281,58,21,202,45_d500_99_766_0->64420012_0,45_d500_99_766_0->64420012_0,45_d500_99_766_0->64420012_0,NA,45_d500_99_766_0->64420012_0,NA
86451,15,SB0832,cattle,cattle,64420012_1,64420012_0,64420012,64420012,within,19,21,36,abattage,120,273,cattle->cattle,2008,17,b2012,281,58,21,202,64420012_0->64420012_1,64420012_0->64420012_1,64420012_0->64420012_1,64420012_0->64420012_1,64420012_0->64420012_1,64420012_0->64420012_1
86452,15,SB0832,badger,cattle,45_d500_152_0,64420012_0,45_d500_152,64420012,cattle,19,19,157,NA,121,273,cattle->badger,2008,138,b2012,281,58,21,202,64420012_0->45_d500_152_0,64420012_0->45_d500_152_0,64420012_0->45_d500_152_0,NA,64420012_0->45_d500_152_0,NA
86453,15,SB0832,cattle,cattle,64420012_2,64420012_0,64420012,64420012,within,20,23,36,abattage,127,273,cattle->cattle,2008,16,b2012,281,58,21,202,64420012_0->64420012_2,64420012_0->64420012_2,64420012_0->64420012_2,64420012_0->64420012_2,64420012_0->64420012_2,64420012_0->64420012_2
86454,15,SB0832,cattle,cattle,64420012_3,64420012_0,64420012,64420012,within,25,31,36,abattage,152,273,cattle->cattle,2009,11,b2012,281,58,21,202,64420012_0->64420012_3,64420012_0->64420012_3,64420012_0->64420012_3,64420012_0->64420012_3,64420012_0->64420012_3,64420012_0->64420012_3
86455,15,SB0832,cattle,cattle,64420012_4,64420012_1,64420012,64420012,within,26,27,36,abattage,159,273,cattle->cattle,2009,10,b2012,281,58,21,202,64420012_1->64420012_4,64420012_1->64420012_4,64420012_1->64420012_4,64420012_1->64420012_4,64420012_1->64420012_4,64420012_1->64420012_4
86456,15,SB0832,cattle,cattle,64420012_5,64420012_2,64420012,64420012,within,26,31,36,abattage,160,273,cattle->cattle,2009,10,b2012,281,58,21,202,64420012_2->64420012_5,64420012_2->64420012_5,64420012_2->64420012_5,64420012_2->64420012_5,64420012_2->64420012_5,64420012_2->64420012_5
86457,15,SB0832,cattle,cattle,64420012_6,64420012_1,64420012,64420012,within,27,27,35,demographie,162,273,cattle->cattle,2009,8,b2012,281,58,21,202,64420012_1->64420012_6,64420012_1->64420012_6,64420012_1->64420012_6,64420012_1->64420012_6,64420012_1->64420012_6,64420012_1->64420012_6
86458,15,SB0832,cattle,cattle,64420012_7,64420012_2,64420012,64420012,within,28,30,36,abattage,168,273,cattle->cattle,2009,8,b2012,281,58,21,202,64420012_2->64420012_7,64420012_2->64420012_7,64420012_2->64420012_7,64420012_2->64420012_7,64420012_2->64420012_7,64420012_2->64420012_7
