X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle
17301,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,0,49,abattage,13,156,NA->cattle,2007,49,b2012,354,62,31,261
17302,13,SB0832,badger,cattle,45_d500_156_0,64420015_0,45_d500_156,64420015,cattle,5,5,114,trapping,38,156,cattle->badger,2007,109,b2012,354,62,31,261
17303,13,SB0832,badger,cattle,45_d500_160_0,64420015_0,45_d500_160,64420015,cattle,7,7,20,demographie,50,156,cattle->badger,2007,13,b2012,354,62,31,261
17304,13,SB0832,badger,cattle,45_d500_160_1,64420015_0,45_d500_160,64420015,cattle,9,9,13,demographie,63,156,cattle->badger,2007,4,b2012,354,62,31,261
17305,13,SB0832,badger,cattle,45_d500_160_2,64420015_0,45_d500_160,64420015,cattle,9,9,11,demographie,64,156,cattle->badger,2007,2,b2012,354,62,31,261
17306,13,SB0832,badger,cattle,45_d500_156_1,64420015_0,45_d500_156,64420015,cattle,15,15,29,demographie,115,156,cattle->badger,2008,14,b2012,354,62,31,261
17307,13,SB0832,badger,cattle,45_d500_160_3,64420015_0,45_d500_160,64420015,cattle,17,17,19,demographie,134,156,cattle->badger,2008,2,b2012,354,62,31,261
17308,13,SB0832,badger,cattle,45_d500_157_858_0,64420015_0,45_d500_157_858,64420015,cattle,19,19,138,trapping,147,156,cattle->badger,2008,119,b2012,354,62,31,261
17309,13,SB0832,badger,cattle,45_d500_152_0,64420015_0,45_d500_152,64420015,cattle,22,22,139,demographie,168,156,cattle->badger,2008,117,b2012,354,62,31,261
17310,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,23,27,49,abattage,177,156,cattle->cattle,2008,26,b2012,354,62,31,261
17311,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,23,25,27,demographie,178,156,cattle->cattle,2008,4,b2012,354,62,31,261
17312,13,SB0832,cattle,cattle,64420015_3,64420015_0,64420015,64420015,within,26,-1,30,demographie,217,156,cattle->cattle,2009,4,b2012,354,62,31,261
17313,13,SB0832,badger,cattle,45_d500_156_2,64420015_2,45_d500_156,64420015,cattle,29,29,42,demographie,264,156,cattle->badger,2009,13,b2012,354,62,31,261
17314,13,SB0832,cattle,cattle,64420044_0,64420015_0,64420044,64420015,pasture,31,33,52,abattage,304,156,cattle->cattle,2009,21,b2012,354,62,31,261
17315,13,SB0832,cattle,cattle,64420015_4,64420015_1,64420015,64420015,within,33,36,49,abattage,343,156,cattle->cattle,2009,16,b2012,354,62,31,261
17316,13,SB0832,badger,cattle,45_d500_163_0,64420044_0,45_d500_163,64420044,cattle,34,34,42,demographie,360,156,cattle->badger,2009,8,b2012,354,62,31,261
17317,13,SB0832,cattle,cattle,64420015_5,64420015_1,64420015,64420015,within,35,39,49,abattage,379,156,cattle->cattle,2009,14,b2012,354,62,31,261
17318,13,SB0832,cattle,cattle,64420044_1,64420044_0,64420044,64420044,within,35,37,52,abattage,380,156,cattle->cattle,2009,17,b2012,354,62,31,261
