X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle
18752,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,1,16,abattage,13,56,NA->cattle,2007,16,b2012,458,43,45,370
18753,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,2,3,16,abattage,18,56,cattle->cattle,2007,14,b2012,458,43,45,370
18754,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,4,17,18,abattage,23,56,cattle->cattle,2007,14,b2012,458,43,45,370
18755,13,SB0832,badger,cattle,45_d500_157_858_1,64420015_0,45_d500_157_858,64420015,cattle,5,5,51,demographie,24,56,cattle->badger,2007,46,b2012,458,43,45,370
18756,13,SB0832,cattle,cattle,64420015_3,64420015_0,64420015,64420015,within,6,7,16,abattage,25,56,cattle->cattle,2007,10,b2012,458,43,45,370
18757,13,SB0832,cattle,cattle,64420015_4,64420015_1,64420015,64420015,within,6,15,16,abattage,26,56,cattle->cattle,2007,10,b2012,458,43,45,370
18758,13,SB0832,cattle,cattle,64420015_5,64420015_1,64420015,64420015,within,7,8,16,abattage,32,56,cattle->cattle,2007,9,b2012,458,43,45,370
18759,13,SB0832,cattle,cattle,64420015_6,64420015_3,64420015,64420015,within,9,18,18,abattage,43,56,cattle->cattle,2007,9,b2012,458,43,45,370
18760,13,SB0832,cattle,cattle,64420015_7,64420015_3,64420015,64420015,within,10,11,18,abattage,51,56,cattle->cattle,2007,8,b2012,458,43,45,370
18761,13,SB0832,cattle,cattle,64420015_8,64420015_7,64420015,64420015,within,12,-1,18,abattage,68,56,cattle->cattle,2008,6,b2012,458,43,45,370
18762,13,SB0832,cattle,cattle,64420015_10,64420015_3,64420015,64420015,within,13,14,18,abattage,74,56,cattle->cattle,2008,5,b2012,458,43,45,370
18763,13,SB0832,cattle,cattle,64420015_9,64420015_5,64420015,64420015,within,13,17,18,abattage,75,56,cattle->cattle,2008,5,b2012,458,43,45,370
18764,13,SB0832,cattle,cattle,64420015_11,64420015_5,64420015,64420015,within,13,-1,16,demographie,76,56,cattle->cattle,2008,3,b2012,458,43,45,370
18765,13,SB0832,cattle,cattle,64420015_12,64420015_1,64420015,64420015,within,14,14,18,abattage,85,56,cattle->cattle,2008,4,b2012,458,43,45,370
18766,13,SB0832,cattle,cattle,64420015_13,64420015_1,64420015,64420015,within,14,16,16,abattage,86,56,cattle->cattle,2008,2,b2012,458,43,45,370
18767,13,SB0832,cattle,cattle,64420015_14,64420015_1,64420015,64420015,within,15,16,16,abattage,93,56,cattle->cattle,2008,1,b2012,458,43,45,370
18768,13,SB0832,badger,cattle,45_d500_160_0,64420015_12,45_d500_160,64420015,cattle,15,15,74,demographie,94,56,cattle->badger,2008,59,b2012,458,43,45,370
18769,13,SB0832,cattle,cattle,64420015_15,64420015_3,64420015,64420015,within,15,16,16,abattage,95,56,cattle->cattle,2008,1,b2012,458,43,45,370
18770,13,SB0832,cattle,cattle,64420015_16,64420015_7,64420015,64420015,within,16,-1,18,abattage,98,56,cattle->cattle,2008,2,b2012,458,43,45,370
18771,13,SB0832,cattle,cattle,64420044_0,64420015_14,64420044,64420015,pasture,17,19,30,abattage,107,56,cattle->cattle,2008,13,b2012,458,43,45,370
18772,13,SB0832,badger,cattle,45_d500_156_0,64420015_5,45_d500_156,64420015,cattle,18,18,56,demographie,110,56,cattle->badger,2008,38,b2012,458,43,45,370
18773,13,SB0832,badger,cattle,45_d500_160_1,64420015_10,45_d500_160,64420015,cattle,19,19,105,demographie,120,56,cattle->badger,2008,86,b2012,458,43,45,370
18774,13,SB0832,cattle,cattle,64420044_1,64420044_0,64420044,64420044,within,20,21,30,abattage,128,56,cattle->cattle,2008,10,b2012,458,43,45,370
18775,13,SB0832,cattle,cattle,64420044_2,64420044_1,64420044,64420044,within,22,28,28,abattage,136,56,cattle->cattle,2008,6,b2012,458,43,45,370
18776,13,SB0832,cattle,cattle,64420044_3,64420044_0,64420044,64420044,within,23,26,30,abattage,142,56,cattle->cattle,2008,7,b2012,458,43,45,370
18777,13,SB0832,cattle,cattle,64420044_4,64420044_0,64420044,64420044,within,26,-1,30,abattage,159,56,cattle->cattle,2009,4,b2012,458,43,45,370
18778,13,SB0832,cattle,cattle,64420044_5,64420044_3,64420044,64420044,within,26,29,30,abattage,160,56,cattle->cattle,2009,4,b2012,458,43,45,370
18779,13,SB0832,cattle,cattle,64420044_6,64420044_1,64420044,64420044,within,27,-1,28,abattage,166,56,cattle->cattle,2009,1,b2012,458,43,45,370
18780,13,SB0832,cattle,cattle,64420044_7,64420044_1,64420044,64420044,within,27,28,30,abattage,167,56,cattle->cattle,2009,3,b2012,458,43,45,370
18781,13,SB0832,badger,cattle,45_d500_99_766_0,64420044_1,45_d500_99_766,64420044,cattle,27,27,28,demographie,168,56,cattle->badger,2009,1,b2012,458,43,45,370
18782,13,SB0832,cattle,cattle,64420044_8,64420044_3,64420044,64420044,within,28,30,30,abattage,172,56,cattle->cattle,2009,2,b2012,458,43,45,370
18783,13,SB0832,badger,cattle,45_d500_152_0,64420044_0,45_d500_152,64420044,cattle,29,29,35,demographie,184,56,cattle->badger,2009,6,b2012,458,43,45,370
18784,13,SB0832,cattle,cattle,64420044_9,64420044_7,64420044,64420044,within,29,29,30,abattage,185,56,cattle->cattle,2009,1,b2012,458,43,45,370
18785,13,SB0832,cattle,cattle,64420044_10,64420044_3,64420044,64420044,within,30,-1,30,abattage,191,56,cattle->cattle,2009,0,b2012,458,43,45,370
18786,13,SB0832,cattle,cattle,64420047_0,64420044_8,64420047,64420044,pasture,31,34,46,abattage,201,56,cattle->cattle,2009,15,b2012,458,43,45,370
18787,13,SB0832,cattle,cattle,64420047_1,64420047_0,64420047,64420047,within,35,36,46,abattage,242,56,cattle->cattle,2009,11,b2012,458,43,45,370
