X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle
86449,15,SB0832,badger,NA,45_d500_99_766_0,NA,45_d500_99_766,NA,initialisation,0,0,157,NA,15,273,NA->badger,2007,157,b2012,281,58,21,202
86450,15,SB0832,cattle,badger,64420012_0,45_d500_99_766_0,64420012,45_d500_99_766,badger,16,17,32,demographie,93,273,badger->cattle,2008,16,b2012,281,58,21,202
86451,15,SB0832,cattle,cattle,64420012_1,64420012_0,64420012,64420012,within,19,21,36,abattage,120,273,cattle->cattle,2008,17,b2012,281,58,21,202
86452,15,SB0832,badger,cattle,45_d500_152_0,64420012_0,45_d500_152,64420012,cattle,19,19,157,NA,121,273,cattle->badger,2008,138,b2012,281,58,21,202
86453,15,SB0832,cattle,cattle,64420012_2,64420012_0,64420012,64420012,within,20,23,36,abattage,127,273,cattle->cattle,2008,16,b2012,281,58,21,202
86454,15,SB0832,cattle,cattle,64420012_3,64420012_0,64420012,64420012,within,25,31,36,abattage,152,273,cattle->cattle,2009,11,b2012,281,58,21,202
86455,15,SB0832,cattle,cattle,64420012_4,64420012_1,64420012,64420012,within,26,27,36,abattage,159,273,cattle->cattle,2009,10,b2012,281,58,21,202
86456,15,SB0832,cattle,cattle,64420012_5,64420012_2,64420012,64420012,within,26,31,36,abattage,160,273,cattle->cattle,2009,10,b2012,281,58,21,202
86457,15,SB0832,cattle,cattle,64420012_6,64420012_1,64420012,64420012,within,27,27,35,demographie,162,273,cattle->cattle,2009,8,b2012,281,58,21,202
86458,15,SB0832,cattle,cattle,64420012_7,64420012_2,64420012,64420012,within,28,30,36,abattage,168,273,cattle->cattle,2009,8,b2012,281,58,21,202
86459,15,SB0832,badger,cattle,45_d500_99_766_1,64420012_4,45_d500_99_766,64420012,cattle,28,28,39,demographie,169,273,cattle->badger,2009,11,b2012,281,58,21,202
86460,15,SB0832,cattle,cattle,64420012_8,64420012_2,64420012,64420012,within,29,32,36,abattage,173,273,cattle->cattle,2009,7,b2012,281,58,21,202
86461,15,SB0832,cattle,cattle,64420012_9,64420012_3,64420012,64420012,within,32,-1,36,abattage,188,273,cattle->cattle,2009,4,b2012,281,58,21,202
86462,15,SB0832,cattle,cattle,64420012_11,64420012_3,64420012,64420012,within,34,-1,36,abattage,196,273,cattle->cattle,2009,2,b2012,281,58,21,202
86463,15,SB0832,cattle,cattle,64420012_10,64420012_7,64420012,64420012,within,34,34,36,abattage,197,273,cattle->cattle,2009,2,b2012,281,58,21,202
86464,15,SB0832,cattle,cattle,64420012_14,64420012_2,64420012,64420012,within,35,-1,36,abattage,199,273,cattle->cattle,2009,1,b2012,281,58,21,202
86465,15,SB0832,cattle,cattle,64420012_13,64420012_4,64420012,64420012,within,35,36,36,abattage,200,273,cattle->cattle,2009,1,b2012,281,58,21,202
86466,15,SB0832,cattle,cattle,64420012_12,64420012_5,64420012,64420012,within,35,-1,36,abattage,201,273,cattle->cattle,2009,1,b2012,281,58,21,202
86467,15,SB0832,cattle,cattle,64420012_15,64420012_7,64420012,64420012,within,36,-1,36,abattage,203,273,cattle->cattle,2010,0,b2012,281,58,21,202
86468,15,SB0832,cattle,badger,64420044_0,45_d500_152_0,64420044,45_d500_152,badger,54,56,91,abattage,266,273,badger->cattle,2011,37,b2012,281,58,21,202
86469,15,SB0832,cattle,cattle,64420044_1,64420044_0,64420044,64420044,within,57,59,91,abattage,280,273,cattle->cattle,2011,34,b2012,281,58,21,202
86470,15,SB0832,badger,cattle,45_d500_163_0,64420044_0,45_d500_163,64420044,cattle,57,57,157,NA,281,273,cattle->badger,2011,100,b2012,281,58,21,202
86471,15,SB0832,badger,cattle,45_d500_99_766_2,64420044_0,45_d500_99_766,64420044,cattle,57,57,114,demographie,282,273,cattle->badger,2011,57,b2012,281,58,21,202
86472,15,SB0832,cattle,cattle,64420044_2,64420044_1,64420044,64420044,within,61,69,91,abattage,298,273,cattle->cattle,2012,30,b2016,281,58,21,202
86473,15,SB0832,cattle,cattle,64420044_3,64420044_1,64420044,64420044,within,62,72,91,abattage,304,273,cattle->cattle,2012,29,b2016,281,58,21,202
86474,15,SB0832,cattle,cattle,64420044_4,64420044_1,64420044,64420044,within,62,66,91,abattage,305,273,cattle->cattle,2012,29,b2016,281,58,21,202
86475,15,SB0832,badger,cattle,45_d500_156_1,64420044_0,45_d500_156,64420044,cattle,64,64,77,trapping,314,273,cattle->badger,2012,13,b2016,281,58,21,202
86476,15,SB0832,badger,cattle,45_d500_157_858_0,64420044_0,45_d500_157_858,64420044,cattle,64,64,106,demographie,315,273,cattle->badger,2012,42,b2016,281,58,21,202
86477,15,SB0832,badger,cattle,45_d500_156_2,64420044_1,45_d500_156,64420044,cattle,64,64,65,demographie,316,273,cattle->badger,2012,1,b2016,281,58,21,202
86478,15,SB0832,badger,cattle,45_d500_160_1,64420044_1,45_d500_160,64420044,cattle,66,66,78,trapping,322,273,cattle->badger,2012,12,b2016,281,58,21,202
86479,15,SB0832,cattle,cattle,64420044_5,64420044_4,64420044,64420044,within,66,73,91,abattage,323,273,cattle->cattle,2012,25,b2016,281,58,21,202
86480,15,SB0832,cattle,badger,64420035_0,45_d500_160_1,64420035,45_d500_160,badger,68,71,83,demographie,331,273,badger->cattle,2012,15,b2016,281,58,21,202
86481,15,SB0832,cattle,cattle,64420044_6,64420044_4,64420044,64420044,within,68,71,91,abattage,336,273,cattle->cattle,2012,23,b2016,281,58,21,202
86482,15,SB0832,cattle,badger,64420035_1,45_d500_157_858_0,64420035,45_d500_157_858,badger,69,70,84,abattage,338,273,badger->cattle,2012,15,b2016,281,58,21,202
86483,15,SB0832,cattle,badger,64459003_0,45_d500_157_858_0,64459003,45_d500_157_858,badger,70,77,91,abattage,340,273,badger->cattle,2012,21,b2016,281,58,21,202
86484,15,SB0832,cattle,cattle,64420044_8,64420044_0,64420044,64420044,within,71,77,91,abattage,347,273,cattle->cattle,2012,20,b2016,281,58,21,202
