X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,presence_2,presence_3,presence_4,presence_5,presence_6
79294,15,SB0832,badger,NA,45_d500_124_0,NA,45_d500_124,NA,initialisation,0,0,79,trapping,15,317,NA->badger,2007,79,b2012,175,27,69,79,NA,NA,NA,NA,NA,NA,1,1,1,1,1
79295,15,SB0832,cattle,badger,64420035_0,45_d500_124_0,64420035,45_d500_124,badger,33,41,51,abattage,447,317,badger->cattle,2009,18,b2012,175,27,69,79,45_d500_124_0->64420035_0,45_d500_124_0->64420035_0,45_d500_124_0->64420035_0,NA,45_d500_124_0->64420035_0,NA,1,1,1,1,1
79296,15,SB0832,badger,cattle,45_d500_160_0,64420035_0,45_d500_160,64420035,cattle,43,43,64,trapping,717,317,cattle->badger,2010,21,b2012,175,27,69,79,64420035_0->45_d500_160_0,64420035_0->45_d500_160_0,64420035_0->45_d500_160_0,NA,64420035_0->45_d500_160_0,NA,1,1,0,1,0
79297,15,SB0832,badger,badger,45_d500_124_1,45_d500_124_0,45_d500_124,45_d500_124,within,45,45,46,demographie,762,317,badger->badger,2010,1,b2012,175,27,69,79,45_d500_124_0->45_d500_124_1,NA,45_d500_124_0->45_d500_124_1,NA,NA,NA,0,1,0,0,0
79298,15,SB0832,cattle,cattle,64420042_0,64420035_0,64420042,64420035,pasture,45,48,57,abattage,790,317,cattle->cattle,2010,12,b2012,175,27,69,79,64420035_0->64420042_0,64420035_0->64420042_0,64420035_0->64420042_0,64420035_0->64420042_0,64420035_0->64420042_0,64420035_0->64420042_0,1,1,1,1,1
79299,15,SB0832,badger,cattle,45_d500_124_2,64420035_0,45_d500_124,64420035,cattle,45,45,63,demographie,791,317,cattle->badger,2010,18,b2012,175,27,69,79,64420035_0->45_d500_124_2,64420035_0->45_d500_124_2,64420035_0->45_d500_124_2,NA,64420035_0->45_d500_124_2,NA,1,1,0,1,0
79300,15,SB0832,badger,cattle,45_d500_159_855_0,64420035_0,45_d500_159_855,64420035,cattle,45,45,157,NA,792,317,cattle->badger,2010,112,b2012,175,27,69,79,64420035_0->45_d500_159_855_0,64420035_0->45_d500_159_855_0,64420035_0->45_d500_159_855_0,NA,64420035_0->45_d500_159_855_0,NA,1,1,1,1,1
79301,15,SB0832,badger,cattle,45_d500_159_855_1,64420035_0,45_d500_159_855,64420035,cattle,46,46,76,trapping,827,317,cattle->badger,2010,30,b2012,175,27,69,79,64420035_0->45_d500_159_855_1,64420035_0->45_d500_159_855_1,64420035_0->45_d500_159_855_1,NA,64420035_0->45_d500_159_855_1,NA,1,1,1,1,1
79302,15,SB0832,badger,cattle,45_d500_99_766_0,64420035_0,45_d500_99_766,64420035,cattle,46,46,91,trapping,828,317,cattle->badger,2010,45,b2012,175,27,69,79,64420035_0->45_d500_99_766_0,64420035_0->45_d500_99_766_0,64420035_0->45_d500_99_766_0,NA,64420035_0->45_d500_99_766_0,NA,1,1,1,1,1
79303,15,SB0832,cattle,cattle,64420035_1,64420035_0,64420035,64420035,within,49,50,51,abattage,977,317,cattle->cattle,2011,2,b2012,175,27,69,79,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,1,1,1,1,1
79304,15,SB0832,badger,cattle,45_d500_99_866_0,64420035_0,45_d500_99_866,64420035,cattle,52,52,77,trapping,1093,317,cattle->badger,2011,25,b2012,175,27,69,79,64420035_0->45_d500_99_866_0,64420035_0->45_d500_99_866_0,64420035_0->45_d500_99_866_0,NA,64420035_0->45_d500_99_866_0,NA,1,1,1,1,1
79305,15,SB0832,cattle,cattle,64420042_1,64420042_0,64420042,64420042,within,52,54,56,demographie,1094,317,cattle->cattle,2011,4,b2012,175,27,69,79,64420042_0->64420042_1,64420042_0->64420042_1,64420042_0->64420042_1,64420042_0->64420042_1,64420042_0->64420042_1,64420042_0->64420042_1,1,1,1,1,1
79306,15,SB0832,badger,cattle,45_d500_182_0,64420035_1,45_d500_182,64420035,cattle,53,53,76,trapping,1145,317,cattle->badger,2011,23,b2012,175,27,69,79,64420035_1->45_d500_182_0,64420035_1->45_d500_182_0,64420035_1->45_d500_182_0,NA,64420035_1->45_d500_182_0,NA,1,1,1,1,1
79307,15,SB0832,cattle,badger,64349068_0,45_d500_159_855_1,64349068,45_d500_159_855,badger,55,64,87,abattage,1195,317,badger->cattle,2011,32,b2012,175,27,69,79,45_d500_159_855_1->64349068_0,45_d500_159_855_1->64349068_0,45_d500_159_855_1->64349068_0,64420035_0->64349068_0,45_d500_159_855_1->64349068_0,64420035_0->64349068_0,1,1,1,1,1
79308,15,SB0832,cattle,cattle,64420042_2,64420042_0,64420042,64420042,within,55,56,57,demographie,1234,317,cattle->cattle,2011,2,b2012,175,27,69,79,64420042_0->64420042_2,64420042_0->64420042_2,64420042_0->64420042_2,64420042_0->64420042_2,64420042_0->64420042_2,64420042_0->64420042_2,1,1,1,1,1
79309,15,SB0832,cattle,cattle,64420042_3,64420042_0,64420042,64420042,within,55,-1,57,abattage,1235,317,cattle->cattle,2011,2,b2012,175,27,69,79,64420042_0->64420042_3,64420042_0->64420042_3,64420042_0->64420042_3,64420042_0->64420042_3,64420042_0->64420042_3,64420042_0->64420042_3,1,1,1,1,1
