X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle
154040,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,1,3,abattage,13,339,NA->cattle,2007,3,b2012,327,32,61,234
154041,13,SB0832,badger,cattle,45_d500_157_858_0,64420015_0,45_d500_157_858,64420015,cattle,4,4,88,demographie,26,339,cattle->badger,2007,84,b2012,327,32,61,234
154042,13,SB0832,badger,cattle,45_d500_152_0,64420015_0,45_d500_152,64420015,cattle,5,5,6,demographie,31,339,cattle->badger,2007,1,b2012,327,32,61,234
154043,13,SB0832,cattle,badger,64420039_0,45_d500_152_0,64420039,45_d500_152,badger,9,10,37,abattage,50,339,badger->cattle,2007,28,b2012,327,32,61,234
154044,13,SB0832,cattle,cattle,64420039_1,64420039_0,64420039,64420039,within,11,15,37,abattage,65,339,cattle->cattle,2007,26,b2012,327,32,61,234
154045,13,SB0832,cattle,cattle,64420039_2,64420039_0,64420039,64420039,within,13,15,37,abattage,80,339,cattle->cattle,2008,24,b2012,327,32,61,234
154046,13,SB0832,cattle,cattle,64420039_3,64420039_0,64420039,64420039,within,13,16,34,demographie,81,339,cattle->cattle,2008,21,b2012,327,32,61,234
154047,13,SB0832,cattle,badger,64326020_0,45_d500_157_858_0,64326020,45_d500_157_858,badger,15,18,52,abattage,93,339,badger->cattle,2008,37,b2012,327,32,61,234
154048,13,SB0832,cattle,cattle,64420039_4,64420039_0,64420039,64420039,within,19,20,37,abattage,125,339,cattle->cattle,2008,18,b2012,327,32,61,234
154049,13,SB0832,badger,cattle,45_d500_123_762_0,64420039_2,45_d500_123_762,64420039,cattle,20,20,27,demographie,135,339,cattle->badger,2008,7,b2012,327,32,61,234
154050,13,SB0832,badger,cattle,45_d500_99_839_0,64420039_4,45_d500_99_839,64420039,cattle,20,20,64,trapping,136,339,cattle->badger,2008,44,b2012,327,32,61,234
154051,13,SB0832,badger,cattle,45_d500_170_0,64420039_1,45_d500_170,64420039,cattle,21,21,89,trapping,142,339,cattle->badger,2008,68,b2012,327,32,61,234
154052,13,SB0832,badger,cattle,45_d500_99_766_0,64420039_1,45_d500_99_766,64420039,cattle,22,22,88,trapping,151,339,cattle->badger,2008,66,b2012,327,32,61,234
154053,13,SB0832,cattle,cattle,64420039_5,64420039_1,64420039,64420039,within,23,28,37,abattage,161,339,cattle->cattle,2008,14,b2012,327,32,61,234
154054,13,SB0832,cattle,cattle,64420039_6,64420039_4,64420039,64420039,within,23,24,37,abattage,162,339,cattle->cattle,2008,14,b2012,327,32,61,234
154055,13,SB0832,cattle,cattle,64420039_8,64420039_1,64420039,64420039,within,25,28,37,abattage,193,339,cattle->cattle,2009,12,b2012,327,32,61,234
154056,13,SB0832,cattle,cattle,64420039_7,64420039_2,64420039,64420039,within,25,32,37,abattage,194,339,cattle->cattle,2009,12,b2012,327,32,61,234
154057,13,SB0832,cattle,cattle,64420039_10,64420039_0,64420039,64420039,within,26,31,37,abattage,204,339,cattle->cattle,2009,11,b2012,327,32,61,234
154058,13,SB0832,cattle,cattle,64420039_9,64420039_2,64420039,64420039,within,26,29,37,abattage,205,339,cattle->cattle,2009,11,b2012,327,32,61,234
154059,13,SB0832,badger,cattle,45_d500_99_866_0,64420039_5,45_d500_99_866,64420039,cattle,29,29,137,trapping,221,339,cattle->badger,2009,108,b2012,327,32,61,234
154060,13,SB0832,cattle,cattle,64420039_11,64420039_0,64420039,64420039,within,31,33,37,abattage,236,339,cattle->cattle,2009,6,b2012,327,32,61,234
154061,13,SB0832,cattle,cattle,64420039_12,64420039_0,64420039,64420039,within,32,34,37,abattage,242,339,cattle->cattle,2009,5,b2012,327,32,61,234
