from,to,time,support,generations
2,1,29,0.09888888888888889,1
NA,2,16,0.06777777777777778,NA
2,3,26,0.125,1
2,4,24,0.18222222222222223,1
2,5,29,0.09,1
18,6,139,0.5022222222222222,1
2,7,26,0.13555555555555557,1
2,8,25,0.13777777777777778,1
22,9,27,0.3477777777777778,1
2,10,26,0.125,1
2,11,26,0.12944444444444445,1
2,12,25,0.125,1
2,13,24,0.135,1
2,14,26,0.1388888888888889,1
2,15,26,0.12277777777777778,1
2,16,24,0.15666666666666668,1
2,17,25,0.12111111111111111,1
53,18,106,0.05555555555555555,1
2,19,25,0.13,1
7,20,37,0.07611111111111112,1
23,21,63,0.2577777777777778,1
9,22,27,0.33666666666666667,1
10,23,38,0.07222222222222222,1
22,24,27,0.3377777777777778,1
2,25,26,0.13833333333333334,1
27,26,74,0.20277777777777778,1
28,27,72,0.16555555555555557,1
27,28,73,0.18388888888888888,1
169,29,149,0.03111111111111111,1
46,30,93,0.14888888888888888,1
27,31,76,0.17888888888888888,1
98,32,118,0.06222222222222222,1
27,33,77,0.165,1
27,34,84,0.09777777777777778,1
63,35,111,0.06222222222222222,1
153,36,139,0.029444444444444443,1
28,37,85,0.09277777777777778,1
27,38,82,0.12555555555555556,1
46,39,80,0.18722222222222223,1
26,40,83,0.11277777777777778,1
33,41,86.5,0.08166666666666667,1
48,42,87,0.08,1
34,43,93,0.07,1
39,44,85,0.3416666666666667,1
27,45,79,0.14944444444444444,1
39,46,83,0.3861111111111111,1
39,47,83,0.40166666666666667,1
27,48,80,0.1338888888888889,1
64,49,98,0.08555555555555555,1
28,50,83,0.105,1
26,51,83,0.10611111111111111,1
65,52,109,0.04777777777777778,1
68,53,97,0.059444444444444446,1
44,54,95,0.11944444444444445,1
57,55,97,0.057777777777777775,1
43,56,97,0.057777777777777775,1
38,57,92,0.07444444444444444,1
48,58,93,0.06388888888888888,1
37,59,95,0.07,1
71,60,148,0.023333333333333334,1
44,61,96,0.10111111111111111,1
34,62,92,0.07333333333333333,1
59,63,103,0.058888888888888886,1
47,64,90,0.2061111111111111,1
64,65,100,0.06944444444444445,1
64,66,100,0.07722222222222222,1
30,67,100,0.06833333333333333,1
37,68,91,0.07111111111111111,1
46,69,93,0.14888888888888888,1
50,70,93,0.06,1
162,71,141,0.02722222222222222,1
41,72,95,0.059444444444444446,1
114,73,141,0.02722222222222222,1
44,74,95,0.12277777777777778,1
81,75,105,0.055,1
55,76,103,0.057777777777777775,1
64,77,98,0.07833333333333334,1
92,78,119,0.05722222222222222,1
64,79,104,0.05611111111111111,1
61,80,104,0.05722222222222222,1
69,81,102,0.06944444444444445,1
102,82,117,0.058333333333333334,1
