from,to,time,support,generations
NA,1,5,0.19166666666666668,NA
1,2,7,0.27055555555555555,1
1,3,7,0.235,1
1,4,10,0.21777777777777776,1
1,5,10,0.22777777777777777,1
1,6,10,0.24833333333333332,1
8,7,40,0.33444444444444443,1
7,8,41.5,0.4722222222222222,1
14,9,84,0.052222222222222225,1
22,10,84,0.059444444444444446,1
13,11,81,0.06222222222222222,1
15,12,84,0.059444444444444446,1
15,13,79,0.06333333333333334,1
22,14,79,0.06666666666666667,1
22,15,78,0.06333333333333334,1
22,16,79,0.06444444444444444,1
22,17,78,0.06777777777777778,1
22,18,84,0.058888888888888886,1
13,19,84,0.058333333333333334,1
22,20,84,0.05333333333333334,1
15,21,83,0.056666666666666664,1
14,22,78,0.07333333333333333,1
17,23,84,0.058333333333333334,1
14,24,83,0.06111111111111111,1
15,25,84,0.058333333333333334,1
17,26,84,0.05722222222222222,1
22,27,83,0.055,1
22,28,83,0.056666666666666664,1
13,29,84,0.06,1
14,30,84,0.055,1
22,31,81,0.06666666666666667,1
15,32,84,0.058333333333333334,1
14,33,84,0.06333333333333334,1
17,34,84,0.058888888888888886,1
18,35,90,0.04,1
26,36,90,0.044444444444444446,1
25,37,90,0.04666666666666667,1
27,38,92,0.04,1
20,39,90,0.04555555555555556,1
20,40,92,0.04111111111111111,1
21,41,92,0.042222222222222223,1
41,42,100,0.04388888888888889,1
52,43,123,0.04,1
46,44,118,0.042222222222222223,1
42,45,115,0.04388888888888889,1
61,46,115,0.034444444444444444,1
51,47,115,0.035555555555555556,1
47,48,115,0.03611111111111111,1
45,49,115,0.03833333333333333,1
61,50,115,0.03611111111111111,1
49,51,115,0.03611111111111111,1
59,52,119,0.03944444444444444,1
49,53,115,0.04111111111111111,1
50,54,118,0.04111111111111111,1
50,55,119,0.041666666666666664,1
60,56,115,0.035555555555555556,1
42,57,115,0.03944444444444444,1
46,58,115,0.03777777777777778,1
45,59,115,0.04,1
56,60,116,0.04111111111111111,1
47,61,115,0.035555555555555556,1
70,62,133,0.04888888888888889,1
64,63,137,0.042777777777777776,1
43,64,130,0.03277777777777778,1
64,65,137,0.03944444444444444,1
54,66,122,0.044444444444444446,1
78,67,147,0.03722222222222222,1
43,68,136,0.03833333333333333,1
52,69,129,0.042777777777777776,1
69,70,131,0.03888888888888889,1
80,71,146,0.044444444444444446,1
69,72,133,0.03888888888888889,1
79,73,142,0.042222222222222223,1
70,74,137,0.04722222222222222,1
91,75,151,0.5144444444444445,1
70,76,136,0.04055555555555555,1
70,77,137,0.03722222222222222,1
72,78,139,0.03722222222222222,1
72,79,137,0.04055555555555555,1
62,80,146,0.03777777777777778,1
73,81,152,0.05,1
73,82,146,0.04111111111111111,1
80,83,146,0.03833333333333333,1
73,84,143,0.03944444444444444,1
83,85,147,0.042222222222222223,1
92,86,152,0.2966666666666667,1
73,87,146,0.04388888888888889,1
65,88,144,0.03611111111111111,1
92,89,152,0.29,1
92,90,149,0.3794444444444444,1
75,91,150,0.47888888888888886,1
90,92,147,0.1938888888888889,1
84,93,145,0.04055555555555555,1
78,94,146,0.04111111111111111,1
92,95,152,0.2688888888888889,1
73,96,146,0.03611111111111111,1
