from,to,time,support,generations
5,1,18,0.07277777777777777,1
NA,2,3,0.23777777777777778,NA
97,3,69,0.03388888888888889,1
5,4,16,0.10222222222222223,1
2,5,5,0.285,1
2,6,18,0.08611111111111111,1
2,7,18,0.07777777777777778,1
5,8,18,0.07722222222222222,1
5,9,18,0.08166666666666667,1
5,10,18,0.08166666666666667,1
5,11,18,0.07888888888888888,1
5,12,18,0.07944444444444444,1
27,13,19,0.48277777777777775,1
5,14,18,0.07722222222222222,1
2,15,18,0.08222222222222222,1
5,16,18,0.06833333333333333,1
5,17,18,0.07555555555555556,1
2,18,18,0.07,1
2,19,18,0.075,1
2,20,18,0.085,1
5,21,17,0.07166666666666667,1
5,22,17,0.07611111111111112,1
2,23,18,0.07833333333333334,1
47,24,30,0.205,1
51,25,60,0.03833333333333333,1
5,26,17,0.08388888888888889,1
13,27,19,0.4988888888888889,1
2,28,18,0.08055555555555556,1
2,29,17,0.08222222222222222,1
5,30,18,0.07888888888888888,1
5,31,18,0.08,1
2,32,18,0.07722222222222222,1
5,33,18,0.07944444444444444,1
2,34,18,0.07777777777777778,1
2,35,18,0.07333333333333333,1
53,36,46,0.055,1
5,37,18,0.08333333333333333,1
67,38,96,0.6516666666666666,1
36,39,56,0.04666666666666667,1
108,40,94,0.04777777777777778,1
24,41,30,0.18555555555555556,1
64,42,72,0.026111111111111113,1
24,43,31,0.19111111111111112,1
183,44,150.5,0.04833333333333333,1
32,45,30,0.03666666666666667,1
24,46,33,0.17777777777777778,1
41,47,30,0.19166666666666668,1
47,48,32,0.18333333333333332,1
109,49,72,0.02666666666666667,1
51,50,60,0.04,1
36,51,49,0.057777777777777775,1
36,52,60,0.042222222222222223,1
45,53,43,0.042222222222222223,1
87,54,60,0.1688888888888889,1
51,55,58,0.03833333333333333,1
127,56,84,0.15333333333333332,1
36,57,60,0.03111111111111111,1
132,58,95,0.25222222222222224,1
151,59,116,0.31555555555555553,1
104,60,61,0.48388888888888887,1
112,61,90,0.03666666666666667,1
55,62,63,0.028333333333333332,1
117,63,80,0.035555555555555556,1
53,64,60,0.03611111111111111,1
87,65,60,0.17666666666666667,1
209,66,150,0.044444444444444446,1
39,67,62,0.03388888888888889,1
88,68,72,0.025555555555555557,1
51,69,60,0.03333333333333333,1
54,70,60,0.2111111111111111,1
53,71,60,0.03166666666666667,1
51,72,62,0.03277777777777778,1
36,73,60,0.035,1
51,74,60,0.03888888888888889,1
82,75,60,0.3283333333333333,1
51,76,60,0.03388888888888889,1
39,77,60,0.03,1
146,78,103,0.059444444444444446,1
122,79,86,0.17444444444444446,1
36,80,60,0.035555555555555556,1
54,81,60,0.17722222222222223,1
75,82,61,0.3388888888888889,1
36,83,60,0.029444444444444443,1
51,84,60,0.03777777777777778,1
71,85,66,0.02722222222222222,1
51,86,60,0.034444444444444444,1
65,87,61,0.17166666666666666,1
51,88,60,0.034444444444444444,1
51,89,60,0.034444444444444444,1
36,90,60,0.03,1
89,91,62,0.025,1
51,92,62,0.030555555555555555,1
53,93,62,0.02666666666666667,1
36,94,60,0.03611111111111111,1
80,95,71,0.029444444444444443,1
36,96,60,0.035,1
39,97,60,0.03388888888888889,1
39,98,60,0.03277777777777778,1
63,99,85,0.03388888888888889,1
75,100,61,0.3416666666666667,1
51,101,59,0.03277777777777778,1
36,102,60,0.03333333333333333,1
65,103,61,0.18,1
60,104,62,0.4938888888888889,1
88,105,62,0.027777777777777776,1
90,106,62,0.030555555555555555,1
56,107,84,0.15611111111111112,1
63,108,84,0.03777777777777778,1
98,109,67,0.028333333333333332,1
74,110,66,0.028333333333333332,1
123,111,89,0.3022222222222222,1
126,112,84,0.03222222222222222,1
80,113,69,0.028888888888888888,1
88,114,74,0.026111111111111113,1
76,115,68,0.03111111111111111,1
90,116,71,0.029444444444444443,1
109,117,72,0.030555555555555555,1
122,118,86,0.16722222222222222,1
109,119,74,0.030555555555555555,1
181,120,148,0.21166666666666667,1
