post,mu,pi
-1721.751586056156,1e-4,0.9
-1193.9686307126206,7.079820626784509e-4,0.8156278020289348
-1144.8070843536086,0.001298671034465051,0.9263182346897045
-1147.3153116652325,6.727216171119162e-4,0.9271008367315076
-1153.082785573052,5.382823493345213e-4,0.8495329087207305
-1107.0975317427092,0.0011619349143003677,0.9764349441402215
-1115.6530055732085,8.38525446831768e-4,0.9870459322161815
-1118.0355242130433,6.867734972660178e-4,0.9977688674965058
-1132.537314203149,8.025189603848738e-4,0.9473410694405004
-1117.151583262074,8.113482975324628e-4,0.9880001518251595
-1129.1182548985591,8.391261635510103e-4,0.979719601398047
-1121.3980100338422,7.854607183162027e-4,0.9799429121173436
-1139.5898008079891,8.127544314736953e-4,0.9876265037239939
-1126.2230126302798,5.661914526941668e-4,0.994562022073994
-1122.3449240851908,8.16900268078433e-4,0.9964677431399904
-1120.897237466127,6.14604428794195e-4,0.9970257382229724
-1143.3987365612818,9.532237119964634e-4,0.9703919974706293
-1143.7611475143767,5.988847240224625e-4,0.9433873542538108
-1147.9772351133986,0.0010122631188673585,0.9447207380594194
-1153.225744110386,9.384409690382357e-4,0.9752355975446783
-1145.5400789445114,7.425931338243976e-4,0.9735335405158709
-1179.9929539994719,6.777223409098632e-4,0.9256206116568441
-1143.451997655627,6.423780521485163e-4,0.9768335362073556
-1141.4789349976265,9.598415329347286e-4,0.999169922730169
-1162.9559387744496,7.796941171830665e-4,0.9821762404747737
-1164.1811508887083,7.48081578507578e-4,0.9506274227852328
-1156.8279509337237,8.119111246714075e-4,0.9674187661326435
-1175.4133395404415,6.543348078349888e-4,0.9332030031725438
-1144.4303613500506,7.856833339932201e-4,0.9723384734347349
-1158.660532956422,8.041116734772459e-4,0.9753711022128141
-1171.8720934528972,8.631946193398514e-4,0.9705940102318417
-1173.8331061293218,0.0011520172033667997,0.9667977779308206
-1161.591387993085,7.248599513036439e-4,0.9670793307556804
-1147.6516549884154,7.135977269798027e-4,0.9972129987584875
-1137.0623739758591,7.385775846514443e-4,0.9932437786638022
-1147.257167870176,7.705416877292096e-4,0.9951052093011181
-1153.7521165341575,6.32809858698077e-4,0.9930199423996522
-1142.4759848893798,4.381515904032433e-4,0.9924698471677501
-1154.3215161123428,6.398108432855372e-4,0.9859385717267591
-1196.478120075124,0.0010245117193603767,0.9329756066660543
-1151.0873052989166,9.639199168112304e-4,0.9959972051904044
-1138.7549034454935,6.902049183708993e-4,0.992339719189771
-1150.1094780303788,8.526455874743346e-4,0.9930386860748389
-1127.5614140437344,0.0010625994683966628,0.9933786682196171
-1158.3136463930546,0.0011061640780732906,0.9472118748082075
-1163.5555350167763,0.0010291645557189261,0.9969062946998456
-1143.6369317848994,8.077470180666101e-4,0.998224612894857
-1200.3639223324647,9.78334273514563e-4,0.9321834463925031
-1168.76299938825,6.077532854674861e-4,0.9487225898736628
-1133.9248285397837,7.836645309310222e-4,0.9731161150408673
-1121.0048640685927,7.905180885931256e-4,0.9723711918690008
-1158.8986244800342,6.361249282709229e-4,0.8918053840240114
-1185.2365019627443,5.208455942570501e-4,0.8916502325440601
-1166.9588184423828,6.967228043416706e-4,0.9777871913186162
-1138.333304305948,6.94869858229055e-4,0.9454093490939305
-1166.160323023686,7.413437896626432e-4,0.9621704835413042
-1152.098552516247,0.0011006182785028818,0.9871905451745796
-1162.6633768575302,8.888217773318126e-4,0.9720051388950259
-1176.2618811225568,5.788998258129381e-4,0.9475225780262144
-1158.841516482008,8.063572547142254e-4,0.9707294138083736
-1163.0571262229903,9.588116368440717e-4,0.9746107130937366
-1184.0017648849985,9.950001053702017e-4,0.9436304336803721
-1171.7369869475256,7.804743538887391e-4,0.9440620840752134
-1159.842903331274,8.989865444509015e-4,0.9833759897556086
-1134.8025700447736,7.902747369233731e-4,0.9966059297995374
-1164.4524960732078,0.0010201497570590354,0.9787075545182294
-1157.8116819865659,6.112687368749918e-4,0.937136830753555
-1153.330296538475,9.290123150297002e-4,0.9777568867536091
-1141.849689506266,5.349260631318515e-4,0.9894756328409788
-1173.8233178244636,7.340939458024853e-4,0.9750283411029712
-1139.3712732522804,7.096393588926338e-4,0.9770261668011531
-1168.0264360126882,8.124985175593341e-4,0.9274662366470044
-1159.7829448347572,8.613628228461135e-4,0.9779999878288346
-1133.098426869534,7.975556202665852e-4,0.949497555602732
-1170.7392224297655,8.279739499348697e-4,0.9469445474096339
-1163.577798481804,9.059240910575645e-4,0.9756685064213118
-1170.1028565072158,8.132044064912638e-4,0.9628091369470511
-1182.9305317992607,8.6983594011682e-4,0.952987347405529
-1147.252917051675,5.616067095787793e-4,0.9902320178375389
-1167.2074104318408,0.0010048158805350375,0.9610226033777989
-1137.5006551545373,9.944229597621387e-4,0.966356349907492
-1184.8453692751057,5.507573423182877e-4,0.9251698222014143
-1131.8651413910754,0.0010162266077326154,0.9835273332396526
-1145.3196065703223,7.682983879275394e-4,0.9640209719735405
-1154.0202456099341,7.396021039956166e-4,0.9574662282900919
-1127.4327049642857,8.084186886405509e-4,0.9938127984765781
-1143.2758576464062,5.900053953655719e-4,0.988940540778174
-1155.0466910966088,4.8685356280940876e-4,0.9731561235635577
-1123.214473891078,8.189690494216441e-4,0.9946775575456173
-1132.5438243343742,9.351231901748676e-4,0.9933049813489732
-1137.9901528290222,0.0010313600293832819,0.9998944603978553
-1137.3943323227925,6.348350708256628e-4,0.9998944603978553
-1111.2732297879193,5.823575594673572e-4,0.9967760406829217
-1135.1640694698492,6.415706944733672e-4,0.977371959684184
-1118.9890125042953,7.595446036702249e-4,0.9922297354846745
-1121.6008696883048,7.286269709913053e-4,0.997827419380092
