from,to,time,support,generations
NA,1,10,0.075,NA
NA,2,11,0.07388888888888889,NA
NA,3,13,0.07055555555555555,NA
NA,4,10,0.06944444444444445,NA
NA,5,10,0.07166666666666667,NA
NA,6,10,0.07444444444444444,NA
NA,7,12,0.0016666666666666668,NA
NA,8,13,0.07722222222222222,NA
NA,9,13,0.07777777777777778,NA
NA,10,13,0.07277777777777777,NA
NA,11,13,0.07444444444444444,NA
NA,12,10,0.07111111111111111,NA
NA,13,13,0.07666666666666666,NA
NA,14,11,0.07555555555555556,NA
NA,15,11,0.07944444444444444,NA
NA,16,67.5,0.0077777777777777776,NA
NA,17,11,0.07166666666666667,NA
NA,18,13,0.07666666666666666,NA
18,19,25,0.05333333333333334,1
245,20,102,0.065,1
NA,21,24,0.0011111111111111111,NA
11,22,22,0.06222222222222222,1
10,23,24,0.05,1
13,24,25,0.05388888888888889,1
10,25,24,0.052222222222222225,1
17,26,23,0.05611111111111111,1
12,27,24,0.04611111111111111,1
3,28,25,0.05333333333333334,1
13,29,25,0.049444444444444444,1
11,30,25,0.050555555555555555,1
48,31,40,0.14,1
28,32,41,0.042222222222222223,1
41,33,40,0.04611111111111111,1
41,34,40.5,0.04611111111111111,1
41,35,41,0.043333333333333335,1
217,36,116,0.06722222222222222,1
180,37,93,0.04611111111111111,1
41,38,40,0.043333333333333335,1
59,39,66,0.06722222222222222,1
41,40,40,0.050555555555555555,1
29,41,35,0.058333333333333334,1
41,42,40,0.044444444444444446,1
49,43,39,0.13777777777777778,1
41,44,41,0.04555555555555556,1
43,45,39,0.1461111111111111,1
27,46,39,0.04388888888888889,1
33,47,59,0.02,1
51,48,40,0.13944444444444445,1
43,49,39,0.14055555555555554,1
51,50,49,0.08944444444444444,1
49,51,40,0.14055555555555554,1
198,52,97,0.2588888888888889,1
24,53,40,0.04,1
86,54,58,0.020555555555555556,1
41,55,40,0.045,1
41,56,40,0.044444444444444446,1
41,57,40,0.04611111111111111,1
41,58,40,0.043333333333333335,1
31,59,49,0.09388888888888888,1
86,60,58,0.022222222222222223,1
41,61,41,0.04833333333333333,1
41,62,40,0.051666666666666666,1
41,63,40,0.05444444444444444,1
35,64,55,0.02722222222222222,1
63,65,59,0.018333333333333333,1
86,66,58,0.02,1
86,67,59,0.024444444444444446,1
45,68,47,0.11555555555555555,1
63,69,59,0.021111111111111112,1
86,70,58,0.02666666666666667,1
49,71,49,0.08833333333333333,1
43,72,47,0.11222222222222222,1
110,73,60,0.29833333333333334,1
51,74,48,0.1,1
49,75,49,0.09222222222222222,1
NA,76,49,0.04777777777777778,NA
43,77,49,0.09055555555555556,1
43,78,49,0.09333333333333334,1
40,79,55,0.02388888888888889,1
NA,80,80,0.012222222222222223,NA
211,81,108,0.4033333333333333,1
51,82,49,0.09,1
58,83,58.5,0.02,1
NA,84,60,0.012777777777777779,NA
40,85,58,0.020555555555555556,1
62,86,49,0.04388888888888889,1
57,87,55,0.024444444444444446,1
38,88,53,0.03222222222222222,1
43,89,49,0.09222222222222222,1
114,90,58,0.33166666666666667,1
86,91,58,0.019444444444444445,1
86,92,58,0.020555555555555556,1
167,93,81,0.03722222222222222,1
86,94,55,0.02722222222222222,1
NA,95,60,0.021111111111111112,NA
62,96,58,0.02,1
86,97,58,0.03166666666666667,1
86,98,58,0.02,1
39,99,82,0.22277777777777777,1
86,100,58,0.02277777777777778,1
