post,mu,pi
-9255.050461689005,1e-4,0.9
-3491.2005121275006,6.188127319767937e-4,0.7493474225383904
-3406.401344248346,6.265520105494588e-4,0.8120301601569244
-3184.727412348119,6.657826125468101e-4,0.9348087227948086
-3209.36831341069,8.644449081062296e-4,0.9573118034277452
-3148.5899770627807,4.936891959285568e-4,0.9914690355945001
-3200.163109208546,6.854305230181473e-4,0.968510949614703
-3112.7907741776153,6.655804269973645e-4,0.9932034686177462
-3125.8923768204445,7.269420373059182e-4,0.9940447624612708
-3168.4307708349093,6.978161049042786e-4,0.9940447624612708
-3100.293184204949,5.325347775067522e-4,0.9864277876746353
-3095.7362826197,6.630712046507712e-4,0.9951334059244425
-3129.837811493532,6.632666582347881e-4,0.9936281907659128
-3161.8780389409094,6.460794426929892e-4,0.9875318919851862
-3173.924195453725,6.885519653473483e-4,0.9865491833854728
-3144.1204010115343,4.816152400525425e-4,0.9908801474029775
-3160.5541308587244,6.400611657971016e-4,0.9543425148499333
-3110.612320962896,6.912023037497384e-4,0.9833000091924254
-3092.387332674349,5.547081393694549e-4,0.979617100464584
-3120.7005785214496,4.405672325668985e-4,0.9827338003973178
-3109.4517469985094,6.207403807270388e-4,0.9925008656478053
-3128.1077396916526,4.5565713406809126e-4,0.9889204229775402
-3101.3101606224645,5.450797143078813e-4,0.9729108015405689
-3130.3498651303717,4.6803966203654793e-4,0.9676782288656502
-3122.156078585375,6.208266126586384e-4,0.98438831918988
-3135.7468137622604,5.92513928542016e-4,0.9813278833359543
-3110.447886645374,6.108918150671398e-4,0.9871528444348258
-3126.2765342017715,6.383590411534321e-4,0.9745521872329119
-3125.0834434174994,5.691433975258351e-4,0.98121826692167
-3130.8311170938464,6.892917897634692e-4,0.9638342884275142
-3128.0210376473115,6.539772389739994e-4,0.9836162322253706
-3136.4220540044507,6.309653846942269e-4,0.9842003794721234
-3101.8966782953025,5.988980273769423e-4,0.9948234163915821
-3218.404916017368,5.88282432392909e-4,0.9504511946497893
-3195.5551789581473,8.21920237903267e-4,0.9597091617787252
-3154.8734672774062,5.865160153108006e-4,0.9909289762860609
-3112.0058566436696,5.040541023371078e-4,0.9938361254856716
-3129.2076729657356,5.269356043045922e-4,0.9913906454469953
-3137.243123971876,5.059625271015849e-4,0.9774942249715188
-3178.8061376988016,5.494924793692225e-4,0.9636303360184818
-3178.0170757122596,6.188695105371803e-4,0.9770810806617933
-3150.6845578942575,6.408130550582185e-4,0.9794434083496669
-3144.836499742472,7.329687737698996e-4,0.9993044645154785
-3116.2203108053495,4.924555343044477e-4,0.9940620956255818
-3142.0777390309595,6.32698101343741e-4,0.9725742189006196
-3208.184214948057,5.026130861895337e-4,0.9580650772231485
-3219.3873005529254,5.992721561517114e-4,0.9680390500556707
-3225.0150419726306,0.00048361785421829916,0.9674576654267218
-3183.1872580514237,5.132493258781787e-4,0.9775672390917619
-3148.676144578833,5.37117497357522e-4,0.9864391766510308
-3162.1379664338738,6.363104499688718e-4,0.9914023239390986
-3167.5428218668376,5.655927609284609e-4,0.9851680199954612
-3200.760626885156,7.241005717152989e-4,0.9748768541561063
-3178.0119324006114,4.735262054673223e-4,0.993491391535087
-3202.099954980148,5.694195551599532e-4,0.9665670823079594
-3087.569383749535,6.821820906372466e-4,0.9889878399424974
-3135.506814967619,5.739313566938069e-4,0.9824093731226561
-3156.7016379287725,7.851853993256734e-4,0.9697028237788947
-3114.4819103988116,7.212529532054486e-4,0.9942771318665641
-3117.437149573753,4.802578822192257e-4,0.9962150068042137
-3084.3537933673183,5.259403377931731e-4,0.99235807072352
-3101.5910803346515,5.666048758768904e-4,0.9957101902655815
-3133.367176856795,5.212963510949001e-4,0.9770003403578614
-3146.6197202307726,6.504409611506324e-4,0.9772760025160364
-3118.7817711599014,5.629557777672443e-4,0.9910376188111873
-3166.2864434253343,6.260868898296042e-4,0.9860074291177092
-3134.380969851926,6.393748002805273e-4,0.9829414118077833
-3143.4368700383948,5.035209228101061e-4,0.980011997604829
-3149.879393150942,4.602664380996682e-4,0.9903395527960924
-3170.32689862513,4.1151464682865154e-4,0.9822114364357103
-3135.087911676731,6.235010307270625e-4,0.9947799388812305
