from,to,time,support,generations
NA,1,-1,0.11611111111111111,NA
75,2,79,0.03944444444444444,1
1,3,30,0.07333333333333333,1
1,4,30,0.07,1
1,5,30,0.07,1
NA,6,29,0.04833333333333333,NA
5,7,46,0.035,1
27,8,31,0.3416666666666667,1
44,9,56,0.03611111111111111,1
75,10,83,0.03277777777777778,1
93,11,78,0.03611111111111111,1
1,12,30,0.08555555555555555,1
1,13,30,0.06333333333333334,1
1,14,30,0.08166666666666667,1
1,15,30,0.07722222222222222,1
1,16,30,0.06777777777777778,1
1,17,30,0.07,1
168,18,130,0.03277777777777778,1
1,19,30,0.07722222222222222,1
1,20,30,0.07055555555555555,1
1,21,30,0.07388888888888889,1
229,22,150,0.20055555555555554,1
14,23,44,0.034444444444444444,1
75,24,78,0.04833333333333333,1
1,25,30,0.08,1
1,26,30,0.08277777777777778,1
35,27,31,0.33944444444444444,1
1,28,30,0.07,1
1,29,30,0.056666666666666664,1
1,30,30,0.07277777777777777,1
1,31,30,0.07944444444444444,1
1,32,30,0.07388888888888889,1
1,33,30,0.06333333333333334,1
1,34,30,0.07611111111111112,1
27,35,31,0.33611111111111114,1
1,36,30,0.07833333333333334,1
53,37,46,0.39444444444444443,1
25,38,45,0.035,1
1,39,30,0.07333333333333333,1
1,40,30,0.07333333333333333,1
130,41,102,0.4772222222222222,1
13,42,44,0.03388888888888889,1
32,43,45,0.034444444444444444,1
4,44,44,0.035,1
68,45,55,0.14888888888888888,1
28,46,43,0.03777777777777778,1
83,47,83,0.028333333333333332,1
13,48,46,0.034444444444444444,1
34,49,45,0.03222222222222222,1
53,50,45,0.40166666666666667,1
75,51,81,0.03,1
17,52,46,0.035,1
50,53,44,0.29444444444444445,1
19,54,45,0.035,1
4,55,44,0.03333333333333333,1
5,56,44,0.03388888888888889,1
13,57,44,0.03388888888888889,1
4,58,45,0.03222222222222222,1
14,59,44,0.03722222222222222,1
1,60,44,0.03222222222222222,1
68,61,52,0.13722222222222222,1
14,62,44,0.03777777777777778,1
68,63,55,0.12611111111111112,1
68,64,52,0.135,1
75,65,80,0.03166666666666667,1
68,66,53,0.15166666666666667,1
68,67,56,0.12055555555555555,1
64,68,49,0.10611111111111111,1
68,69,52,0.12666666666666668,1
68,70,52,0.14,1
68,71,52,0.15388888888888888,1
83,72,80,0.03166666666666667,1
68,73,52,0.13833333333333334,1
43,74,57,0.04111111111111111,1
74,75,66,0.042222222222222223,1
73,76,66,0.08833333333333333,1
76,77,71,0.07611111111111112,1
210,78,140,0.06666666666666667,1
190,79,128,0.03833333333333333,1
84,80,68,0.08333333333333333,1
77,81,80,0.09333333333333334,1
108,82,80,0.25277777777777777,1
74,83,66,0.05,1
64,84,63,0.09888888888888889,1
188,85,126,0.03333333333333333,1
66,86,69,0.07555555555555556,1
89,87,81,0.09111111111111111,1
74,88,68,0.04388888888888889,1
84,89,71,0.08777777777777777,1
2,90,80,0.03166666666666667,1
83,91,80,0.04,1
88,92,80,0.03333333333333333,1
74,93,67,0.050555555555555555,1
67,94,67,0.09166666666666666,1
93,95,80,0.03833333333333333,1
118,96,82,0.16666666666666666,1
84,97,69,0.07666666666666666,1
186,98,119,0.04111111111111111,1
88,99,80,0.034444444444444444,1
116,100,89,0.03166666666666667,1
138,101,92,0.5161111111111111,1
83,102,80,0.03944444444444444,1
184,103,132,0.03944444444444444,1
154,104,117,0.04111111111111111,1
88,105,80,0.03888888888888889,1
93,106,80,0.03666666666666667,1
83,107,80,0.034444444444444444,1
123,108,81,0.25055555555555553,1
93,109,80,0.03277777777777778,1
118,110,82,0.18833333333333332,1
118,111,82,0.1738888888888889,1
93,112,80,0.034444444444444444,1
72,113,83,0.029444444444444443,1
93,114,80,0.03277777777777778,1
75,115,80,0.03277777777777778,1
88,116,80,0.04,1
83,117,80,0.03722222222222222,1
110,118,80,0.14666666666666667,1
93,119,80,0.03222222222222222,1
82,120,81,0.25333333333333335,1
75,121,80,0.035,1
118,122,82,0.1827777777777778,1
108,123,81,0.26222222222222225,1
88,124,80,0.041666666666666664,1
126,125,93,0.03166666666666667,1
83,126,80,0.03888888888888889,1
129,127,93,0.14277777777777778,1
88,128,80,0.03611111111111111,1
118,129,82,0.17444444444444446,1
137,130,90,0.5683333333333334,1
126,131,91,0.03611111111111111,1
150,132,92,0.24722222222222223,1
107,133,89,0.03,1
124,134,87,0.034444444444444444,1
87,135,94,0.10944444444444444,1
106,136,88,0.03166666666666667,1
130,137,88,0.3372222222222222,1
141,138,88,0.14944444444444444,1
158,139,103,0.03777777777777778,1
175,140,129,0.04,1
138,141,93,0.5044444444444445,1
188,142,117,0.03722222222222222,1
153,143,117,0.035,1
87,144,91,0.1,1
150,145,92,0.23055555555555557,1
129,146,93,0.14,1
96,147,92,0.14833333333333334,1
87,148,91,0.10111111111111111,1
150,149,93,0.23944444444444443,1
145,150,92,0.22722222222222221,1
180,151,138,0.25222222222222224,1
153,152,117,0.03722222222222222,1
87,153,94,0.08833333333333333,1
144,154,96,0.09944444444444445,1
132,155,103,0.225,1
158,156,103,0.03888888888888889,1
101,157,103,0.2038888888888889,1
133,158,95,0.03111111111111111,1
125,159,101,0.03888888888888889,1
173,160,115,0.051666666666666666,1
154,161,117,0.03611111111111111,1
101,162,105,0.1938888888888889,1
153,163,114,0.04666666666666667,1
138,164,102,0.20722222222222222,1
101,165,102,0.20944444444444443,1
139,166,107,0.042777777777777776,1
101,167,102,0.21611111111111111,1
148,168,116,0.041666666666666664,1
141,169,105,0.17555555555555555,1
135,170,117,0.03722222222222222,1
154,171,117,0.03666666666666667,1
188,172,116,0.03888888888888889,1
158,173,107,0.03888888888888889,1
204,174,138,0.051666666666666666,1
166,175,115,0.05,1
155,176,112,0.2544444444444444,1
246,177,140,0.03277777777777778,1
175,178,121,0.04888888888888889,1
154,179,117,0.043333333333333335,1
151,180,138,0.24222222222222223,1
166,181,115,0.05388888888888889,1
154,182,117,0.04,1
154,183,116,0.041666666666666664,1
154,184,116,0.04,1
205,185,138,0.04611111111111111,1
166,186,115,0.051111111111111114,1
139,187,113,0.05444444444444444,1
154,188,113,0.05722222222222222,1
188,189,116,0.03722222222222222,1
154,190,116,0.04055555555555555,1
154,191,117,0.04111111111111111,1
154,192,116,0.04777777777777778,1
154,193,116,0.04111111111111111,1
181,194,122,0.051111111111111114,1
154,195,117,0.03611111111111111,1
154,196,116,0.035,1
154,197,116,0.044444444444444446,1
188,198,117,0.03888888888888889,1
188,199,116,0.03722222222222222,1
154,200,116,0.03611111111111111,1
98,201,124,0.04555555555555556,1
244,202,144,0.041666666666666664,1
189,203,129,0.034444444444444444,1
205,204,129,0.07555555555555556,1
169,205,123,0.09944444444444445,1
182,206,126,0.03277777777777778,1
169,207,124,0.0811111111111111,1
205,208,124,0.08166666666666667,1
229,209,127,0.05555555555555555,1
218,210,136,0.05444444444444444,1
160,211,127,0.04722222222222222,1
207,212,136,0.065,1
182,213,129,0.03722222222222222,1
186,214,124,0.055,1
160,215,124,0.04888888888888889,1
205,216,135,0.06055555555555556,1
186,217,125,0.04888888888888889,1
181,218,126,0.04666666666666667,1
194,219,128,0.049444444444444444,1
160,220,126,0.049444444444444444,1
85,221,131,0.03166666666666667,1
208,222,137,0.052222222222222225,1
205,223,140,0.04666666666666667,1
79,224,137,0.03388888888888889,1
207,225,135,0.06222222222222222,1
207,226,136,0.058888888888888886,1
207,227,135,0.057777777777777775,1
207,228,135,0.065,1
209,229,140,0.445,1
252,230,138,0.115,1
207,231,135,0.059444444444444446,1
206,232,134,0.03388888888888889,1
205,233,135,0.058888888888888886,1
204,234,138,0.051666666666666666,1
208,235,135,0.06555555555555556,1
232,236,137,0.035555555555555556,1
208,237,135,0.06722222222222222,1
207,238,137,0.052222222222222225,1
204,239,138,0.05611111111111111,1
208,240,135,0.06111111111111111,1
205,241,135,0.06777777777777778,1
205,242,135,0.05555555555555555,1
209,243,140,0.425,1
232,244,138,0.034444444444444444,1
18,245,137,0.04611111111111111,1
221,246,137,0.03944444444444444,1
217,247,138,0.04888888888888889,1
209,248,143,0.32222222222222224,1
211,249,138,0.05555555555555555,1
209,250,140,0.43777777777777777,1
210,251,141,0.058333333333333334,1
230,252,150,0.8761111111111111,1
151,253,139,0.245,1
222,254,148,0.03888888888888889,1
245,255,144,0.03722222222222222,1
224,256,144,0.04111111111111111,1
245,257,144,0.044444444444444446,1
227,258,148,0.04611111111111111,1
185,259,148,0.04611111111111111,1
210,260,141,0.06944444444444445,1
174,261,148,0.041666666666666664,1
231,262,148,0.041666666666666664,1
