post,mu,pi
-6803.61839956296,1e-4,0.9
-1837.1566936744264,6.329112549651014e-4,0.926953275817476
-1795.847498072899,7.300854945384366e-4,0.9317792332980985
-1728.013528837933,5.351402459033991e-4,0.9865247053310627
-1717.9803169919187,4.911222997067316e-4,0.9745601587972115
-1753.9855937469983,6.49448397507357e-4,0.9804863929071191
-1717.6333790697759,5.075981465877871e-4,0.9747428838202546
-1708.7413682279112,5.897448156564355e-4,0.9841535649158737
-1711.6205056112822,5.592521769147885e-4,0.9814678099264933
-1765.32609355806,5.872806228601951e-4,0.9713359483733115
-1726.106005379385,4.907360859170332e-4,0.9992365657382057
-1761.0690951246675,6.916009372249305e-4,0.9991454473479261
-1781.2094011705394,4.540982814140638e-4,0.9967231643724666
-1767.1489275980562,4.487707292530835e-4,0.998204415678296
-1768.3101136595628,5.6238509291369e-4,0.998204415678296
-1743.3818663336892,5.482637195126828e-4,0.998204415678296
-1805.1916950423051,4.023896844732136e-4,0.9875200724545596
-1750.2895577975723,4.506888296699607e-4,0.9990145387035464
-1771.0323525080687,7.297327461674794e-4,0.9926230217708221
-1728.0998452587073,4.397459441088749e-4,0.9905209510421771
-1756.7692967265061,5.806332268590342e-4,0.9946835949517482
-1726.4180566519433,3.4154817238565025e-4,0.9984549341190793
-1747.4224778095409,4.568965042478115e-4,0.98524267767051
-1768.2497464279413,6.958769138104898e-4,0.9950434778360105
-1782.1793495489226,6.797235819196485e-4,0.9974769197387927
-1837.8013630768578,6.511946590344929e-4,0.9046878833175444
-1789.003341444651,7.547355458372566e-4,0.9745620548783386
-1764.3281349467288,5.852495267977681e-4,0.9907855765895915
-1752.8898127207283,7.332081519453861e-4,0.9907855765895915
-1761.8306387369544,6.47609699198795e-4,0.9979515922934115
-1771.7255000416292,6.713723772613029e-4,0.9990355171318156
-1767.0624872408173,5.655584689838242e-4,0.9937242022121905
-1720.0286755693926,5.083907061432478e-4,0.9963404856207073
-1749.4643622630747,5.763767962401759e-4,0.9881149963160336
-1760.08369038927,9.64959595478663e-4,0.98680259756402
-1762.978452767822,6.109270125582782e-4,0.9960459741355667
-1751.8584731872238,5.385540294093551e-4,0.9995996846386624
-1778.3515555409215,6.86675240214911e-4,0.9921905231771363
-1788.3932226286793,6.157350166971847e-4,0.9951438398091879
-1816.556783990821,6.32649803888573e-4,0.9951438398091879
-1802.0221823577765,5.32333699677856e-4,0.9925960621186067
-1791.8559266023183,4.4651178893271963e-4,0.9799147977486611
-1803.5844953698133,5.356016731681407e-4,0.98127083712579255
-1791.8125878180153,5.404401383368441e-4,0.9796428822243368
-1746.936173944067,6.164948085695924e-4,0.9969552893433449
-1770.286517031255,5.546211751609641e-4,0.9817489190700117
-1742.2585634643085,5.117928517417561e-4,0.9924018469032216
-1788.5396361692551,4.622421350683729e-4,0.98327258341546675
-1752.9363516442218,6.228995754727157e-4,0.998018011277301
-1760.0801803978993,7.297967436901711e-4,0.9962545176799277
-1796.8310047001187,5.020667345796549e-4,0.9238697902962174
-1772.8791615950922,4.726024259359139e-4,0.9668994081178479
-1776.9547314019524,5.042724851004722e-4,0.9839359206309916
-1805.0148092953948,0.00052967189360439025,0.9616409146152788
-1813.9789424098958,4.828247825288946e-4,0.9693044574460539
-1785.7469005148425,7.014674625828041e-4,0.9995201769725699
-1771.2549451543175,4.958717461459953e-4,0.9995201769725699
-1783.6534751471247,6.225977662051383e-4,0.9995201769725699
-1778.589431356399,5.720583977919041e-4,0.9995201769725699
-1768.309445738691,5.786679036131696e-4,0.9891373222523528
-1750.3279348871024,6.810117311955702e-4,0.9944985826311862
-1756.85212128249,5.127506743270675e-4,0.9983306965242761
-1796.0848294883733,6.486000228058582e-4,0.9932648796192737
-1737.13886321896,4.1827760555311275e-4,0.9984977487226134
-1787.7747995644615,5.021570355233735e-4,0.9929859672496176
-1706.7197346672979,6.972621605759468e-4,0.9782333141077821
-1770.633554658013,6.233957967139395e-4,0.9956655479180785
-1734.6959643165874,4.3620364658576596e-4,0.9956655479180785
-1762.5427983593718,5.341436080680948e-4,0.9986627454831236
-1760.3528365900556,4.738076765058521e-4,0.9839466708093288
-1775.1671834795006,5.493127839225486e-4,0.9672561965257241
-1766.5394312088938,4.1788118302254053e-4,0.9996363724524387
-1765.526703552059,5.356760583248441e-4,0.9996363724524387
-1808.8969125110566,5.847036200262606e-4,0.9898470181790691
-1767.6081979373807,3.757481120174973e-4,0.986375405093797
-1762.7058667711885,5.779992136700559e-4,0.98109014917817
-1746.1194788741918,5.813861827734663e-4,0.9892746343256978
-1795.5715367448734,5.402661294106608e-4,0.9506622002461198
-1791.1321214266293,6.043256287888227e-4,0.9449453283270056
-1759.5892946962883,3.8575987239148344e-4,0.9711625310037607
-1779.5535387261798,4.4328663798831825e-4,0.9731808293932532
-1793.1502557700408,5.125932265848966e-4,0.9855521390656338
-1772.1988872481413,5.318843394896917e-4,0.9795579452112158
-1767.0145553469326,3.830346998884757e-4,0.9647091133163563
-1803.0405341824924,3.416379405945076e-4,0.930703466387022
-1777.6298326997344,8.846926252736643e-4,0.9472516492190433
-1744.3454105566002,3.548599617181815e-4,0.9922871028676643
-1771.6064530109072,4.2280819535625363e-4,0.9899716552755006
-1754.5743067032856,4.448193240054376e-4,0.9977565453338236
-1772.839597384192,9.117777948445917e-4,0.9821513434870222
-1776.582185843223,3.429740140490452e-4,0.9823738797269643
-1729.2539068550514,4.353932780578726e-4,0.9978288218464574
-1769.7100029921278,5.173619872114184e-4,0.9860140042534529
-1723.6664871468931,5.759960077381153e-4,0.9934190827597185
-1742.0541868447044,8.905523214410002e-4,0.9907616879291774
-1764.3299586319706,4.2131136325611817e-4,0.9822516372070678
-1750.9567412184024,6.07131343918482e-4,0.9738662459665711
-1702.6748717096762,5.103694588736611e-4,0.9954417776177262
-1753.9446965414575,4.068075263615004e-4,0.9963659587116471
-1760.564247231304,6.059335920329184e-4,0.98473493793456
-1760.8510851931187,7.574637740453701e-4,0.9921755209797936
