post,mu,pi
-3477.578265432194,1e-4,0.9
-1530.0165041098742,9.627687829331036e-4,0.8721515127361875
-1496.236845367864,7.257871761966012e-4,0.9752706569002288
-1479.5043928939974,7.865666689768813e-4,0.9494514417126089
-1485.6238384210628,8.713812865596063e-4,0.9514123002375768
-1505.1311531401514,5.769540252353771e-4,0.9456619295023834
-1537.7824164538324,0.0010868535234783501,0.9103477619666586
-1495.6955915334886,4.8124360257719426e-4,0.9605410682194397
-1514.488804394184,6.0886145363221e-4,0.9582702125968332
-1519.1203010386148,7.725017180359518e-4,0.9410335844072838
-1475.5287639444832,6.532829323118068e-4,0.98882943163562
-1516.8929183215564,6.510049821462726e-4,0.9667790622544172
-1502.288305040089,8.862021969851167e-4,0.9761877935633928
-1518.4196899401734,6.032694944389336e-4,0.9580844037809987
-1523.1961580475283,7.987415877805185e-4,0.9517450119441913
-1497.7413357586072,7.022251394484296e-4,0.971267345079482
-1483.465438646364,6.294421255192656e-4,0.9495950542617132
-1507.38122505312,5.278865453408953e-4,0.9708262872075832
-1514.9596212093008,6.273330112372432e-4,0.9199891721869298
-1511.6114746861833,8.467635572762066e-4,0.9803916355623293
-1517.9477771691077,6.060399446372158e-4,0.9155091172799267
-1487.9807940697099,6.154957561866923e-4,0.9638597930410456
-1471.8449563732447,7.611394031908226e-4,0.9811421659544111
-1499.592498692968,5.226263428086097e-4,0.9644516813498423
-1492.7210833369109,8.803402403505699e-4,0.9663251722848454
-1473.850785687254,8.305551382679069e-4,0.9681540803063734
-1517.4899636959046,8.421626948014046e-4,0.9687367397345434
-1500.4270689257582,6.379992498237091e-4,0.9805564188280963
-1505.3659961753056,7.475927302426318e-4,0.9835409184659815
-1493.907937093658,6.542292980862326e-4,0.9489151969913037
-1485.5150456822003,8.414726024480708e-4,0.9870816535067892
-1518.2886483919185,5.464227282948172e-4,0.9761509446261812
-1492.4399098486972,5.63275128219247e-4,0.9745749277852712
-1546.1525977999563,7.619703982907414e-4,0.9210590553502848
-1467.7731736982796,6.437354934395044e-4,0.9735000173027216
-1513.214609896176,8.208100883313892e-4,0.9589047326404231
-1525.9598418515345,6.653338350608148e-4,0.9390744311612086
-1538.932549674457,6.795957438826372e-4,0.9322672304066245
-1477.4656543972415,6.7909161220241e-4,0.9864109495160512
-1489.9783735513888,6.788697126130567e-4,0.9985114627792158
-1486.7670802371226,5.212120771340659e-4,0.9845854114121815
-1471.6636123515632,5.980439338667636e-4,0.9680477629909092
-1480.4159733656008,8.101630220174948e-4,0.9699924111698535
-1479.312495857631,5.749062174241469e-4,0.9826664539681881
-1489.7250247913516,7.61445674406572e-4,0.9459481887374168
-1514.466410148186,7.126772495634225e-4,0.9828477180370371
-1503.9765862016834,7.128317750354779e-4,0.9678749766798258
